Similarity Score,Incident ID,Incident Title,Incident Description,Use Case ID,Use Case Name,Agency,Intended Purpose
0.785,827,"AI Transcription Tool Whisper Reportedly Inserting Fabricated Content in Medical Transcripts","OpenAI's AI-powered transcription tool Whisper, used to translate and transcribe audio content such as patient consultations with doctors, is advertised as having near “human level robustness and accuracy.”  However, software engineers, developers and academic researchers have alleged that it is prone to making up chunks of text or even entire sentences and that some of the hallucinations can include racial commentary, violent rhetoric, and even imagined medical treatments.",5743,"Automated Transcription Generation ","United States Agency for Global Media","Generative AI is being leveraged in USAGM’s media workflows to enhance efficiency and accessibility. This use case integrates Latakoo, which utilizes OpenAI's Whisper technology for transcription. With high accuracy, the system transcribes content as it is processed and passes it into USAGM’s media asset management (MAM) system, ensuring that the content is easily searchable and accessible for future use. "
0.784,92,"Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women","Apple Card's credit assessment algorithm was reported by Goldman-Sachs customers to have shown gender bias, in which men received significantly higher credit limits than women with equal credit qualifications.",5318,"Gender differentiated credit scoring","United States Agency for International Development","University of California, Berkeley, is building a machine learning model to conduct gender differentiated credit scoring for customers of Rappicard in Mexico. They will compare this ML model to Rappi's ""status quo"" model to determine whether a gender differentiated model leads to greater access to credit for women."
0.783,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",5382,"Anti-Money Laundering and Shareholders Transparency IT System","United States Agency for International Development","The implemented Anti-Money Laundering (AML) system currently relies on a rule-based detection framework with advanced networking capabilities. Building on this foundation, additional machine learning (ML) and artificial intelligence (AI) capabilities are being supported to enhance the accuracy of detection logic. This innovative system, the first of its kind in the region, equips employees of the National Bank of Moldova (NBM) with advanced tools to monitor all banking operations comprehensively"
0.783,1101,"Meta AI App Reportedly Publishes Personal Chats Without Users Fully Realizing","Meta launched a stand-alone AI app with a ""Discover"" feed allowing users to share conversations with its chatbot. Multiple reports indicate that some users may have inadvertently published highly personal interactions, including audio recordings, medical questions, legal concerns, and intimate relationship disclosures. While Meta states that sharing is opt-in, the feature's design and labeling may have led to user confusion about what would be publicly visible.",4806,"Facebook Mobile App","Department of Labor","AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department. "
0.782,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",5346,"AI Pilot- Detection of data exfiltration","United States Agency for International Development","The AI Pilot Project was developed to demonstrate the use of AI at USAID through the detection of security events and anomalies in network data. While existing cybersecurity measures catch some attacks, it is highly likely that many are sneaking by undetected, either disguised as benign traffic or simply unnoticed in the mass of data. The objective of the AI Pilot was to develop an in-house capability to detect previously undetected anomalous actors, trends or events in network data through the "
0.782,704,"Study Highlights Persistent Hallucinations in Legal AI Systems","Stanford University’s Human-Centered AI Institute (HAI) conducted a study in which they designed a ""pre-registered dataset of over 200 open-ended legal queries"" to test AI products by LexisNexis (creator of Lexis+ AI) and Thomson Reuters (creator of Westlaw AI-Assisted Research and Ask Practical Law AI).  The researchers found that these legal models hallucinate in 1 out of 6 (or more) benchmarking queries.",5624,"WestLaw","Federal Housing Finance Agency","Generative AI-assisted legal research tool"
0.782,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4338,"Cyber Incident Reporting","Department of Homeland Security","Cyber incident handling specialists utilize advanced automation tools to process data received through various threat intelligence and cyber incident channels. These tools leverage machine learning (ML) and Natural Language Processing (NLP) to increase the accuracy and relevance of data filtered and presented to human analysts and decision-makers. ML techniques also assist in aggregating the information in reports for presentation and further analysis, including data received through covered Cyb"
0.781,840,"AI-Generated Media Reportedly Used in Russian Disinformation Campaign in Moldova","Russian-linked entities allegedly deployed AI-generated images and videos to spread disinformation aimed at swaying Moldova’s referendum on E.U. membership. The AI-enhanced media campaign included fabricated stories and doctored visuals, the purpose of which was reportedly designed to amplify fear and undermine pro-E.U. sentiment in the days leading up to the referendum.",5383,"AI analysis of Moldova's media content and social media landscape","United States Agency for International Development","This project utilizes AI to provide analysis of Moldova's media landscape, focusing on narrative framing techniques in both Romanian and Russian-language media and social media. The goal of this application is situational awareness and strategic communications planning, not content removal or blocking."
0.781,690,"ISIS Utilizes AI for Propaganda Videos in News Harvest Program","ISIS supporters have created an AI-generated media program called News Harvest to disseminate propaganda videos. The program produces near-weekly broadcasts featuring AI-generated news anchors discussing ISIS operations globally, using cheap and easy-to-use AI tools. This development showcases the use of AI as a powerful propaganda tool for extremist groups.",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.780,830,"Error-Prone AI Accessibility Tools Reportedly Lead to Navigation Issues for Blind Internet Users","AI-powered accessibility overlays on websites frequently mislabel or misinterpret content, in turn complicating navigation for blind users and others with disabilities. Users report that the AI tools interfere with screen readers and mislead them with inaccurate descriptions. The reported unreliability in these tools have prompted legal action, as the companies behind them seek compliance with accessibility laws. ",5086,"Enhance NLM Website Accessibility","Department of Health and Human Services","NLM is pilot testing the use of artificial intelligence (AI) to enhance the accessibility of the NLM website in alignment with Section 508 standards.  This initiative is critical to mitigate the enterprise risk associated with non-compliance with Section 508 standards covering web sites. The AI will focus solely on identifying and resolving accessibility errors associated with Section 508 standards for websites, including suggestions from the U.S. Web Design System framework when possible. The A"
0.779,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4332,"Malware Reverse Engineering","Department of Homeland Security","This use case delivers improved internal government tools for reverse engineering of malware and speeding the development of cyber threat intelligence that can be shared across the government and with CISA partners.  Threat actors can leverage the same malware for long periods of time, so having the ability to improve analysis and generation of shareable cyber threat intelligence forces threat actors to spend more resources generating new malware. Machine learning and other analytical tools are "
0.778,154,"Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines","Department of Justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.",6182,"Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN)","Department of Justice","Purpose: This tool, developed by OJP, uses pre-defined rules to score an inmate's recidivism risk level.  Expected benefits: PATTERN provides a standardized approach to calculating a recidivism risk level."
0.775,1009,"Purportedly AI-Assisted Report by Tromsø Officials Allegedly Cited Non-Existent Sources in School Closure Proposal","In February 2025, Tromsø Municipality reportedly presented a report proposing the closure of schools and kindergartens. Residents reportedly later discovered the report cited numerous non-existent sources. Officials reportedly admitted using generative AI to help draft the report, leading to fabricated references. The incident reportedly led to public outcry and suspension of the closure plan. It is purportedly Norway’s first major public-sector AI scandal.",4931,"The School Closure Awareness System","Department of Health and Human Services","Identifying unplanned school closures. CDC is responsible for supporting schools before, during, and after and emergency. During COVID 19 this included monitoring school closure or virtual status and reporting this to federal partners, the White House, and the public. Due to cost the process used during COVID was no longer feasible and ceased in DEC 2022. We explored multiple ways to capture this data and our current system met the need best.   This AI has allowed us to save nearly 2-million-dol"
0.774,1109,"Year-long AI Surveillance Pilot in Two South Australian Aged Care Facilities Reportedly Overwhelmed Staff with False Positives","Between March 2021 and March 2022, an AI-enabled video and audio monitoring system was trialed in two South Australian aged care facilities. According to an independent audit commissioned by South Australia Health, the system produced over 12,000 false alerts, overwhelming staff and contributing to at least one missed real incident. The report concluded the system did not reach accuracy levels acceptable to staff or management during the pilot.",5889,"Biotronik Home Monitoring System","Department of Veterans Affairs","The Biotronik home monitoring system collects data transmitted by patients with implanted cardiac monitors from their homes for review by clinicians on a password protected Web page. Transmissions are made by the monitors when certain criteria are met suggesting an important heart rhythm abnormality is present. A proprietary industry-created AI system evaluates the transmitted data and classifies whether the findings that triggered the transmissions are true arrhythmias or false positives. The h"
0.773,307,"iPhone Face ID Failed to Recognize Users’ Morning Faces","The Face ID feature on iPhone allowing users to unlock their phones via facial recognition was reported by users for not recognizing their faces in the morning.",5291,"Enable Face ID to unlock M365 apps on Government iPhone and iPad","Department of the Treasury","Improve Ease of use for customer accessing Org Data in M365 apps and TEAMS on government iPhone and IPad.Customers would no longer need to continuously input Password into the M365 apps if Face ID is enabled. https://support.apple.com/en-us/102381"
0.773,260,"US DHS’s Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants","US Citizenship and Immigration Services (USCIS)’s ATLAS software used in vetting immigration requests was condemned by advocacy groups as a threat to naturalized citizens for its secretive algorithmic decision-making, reliance on poor quality data and unknown sources, and alleged discrimination of immigrants using biometric and sensitive information.",4428,"Asylum Text Analytics","Department of Homeland Security","USCIS oversees lawful immigration to the United States. As set forth in Section 451(b) of the Homeland Security Act of 2002, Public Law 107-296, Congress charged USCIS with administering the asylum program. USCIS, through its Asylum Division within the Refugee, Asylum & International Operations Directorate (RAIO), administers the affirmative asylum program to provide protection to qualified individuals in the United States who have suffered past persecution or have a well-founded fear of future "
0.772,846,"Social Media Algorithms Amplified Disinformation Campaign in Honduras Election","In October 2021, a coordinated network of over 317 fake Twitter accounts leveraged AI-driven algorithms to amplify disinformation about the Honduran presidential election, targeting opposition candidate Xiomara Castro. The campaign spread false narratives to suppress voter turnout and undermine the election's integrity. Social media platforms, including Twitter and Facebook, removed the accounts only after being alerted, which also raised concerns about inadequate moderation.",5374,"Twitter trend analysis in Colombia","United States Agency for International Development","This system uses artificial intelligence through a control dashboard, presenting a counter of retweets in the last hour with gender classification, topic classifier, georeferencing, sentiment trends, and emotion analysis in tweets. This application is designed as a measure to counteract misinformation and promote transparency on social media. In the framework of promoting transparency, access to information, and open government as paths to combat corruption, the product will develop several Mach"
0.771,808,"Infinite Campus AI-Driven Student Risk Model Leads to Cuts in Support for Nevada's Low-Income Schools","An AI system developed by Infinite Campus and deployed by Nevada to identify at-risk students led to a sharp reduction in the number classified as needing support, dropping from 270,000 to 65,000. The reclassification caused significant budget cuts in schools serving low-income populations. The drastic reduction in identified at-risk students reportedly left thousands of vulnerable children without resources and support.",4931,"The School Closure Awareness System","Department of Health and Human Services","Identifying unplanned school closures. CDC is responsible for supporting schools before, during, and after and emergency. During COVID 19 this included monitoring school closure or virtual status and reporting this to federal partners, the White House, and the public. Due to cost the process used during COVID was no longer feasible and ceased in DEC 2022. We explored multiple ways to capture this data and our current system met the need best.   This AI has allowed us to save nearly 2-million-dol"
0.771,240,"GitHub Copilot, Copyright Infringement and Open Source Licensing","Users of GitHub Copilot can produce source code subject to license requirements without attributing and licensing the code to the rights holder.",4559,"GitHub Copilot with the OpenAI Codex","Department of Energy","This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research."
0.771,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",6009,"Advanced Threat Protection","Tennessee Valley Authority","Protecting against attackers and exploitations means testing using the same strategies that adversaries use. Leveraging billions of data points across operating systems, mail flow, and identity patterns, mathematical and probabilistic based decisions can be made to mitigate and even completed remove threats to the organization. ML and AI technology help reduce phishing emails, malware spread, leveraging compromised accounts, and further promote visibility to threats."
0.770,725,"Cartels Reportedly Using AI to Expand Operations into Financial Fraud and Human Trafficking","The Jalisco New Generation Cartel is reportedly using AI to expand its financial fraud and human trafficking operations, coercing individuals into illegal activities under the guise of legitimate jobs. INTERPOL warns that this integration of AI into criminal enterprises is a growing trend among cartels across Europe, Asia, and Africa as well.",5382,"Anti-Money Laundering and Shareholders Transparency IT System","United States Agency for International Development","The implemented Anti-Money Laundering (AML) system currently relies on a rule-based detection framework with advanced networking capabilities. Building on this foundation, additional machine learning (ML) and artificial intelligence (AI) capabilities are being supported to enhance the accuracy of detection logic. This innovative system, the first of its kind in the region, equips employees of the National Bank of Moldova (NBM) with advanced tools to monitor all banking operations comprehensively"
0.769,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4378,"Cybersecurity Threat Management, Detection, and Response","Department of Homeland Security","Machine Learning (ML) is used to analyze historical ICE cybersecurity data, create activity baselines, and detect anomalous behaviors for alerting. By integrating ML with other advanced analytics and correlation rules, AI identifies patterns indicative of security incidents, enabling SOC analysts to detect and respond to threats more quickly than previously possible."
0.769,1055,"FBI Reports AI Use by Threat Actors in Broader Cyber Context Including Infrastructure Intrusions","FBI Deputy Assistant Director Cynthia Kaiser stated that adversarial actors, particularly those affiliated with China and organized cybercriminal groups, are increasingly integrating AI tools across the cyberattack lifecycle, with documented use cases reportedly including purported AI-generated spear phishing, business identity fabrication, internal network mapping, and deepfake-enabled fraud. The tools are allegedly already assisting intrusions targeting U.S. infrastructure.",4340,"AI Security and Robustness","Department of Homeland Security","Frameworks, processes, and testing tools are developed to govern the acquisition, development, deployment, and maintenance of AI technologies. Technology integrators within CISA, as well as the rest of the federal enterprise, use AI-enhanced tools to ensure the trustworthy, robust, and secure operation of their AI systems. These tools use machine learning (ML) and Natural Language Processing (NLP) to enhance the assessment of AI technology within the agency by speeding up data processing. "
0.769,1068,"AI-Powered Presentation Tool Gamma Implicated in Multi-Stage Phishing Campaign","Attackers reportedly exploited Gamma, an AI-powered presentation tool, to create convincing presentation pages that hosted links to a spoofed Microsoft SharePoint login portal. The phishing flow allegedly used compromised email accounts, Cloudflare Turnstile for bot evasion, and adversary-in-the-middle (AiTM) tactics to validate credentials in real time and capture session cookies. The campaign aimed to bypass MFA and compromise accounts.",6009,"Advanced Threat Protection","Tennessee Valley Authority","Protecting against attackers and exploitations means testing using the same strategies that adversaries use. Leveraging billions of data points across operating systems, mail flow, and identity patterns, mathematical and probabilistic based decisions can be made to mitigate and even completed remove threats to the organization. ML and AI technology help reduce phishing emails, malware spread, leveraging compromised accounts, and further promote visibility to threats."
0.768,951,"Character.AI Chatbots Allegedly Impersonating Licensed Therapists and Encouraging Harmful Behaviors","The American Psychological Association (APA) has warned federal regulators that AI chatbots on Character.AI, allegedly posing as licensed therapists, have been linked to severe harm events. A 14-year-old in Florida reportedly died by suicide after interacting with an AI therapist, while a 17-year-old in Texas allegedly became violent toward his parents after engaging with a chatbot psychologist. Lawsuits claim these AI-generated therapists reinforced dangerous beliefs instead of challenging them",5209,"Therapy Chatbot - Text-Based Mental Health Support for SSA Employees","Social Security Administration","This AI use case is a therapy chatbot that employees can access on their own personal devices."
0.767,486,"AI Video-Making Tool Abused to Deploy Pro-China News on Social Media","Synthesia's AI-generated video-making tool was reportedly used by Spamouflage to disseminate pro-China propaganda news on social media using videos featuring highly realistic fictitious news anchors.",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.767,1202,"Russian Disinformation Campaign Reportedly Used AI-Generated Posts and Videos to Target 2025 Moldovan Parliamentary Elections","Researchers and European officials reported that Russian operatives have been using purportedly AI-generated posts, videos, and websites to influence Moldova's September 2025 parliamentary elections. Networks of over 900 accounts across TikTok, Facebook, Instagram, Telegram, and YouTube have reportedly spread fabricated narratives, including reportedly misogynistic and false smears of President Maia Sandu.",5383,"AI analysis of Moldova's media content and social media landscape","United States Agency for International Development","This project utilizes AI to provide analysis of Moldova's media landscape, focusing on narrative framing techniques in both Romanian and Russian-language media and social media. The goal of this application is situational awareness and strategic communications planning, not content removal or blocking."
0.767,570,"Facebook Messenger AI Stickers Generate Ethical and Content Moderation Concerns","Facebook Messenger AI stickers, a feature by Meta, allows users to generate personalized stickers via AI for use in conversations. While the feature has been praised for its creativity, it has also stirred controversy for its alleged production of inappropriate or offensive content. This has raised questions about the effectiveness of Meta's content moderation measures and the ethical responsibilities associated with AI-driven content generation.",4806,"Facebook Mobile App","Department of Labor","AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department. "
0.766,545,"Chatbot Tessa gives unauthorized diet advice to users seeking help for eating disorders","The National Eating Disorders Association (NEDA) has shut down its chatbot named Tessa after it gave weight-loss advice to users seeking help for eating disorders. The incident has raised concerns about the risks of using chatbots and AI assistants in healthcare settings, particularly in addressing sensitive issues like eating disorders. NEDA is investigating the matter, emphasizing the need for caution and accuracy when utilizing technology to provide mental health support.",5209,"Therapy Chatbot - Text-Based Mental Health Support for SSA Employees","Social Security Administration","This AI use case is a therapy chatbot that employees can access on their own personal devices."
0.766,535,"COVID-19 Detection and Prognostication Models Allegedly Flagged for Methodological Flaws and Underlying Biases","Peer-review of papers about COVID-19 detection and prognostication algorithms from 2020, including deployed models, revealed none to be ready for clinical use, due to methodological flaws and underlying biases such as lacking external validation or not specifying data sources and model training details.",5252,"Forecasting","Department of State","Using statistical models, projecting expected outcomes into the future; this was applied to COVID cases as well as violent events in relation to tweets. This project is retired."
0.766,32,"Identical Twins Can Open Apple FaceID Protected Devices","Apple's iPhone FaceID can be opened by an identical twin of the person who has registered their face to unlock the phone.",5020,"Facial Recognition Unlock","Department of Health and Human Services","The Face ID feature in iPhones takes advantage of AI technology to securely unlock the phone. "
0.766,994,"AI-Enabled Organized Crime Expands Across Europe","Europol’s EU Serious and Organised Crime Threat Assessment (EU-SOCTA) 2025 warns that AI is accelerating the growth of organized crime throughout Europe. Criminal networks are leveraging AI for cyber fraud, ransomware, money laundering, and child exploitation, while AI-powered social engineering and automation are making criminal operations more scalable and harder to detect. ",5382,"Anti-Money Laundering and Shareholders Transparency IT System","United States Agency for International Development","The implemented Anti-Money Laundering (AML) system currently relies on a rule-based detection framework with advanced networking capabilities. Building on this foundation, additional machine learning (ML) and artificial intelligence (AI) capabilities are being supported to enhance the accuracy of detection logic. This innovative system, the first of its kind in the region, equips employees of the National Bank of Moldova (NBM) with advanced tools to monitor all banking operations comprehensively"
0.764,296,"Twitter Recommender System Amplified Right-Leaning Tweets","Twitter’s “Home” timeline algorithm was revealed by its internal researchers to have amplified tweets and news of rightwing politicians and organizations more than leftwing ones in six out of seven studied countries.",5374,"Twitter trend analysis in Colombia","United States Agency for International Development","This system uses artificial intelligence through a control dashboard, presenting a counter of retweets in the last hour with gender classification, topic classifier, georeferencing, sentiment trends, and emotion analysis in tweets. This application is designed as a measure to counteract misinformation and promote transparency on social media. In the framework of promoting transparency, access to information, and open government as paths to combat corruption, the product will develop several Mach"
0.764,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",4424,"Case Processing Improvements in FDNS-DS NexGen","Department of Homeland Security","In the future, USCIS may consider using artificial intelligence (AI) / machine learning (ML)  FDNS-DS NexGen or other systems  may data from other applications for FDNS-DS NexGen or other systems to aid in investigative work, enhance investigative case prioritization, and detect duplicate case work. USCIS may consider and explore investigating whether it would be useful to integrate AI/ML into the predictive modeling for potential future system enhancements, also integrate AI/ML into the predict"
0.764,672,"'Lavender' and 'The Gospel' AI Systems Reportedly Used in Gaza Targeting Operations with Civilian Harm Allegations","The AI system known as ""Lavender"" was reportedly used by the Israel Defense Forces (IDF) to assist in identifying individuals in Gaza for targeting, while a related system, ""The Gospel,"" was reportedly used to help select and prioritize physical strike targets. Investigations reportedly suggest that these systems operated with limited human review and may have contributed to strikes associated with high civilian casualties. The extent of automation with human oversight, as well as the accuracy o",5449,"AI-enabled air raid sirens and war crime documentation","United States Agency for International Development","Hala Systems Inc.: Hala will utilize a network of air-raid sirens administered by civil society, combined with predictive algorithms, training and community engagement efforts to monitor other forms of violence (e.g. artillery, mortars), It will employ blockchain to generate immutable evidence of war crimes. Funded through Humanitarian Grand Challenge"
