agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
Treasury,Reporting Requirement Analysis,clear_llm_access,0,1,high,"""produce structured analyses... synthesized policy-relevant insights"" is a narrow compliance-review workflow that is nonetheless generative."
Treasury,Requirements Elaboration Tool,clear_llm_access,0,1,high,"""generates refined requirement statements, clarifies assumptions"" via Teams for one requirements-drafting task is narrow but generative."
Treasury,Research Suitability,clear_llm_access,0,1,medium,"""generates a rating or score for each material artifact, along with brief reasoning"" is a narrow symposium-screening tool that produces generated reasoning text."
Treasury,Resource Assignment Optimization,clear_llm_access,0,0,medium,"Explicitly ""applying predefined rules and logic"" to match staff to openings — a narrow rules-based matching tool, not generative text creation, despite the Generative AI self-tag."
Treasury,Resume Ranking Engine,clear_llm_access,0,1,medium,"Ranks one employee's resume against job descriptions and outputs ""Actionable suggestions"" — a narrow single-workflow tool that does generate suggestion text."
Treasury,Rulemaking Comment Analytics,clear_llm_access,0,1,high,"""leverages Gen AI to rapidly analyze public comments... identifying sentiment, key themes"" for one rulemaking's comments is a narrow but explicitly generative analytics tool."
Treasury,Software Code Generation,clear_llm_access,0,1,high,"""generating code snippets, templates, and initial documentation drafts"" is a coding-only tool (excluded from general access) that is generative."
Treasury,Statistical Information Services Customer Correspondence Analytics,clear_llm_access,0,1,high,"""summarize and evaluate the previous several years' worth of correspondence"" is scoped to one SOI correspondence dataset — a narrow summarization tool."
Treasury,Survey Analysis,clear_llm_access,0,1,high,"""quickly mining, organizing, and highlighting meaningful insights from the survey data"" is a narrow survey-comment summarizer, not general chat."
Treasury,Training Content Generation,clear_llm_access,0,1,high,"""generating draft educational materials"" for credit-training topics via Teams is a narrow content-drafting tool, not general chat."
Treasury,Using Text Summarization for Open-Ended Survey Responses,clear_llm_access,0,1,high,"Tool is literally named for ""Text Summarization"" scoped to one survey's open-ended responses — narrow but explicitly generative."
Treasury,Visualization Alt-Text Generation,clear_llm_access,0,1,high,"""generating draft alt-text"" for charts/figures is a narrow accessibility-drafting tool, not general chat."
Treasury,eDiscovery Software,clear_llm_access,0,0,low,"""Discovery of data based on legal requests"" describes classic eDiscovery search/culling, not text generation, despite the Generative AI self-tag; narrative is too thin for higher confidence."
State,AI Accelerator,clear_llm_access,0,1,medium,"Scoped to ""quickly discover answers to common questions about using AI at the Department"" — a single-topic help chatbot (AI tooling/policy questions only), not broad work-task chat, though it does generate ""Textual responses."""
State,AI Programmatic Insights,clear_llm_access,0,1,low,"""forecast programmatic trends, anticipate demand cycles"" for Regional Directors is a narrow passport-performance forecasting tool, not chat; genai kept at 1 per the Generative AI self-tag though the description reads more like predictive analytics."
State,AI Research Engine (AIRE),clear_llm_access,0,1,high,"""categorization, summarization, and translation of information"" scoped to drafting reports from one class of sources (formerly the ""J Reports"" tool) is a narrow reporting workflow, generative via summarization/translation."
State,Creating Persistent Virtual Reality Personas for Dynamic Training,clear_llm_access,0,1,medium,"Purpose-built for ""immersive training... virtual reality (VR) exercises"" with persistent personas is a narrow training-simulation application, not general chat, though persona dialogue is generative."
State,Digital Media Analytics Platform,clear_llm_access,0,1,high,"""NorthStar"" translates and summarizes ""global media articles and... foreign social media posts"" for one media-monitoring workflow — narrow but explicitly generative (translation/summarization)."
State,Office of the Historian (OH) Historical Analysis for Negotiations,clear_llm_access,0,1,high,"Produces ""Succinct 1-page overviews of research for US negotiators"" — a narrow historical-research support tool, generative."
State,StateInsight,clear_llm_access,0,1,high,"""summarize documents to produce a description of procurement awards and to allow authorized users to ask questions of the documents"" is scoped to one procurement-award document set (narrow, not broad chat); summarization/QA is still generative per the decision rule even though the agency self-tagged it NLP rather than Generative AI."
State,WHA/EX Information Management,clear_llm_access,0,1,medium,"""answers to administrative/IT related FAQs"" for one office's budget/IT questions is a narrow FAQ chatbot, though output is explicitly described as ""Generative AI or logic-based responses."""
GSA,ASSIST ECF Autoclassification and Summary,clear_llm_access,0,1,high,"Automates ""manual document review and categorization"" scoped to the ASSIST Electronic Contract File system — a narrow document-processing pipeline whose summary component is generative."
GSA,Expedited Transfer of Program of Requirements into Test Fit Layouts and Concept Design Options,clear_llm_access,0,1,high,"""generating initial test fit layouts and concept design options from program requirements"" is a narrow design-generation tool, not chat."
GSA,LaborMatch IQ - Efficient Services Pricing Market Research,clear_llm_access,0,1,medium,"""leveraging a RAG (Retrieval-Augmented Generation) AI capability"" scoped to one procurement pricing-research task is a narrow but explicitly generative tool."
GSA,Lot Description Generation,clear_llm_access,0,1,high,"Tool literally ""automatically generating lot descriptions"" for asset sales — a narrow, explicitly generative drafting tool."
GSA,ReDux Toolkit,clear_llm_access,0,1,high,"""accelerating requirements generation automation... providing comprehensive documentation"" for application modernization is a narrow tool that generates requirements/docs."
GSA,Software Supply Chain Security Research,clear_llm_access,0,1,low,"""time-consuming manual research into security vulnerabilities"" automation is a narrow research pipeline for one review process; no output description is given, so genai=1 relies mainly on the Generative AI self-tag."
GSA,Strategic Atlas,clear_llm_access,0,1,low,"""monitoring strategy execution and related opportunities"" is a narrow tracking/analytics tool with no output description provided; genai kept at 1 per the self-tag despite very thin evidence."
FDIC,Corporate Impact Analysis Object,clear_llm_access,0,1,high,"""source draft impact statements of bills"" for one legislative-analysis workflow (Office of Legislative Affairs only) is a narrow drafting tool, explicitly generative."
FDIC,Criminal Background Investigation,clear_llm_access,0,0,medium,"Outputs are ""Aggregation of public records used to evaluate risk"" via the CLEAR platform — a data-aggregation/verification tool, not text generation, despite the Generative AI self-tag."
FDIC,Enterprise FDIC Chat,set_genai,1,1,high,"""a secure, agency compliant Chat that can provide AI-assisted Q&A, content summarization, and basic semantic search"" plus ""Generate first drafts of documents, briefings, or communication materials"" describes broad, arbitrary-prompt, agency-wide internal chat access — true general LLM access."
FDIC,Knowledge Article Generation,clear_llm_access,0,1,high,"Scoped to producing ""steps and conclusions to IT issues"" for one help-desk knowledge base — a narrow content-generation tool, not general chat."
DOT,Power Platform Use,clear_llm_access,0,1,high,"""Provides programming language recommendations (C#) to support coding/software development"" is a coding-only tool (excluded category) that is generative."
FERC,Summarization & Policy Analysis for Regulatory Comments (originally Leverage AI in the Rulemaking Process Use Case),clear_llm_access,0,1,high,"Scoped to ""public comments"" on one rulemaking; staff ""ask questions about the comments and receive AI-generated answers"" — narrow single-dataset tool but explicitly confirmed generative despite the agency's NLP self-tag."
