agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
DOJ,Controlled Substances Act (CSA): Automation of Reports and Consolidated Orders System (ARCOS) Data Summarization,clear_llm_access,0,1,medium,"Scoped to one dataset (""automate the validation, summarization, and outlier identification of ARCOS data""); summarization is generative."
DOJ,Controlled Substances Act (CSA): Transaction Data Ranking,clear_llm_access,0,0,high,"""Rank CSA transaction data based on the factors identified"" with a visualization/ranking output -- classical analytics, not generative."
DOJ,Creating and Maintaining IT Security Packages for Authorizations,clear_llm_access,0,1,medium,"Scoped cybersecurity-compliance workflow (""create and maintain security packages for authorizations""); output is ""Generated implementation statements."""
DOJ,Critical Mention,clear_llm_access,0,1,medium,"Single-purpose media-monitoring tool (""Identification of public data""); output is a ""Summary of publicly available information,"" which is generative."
DOJ,DEA Drug Signature Program Models,clear_llm_access,0,0,high,"Chemical-composition classification models for forensic chemists -- classical ML, no chat access, no generated text."
DOJ,Data Call Code Assist Tool,clear_llm_access,0,0,low,"Thin narrative, but the described output is narrow ""Search query terms"" from an admin-automation tool, not broad chat access or clearly generated prose."
DOJ,Deposition Transcript Management,clear_llm_access,0,0,medium,"""Assists with marking up deposition transcripts and video"" is an embedded annotation feature in one product, not generative or general-access."
DOJ,Diagram Creation,clear_llm_access,0,1,high,"Scoped to ""diagrams and illustrations... for use in briefs and as demonstratives,"" a single-purpose tool despite text-prompt input; output is ""GenAI images and diagrams,"" which is generative."
DOJ,EOIR Adjudicator Notice/Order Writing Assistance,clear_llm_access,0,1,high,"Scoped to drafting ""notices and orders for immigration cases"" based on an adjudicator's conclusions, not open-ended chat; drafted documents are generative."
DOJ,Enterprise Telecommunications Information System,clear_llm_access,0,0,high,"""Speech to text"" is a narrow transcription function, not chat access or generation."
DOJ,Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics,clear_llm_access,0,0,high,"Supply-chain risk scoring/dashboards (""risk scores such as FOCI, RCR, Financial Health Risk"") -- classical analytics, not generative or chat-based."
DOJ,Exiger Supply Chain Risk Management - DDIQ Research Engine,clear_llm_access,0,0,high,"Vendor-profile aggregation from open-source data -- same narrow analytics tool as the sibling DDIQ entry, not generative."
DOJ,"Generating Recommendations, Outlines, and Summaries",clear_llm_access,0,1,medium,"Scoped to ""DEA's business operations"" data analysis rather than broad chat access, but ""summaries"" and ""outlines"" are generated content."
DOJ,Generation of Graphs and Charts,clear_llm_access,0,1,high,"Single-purpose tool to ""create charts and graphs by describing the requested data"" for HSTF reporting -- text-prompt driven but scoped to one workflow, and chart generation is generative."
DOJ,Immigration Case and Filing Content Summary,clear_llm_access,0,1,high,"Scoped to summarizing ""voluminous filings in EOIR immigration proceedings"" and case law, not general chat; summaries are generative."
DOJ,Insider Threat Management and User Activity Monitoring,clear_llm_access,0,0,high,"""Identification and prevention of anomalous user behavior"" via ""analytics and predictive models"" is classical UEBA, not generative or chat-based."
DOJ,Inspection Productivity Tool,clear_llm_access,0,1,medium,"Scoped to editing draft OIG reports (""suggested phrases to reword a paragraph""), not broad chat access, but the suggested rewording is generated text."
DOJ,Instructional System Design Online Courses,clear_llm_access,0,1,high,"Single-purpose tool to ""generate images for use in training materials"" -- scoped workflow despite prompt input; image generation is generative."
DOJ,Link Analysis and Chart Creation from Narrative Summaries,clear_llm_access,0,1,medium,"Scoped batch-analysis tool for investigative narratives (""AI batch review of large groups of data sources to identify linkages""); chart/link creation output is generative."
DOJ,Mass Claim Tool,clear_llm_access,0,1,high,"Scoped to RECA mass-claims processing (""template letter generation, claim categorization, and automated data entry""), not general chat; template generation is generative."
DOJ,"Matlab (Forecasting, predictive analytics, data/statistical analysis)",clear_llm_access,0,0,high,"MATLAB used for ""predictive model outputs, statistical analysis... forecasting predictions"" is a classical statistics/programming tool, not chat-style LLM access or generative AI."
DOJ,Narrative Analysis for DOJ MIS,clear_llm_access,0,1,high,"Scoped to one form type (""HSTF forms"") even though it ""would also allow interactive queries... about the data it has summarized"" -- narrow single-dataset assistant, not broad access; summarization is generative."
DOJ,Narrative Analysis for Fusion Desktop,clear_llm_access,0,1,high,"Same pattern as the DOJ MIS narrative tool, scoped to ""Fusion Desktop database"" data only; summarization is generative."
DOJ,Pacer Search,clear_llm_access,0,0,high,"Narrative describes identity verification (""Validate identity... PII about the individual""), not chat access or content generation."
DOJ,Percipio Skillsoft,clear_llm_access,0,0,medium,"Scoped course-recommendation engine (""Helps employees identify relevant training courses""; output is ""Training recommendations"") -- not chat access or generated prose."
DOJ,"R (Forecasting, predictive analytics, data/statistical analysis)",clear_llm_access,0,0,high,Same classical statistics/forecasting tool pattern as the sibling Matlab/Stata entries -- not generative or chat-based.
DOJ,"Stata (Forecasting, predictive analytics, data/statistical analysis)",clear_llm_access,0,0,high,Same classical statistics/forecasting tool pattern as the sibling Matlab/R entries -- not generative or chat-based.
DOJ,Summarization Tool,clear_llm_access,0,1,medium,"Thin narrative (""Summarization""/""Data summarization"") describes a single-purpose summarization tool, not broad chat access, but summarization is generative."
DOJ,Symphony AD-Hoc Batch Processing,clear_llm_access,0,1,medium,"""Translation, transcription, and summarization tool for language processing"" run as ad-hoc batch jobs, not chat access; translation/summarization outputs are generative."
DOJ,Synthetic data generation for software testing,clear_llm_access,0,1,high,"Single-purpose tool (""Synthetic data generation for software testing""), not broad chat access; synthetic data generation is itself generative."
DOJ,Translation tool,clear_llm_access,0,1,medium,"Scoped to translating ""email content and other files"" in USMS/USNCB data stores, not general chat access; translation output is generative."
DOJ,UiPath Document Understanding,clear_llm_access,0,0,high,"Intelligent-document-processing extraction (""extract and interpret data from a wide range of document types... images, PDFs, handwriting"") is classical IDP, not generative or chat-based."
EPA,Document comparison,clear_llm_access,0,0,medium,"Single-purpose tool for ""review and comparison of two documents"" to cut down on templates -- narrow workflow, not generative chat access."
EPA,RelativityOne Gov aiR,clear_llm_access,0,1,high,"Scoped to first-pass FOIA/eDiscovery document review (""identifies potentially relevant documents... using natural language... citations""), not broad chat access; natural-language relevance descriptions are generative."
HUD,"Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use.",clear_llm_access,0,1,high,"""Uses Natural Language Generation (NLG) to implement coded rules and generate draft narratives/memos"" is rules-based templated generation, not arbitrary chat prompting, but NLG output is generative."
HUD,CAISY - Workforce Training Conversation Simulator,clear_llm_access,0,1,high,"Scoped to one training-simulation application (""practice and improve difficult workplace conversations""), not broad staff access, though ""Conversational responses generated by an LLM (Azure OpenAI)"" confirms generative AI."
NRC,"Unified, secure access to multiple advanced AI language models",set_genai,1,1,high,"GSA's USAi platform gives NRC staff broad ""secure access to top AI models"" for research, analysis, and decision-making -- a general-purpose multi-model gateway analogous to M365 Copilot/Gemini Workspace, and inherently generative."
