agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DOJ,Axon,Department of Justice / OIG,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Axon,"No AI utilized.  But, the use case captures raw video and audio footage that are accessed only to the extent needed for prosecution or investigation purposes.  AI functionalities for analysis, voice transcription, and redaction are not utilized or relevant for our use.","This use case does not utilize AI functions.  AI features are included in the product, but have not been installed and not relevant for our use.",No AI system outputs.  Standard outputs are archival raw videos and audio footage.
DOJ,Azure Platform/Tools - Network Routing,Department of Justice / CRT,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Microsoft,Decision and action relating to network routing and load management.,Expected benefits: Helps sustain reliable networks access to CRT networked infrastructure by CRT staff.,Decision and action relating to network routing and load management.
DOJ,Business Form Generation,Department of Justice / FBI,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Manual time-intensive process,Faster FBI operations,Document
DOJ,Camtasia,Department of Justice / CRT,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Dynamic captions use AI tech within the local client software to convert speech to text and produce a transcript file.,The captioning is used based on user preference within their client app.  The producing and retaining a transcript is disabled by CRT IT Policy.,Contemporaneous closed captioning. The transcription saving is disabled.
DOJ,Capture and Convert Structured Data from Scanned Case Documents to Support Advanced Analysis and Trend Forecasting,Department of Justice / DEA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The Targeting & Special Projects Unit (DOIT) has identified a critical need to capture, convert, and process both structured and unstructured text from scanned case documents to support advanced analysis and trend forecasting. This initiative will leverage an optical character recognition (OCR) solution capable of extracting both typed and handwritten content from diverse sources, including medical notes, invoices, and statements.
Captured text will be transformed into a standardized, machine-readable format (e.g., CSV) and integrated into a relational database. From there, advanced analytical techniques will be applied to reveal hidden structures, patterns, and relationships within the data. By unlocking this information, we aim to enhance our ability to anticipate trends, strengthen investigative strategies, and move toward a more predictive, data-driven approach","Save valuable investigative time that can be used to focus on the results of the analysis. Conducting more comprehensive analysis on the data will improve trend forecasting, strengthen investigative strategies, and support a more predictive, data-driven approach.",The anticipated output for this AI use case will include text for documentation and CSV for excel spreadsheet analytical work.
DOJ,Case Management System Integration,Department of Justice / TAX,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Leverage AI capabilities to support case management, such as creating codes for events in cases in order to track their progress and estimating time to completion to help managers evaluate the resource needs of the case.",Reduced administrative overhead and leaner management structure,GenAI text; other precise types of outputs not yet known
DOJ,Code Development,Department of Justice / Department wide,1,0,general_llm,GitHub Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,"GitHub, Microsoft",More efficient writing and maintenance of code.,Improve developer productivity and streamline development lifecycle.,"Coding guidance and suggestions, with the tool providing real-time code completions based on comments and existing code."
DOJ,Controlled Substances Act (CSA): Automation of Reports and Consolidated Orders System (ARCOS) Data Summarization,Department of Justice / DEA,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,"DEA needs a way to automate the validation, summarization, and outlier identification of ARCOS data for further analysis.",To save time and effort of fully manual review of ARCOS data.,Outputs a list of recommendation with validated data with summary information on the detected outliers.
DOJ,Controlled Substances Act (CSA): Transaction Data Ranking,Department of Justice / DEA,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,DEA needs a way to rank CSA transaction data based on the factors identified/calculated as part of a manual analysis.,To reduce time and effort of manually ranking.,"Outputs a data visualization that highlights activity, based on certain factors, and includes a ranking."
DOJ,Creating and Maintaining IT Security Packages for Authorizations,Department of Justice / DEA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Cybersecurity personnel want to automate the identification of security controls that can have implementation statements, create and maintain security packages for authorizations, keep up with compliance requirements, and more quickly onboard new systems and applications.",Reduces costs while enabling use to maintain compliance and consistency,"Generated implementation statements for security packages, reporting, trending, dashboarding"
DOJ,Critical Mention,Department of Justice / EOUSA,1,0,general_llm,Critical Mention,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Critical Mention,Identification of  public data,Reduction in time required to update,Summary of publicly available information
DOJ,DEA Drug Signature Program Models,Department of Justice / DEA,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,"Understanding the manufacturing origin and distribution route of illicit drugs by analyzing the chemical composition of seized drugs is a core DEA task. The purpose of this use case is to use AI/ML techniques to develop, maintain, and improve models that enable designated forensic chemists to identify a notional geographic origin or notional manufacturing route of samples selected for DEA's Drug Signature Programs.",The solution supports designated forensic chemists at DEA to automate analyses and to more quickly identify trend changes regarding drug sample notional geographic origin or notional manufacturing route.,Designated forensic chemists responsible for a particular Signature Program are provided with the model's output - a notional geographic region of origin or a notional manufacturing route of samples -- which these forensic chemists then evaluate along with other available information to better understand drug trends.
DOJ,Data Call Code Assist Tool,Department of Justice / FBI,1,0,general_llm,,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,Redacted for cybersecurity purposes.,,Automating administrative tasks,"Increased efficiency and cost savings, and improved team productivity.",Search query terms
DOJ,Deposition Transcript Management,Department of Justice / TAX,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,LexisNexis,Assists with marking up deposition transcripts and video,"More efficient organization, annotation, and display of transcripts and deposition video",Annotated deposition video and transcripts
DOJ,Diagram Creation,Department of Justice / TAX,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Make effective diagrams and illustrations quickly from text prompts for use in briefs and as demonstratives at hearings and trial,More effective advocacy and reduced time in generating effective illustrations,GenAI images and diagrams based on user's input of data
DOJ,EOIR Adjudicator Notice/Order Writing Assistance,Department of Justice / EOIR,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"To reduce time for EOIR adjudicators to draft notices and orders for immigration cases.  After reviewing the facts in the case and conducting a legal analysis of the issues presented, EOIR adjudicators and legal support staff determine their legal conclusions.  Technology could be utilized to assist in preparation of a draft document for review by EOIR personnel based on the adjudicator's legal conclusions.","Improvement in the quality of writing (grammar, spelling, clarity, conciseness, etc.), as well as improvements to quality of decisions with more robust citations to the relevant facts in the case and the legal authority used to support the legal conclusions. Reduced time for drafting lengthy orders or notices. Reduced time to complete immigration cases.","Suggested templates for notices. Recommendations for case specific draft orders that include citations to the record and relevant legal authority, with embedded links to allow for efficient review and refinement."
DOJ,Enterprise Telecommunications Information System,Department of Justice / FBI,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,Speech to text.,Reduced customer wait time.,text
DOJ,Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics,Department of Justice / JMD,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Exiger,Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture.,Provides DOJ with  analytical risk dashboards and company cybersecurity scorecards which provides DOJ with capabilities to make an informed decisions on whether or not to move forward with the acquisition of a goods/services based on the risks identified during research.,"List of outputs include additional data and risk scores such as Foreign Ownership Control or Influence (FOCI), Reputational Criminal Regulatory (RCR), Financial Health Risk"
DOJ,Exiger Supply Chain Risk Management - DDIQ Research Engine,Department of Justice / JMD,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Exiger,Provides DOJ with capabilities to perform Supply Chain Risk Management assessments to support agency cybersecurity posture.,Provides DOJ vendor profiles that aggregate data from open source repositories using API keys. This data gives DOJ information to make an informed decisions on whether or not to move forward with the acquisition of a goods/services based on the risks identified during research.,"List of outputs include additional data and risk scores such as Foreign Ownership Control or Influence (FOCI), Reputational Criminal Regulatory (RCR), Financial Health Risk"
DOJ,"Generating Recommendations, Outlines, and Summaries",Department of Justice / DEA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"DEA needs a way to analyze unstructured and structured data to support providing recommendations, outlines, data classification, summaries, and other business operation support.",To accelerate insights and tool development to advance DEA's business operations and better serve the public.,Outputs may include visualizations and tables that support efficiencies in administrative functions.
DOJ,Generation of Graphs and Charts,Department of Justice / JMD / OCDETF,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Create charts and graphs by describing the requested data to integrate.,Charts and graphs aide in reporting of HSTF investigations. Enabling this technology will reduce tremendously reduce the time which was used for formatting traditional Microsoft products.,"Recommendation
Provide sample data to create charts and graphs to populate"
DOJ,Immigration Case and Filing Content Summary,Department of Justice / EOIR,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"EOIR legal support staff and adjudicators review voluminous filings in EOIR immigration proceedings, sometimes ranging into hundreds of pages for a single filing, and parties to proceedings do not organize content clearly or at all, which hinders review and processing by EOIR personnel to adjudicate the case. EOIR legal staff organize, review and categorize documentation submitted, and many of these administrative functions could be automated. In addition, EOIR's legal education and training team spends hours reading and summarizing immigration case law to prepare agency trainings and informational materials.","Technological assistance with research so adjudicators and legal support staff may focus their time and attention on utilizing their decision-making skill sets on legal analysis and drawing legal conclusions in an efficient manner. Decrease time and labor required for processing filings, reviewing filings, categorizing cases, and locating relevant content in filings, which improves the efficiency of the immigration proceedings. Decrease time and labor for reading and preparing immigration law trainings and informational materials.","Summaries of court filing contents with references to the source of information within the summary. Tabbing, labeling, and identifying submission types within voluminous court filings. Information pointers to EOIR adjudicators and legal support staff regarding where specific content most relevant to the adjudicator’s inquiry is located within the record. Summaries of immigration case law and other relevant legal authorities."
DOJ,Insider Threat Management and User Activity Monitoring,Department of Justice / EOUSA,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,Identification and prevention of anomalous user behavior too subtle for human detection and analysis,"Usage of this system proactively identifies and prevents costly data breaches, reducing incident response time, and gives EOUSA and the USAO comprehensive insight of user behavior to maintain security and compliance",Analytics and predictive models
DOJ,Inspection Productivity Tool,Department of Justice / OIG,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Reduce the time involved in analyzing draft reports and content recommendations in compliance with published standards, guidance, and rule books.","Quicker turn around for creating reports, analysis of reports to ensure consistency in content and removal of redundancy, and to assist in the management of report length.","Suggested phrases to reword a paragraph and/or identification of errors in statements as they align towards defined standards, guidance, or rule books."
DOJ,Instructional System Design Online Courses,Department of Justice / DEA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,DEA has a mission to protect communities and save lives. The purpose of this use case is to generate images for use in training materials.,To reduce the amount of time and resources needed to develop training aids and graphical inserts for online Computer Based Training (CBT).,Outputs graphical content based on the queries entered by users.
DOJ,Link Analysis and Chart Creation from Narrative Summaries,Department of Justice / JMD / OCDETF,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Linkages are generally identified manually based on human review of unstructured narratives.  This is time consuming.,"AI batch review of large groups of data sources to identify linkages, permiting staff to focus their review and analysis.","Recommmendation
Sample of narrative to identify and create links in correlated data"
DOJ,Mass Claim Tool,Department of Justice / CIV,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Components with mass claims, such as RECA must respond to tens of thousands of similar claims within statutorily defined timelines, or the U.S. forfeits its defenses. Tools to quickly process mass claims, including template letter generation, claim categorization, and automated data entry of standardized filings could meet urgent needs.","(1) Ensures statutory compliance for mass claims processing, protecting the government's legal defenses while providing timely relief to eligible claimants.
(2) Builds on existing RECA program infrastructure and mass claims databases while incorporating specialized medical data handling and privilege protections.
(3) Achievement of statutory processing deadlines; reduced attorney hours per claim; improved consistency in claim categorization; automated template generation; enhanced quality control processes; increased claimant satisfaction through faster processing.","Content Generation, Classifications, Automation: template letters, claim category assignments, automated data entry, standardized filing generation, quality control flags."
DOJ,"Matlab (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths"
DOJ,Narrative Analysis for DOJ MIS,Department of Justice / JMD / OCDETF,1,0,nlp_specific,,a) Pre-deployment – The use case is in a development or acquisition status.,Natural Language Processing (NLP),,,"Will create summaries or precis from large volumes of text narratives submitted on HSTF forms, for both information triage and trend analysis / emerging threat detection purposes. Gen AI would also allow interactive queries (e.g. you ask it questions) about the data it has summarized, and would be transparent (with citations of underlying data as needed).","Provide rapid review of information submitted on DOJ MIS forms, including Investigation Initiation Forms (IIFs) and interim and final updates on open investigations. This will reduce the time necessary during data entry and review for forms and will provide guidance on emerging threat areas which HSTF NCC may use to determine resource allocation or areas for additional study.",Summary of long narrative text (on a per form basis). Summary of trends common across multiple forms' narrative texts.
DOJ,Narrative Analysis for Fusion Desktop,Department of Justice / JMD / OCDETF,1,0,nlp_specific,,a) Pre-deployment – The use case is in a development or acquisition status.,Natural Language Processing (NLP),,,"Will create summaries or precis from large volumes of text narratives submitted on Fusions Desktop forms, for both information triage and trend analysis / emerging threat detection purposes. Gen AI would also allow interactive queries (e.g. you ask it questions) about the data it is summarized, and would be transparent (with citations of underlying data as needed).",Provide rapid review of information submitted as data ingested into the Fusion Desktop database. This will reduce the time necessary during data entry and review and will provide guidance on emerging threat areas which HSTF NCC may use to determine resource allocation or areas for additional study.,Summary of long narrative text (on a per form basis). Summary of trends common across multiple forms' narrative texts.
DOJ,Pacer Search,Department of Justice / PARDON,1,0,general_llm,Aretec SEARCH,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Techsmith,Validate identity,The service provides more confidence that the correct person has been identified,PII about the individual.
DOJ,Percipio Skillsoft,Department of Justice / Department Wide,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Helps employees identify relevant training courses.,Interactive tool customizes learning environments for the workforce's individual needs.,Training recommendations.
DOJ,"R (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths"
DOJ,"Stata (Forecasting, predictive analytics, data/statistical analysis)",Department of Justice / ATR,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Forecasting market conditions using various data sources for economic analyses.,"Provides ATR with the ability to analyze, summarize, synthesize, and manage various data sources and data formats to support economic and statistical analysis of corporation and market conditions. ATR relies heavily on data analytical tools to support micro - and macro-level analysis.","predictive model outputs
statistical analysis
natural language processing
text analytics
forecasting predictions
optimization recommendations
risk analysis scores
anomaly detection 
customer segmentation groupings
decision tree analysis paths"
DOJ,Summarization Tool,Department of Justice / FBI,1,0,nlp_specific,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Natural Language Processing (NLP),Redacted for cybersecurity purposes.,,Summarization,Faster FBI operations,Data summarization
DOJ,Symphony AD-Hoc Batch Processing,Department of Justice / FBI,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,,"Translation, transcription, and summarization tool for language processing",Faster FBI operations,Transcribed and translated language
DOJ,Synthetic data generation for software testing,Department of Justice / FBI,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Synthetic data generation for software testing,Faster FBI operations,test data
DOJ,Translation tool,Department of Justice / USMS,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Provide USMS with the tools that can be integrated with USMS and USNCB data stores such as email content and other files for multiple language translated to English and vice versa.,"The proposed tools are more cost efficient than other software based solutions. In addition, the tool provides significantly more languages beyond those purchased with previous tools.",Translated text
DOJ,UiPath Document Understanding,Department of Justice / USMS,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Reduce errors and delays in manual data interpretation and data entry. Potential for significant time savings, additional security and reliability since staff are not working through multiple applications to get the same task done.","Use case  helps improve customer experience. It simplifies the processing of complex, unstructured data, expediting decision-making processing, onboarding, and servicing. Automating document processing also reduces the risk of errors. By mitigating the risk of human error, data input errors, missed information, and incorrect procedures are less likely to occur. The result is improved compliance, reduced time people spend on rework, and less losses for the agency.","Extract and interpret data from a wide range of document types and formats, including images, PDFs, handwriting, signatures, checkboxes, and tables."
EPA,Document comparison,Region 8,1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,AI-Work,,Review and comparison of two documents,cutting back on the number of templates that we maintain.,text and comparison between two documents.
EPA,RelativityOne Gov aiR,OFA,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"aiR for Review is designed to perform an initial first-pass review in legal case or other document review, such as a FOIA matter. Relativity's ""aiR for Review"" identifies potentially relevant documents, describes why they are relevant using natural language, and demonstrates this relevance using citations from the document.","aiR for Review can improve efficiency in document reviews, potentially enabling the Agency to more quickly and efficiently respond to FOIA and other eDiscovery requests.","Relativity's ""aiR for Review"" identifies potentially relevant documents, describes why they are relevant using natural language, and demonstrates this relevance using citations from the document."
HUD,"Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use.",Ginnie Mae,1,0,nlp_specific,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Natural Language Processing (NLP),Ginnie Mae Reporting and Feedback System (RFS),"Deloitte Consulting, LLC",Ginnie Mae uses Natural Language Generation (NLG) to implement coded rules and generate draft narratives/memos. This application of AI enables processing efficiency and reduces errors that can occur in a manual process.,"The AI solution ensures greater accuracy in reporting, time savings, and eliminates manual steps that are prone to error.",Draft memos/reports
HUD,CAISY - Workforce Training Conversation Simulator,Office of the Chief Human Capital Officer,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Skillsoft,Skillsoft Percipio,"CAISY is designed to solve the challenge of helping employees practice and improve difficult workplace conversations in a safe, realistic environment.","CAISY helps employees practice and receive real-time feedback on workplace conversations.  It offers several real-world scenarios, allowing users to practice skills like resolving customer concerns, sharing constructive feedback, and leading difficult conversations, within a safe learning environment.","Conversational responses generated by an LLM (Azure OpenAI) tailored to the scenario.

Coaching feedback on AI Simulation scenarios

Scenario-specific guidance

Learner performance rating (non-PII, abstract user ID)."
NRC,"Unified, secure access to multiple advanced AI language models",NRC,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,USAi,GSA,"The NRC faces challenges accessing, integrating, and securely managing multiple advanced AI models from different providers. This creates inefficiencies, increases costs, and complicates compliance with federal security standards. The service addresses these problems by providing a single, secure platform for accessing, evaluating, and managing leading AI models, streamlining adoption while ensuring compliance and operational efficiency.","The service enables NRC staff to securely access top AI models, improving research, analysis, and decision-making efficiency. This accelerates regulatory reviews, enhances data-driven insights, reduces costs, and strengthens NRCs ability to protect public health and safety through more effective oversight and communication with stakeholders.","The system outputs include natural language responses, document summaries, data analyses, and semantic embeddings generated by leading AI models."
