agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
VA,VA GPT,set_genai,1,1,high,"Genuine general-purpose internal assistant: employees use it broadly for ""drafting emails, summarizing documents, summarizing meeting notes,"" ""Writing, Research, and analysis"" — arbitrary chat-style prompts, internal FOUO use, agency-wide availability. Missing generative flag was tagger drift."
VA,VBA Mail Management Services (MMS) - Modification,clear_llm_access,0,0,high,"A forms-validation engine, not chat access: ""validates VA forms in front of the user interactively"" and ""Upgrade to QuickSubmit to include a forms validation engine."" Validation is not content generation, so genai=0."
VA,Veterans Life Tailored,clear_llm_access,0,1,medium,"A narrow veteran-facing benefits-recommendation tool, not staff chat access: ""We will suggest benefits with the goal of supporting the application process."" Personalized recommendation output implies generation, so genai=1."
VA,VetsEZ Middleware Development,clear_llm_access,0,1,high,"A coding-only tool excluded from general LLM access by rule: ""Refactor code,"" ""Generate standardized, efficient middleware code,"" ""AI-augmented unit tests."" Clearly generates code/docs, so genai=1."
VA,VistA Records Accessed by SQL (VRAS),clear_llm_access,0,0,low,"Describes a data-access/ODBC modernization initiative, not an LLM chat tool: ""Full AI access to each VistA instance via ODBC/JDBC."" Narrative does not describe any content synthesis, so genai=0 at low confidence."
DHS,AI to generate testable synthetic data,clear_llm_access,0,1,high,"A single-purpose CBP test-data tool, not chat access: ""The AI capability would generate test data without PII."" Explicitly generative, so genai=1."
DHS,AI-Assisted eDiscovery Search,clear_llm_access,0,1,high,"Scoped to one ICE OPLA document-search workflow, not broadly available chat access. Output includes ""summarized content,"" and summarization is generation, so genai=1."
DHS,Administrative & Productivity Support for IRC Resource Library,clear_llm_access,0,1,high,"Scoped to the FEMA ""IRC team"" and its resource library, not agency-wide chat access. Produces ""recovery projects summaries"" and ""recommended approaches"" — generated content, so genai=1."
DHS,Draft Report Generation and Formatting for Investigations,clear_llm_access,0,1,medium,"Note: this row's narrative fields actually describe a contract-duplicate-detection tool (""contract managers having to manually review large numbers of contract records""), not report drafting — likely a source-data misalignment. As described it is a narrow contract-review workflow, not chat access, and it ""produce[s] detailed reports,"" so genai=1."
DHS,Purchase Card Worksheet Analysis,clear_llm_access,0,1,high,"Scoped to one compliance-review workflow, not chat access: ""reviewers having to manually check each purchase card line item."" Output includes ""detailed reasoning with citations"" — generated explanatory text, so genai=1."
DHS,Semantic Search and Summarization for Investigative Data,clear_llm_access,0,1,high,"Scoped to one investigative dataset (""extracting relevant information from large volumes of unstructured investigative data""), not broad chat access. Output includes ""summaries,"" so genai=1."
DHS,"Semantic Search, Summarization, and Data/Spatial Visualization for NCR Watch COP/Dashboard",clear_llm_access,0,1,high,"Scoped to FEMA NCR Watch analysts and one dashboard workflow, not agency-wide chat access. ""AI will deliver configurable summary of sourced material"" — generation, so genai=1."
DOL,EBSA Case File Summarization,clear_llm_access,0,1,high,"Single-purpose EBSA document-intake tool, not chat access: ""Generation of a document's formal title and description of the document's contents"" is explicit content generation, so genai=1."
DOL,Electronic Records Management,clear_llm_access,0,1,high,"Scoped to NARA metadata compliance, not chat access: ""using NLP to classify and summarize documents."" Output is ""NLP Generated Summaries,"" so genai=1."
DOL,Language Translation,clear_llm_access,0,1,high,"A single-function translation tool (""translating documents and communications across multiple languages""), not arbitrary-prompt chat access. Translation produces new text, so genai=1."
DOL,NLP Processing tool for ILAB,clear_llm_access,0,1,high,"Scoped to one report corpus (""evaluation and technical assistance reports""), not broadly available chat access. It ""summarizes and synthesizes"" reports via RAG, so genai=1."
DOL,Note Taking Bot,clear_llm_access,0,1,high,"A single embedded meeting-notes feature (""AUNTEE BOT""), not general chat access. It ""summarize[s] the meeting notes,"" so genai=1."
SSA,AI Comment Analysis,clear_llm_access,0,0,medium,"Scoped to one public-comment review workflow, not chat access: ""making preliminary designations as to whether a given public comment ... contains any of a set of predefined types of flagged content."" Output is designations plus quotations of existing text — classification/extraction, not synthesized content, so genai=0."
SSA,Data Governance Product (DGP) -  Data cataloging and predictive analysis of data assets.,clear_llm_access,0,1,high,"A vendor-embedded data-cataloging feature (Informatica), not staff chat access. It ""facilitates the conversion of plain text into regular expression"" and generates ""data quality rule code"" — generation, so genai=1."
SSA,Training Interaction Simulator,clear_llm_access,0,1,high,"A single vendor training tool (Percipio/Skillsoft) for HR role-play, not broad chat access. ""Users gain practice with simulated conversations and receive constructive feedback"" — generated dialogue/coaching, so genai=1."
SBA,AI-Powered Search and Recovery,clear_llm_access,0,1,high,"Scoped to backup/disaster-recovery infrastructure for IT/SOC staff, not agency-wide chat access. ""AI assistant providing natural language search, classification, and summarization"" — summarization is generation, so genai=1."
SBA,Meeting Minutes Summary Tool,clear_llm_access,0,1,high,"An embedded single-app feature (MS Teams ""Read Assistant""), explicitly excluded as an embedded copilot inside one business app. It provides ""the meeting summary,"" so genai=1."
