agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
DOE,Microsoft Azure Authoring Tools,clear_llm_access,0,0,low,Boilerplate 'N/A'/'automatically integrated' entry with no described chat-style access or generation.
DOE,Microsoft Azure PowerShell,clear_llm_access,0,0,high,A command-line scripting tool; boilerplate 'automatically integrated' entry with no generative capability of its own.
DOE,Microsoft Azure Quantum Elements,clear_llm_access,0,1,medium,"'Accelerate chemistry and materials discovery using AI, HPC, and quantum-ready tools' is a domain-specific scientific-discovery tool (Microsoft markets it with generative molecular-design models), not general chat."
DOE,Microsoft Bing Service,clear_llm_access,0,0,low,Boilerplate 'N/A'/'automatically integrated' entry for an underlying search service; no chat-style access described.
DOE,Microsoft Co-Pilot,set_genai,1,1,high,"M365 Copilot deployment giving 'text answers to input questions' for 'better analytics of data in our microsoft applications' -- per program convention, Copilot/Workspace deployments count as general LLM access and are generative."
DOE,Microsoft Edge,clear_llm_access,0,1,low,"Boilerplate 'automatically integrated' entry; Edge's bundled Copilot sidebar does generate content, but it is embedded in one application rather than an assessed broad chat deployment."
DOE,Microsoft Exchange Server,clear_llm_access,0,0,high,A mail server with no known generative-AI capability; boilerplate 'automatically integrated' entry.
DOE,Microsoft MSPaint,clear_llm_access,0,1,medium,"Windows Paint's bundled 'Cocreator' feature genuinely generates images from text, but it is a single-app image tool, not general LLM text-chat access."
DOE,Microsoft OneDrive,clear_llm_access,0,0,medium,Cloud file-sync client; boilerplate 'automatically integrated' entry with no core generative-content function.
DOE,Microsoft OneDrive MUI,clear_llm_access,0,0,high,"'MUI' denotes a multilingual interface language pack, which has no AI capability at all."
DOE,Microsoft OneNote,clear_llm_access,0,0,low,Boilerplate 'automatically integrated' entry for a base note-taking app; no specific generative feature evidenced.
DOE,Microsoft OneNote MUI,clear_llm_access,0,0,high,"'MUI' denotes a multilingual interface language pack, which has no AI capability at all."
DOE,Microsoft Outlook MUI,clear_llm_access,0,0,high,"'MUI' denotes a multilingual interface language pack, which has no AI capability at all."
DOE,Microsoft Power BI Desktop,clear_llm_access,0,0,low,Boilerplate 'automatically integrated' entry for the desktop BI client; any Copilot/NL-query generative feature is not evidenced here.
DOE,Microsoft PowerPoint MUI,clear_llm_access,0,0,high,"'MUI' denotes a multilingual interface language pack, which has no AI capability at all."
DOE,Microsoft Project,clear_llm_access,0,0,medium,Boilerplate 'automatically integrated' entry for a project-management desktop app; no generative feature evidenced.
DOE,Microsoft ScreenSketch,clear_llm_access,0,0,high,A basic screenshot/annotation tool with no AI capability whatsoever.
DOE,Microsoft Search in Bing,clear_llm_access,0,0,low,Boilerplate 'automatically integrated' entry for a Windows search shortcut; the self-reported 'general_llm' tag is not substantiated by any narrative detail.
DOE,Microsoft Skype App,clear_llm_access,0,0,high,A legacy VOIP/chat client with no generative-AI feature; boilerplate 'automatically integrated' entry.
DOE,Microsoft Teams,clear_llm_access,0,1,medium,"Teams' bundled Copilot (meeting summaries, generative assistance) is a real generative feature, but it is embedded within one collaboration app rather than a broadly-available general chat tool."
DOE,Microsoft Teams Classic,clear_llm_access,0,0,medium,The legacy 'classic' Teams client generally lacks the Copilot features bundled into the current client; boilerplate entry with no specific evidence of generation.
DOE,Microsoft Visual C++ Additional Runtime,clear_llm_access,0,0,high,A C++ runtime redistributable library; it has no AI functionality of any kind.
DOE,Microsoft Visual C++ Minimum Runtime,clear_llm_access,0,0,high,A C++ runtime redistributable library; it has no AI functionality of any kind.
DOE,Microsoft Visual C++ Redistributable,clear_llm_access,0,0,high,A C++ runtime redistributable library; it has no AI functionality of any kind.
DOE,ORNL: AI for Bio and Health Sciences,clear_llm_access,0,0,high,"Output is explicitly 'prediction and classification' -- a classical ML system, not generated text or chat."
DOE,ORNL: AI for Earth Systems,clear_llm_access,0,0,high,"Output is explicitly 'prediction and classification' -- a classical ML system, not generated text or chat."
DOE,ORNL: AI for Materials Science,clear_llm_access,0,0,high,"Output is explicitly 'prediction and classification' -- a classical ML system, not generated text or chat."
DOE,ORNL: Foundational AI Research,clear_llm_access,0,0,high,"Output is explicitly 'prediction and classification', matching the same templated ORNL research-portfolio entries above, not chat or free-text generation."
DOE,PDF Analyzer,clear_llm_access,0,1,high,"Lets users 'upload large PDFs and ask questions and generate content related to those PDFs' -- a document-processing Q&A pipeline bounded to whatever PDF is uploaded, which the decision rule explicitly excludes from general LLM access despite genuine generation."
DOE,PWS Builder,clear_llm_access,0,1,high,"'Quickly and accurately draft performance work statements' is a narrow single-document-type generation pipeline, not general chat access."
DOE,Preventive Maintenance Procedure Development,clear_llm_access,0,1,high,"'Outputs are comprehensive, compliant, and detailed preventive maintenance procedures' -- a narrow document-generation pipeline for one procedure type."
DOE,QuantomVision,clear_llm_access,0,1,low,"'Predict workforce evolution and analyze skills mapping' is workforce analytics scoped to one HR use case, not general chat, though the named OpenAI vendor suggests an LLM performs the underlying text analysis/generation."
DOE,SQL Server Management Studio,clear_llm_access,0,0,low,"Boilerplate 'automatically integrated' entry for a DB admin tool; any Copilot-assisted query generation is a recent, unconfirmed feature here."
DOE,SmartPD Creator,clear_llm_access,0,1,high,"'Create position descriptions' with output 'Position descriptions for federal roles' is a narrow single-document-type generator, not general chat access."
DOE,UNSPSC Codes,clear_llm_access,0,0,high,"'Map requisition items to UNSPSC codes' with output simply 'UNSPSC Codes' is a classification/lookup task against a fixed taxonomy, not generated text."
DOE,VIPER (Visualizaiton for Predictive Maintenance Recommendation),clear_llm_access,0,1,medium,"Provides 'system diagnostic and prognostic results...and root cause explanations' for nuclear-plant maintenance -- narrow domain diagnostic tool that generates explanation text, not general chat."
DOE,Visual Studio Community,clear_llm_access,0,1,low,"Boilerplate 'automatically integrated' entry; Visual Studio commonly bundles GitHub Copilot code-completion/chat, a real but coding-scoped generative feature, not general chat access."
DOE,Visual Studio Enterprise,clear_llm_access,0,1,low,"Boilerplate 'automatically integrated' entry; Visual Studio commonly bundles GitHub Copilot code-completion/chat, a real but coding-scoped generative feature, not general chat access."
DOE,Yurts AI search function,set_genai,1,1,medium,"Explicitly 'Chat and search with ability to modify responses to fit the users needs (i.e. tone and formality)' across 'data in various silos' -- broad conversational access spanning multiple internal datasets, not one narrow workflow."
DOE,xAI Grok Pilot,set_genai,1,1,high,"Described as 'general answers to questions, summarized documentation, document creation, general research' for 'general knowledge and business productivity' -- a textbook general-purpose LLM chat pilot."
