agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
NASA,Space Precision Health Foundation Model,ARC: Ames Research Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,This project aims to leverage data available within the NASA Open Science Data Repository to train a model or set of models that can predict patterns related space health outcomes.,These models developed will enable the scientific community to better understand how biological systems respond to spaceflight stressors and inform mission planners.,"This system will be able to generate predictions related to space precision health. For example, it could predict possible drug targets or cellular states."
NASA,TxP: Federated Data Discovery and Content Creation (FDDCC) KDP-Formulation (ITMX),JSC: Johnson Space Center,1,0,general_llm,Aretec SEARCH,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The FDDCC project is guided by a set of core objectives aimed at transforming how data is accessed, managed, and utilized across the agency. These objectives focus on enhancing data discoverability, ensuring secure access, improving system scalability, and fostering a user-centered experience.","NASA has amassed a significant trove of data that holds the potential to drive advancements across numerous domains. However, the organization faces significant challenges in harnessing this potential. Much of its valuable data remains trapped within isolated legacy systems, creating silos that hinder efficient access and use. This segmentation is further complicated by the dual locations of these systems – both in the cloud and on-premises – with each presenting its unique set of access challenges due to firewalls, security control boundaries and other barriers. Numerous distributed systems within NASA provide localized search functions for their specific datasets. These capabilities, which cater to both structured and unstructured data, highlight the latent potential and need for a comprehensive approach that can unify and streamline data and information access across the entire organization. By developing a unified search interface, implementing robust identity and access management, creating a comprehensive data catalog, and building a scalable infrastructure, the FDDCC project seeks to empower users to efficiently find, access, and manage data. Additionally, the project emphasizes user satisfaction through continuous feedback and iterative improvements, ensuring that the platform meets the evolving needs of the agency.",a unified search interface
USDA,AI-Enhanced Qlik Reporting for FSIS Data,Food Safety,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Need deeper insights from Food Safety Inspection Service (FSIS) datasets by identifying trends, anomalies, and predictive indicators that inform decision-making.",AI-enhanced insights for Food Safety Inspection Service data. Faster and more informed decision-making. Supports AI inventory and budget planning.  Governance and tool rationalization.,Outputs SQL queries and executes them securely.
USDA,AR-Enabled Mobile App for Policy and Regulation Review,Food Safety,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Enables inspectors to perform remote dispositions and receive training in real-time, hands-free.","Reduced travel time and costs, especially in hard-to-staff or remote locations. Expanded inspection coverage through flexible deployment of remote veterinary oversight. Improved job satisfaction and retention by minimizing travel burdens and offering modern tools. Enhanced training and support via real-time remote guidance from experienced veterinarians.",A custom mobile application for inspection personnel.
USDA,Automating ATO/POAM documentation,Food Safety,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Need for enhanced cybersecurity visibility, response time, and documentation efficiency.",Improved cybersecurity visibility. Faster response time to threats. Greater documentation efficiency. Stronger governance and compliance.,Text-based security Documentation.
USDA,Forest Plan review and planning support,Natural Resources and Environment,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Google,Opportunity to increase business productivity related to forest plan reviews by analyzing data and information at a rapid pace,"Speeding up analysis of data, improving service for public, and mission area enablement.",Outputs data analysis and extracted information
USDA,Image generator for presentation support,Marketing and Regulatory Programs,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,There are often scenes of field work that are difficult to photograph for use in educational presentation. AI has been used to generate images that approximate those field operations.,Provides a tool that improves the training of staff and educating agricultural stakeholders.,The AI generates an image that can be saved as a JPEG file for use in standard presentation software.
USDA,NRE FS Customer Relationship Manager New Hire Experience (NRE FS CRM NHE) CSAM ID 2639,Natural Resources and Environment,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,NRE FS Customer Relationship Manager New Hire Experience (NRE FS CRM NHE),Salesforce,"There is a need for assisting end users in human resources, business and finance solutions, or processes and procedures",Provide guidance and assistance to the end user.,"Self help outputs text-based information and solutions for human resources, business and finance needs."
USDA,Portfolio Approval and Management (PAM) Bot,"Research, Education and Economics",1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,The purpose of the model is to improve the Economic Research Service (ERS) research approval process.,"The system reduces the time it takes to fill out information and seek approval, improves information accuracy, and brings visibility to the approval status across various division functions.","The system provides three outputs: the approval status, summary recommendations, and generated citations."
USDA,ProcureSight,Departmental Administration,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,,ProcureSight,The primary use is to assist with market research and responsibility determination.,"This is a free solution and it use will increase procurement professional productivity as ProcureSight transforms public datasets from SAM.gov and USASpending, enabling users to perform highly precise searches against this public procurement data. This is cost saving and improving government efficency.",The system outputs search results
USDA,Public Comments Analysis,Office of the Chief Information Officer,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Public comments analysts are overburdened with processing large volumes of public comments. This delays regulatory review and burdens policy staff.,Automation of tedious and repetitive tasks reduces cost and increases speed and efficiency when addressing public comments,Outputs are CSV files containing extracted comment information necessary for analysts to address issues and recommendations
USDA,Rapid Drafting of ARS Research Summaries,"Research, Education and Economics",1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"The purpose of this tool is to summarize ongoing research from internal Agricultural Research Service (ARS) documents to allow program staff to efficiently understand ARS research outputs and create accurate and timely summary documents, such as briefing papers, talking points for leadership, and speeches.","This system will give staff more time for higher-priority duties, and leadership will be able to more confidently answer questions, justify budget requests, and ensure that our research is innovative and relevant.",Natural language text summarizing relevant content from the document database.
USDA,Recreation One Stop use of AI,Natural Resources and Environment,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Recreation.gov,Booz Allen Hamilton,"There is an administrative burden in booking sites and planning trips to Forest Service land. Recreation One Stop is a tool to support bookings and provide alternatives where there is no availability, provide awareness via recommendations of various inventories to support trip planning, and to capture large amounts of content into a summarized version for easier readability within ratings and reviews.","Benefits to the public include improved customer service, increased occupancy rates at federal campgrounds, greater stewardship of natural resources and the environment, and removing barriers to the American public in support of Executive Order 14179.","Some expected AI system outputs include personalized recommendations, ratings and reviews summaries, and filtered user interfaces that enable users to search for campgrounds and campsites activity."
USDA,TreeSearch,Natural Resources and Environment,1,0,general_llm,Aretec SEARCH,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Google,"There is opportunity to streamline the usability of the US Forest Service (USFS) TreeSearch website, the primary database for Forest Service-sponsored research.","Currently, Forest Plan Revision team members would search the USFS TreeSearch database of over 60,000 documents manually to find relevant publications to support their work. This AI solution would expedite the team's research process by providing quick, accurate, and context-aware answers from multiple sources.",Provides conversational outputs through an AI Chatbot with a Human In The Loop (HITL) performing final data checks and quality assurance.
USDA,Turbo plan,Natural Resources and Environment,1,0,general_llm,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Wildfire.org,Accelerating environmental planning with tools and services to achieve the Wildfire Crisis Strategy with specific focus around National Environmental Policy Act planning and appraisal process optimization.,"Meet and exceed the Wildfire Crisis Strategy, accelerate the pace and scale of preparedness planning before a catastrophic wildfire, reduce the time and cost of planning, standardize the planning process, reduce planning barriers",Optimized planning document
USDA,Voiceover App,Office of the Chief Information Officer,1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Recording audio for videos (onboarding, educational materials, etc.) is costly and time consuming.",Reduces labor hours and cost required to record and edit spoken audio,Audio file of an individual speaking the text script that was provided as input
SEC,AI Chart Generation,"Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)",1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Our solution uses AI to generate chart code to automatically render interactive data visualizations for various chart types.,This will give Staff new data visualization capabilities as well as save Staff time by not having to research how to create various chart types and features.  This could also enhance the quality of SEC published reports and data visualization content on sec.gov.,Output primarily consists of chart related json objects formatted according to the Highcharts.js API
SEC,Augmenting cyber threat alerts on the ACES platform with ACES's specific information.,Office of Information Technology (OIT),1,0,general_llm,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,ACES,,The current Cyberthreat alerts on the ACES platform are difficult to understand and we often see false positives relative to new use cases.,"The current Cyberthreat alerts on the ACES platform are difficult to understand and we often see false positives relative to new use cases. 

We would like to run the alerts through a RAG-enabled AI model to:
 Add SEC specific guidance and context to the emails based on a curated knowledge base.
 Provide more guidance on how to respond to the alert.
 Make the notification email easier to read and understand.",The AI system will output the cyberthreat alert along with information on the context of the threat in the SEC environment.  It will summarize the information and provide suggested guidance in a more readable format.
SEC,Create description of documents for records management in sharepoint,Office of the Chief Operating Officer (OCOO),1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Creating descriptions and other record keeping metadata on documents.,Reduce the amount of time manually writing descriptions of documents.,The AI system creates metadata for documents stored in SharePoint.
SEC,Creating AI generated images,"Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)",1,0,general_llm,Aretec SEARCH,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,SEARCH,Elder Research,Facilitate the use of models for AI generated image creation,"Cost savings, efficient use of time for creating stock images for presentations, keeping up with state-of-the-art technologies.",Image response is in direct response to users individual request.
SEC,Public Website Search,Division of Examinations (EXAMS),1,0,general_llm,Aretec SEARCH,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,This application summarizes a public website and allows staff to ask natural language questions about the contents of the website.,This application will streamline analysis of public websites which will improve efficiency and risk analysis during examinations.,This application provides summarizations and responses to questions based on the contents of a public website.
SEC,Rule and Comment Organization and Summarization,"Division of Trading and Markets (TM), Office of the Chief Data Officer (OCDO), Division of Economic and Risk Assessment (DERA), Division of Investment Management (IM), Division of Corporation Finance (CF)",1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Downloading, navigating, searching, and understanding comments and rule filings can be slow and burdensome using existing tools.","The tool aims to ease these burdens of downloading, navigating, searching, and understanding comments and rule filing. In particular, AI is used to summarize individual comments, rule proposals, and overall subject matters to promote the understanding of vast quantities of unstructured data, i.e. text.",The tool generates summaries and summaries of summaries using LLMs.
SEC,Semantic Layer Natural Language Query,"Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)",1,0,general_llm,unspecified,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,This use case prepares data for use by AI and then enables users to query data with AI without having to write code.,Make agency enterprise data more accessible to business users for mission purposes.  The analytical power of insights drawn from enterprise data will be enhanced by AI.,"The system outputs data, SQL code, and narrative about how the data and code was generated. It also provides metadata including data dictionary, table descriptions, entity-relationship diagrams, and more."
SEC,Streamlining initial research,"Division of Enforcement (ENF), Division of Examinations (EXAMS)",1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Initial research steps in examinations and enforcement matters requires marshalling many different data sets, for which AI can improve efficiency.","Expected benefits may include improving efficiency by automating previously manual steps, improving risk identification, and optimizing use of resources.","This tool will search, retrieve, organize and summarize information across multiple systems."
SEC,Use natural language to query crypto market data and create on demand visualizations with prepopulated thresholds,Office of the Chief Data Officer (OCDO),1,0,general_llm,,a) Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,The AI simplifies the process of creating data visualization for crypto market data.,Simplifying crypto market data pulls and visualizations will help streamline the agency's review of crypto-related products.,Crypto market data visualizations which are used as part of a comprehensive review of crypto-related products.
DOI,BIA-GEO Assist,BIA,1,0,general_llm,,Pilot  The use case has been deployed in a limited test or pilot capacity.,Generative AI,,,"The Branch of Geospatial Support (BOGS) and Regional Geospatial Coordinators (RGCs) offer technical support to BIA and Tribal GIS users that participate in the DOI Enterprise Licensing Agreement (ELA). The BOGS ELA Helpdesk Coordinator and RGCs allocates several hours per week to address helpdesk submissions that are rudimentary in nature and/or concerning licensing offered and the process and requirements for participation in the ELA.

RGCs allocate significant amounts of their time to the creation of Map layouts to provide data products to BIA, stakeholders and Tribes. We would like to expand the use of this tool

to see if it can be customized to reference data sets maintained by DRIS to automate the creation of these maps in a predefined template to eliminate the workload of map creation from existing data.

This tool also has the potential to assist with responding to FOIA requests, Our Division answers or collaborates on numerous FOIA requests each year. I would like to develop an internal version that could scour a FOIA repository to determine if this request is a duplication of a previous request and have it provide the dataset that was provided as a response.",Reducing the number of basic questions concerning rudimentary processes and/or general licensing and eligibility question will reduce the number of hours spent on helpdesk tickets and allow the RGCs ELA helpdesk coordinator to focus more time on managing,"Answers to user questions are generated by summarizing the results obtained from web queries that reference the predetermined web references built into the custom HTML code that was used to create the tool. However, we would like to explore expanding the tools capabilities to query internal data sources to automate the production of GIS products based on pre-approved public data. We would also like to utilize this tools functionality to scour past FOIA requests and their associated responses to determine if a duplicate

request has been received and provide the dataset or decision made for the previous FOIA request or a determination that the current request is unique in nature."
DOI,Comprehensive Condition Assessment,USGS,1,0,general_llm,,Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,Find deficiencies in our real property assets and to formulate reports from field and machine gathered data for the purpose of making a deferred maintenance backlog and for capitalized planning on real property assets in the USGS,"Saving staff time, travel costs, and will speed report creation to address maintenance needs in a more timely manner",maintenance logs and reports
DOI,Forecasting Earthquake Ground Motion Time Series [2024 INV#WO0000000109733],USGS,1,0,general_llm,,Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Development of a deep learning models to generate earthquake ground motion time series for potential application to Earthquake Early Warning, Operational Aftershock Forecasting, and the National Seismic Hazard Model.","Improved Earthquake Early Warning, Operational Aftershock Forecasting, and the National Seismic Hazard Model",Generate earthquake ground motion time series
DOI,GraphRAG Comment Analysis and Management Solution,BLM,1,0,general_llm,,Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"Comment analysis - identifying and binning comments from the public.  Will intake comments from a variety of sources and AI then breaks them down by issue area.  Anticipate training that model with NEPA projects, rulemaking, and public comments on a draft document.",Speed of comment response.  Handle the responses and consolidate responses.,"Analysis, binning, categorization, and responses."
DOI,User guides/training provided in chat form,BLM,1,0,general_llm,,Pre-deployment  The use case is in a development or acquisition status.,Generative AI,,,"We have multiple systems with multiple user guides that are 200 plus pages. Additionally, we have a significant amount of training material. Our customer survey responses always identify that they are not usable because they are so dense and they are often needed in the field, i.e., they are too cumbersome to download and read on tablets and phones. I would like them to be available to the AI as source material so that our users can ask specific questions. I want to do this without having to rewrite and format the PDF documents. The applications are only for internal users, and the documentation is not considered sensitive. If this use case works, I have other documentation I would like to also consider in the future.","We have 10 applications, each with user guides that range from minimal to over 200 pages. This will create efficiency by helping the staff finding relevant information when needed. This should reduce the amount of training material and user guides created",Recommendation for the business user on how to accomplish their tasks in an efficient and accurate way.
NARA,A1 Museum AI Project,National Archives & Records Administration (NARA),1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Exhibit Personalization System (EPS),Cortina,The AI is intended to solve the problem of limited document discoverability and intensive manual labor by using automated tagging to personalize the visitor experience and make millions of digital records instantly accessible.,"NARA will use AI generated tags and topics to recommend and make records available to visitors from a pool of approximately 2 million digital records, freeing up staff time and enhancing and personalizing the user experience for A1 museum visitors.",This AI use provides enhanced visitor access to NARA records through an easy-to-use interface that identifies NARA records based on visitor responses to a chatbot conversation.
NARA,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,National Archives & Records Administration (NARA),1,0,general_llm,,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,N/A,N/A,The AI is intended to solve the problem of manual processing bottlenecks and privacy risks by automating the identification and redaction of sensitive personal information within massive digitized collections to ensure safe and rapid public access.,"NARA is using AI to automatically find and remove sensitive personal information from its digitized historical records. This will make the process faster, more accurate, and better protect privacy while allowing for greater public access to these records. The AI will also help NARA manage its vast collection and adapt to future privacy needs.","This AI use case will produce redacted records, a prioritized list for redaction, and a tool for staff to redact unpublished records."
NARA,Auto-fill of Descriptive Metadata for Archival Descriptions,National Archives & Records Administration (NARA),1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"The AI is intended to solve the problem of the ""descriptive gap"" created by labor-intensive manual cataloging by automatically generating metadata and summaries from document content, allowing NARA to process massive backlogs and make millions of records instantly searchable for the public.","NARA is using AI to automatically create descriptions (metadata) for its digital archives. This will save archivists time, make records easier to find, and help the public better understand the information in the National Archives Catalog.","This AI use case will create more complete and informative descriptions for records, making them easier to find in the National Archives Catalog."
NARA,Automated Data Discovery and Classification Pilot,National Archives & Records Administration (NARA),1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"The AI is intended to solve the problem of inefficient manual data governance and risk assessment by testing automated data classification techniques to organize unstructured datasets, accelerate information discovery, and more accurately identify potential security or privacy vulnerabilities.","NARA plans to test how well AI can automatically organize and categorize its data. This pilot project will help NARA understand its data better, find information faster, improve efficiency, and manage risks more effectively.","This AI pilot will categorize data, improve search, and potentially train AI to identify new document types."
NARA,Topic Summarizer and Entity Extraction using AI,National Archives & Records Administration (NARA),1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"The AI is intended to solve the problem of unsearchable digital collections caused by massive descriptive backlogs, automating the creation of metadata for billions of digital objects to ensure they are immediately discoverable and understandable for the public without years of manual archival processing.",NARA plans to use AI to automatically create descriptions for its digital objects. This will free up archivists' time and make it easier for people to find and understand the digital materials in NARA's system.,This AI use case will output enriched metadata making NARA's digital assets more accessible and easier to manage.
FRTIB,AVA,Agency Wide,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Converge,Accenture Federal Services (AFS),Assist with participant questions,Help participants answering questions about the TSP,Answers questions about the TSP that participants may have
FRTIB,Contact Center AI,Agency Wide,1,0,general_llm,Aretec SEARCH,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Converge,Accenture Federal Services (AFS),Assist participant Service Representative interaction with plan participants,"Help with knowledgebase search, transcription and scripts","Transcriptions, knowledge articles"
FHFA,Public Comments Summarization and Topic Classifications Pilot Project,DBR,1,0,classical_ml,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,,,,,
