canonical_name,verdict,categories,gen_ai,confidence,reason
COREII,confirm,genai_platform,1,low,"Generative AI capability inferred from name and gen-AI hint."
Canon Alphenix Angio Workstation,confirm,vision,0,medium,"Angiography workstation with AI-assisted image processing (vision)."
Canva,confirm,assistant,1,low,"Magic Studio provides an embedded generative design assistant."
CareCentra,confirm,none,0,low,"Behavioral-health predictive nudges; no listed capability."
Carestream CS 9600,confirm,none,0,low,"Dental CBCT scanner hardware; no distinct AI capability."
CargoNet,confirm,none,0,low,"Cargo-theft data aggregation and predictive analytics outside vocabulary."
CaseGuard,confirm,vision|speech,0,low,"Redaction detects faces/objects (vision) and PII in audio (speech)."
Cell Hawk,confirm,none,0,low,"Call-detail-record parsing/visualization; no vocabulary capability."
ChatGPT,confirm,genai_platform,1,high,"General-purpose conversational LLM surface."
Cisco,confirm,none,0,low,"Bare vendor name with no product specificity."
ClassifAI,confirm,doc_processing,1,low,"Document classify/process tool; sparse evidence, gen-AI hint tentative."
Claude,confirm,genai_platform,1,high,"General-purpose LLM chat/API surface."
Claude Code,confirm,assistant,1,high,"Embedded generative coding agent."
CoCounsel,confirm,assistant|search,1,high,"Generative legal assistant with retrieval-based research."
Cogitativo,confirm,none,0,low,"Healthcare data-science services with no specific listed capability."
Commonlook Online,confirm,none,0,low,"PDF accessibility remediation; no listed AI capability applies."
Conductor Conduit AI,confirm,nlp,1,low,"Document-review/litigation platform applying NLP with generative features."
Credal,confirm,genai_platform,1,high,"Secure enterprise gen-AI platform (LLM gateway, RAG, agent building)."
CrewAI,confirm,genai_platform,1,medium,"Framework orchestrating multi-agent LLM workflows."
Custom In-House AI,confirm,none,1,low,"Heterogeneous agency-built umbrella including generative builds; no single category."
DALL-E,confirm,genai_platform,1,high,"Generative image model serving novel images from prompts."
DEA GenAI R&D Sandbox,confirm,genai_platform,1,high,"R&D environment to test/prototype generative AI (LLM platform)."
DOE OGC Docket Database,confirm,none,0,low,"Docket-tracking database; no AI capability described."
Databricks,confirm,ml_platform|assistant,1,high,"Data-science/ML platform plus embedded Assistant/Genie."
Dataminr First Alert,confirm,nlp,0,medium,"Detects events by analyzing public/social text streams."
DeepEMhancer,confirm,none,0,low,"CryoEM density-map denoising/sharpening; image enhancement, not analysis."
Democratizing Data,confirm,nlp,0,low,"ML text/entity extraction to identify dataset usage."
Dentsply Sirona CEREC,confirm,none,0,low,"Dental CAD/CAM system; no distinct listed AI capability."
Digital Science Dimensions,confirm,search,0,low,"Research publication database with AI-assisted search."
Doble Test Assistant,confirm,none,0,low,"Electrical test-data analysis with no vocabulary capability."
DocketScope,confirm,nlp,0,low,"Analyzes regulatory docket comments/documents (text analytics)."
EDAV (CDC),confirm,ml_platform,0,low,"CDC enterprise analytics environment supporting data-science/ML workloads."
ELIS,confirm,none,0,low,"USCIS case-management core; AI lives in named sub-services."
EPA Agency Records Management System,confirm,doc_processing,0,low,"Records system inferred to classify/process document records."
EPA RCRA PA,confirm,none,0,low,"Risk-scoring analytics for inspections; no vocabulary capability."
ERNIE Radiological Detection,confirm,none,0,low,"Analyzes radiation portal spectra, not images/text; no listed class."
Edwards Acumen Hypotension Prediction Index,confirm,none,0,low,"Clinical ML prediction index; no vocabulary capability."
Elsa (FDA),correct,genai_platform,1,high,"Standalone agency-wide general-purpose GPT surface — same class as BillieGPT/CISAChat, so genai_platform not embedded assistant."
Emerald Innovations,confirm,none,0,low,"Insufficient detail to assign a capability."
EnerGPT,confirm,genai_platform,1,medium,"Domain generative AI chat surface tuned for energy queries."
Equifax Background Screening,confirm,none,0,low,"Background-verification data automation; no vocabulary capability."
Everlaw AI Assistant,confirm,nlp,1,medium,"Ediscovery AI classifies/reviews documents with generative assistance."
Expert.ai Cogito,confirm,nlp,0,high,"NLP engine that tags and classifies research articles."
FBOP Pathfinder,confirm,none,0,low,"Career-pathways recommendation tool; capability outside the vocabulary."
FDA Annual Report CMC Extraction,confirm,doc_processing,0,medium,"Extracts CMC changes from documents; extraction, not generation."
FDA HIVE AI Pilot,confirm,genai_platform,1,low,"Generative-AI pilot for IND review; LLM platform inferred."
FDA Real World Data/Evidence Identification,confirm,doc_processing|nlp,0,medium,"Identifies/classifies unstructured submissions containing RWD/E."
FERC Zvolvant Interconnection Assistant,confirm,assistant,1,low,"Assistant supporting interconnection request responses, inferred generative."
FERC Zvolvant Market Surveillance,confirm,none,0,low,"Market-surveillance/fraud-detection analytics; no vocabulary capability."
FINDER (ATF),confirm,search,0,low,"Sifts/searches violent-crime and firearms data (search/retrieval)."
FLIR 280 HD,confirm,none,0,low,"Thermal imaging camera hardware; no productized AI analysis."
FOIAXpress AI,confirm,doc_processing,1,low,"FOIA document processing with redaction and likely generative summarization."
