canonical_name,categories,gen_ai,confidence,reasoning
Ginnie Mae Counterparty Risk Anomaly Detection,none,0,medium,"Anomaly-detection analytics over counterparty risk data — data-science analytics outside the capability vocabulary."
Nuance Dragon,speech,0,high,"Professional speech-recognition and dictation product family."
Nuance PowerScribe One,speech,0,high,"Radiology speech-recognition reporting product; core capability is dictation despite the gen-AI hint."
USDA Bugnet,vision,0,medium,"Detects and maps insect/disease tree damage from imagery — image-analysis capability."
USDA Oregon State Forest Mapping,vision,0,medium,"Builds forest-structure maps from satellite imagery plus survey data — remote-sensing image analysis."
Abbott OPTIS Imaging,vision,0,low,"OCT medical imaging system; the extent of productized AI image analysis is unclear from the record."
ARC Travel Intelligence,none,0,medium,"Commercial air-travel data analytics for investigations — investigative data product outside the vocabulary."
Alteryx,ml_platform,1,medium,"Self-service analytics/data-science platform with AutoML (Intelligence Suite) and generative AiDIN assistant features."
Articulate 360 AI Assistant,assistant,1,medium,"AI assistant embedded in the Articulate course-authoring workflow, generating training content and audio."
Avicenna.AI CINA,vision,0,high,"Commercial CT triage AI that detects critical findings in medical imaging."
Babel Street Babel,nlp|search,0,medium,"Multilingual OSINT platform providing cross-lingual search plus text analytics (entity, sentiment) over public data."
BioRender,assistant,1,low,"Scientific diagramming tool with an embedded AI assist that generates figures from prompts; AI capability is peripheral to the product."
Boston Scientific Preventice BodyGuardian,none,0,medium,"Wearable cardiac monitor with ML ECG analysis — physiological signal analytics outside the vocabulary."
Butterfly iQ Ultrasound,vision,0,medium,"Handheld ultrasound with AI-guided image acquisition and interpretation aids — medical imaging AI."
CMS AI Agent Orchestrator,genai_platform,1,medium,"Noblis-built POC that orchestrates generative AI agents for CMS analytics — an agent-serving platform."
Calendly,none,0,high,"Scheduling tool; 'AI-enabled' marketing does not map to any vocabulary capability."
Zeiss CLARUS,vision,0,low,"Fundus imaging camera; classed with medical imaging but the productized AI analysis component is unclear."
Chainalysis,none,0,high,"Blockchain/cryptocurrency investigation analytics — outside the capability vocabulary."
Clirio,none,0,medium,"AR visualization app used with HoloLens for inspection training — no vocabulary AI capability."
Cohesity,none,0,high,"Data backup/management and security product; no vocabulary capability in evidence."
Credal,genai_platform,1,high,"Secure enterprise gen-AI platform (LLM gateway, RAG, agent building) sold to government customers."
ClassifAI,doc_processing,1,low,"DHS/Starlo document-AI tool that appears to classify/process documents; sparse evidence, gen-AI hint followed tentatively."
LANL AI Portal,genai_platform,1,medium,"Los Alamos internal portal providing staff access to LLM chat/models — a general LLM surface."
FBOP Pathfinder,none,0,low,"Employee career-pathways guidance tool; the underlying AI capability (recommendation) is outside the vocabulary and details are thin."
GrantSolutions,none,0,low,"Grants-management platform; snippets give no evidence of a specific vocabulary AI capability."
Dynatrace,none,0,high,"Observability/AIOps platform (Davis AI); IT-operations anomaly detection is outside the vocabulary."
Scopus AI,search,1,high,"Elsevier's generative-AI research discovery tool — semantic search over Scopus with LLM-generated summaries."
Esri ArcGIS AI,vision,0,medium,"ArcGIS GeoAI's productized capability is deep-learning feature extraction/object detection on satellite and aerial imagery; plain GIS alone would be none."
FDA IND Safety Reports OCR,doc_processing,0,high,"OCR/AI extraction of FAERS data from IND safety report documents."
Flock Safety,vision,0,high,"License-plate-reader camera network with AI vehicle recognition and analytics."
Genetec Security Center,vision,0,medium,"Physical-security platform whose AI component is video analytics over camera feeds."
Grammarly,assistant,1,high,"Writing assistant embedded in user workflows, with generative rewrite/compose (GrammarlyGO) on top of grammar NLP."
HHS FITARA Tool,doc_processing,0,low,"Deloitte-built FITARA compliance tool typed as document AI; capability inferred from type with thin evidence."
HRSA AI Audit Resolution Assistant,assistant,1,medium,"Mindpetal-built AI assistant on UiPath that helps resolve Provider Relief Fund audits within the workflow."
Hyperscience,doc_processing,0,high,"Rubric-listed intelligent document processing platform."
Custom In-House AI,none,1,low,"Umbrella entry for heterogeneous agency-built AI spanning many capabilities; no single category can honestly be assigned, and the grab-bag includes generative builds."
Knowtex Ambient Scribe,speech,1,high,"Ambient clinical scribe: speech-to-text capture of encounters with generative drafting of clinical notes."
Lantheus aPROMISE,vision,0,high,"AI analysis of PSMA PET/CT medical images for lesion quantification."
Leica Aivia,vision,0,high,"Machine-learning object classification and segmentation for microscopy imaging."
LibreChat,genai_platform,1,high,"Open-source general-purpose LLM chat interface fronting multiple model APIs."
MIT Lincoln Lab Speech Translation,speech|translation,0,high,"Automates transcription and translation of Spanish and Mandarin audio — both capabilities productized."
MaxQ AI CT CoPilot,vision,0,high,"AI detection of intracranial hemorrhage on CT medical imaging."
Llama,genai_platform,1,high,"Meta's open-weight generative LLM family; the gen-AI hint of 0 is wrong — Llama is unambiguously a generative model platform."
NARA A1 Museum AI,vision,0,low,"Cortina exhibit-personalization system typed as computer vision (visitor sensing), but the record is too thin to be sure of mechanism or generative use."
NIH Grants Virtual Assistant,chatbot,0,medium,"Google-built task-specific virtual assistant answering grants questions — a dialog-flow virtual agent."
VoiceAtlas,chatbot,0,medium,"Navteca's no-code chatbot/voice-assistant framework — a bot-building product, not a general LLM surface."
OATI webSmartTag,none,0,high,"Transmission scheduling/e-tagging product for energy markets — no vocabulary AI capability."
ModelAngelo,vision,0,low,"Deep-learning automated atomic-model building from CryoEM density maps — 3D image interpretation, though it sits at the edge of the vision class."
PDRI Remote Proctor,vision,0,medium,"Camera-based ML monitoring of candidates for remote exam proctoring."
Penlink,none,0,low,"Communications-records and OSINT investigative platform; specific vocabulary AI capability not evidenced in the record."
Plexis Quantum Choice,none,0,medium,"Claims adjudication and benefits-administration platform with rules/ML — decision analytics outside the vocabulary."
ProcureSight,none,0,low,"Procurement market-research analytics tool; possible AI search features but no evidence in the record."
Quantaero Marine Wildlife AI,vision,0,high,"AI detection of marine wildlife in aerial survey imagery for offshore energy reviews."
RaySearch RayStation,vision,0,medium,"Radiotherapy planning system with deep-learning auto-segmentation of medical images."
RedSeal,none,0,high,"Network security posture modeling — cybersecurity analytics outside the vocabulary."
Riverain ClearRead CT,vision,0,high,"FDA-cleared AI detection of lung nodules on CT medical imaging."
SITE Intelligence Group,none,0,high,"Threat-intelligence subscription content service, not an AI capability product."
Skillsoft Percipio CAISY,chatbot,1,medium,"AI conversation simulator for practicing workplace conversations — a task-specific generative dialog agent."
Sonic Incytes Velacur,vision,0,medium,"Liver ultrasound elastography device with AI-assisted image quantification."
Sprout Social,nlp,1,medium,"Social listening with sentiment/text analytics, plus generative AI Assist for composing posts."
Systran Translate,translation,0,high,"Systran's machine translation product."
TekSynap SimplifAI,genai_platform,1,high,"Commercial generative AI platform sold to federal customers per its own description."
ThruVision TAC 16,vision,0,medium,"Passive terahertz body scanner using AI detection of concealed objects in sensor imagery."
RAIO AI Interview Simulator,chatbot,1,medium,"Generative conversational simulator that lets RAIO trainees practice interview techniques against an AI interviewee."
USDA Recreation One Stop AI,chatbot,1,low,"Recreation.gov booking-support tool that suggests alternatives; likely a gen-AI conversational/recommendation assistant but the record is thin."
USDA NRCS NETS Automated Waterway Design,none,0,low,"Automated engineering waterway design tool — computational design outside the vocabulary; despite the gen-AI hint there is no evidence of generative models."
DOE Soil Moisture Modeling,none,0,medium,"University of Montana scientific ML model for soil moisture — research modeling outside the vocabulary."
VA GPT,genai_platform,1,high,"VA's internal general-purpose GPT chat service for staff."
Volpara Imaging,vision,0,high,"AI breast-density and mammography image analysis."
Whiterabbit.ai WRDensity,vision,0,high,"AI breast-density assessment on mammography images."
Zoom,assistant|speech,1,medium,"Video conferencing whose Zoom AI Companion is an embedded generative meeting assistant, alongside productized meeting transcription."
iProov,vision,0,high,"Face biometric liveness verification — the vision/biometrics capability class."
