canonical_name,categories,gen_ai,confidence,reasoning
Broadcom Code for Z,assistant,1,medium,AI-assisted mainframe code analysis and refactoring assistant.
C3 AI,ml_platform,0,high,Enterprise ML model development and deployment platform.
CMS Medicare AI Customer Insights,nlp,1,low,AI analysis of Medicare customer feedback (likely sentiment and summarization).
CareCentra,none,0,low,Behavioral-health engagement with predictive nudges; no clear listed capability class.
CathWorks FFRangio,vision,0,high,AI analysis of coronary angiograms to compute FFR from images.
Circle CVI42,vision,0,high,Cardiac MRI post-processing with AI-based image segmentation and analysis.
Windsurf,assistant,1,high,Codeium AI coding assistant/agentic IDE.
Commonlook Online,none,0,low,PDF accessibility remediation tool; no listed AI capability class clearly applies.
Critical Mention,speech,0,medium,Broadcast media monitoring with transcription and sentiment analysis.
ERNIE Radiological Detection,none,0,low,Analyzes radiation portal monitor spectra rather than images or text; no listed capability class.
MAPPRITE,genai_platform,1,low,DOE tool flagged as LLM-based; insufficient detail beyond the generative hint.
Databricks,ml_platform|assistant,1,high,Data-science/ML platform plus embedded Assistant/Genie generative features.
Digital Science Dimensions,search,0,low,Research publication database with AI-assisted search and analytics.
EarlySense WAVE Clinical Platform,none,0,medium,Contact-free patient monitoring with predictive analytics; no listed capability class.
Ephesoft Transact,doc_processing,0,high,Intelligent document capture and OCR extraction platform.
Exiger DDIQ,nlp,0,medium,Due-diligence engine applying NLP to adverse-media and documents for risk scoring.
FirstTwo,none,0,low,OSINT data aggregation for lookups; no listed AI capability class.
JAWS Screen Reader,speech,0,high,Screen reader providing text-to-speech accessibility.
Glassbeam Clinsights,none,0,low,Medical device machine-data analytics; no listed AI capability class.
Gurucul UEBA,none,0,medium,User/entity behavior analytics for security; security ML alone does not qualify.
HealthData.gov AI Harvest Service,nlp,0,low,AI metadata harvesting/classification of datasets for the catalog.
Harvey,assistant,1,high,Domain-specific generative AI legal assistant.
IDEMIA CAT-2/AutoCAT,vision,0,high,Credential authentication with camera performing facial biometric matching.
Invariant Acoustic Signature AI,none,0,medium,Gunshot acoustic-signature detection; audio analysis with no matching capability class.
Konica Minolta Dispatcher Paragon,none,0,high,Print/output management software with no AI capability class.
Lasso Security,none,0,medium,AI/LLM security monitoring tool; security analytics does not qualify.
ELSAG ALPR,vision,0,high,License-plate-reader cameras with image recognition analytics.
Lumivero NVivo,nlp,0,medium,Qualitative data analysis with AI-assisted text coding and theme detection.
Traffic Jam,vision,0,medium,Anti-trafficking investigative tool using facial recognition image search.
Medallia,nlp|speech,0,medium,Experience management with text sentiment analysis and speech/call analytics.
Mindray TE X Ultrasound,vision,0,medium,Ultrasound with AI-assisted image acquisition and measurement.
NCI MOSSAIC SEER NLP,nlp,0,high,Deep-learning NLP on cancer pathology reports for SEER registries.
NIH eRA Internal Referral Module,nlp,0,high,NLP-based routing/referral of grant applications.
NetDocuments,search|assistant,1,low,Document management with AI search and ndMAX generative drafting features.
Okta Adaptive MFA,none,0,medium,Risk-based adaptive authentication; identity-security ML with no listed capability class.
Otter.ai,speech,1,medium,Meeting transcription (speech-to-text) with generative AI summaries.
Parable 3D Wound Care,vision,0,medium,3D wound imaging and measurement using AI image analysis.
Persyst EEG,none,0,medium,EEG signal analysis with AI event detection; no matching capability class.
Polarity,none,0,medium,Data-overlay/observability platform with no listed AI capability class.
Provar Manager,none,0,medium,Salesforce test-automation management tool; no listed AI capability class.
Radformation AutoContour,vision,0,high,AI auto-segmentation of anatomy on medical images for radiotherapy.
Reclaim.AI,none,0,medium,AI calendar/scheduling optimization; no listed AI capability class applies.
Rekor,vision,0,high,License-plate and vehicle recognition image analytics.
Rohde & Schwarz QPS Walk-Through Scanner,vision,0,high,Millimeter-wave body scanner with AI on-person threat image detection.
ScreenPoint Transpara,vision,0,high,AI detection and analysis of mammography images.
Skyward CEDAR/CLAW,assistant,1,low,CMS Chat conversational assistant and analysis wizard on the CEDAR platform.
Splunk,none,0,medium,SIEM with ML security analytics; security analytics alone does not qualify.
SumTotal,none,0,high,Learning management system with no AI capability class.
Tabnine,assistant,1,high,AI code-completion pair-programming assistant.
Tenable,none,0,high,Vulnerability management/security tool with no listed AI capability class.
PLATES/FoodTrak,doc_processing,0,high,Product label and text extraction system performing OCR/document extraction.
USDA AgCloud Helpdesk Chatbot,chatbot,1,medium,LLM-backed IT help-desk conversational chatbot.
USDA Forest Health ML Survey,vision,0,medium,ML analysis of geospatial/aerial imagery for forest damage survey and mapping.
UiPath Enterprise RPA,none,0,medium,Robotic process automation platform; RPA-only per rubric maps to none.
SpyglassGPT,genai_platform,1,low,Name indicates an LLM chat surface; limited detail beyond generative hint.
Vectra AI,none,0,medium,Network detection-and-response security AI; security analytics does not qualify.
Vyond,none,1,medium,AI text-to-video animation generation; generative but no analysis capability class fits.
Wildfire.org Turbo Plan,genai_platform,1,low,LLM-powered environmental planning acceleration tool.
Expert.ai Cogito,nlp,0,high,NLP engine that tags and classifies research articles.
Monday.com,assistant,1,medium,Work-OS with embedded monday AI generative assistant features.
