canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
State Department AI Research Engine (AIRE),State Department / Deloitte,general_llm,1,0,,,1,1,"product_queue_review_2026-06: 'AI Research Engine (AIRE)' (Deloitte, Data.State-SBU) matches catalog State Department AI Research Engine (AIRE).",genai_platform,1,low,Generative AI research engine inferred as an LLM surface.
State Department Declassification Review AI,State Department / Deloitte,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'AI-Augmented Declassification Review' (Deloitte) matches catalog State Department Declassification Review AI.,nlp,0,medium,Analyzes classified document text to support declassification review.
State Integrated Country Strategy Turbo,State Department / Guidehouse,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Integrated Country Strategy (ICS) Turbo' (Guidehouse) matches catalog State Integrated Country Strategy Turbo.,nlp,0,low,Country-strategy document analysis tool inferred to apply text analytics.
State NIV Adjudication Review Recommendation Engine,State Department / Guidehouse,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'NIV Adjudication Review Recommendation Engine (ARRE)' (Guidehouse) matches catalog State NIV Adjudication Review Recommendation Engine.,nlp,0,low,"Recommendation engine over visa adjudication case text, inferred as text analytics."
Supportbench,Supportbench,itsm,1,0,,,2,2,Supportbench | Supportbench,assistant,1,low,Customer-support platform with embedded generative AI assist features.
Synthesia,Synthesia,media_analysis,1,0,,AI video generation with avatars,2,2,Synthesia | Synthesia,speech,1,low,"AI avatar video generation including synthesized speech; video generation lacks a listed capability, TTS captured as speech."
TLOxp,TransUnion,investigative_data,0,0,,"TransUnion TLOxp investigative search platform that links person, asset, and association records for due diligence.",1,1,TransUnion TLOxp,none,0,low,Investigative record-linking/skip-trace search platform; entity aggregation does not map cleanly to a listed capability.
Tableau,Salesforce,data_analytics,1,0,Salesforce,Visualization platform with Tableau Pulse / Tableau GPT AI features,9,6,Tableau | tableau | Tableau,assistant,1,medium,BI platform whose Tableau Pulse/Tableau GPT features act as an embedded generative assistant.
Tabnine,Tabnine,coding_assistant,0,0,,,2,1,Tabnine AI Pair Programmer | Tabnine,assistant,1,high,AI code-completion pair-programming assistant.
TekSynap SimplifAI,TekSynap,general_llm,1,0,,TekSynap's SimplifAI commercial generative AI platform sold to federal customers.,1,1,TekSynap SimplifAI,genai_platform,1,high,Commercial generative AI platform sold to federal customers per its own description.
Thomson Reuters,Thomson Reuters,legal_research,0,0,,,3,1,Thomson Reuters | thomson reuters | Thomson Reuters,search,0,low,Legal/research brand placeholder; core offering is content retrieval.
ThruVision TAC 16,ThruVision,physical_security,0,0,,,1,1,ThruVision TAC 16 Passive Body Scanner,vision,0,medium,Passive terahertz body scanner using AI detection of concealed objects in sensor imagery.
TransUnion TLOxp,TransUnion,data_analytics,0,0,,,2,2,"product_queue_review_2026-06: Vendor ""TransUnion Risk and Alternative Data Solutions, Inc."" performing background searches — TRADS' investigative background product is TLOxp (catalog TransUnion TLOxp) | product_queue_review_2026-06: 'Equifax, Trans Union Financial Background Investigation ... automating the verification process for conducting background screenings' — maps to the two bureaus' catalog ",none,0,low,Investigative background-search/record-linking data product; no clean listed AI capability.
Truview,Advanced Technologies Group,data_analytics,0,0,,,1,1,Truview,none,0,low,Truview analytics product with no specific AI capability described.
USAi (GSA),GSA,general_llm,1,1,,,6,5,usai.gov | USAi | GSA USAi,genai_platform,1,high,GSA's government general-purpose generative-AI platform (usai.gov).
USCIS Verification Match Model,U.S. Citizenship and Immigration Services,nlp,0,0,,,1,1,product_queue_review_2026-06: 'IBM Verification Information System Verification Match Model' - catalog 'USCIS Verification Match Model'.,nlp,0,low,Verification record/name matching model; closest fit is nlp text matching.
USDA AgCloud Helpdesk Chatbot,USDA / Steampunk,general_llm,1,0,,,1,1,"product_queue_review_2026-06: ""Steampunk AgCloud Chatbot for IT Customer Help Desk"" -- catalog USDA AgCloud Helpdesk Chatbot (USDA / Steampunk).",chatbot,1,medium,LLM-backed IT help-desk conversational chatbot.
USDA Equine Operations Dataset,USDA / Colorado State University,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""Colorado State University ... develop a dataset that addresses the problem of not having complete information about where horse farms are located"" -- catalog USDA Equine",none,0,low,"Effort to build a dataset of horse-farm locations; a data product, not a capability."
USDA Marbled Murrelet Habitat Mapping,USDA Forest Service / American Museum of Natural History,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""American Museum of Natural History ... Mapping marbled murrelet nesting habitat across the Pacific Northwest"" -- catalog USDA Marbled Murrelet Habitat Mapping.",none,0,low,Species habitat distribution modeling; scientific ML with no clean listed capability.
USDA NRCS NETS Automated Waterway Design,USDA NRCS / Spatial Front,scientific_ml,1,0,,,1,1,"product_queue_review_2026-06: ""Spatial Front Incorporated NRCS Engineering Tools Suite (NETS) NETS automated waterway design"" -- catalog USDA NRCS NETS Automated Waterway Design (USDA NRCS / Spatial F",none,0,low,Automated engineering waterway design tool — computational design outside the vocabulary; despite the gen-AI hint there is no evidence of generative models.
USDA Recreation One Stop AI,USDA Forest Service / Booz Allen,general_llm,1,0,,,1,1,"product_queue_review_2026-06: ""Booz Allen Hamilton Recreation.gov Recreation One Stop use of AI ... a tool to support bookings and provide alternatives"" -- catalog USDA Recreation One Stop AI (USDA FS",chatbot,1,low,Recreation.gov booking-support tool that suggests alternatives; likely a gen-AI conversational/recommendation assistant but the record is thin.
USDA Recreation Site Chatbot,USDA Forest Service / University of Washington,general_llm,0,0,,,1,1,"product_queue_review_2026-06: ""University of Washington  Recreation site chatbot Estimating recreation use at recreation sites"" -- catalog USDA Recreation Site Chatbot (USDA FS / University of Washing",chatbot,0,low,"Named recreation-site chatbot, though the snippet's 'estimating use' framing leaves gen-AI status unclear."
USDA TreeSearch AI,USDA Forest Service / Google,search,1,0,,,1,1,"product_queue_review_2026-06: ""Google Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS) TreeSearch ... streamline the usability of the US Forest Service (USFS) TreeSearch ",search,1,low,Improves search/usability over Forest Service TreeSearch research publications.
USDA VegScape/CropCASMA,USDA NASS / George Mason University,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""George Mason University  VegScape/CropCASMA Data Portals Shows crop conditions and soil moisture availability"" -- catalog USDA VegScape/CropCASMA.",none,0,low,Remote-sensing crop-condition/soil-moisture data portal; derived-data visualization with no clean listed capability.
Unison PRISM,Unison,productivity,1,0,,Federal contract-writing / acquisition lifecycle software; PRISM 7.6 (2025) added AI document generation,6,5,prism | Unison | prism,assistant,1,low,Acquisition/contract-writing software whose PRISM 7.6 added AI document generation (embedded assistant).
UpToDate,Wolters Kluwer,clinical_decision_support,0,0,,,1,1,UpToDate,none,0,low,Clinical evidence reference/lookup; curated medical reference does not map cleanly to a listed capability.
Upstream Tech HydroForecast,Upstream Tech,scientific_ml,0,0,,,1,1,Piloting Machine Learning Inflow Forecasts Across Reclamation,none,0,low,ML hydrological inflow forecasting model; scientific prediction with no clean listed capability.
VA AI Assist,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,va ai assist,assistant,1,low,Generic VA AI assistant; embedded copilot inferred from name.
VA Clinical AI Agent,U.S. Department of Veterans Affairs,transcription,1,0,,,1,1,via add_product,assistant,1,low,"Clinical AI agent/copilot; assistant inferred, transcription type suggests possible speech component."
VA E2 HelpBot,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,via add_product,chatbot,0,medium,Help bot for the E2 travel system (conversational front-end).
VA GPT,VA,general_llm,1,0,,,3,2,va gpt | va gpt | VA GPT,genai_platform,1,high,VA's internal general-purpose GPT chat service for staff.
VA VoiceBot,U.S. Department of Veterans Affairs,nlp_specific,0,0,,,1,1,va voicebot,speech|chatbot,0,medium,Voice-driven conversational bot combining speech and dialog capabilities.
VAO Ally,GSA,agent_platform,0,0,,,3,3,VAO Ally | VAO Ally | VAO Ally,assistant,1,low,Agent/assistant platform ('Ally'); generative assistant inferred from agent-platform type.
Veritone Illuminate,Veritone,media_analysis,0,0,Veritone,,1,1,Veritone Illuminate,speech,0,low,Government media analysis/redaction tool using transcription and detection engines.
Visual Studio Enterprise,Microsoft,developer_tool,0,0,Visual Studio,,1,1,Visual Studio Enterprise,none,0,medium,IDE licensing SKU with no standalone AI capability.
Volpara Imaging,Volpara Health,clinical_decision_support,0,0,,,1,1,volpara imaging,vision,0,high,AI breast-density and mammography image analysis.
Volta Medical AF-Xplorer,Volta Medical,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,AI mapping of cardiac electrograms; signal analysis with no listed capability match.
Washington Forest Inventory Maps,USDA Forest Service / University of Washington,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""University of Washington - Natural Resource Spatial Informatics Group  Washington state forest inventory maps"" -- catalog Washington Forest Inventory Maps.",vision,0,low,Remote-sensing ML that classifies imagery into forest-inventory maps.
Welldoc BlueStar,Welldoc,clinical_decision_support,0,0,,,1,1,welldoc bluestar,none,0,low,Digital diabetes management/coaching app; personalized coaching does not map cleanly to a listed capability.
Westlaw AI,Thomson Reuters,legal_research,1,0,Thomson Reuters,Legal research with AI,16,9,Westlaw | Westlaw | westlaw,assistant|search,1,high,AI legal research combining semantic case-law retrieval with generative answers.
Whooster,Whooster,data_analytics,0,0,,,1,1,Whooster,search,0,low,Investigative data/skip-trace provider centered on public-records search.
Wildfire.org Turbo Plan,Wildfire.org,general_llm,1,0,,,1,1,"product_queue_review_2026-06: ""Wildfire.org Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS) Turbo plan ... Accelerating environmental planning"" -- catalog Wildfire.org T",genai_platform,1,low,LLM-powered environmental planning acceleration tool.
Windsurf,Codeium,coding_assistant,1,0,,,2,2,Windsurf | Windsurf,assistant,1,high,Codeium AI coding assistant/agentic IDE.
Worker PLUS,Department of Labor,data_analytics,0,0,,,1,1,Worker PLUS,none,0,low,DOL data analytics tool with insufficient detail to assign a capability.
Yurts AI,Legion (formerly Yurts),general_llm,0,0,,,1,1,Legion (Previously Yurts),genai_platform,1,medium,Yurts/Legion enterprise generative-AI platform; gen_ai hint overridden.
Zeiss CLARUS,Carl Zeiss Meditec,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,Fundus imaging camera; classed with medical imaging but the productized AI analysis component is unclear.
Zoom,Zoom,productivity,1,0,,Video conferencing with Zoom AI Companion,4,4,zoom | Zoom | Zoom,assistant|speech,1,medium,"Video conferencing whose Zoom AI Companion is an embedded generative meeting assistant, alongside productized meeting transcription."
crYOLO,Open Source,scientific_ml,0,0,,,1,1,crYOLO,vision,0,high,Deep-learning object detection for particle picking in cryo-EM micrographs.
iProov,iProov,biometrics,0,0,,,1,1,IProov,vision,0,high,Face biometric liveness verification — the vision/biometrics capability class.
idiCORE,LexisNexis Risk Solutions,investigative_data,0,0,LexisNexis Risk Solutions,,1,1,idiCORE,none,0,low,LexisNexis investigative identity-search/record-linking product; no clean listed capability.
