canonical_name,categories,gen_ai,confidence,reasoning
CMS IDR Support Bot,chatbot,1,medium,"Task-specific generative support bot for the CMS IDR/CAE environment."
CMS Integrated Data Repository Customer Analytic Environment,none,0,low,"Data repository/analytic environment (warehouse), not a listed AI capability."
Hologic 3D Quorum,vision,0,high,"Mammography imaging AI that identifies clinically relevant regions across image slices."
Hologic Genius AI Detection,vision,0,high,"AI detection (CADe) on mammography images."
Ptolemy,vision,0,medium,"ML CryoEM micrograph screening/triage is image object detection and classification."
Topaz CryoEM,vision,0,medium,"Deep-learning particle picking in CryoEM images is a computer-vision task."
USDA Recreation Site Chatbot,chatbot,0,low,"Named recreation-site chatbot, though the snippet's 'estimating use' framing leaves gen-AI status unclear."
Washington Forest Inventory Maps,vision,0,low,"Remote-sensing ML that classifies imagery into forest-inventory maps."
Abridge Ambient Scribe,speech,1,high,"Ambient medical scribe: speech-to-text transcription plus generative note drafting."
Airship AI Platform,vision,0,high,"Machine-learning video/UAS analytics identifying objects and conveyances."
ASCVD Risk Estimator,none,0,high,"Statistical cardiovascular risk calculator, not an AI capability."
Asana,assistant,1,low,"Work-management platform whose Asana Intelligence provides an embedded generative assistant."
Aware Biometrics,vision,0,high,"Facial and multimodal biometric recognition platform."
Beckman Coulter DxH 800,vision,0,low,"Hematology analyzer using digital cell-morphology image classification."
Biosense Webster CARTO 3,none,0,low,"Cardiac electroanatomic 3D mapping system; signal/spatial mapping outside the vocabulary."
BriefCatch,nlp,1,low,"Legal-writing editor analyzing text and suggesting (partly generative) rewrites."
Buzzsprout CoHost AI,speech,1,high,"Generates transcripts (speech-to-text) plus generative titles/descriptions/chapters from podcast audio."
CMS ELMO Chatbot,chatbot,1,medium,"Medicare eligibility/enrollment generative support chatbot."
Canva,assistant,1,low,"Design platform whose Magic Studio provides an embedded generative design assistant."
CaseGuard,vision|speech,0,low,"AI-assisted redaction detects faces/objects in video (vision) and PII in audio (speech)."
Chiral Wildlife Deterrent System,vision,0,medium,"Computer vision detects animals (e.g. coyotes) to trigger deterrence."
Cloudflare Turnstile,none,0,high,"Bot-detection/CAPTCHA-replacement security service, none of the listed capabilities."
Democratizing Data,nlp,0,low,"ML text/entity extraction to identify dataset usage in publications."
CrewAI,genai_platform,1,medium,"Framework for orchestrating multi-agent LLM workflows."
CISAChat,genai_platform,1,medium,"DHS internal general-purpose LLM chat surface."
NLCOO Lessons Learned AI,search,0,low,"AI tool for searching/retrieving lessons-learned knowledge."
DRUID AI,chatbot,1,medium,"Conversational AI platform for building virtual-agent/dialog experiences."
Descript,speech,1,high,"AI audio/video editor with transcription and generative voice cloning."
Lectora AI,assistant,1,low,"E-learning authoring tool with embedded generative course-creation assistant."
Emerald Innovations,none,0,low,"Insufficient detail to assign a capability; likely sensing/health analytics."
Everlaw AI Assistant,nlp,1,medium,"Ediscovery AI that classifies/reviews documents for responsiveness with generative assistance."
FS Pro,none,0,low,"Foreign Service productivity tool with no specified AI capability."
Freed AI Medical Scribe,speech,1,high,"Ambient medical scribe: transcription plus generative clinical-note drafting."
Ginnie Mae Subledger Data Quality ML,none,0,low,"ML for financial data-quality checks; no listed capability class fits."
Griffeye Analyze,vision,0,high,"Forensic image/video classifiers to triage CSAM and illicit imagery."
Grants.gov Similar Opportunities,search,0,medium,"KNN similarity retrieval recommending related grant opportunities."
HRSA Knowledge Navigator,chatbot,1,medium,"Generative Q&A bot answering program (loan repayment/scholarship) questions."
ID.me,vision|doc_processing,0,medium,"Identity verification via facial matching (vision) and ID-document verification/extraction (doc processing)."
Informatica,none,0,low,"Data integration/catalog platform; its CLAIRE ML metadata features don't clearly map to a capability."
Koios DS Breast,vision,0,high,"AI decision support analyzing breast ultrasound images."
LaserAI,nlp,0,medium,"ML screening and extraction from scientific literature (text classification/extraction)."
Lenel OnGuard,none,0,high,"Physical access-control system; security hardware outside the vocabulary."
Lookout,none,0,high,"Mobile/endpoint security product, none of the listed capabilities."
Magnet Forensics,vision|assistant,1,low,"Forensic media categorization (vision) plus the Magnet Copilot generative assistant."
KESTREL,vision,0,low,"Maxar imagery-derived predictor of aircraft landing locations, an imagery-analysis task."
Milestone XProtect,vision,0,high,"Video management software with AI object/event-detection analytics."
NASA CAAP Cost Analytics,none,0,high,"Cloud cost analytics/BI, not a listed AI capability."
NIH Travel Policy AI Chatbot,chatbot,1,medium,"Generative chatbot answering NIH travel-policy questions."
NetApp ARP/AI,none,0,high,"Autonomous ransomware protection using storage anomaly detection; security analytics outside the vocabulary."
FOIAXpress AI,doc_processing,1,low,"FOIA document processing with review/redaction and likely generative summarization."
Fiji ImageJ,vision,0,medium,"Scientific image-analysis platform (microscopy) commonly used with ML plugins."
Palo Alto Networks,none,0,high,"Network security platform, none of the listed capabilities."
Perplexity,genai_platform|search,1,high,"Conversational answer engine grounding LLM responses in web search/retrieval."
Podimetrics SmartMat,none,0,low,"Sensor mat with predictive monitoring for diabetic ulcers; no listed capability fits."
Flowmon,none,0,high,"Network traffic monitoring/anomaly detection; security analytics outside the vocabulary."
RWS Trados,translation,0,high,"Computer-assisted translation suite with neural machine translation."
Raytheon BBN M3S,speech|translation|nlp,0,low,"Multimedia monitoring ingests broadcast/online media with transcription, translation, and content analysis."
ReflexAI,chatbot,1,low,"Conversational AI roleplay for training crisis counselors plus conversation QA."
Roche Digital Pathology,vision,0,high,"AI analysis of digital pathology images."
SSA Quick Disability Determinations Model,none,0,low,"Predictive model flagging high-probability disability claims; data-mining without a listed capability."
Skydio X2D,vision,0,medium,"Autonomous drone relying on computer vision for obstacle avoidance and flight autonomy."
ShotSpotter,none,0,medium,"Acoustic gunshot detection/localization; not human-speech processing and no generic audio category exists."
CryoSPARC,vision,0,medium,"CryoEM processing with ML particle picking and 3D image reconstruction."
TRM Labs Blockchain Analysis Platform,none,0,high,"Blockchain/crypto transaction analytics, outside the capability vocabulary."
FLIR 280 HD,none,0,low,"Thermal imaging camera hardware with no clearly productized AI analysis."
ThruWave NII 3D Imaging Tool,vision,0,medium,"Millimeter-wave 3D imaging with ML detection of concealed items."
USDA Equine Operations Dataset,none,0,low,"Effort to build a dataset of horse-farm locations; a data product, not a capability."
USDA TreeSearch AI,search,1,low,"Improves search/usability over Forest Service TreeSearch research publications."
USGS Flow Photo Explorer,vision,0,medium,"Analyzes stream photos with ML to estimate streamflow (image analysis)."
Rangeland Analysis Platform,vision,0,low,"Remote-sensing ML deriving rangeland vegetation models from imagery."
VUNO Med-DeepBrain,vision,0,high,"AI analysis of brain MRI images."
Volta Medical AF-Xplorer,none,0,low,"AI mapping of cardiac electrograms; signal analysis with no listed capability match."
Whooster,search,0,low,"Investigative data/skip-trace provider centered on public-records search."
Zscaler,none,0,high,"Cloud security platform, none of the listed capabilities."
iRhythm Zio ECG,none,0,medium,"Ambulatory ECG with ML arrhythmia detection; signal analysis outside the vocabulary."
