canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
Amazon CodeWhisperer,Amazon,coding_assistant,1,0,Amazon Q,Amazon's AI coding assistant,1,1,aws codewhisperer,assistant,1,high,AI coding assistant that generates code suggestions in the developer workflow.
Amazon Q,Amazon,general_llm,1,1,Amazon Web Services,Amazon's enterprise AI assistant,12,8,q developer | Amazon Q | q business,assistant,1,high,Amazon's enterprise AI copilot embedded across developer and business workflows.
Apple Intelligence,Apple,general_llm,1,0,,,1,1,Apple Intelligence,assistant,1,medium,Apple's suite of embedded generative AI writing/image assistant features.
Articulate 360 AI Assistant,Articulate,training,0,0,,,2,2,"Ariculate 360 AI Assistant | product_queue_review_2026-06: 'Adobe Firefly, Articulate Storyline 360, Vyond' for training audio/video generation — Firefly and Vyond are cataloged; Storyline 360's AI maps to Articulate 360 AI Assis",assistant,1,medium,"AI assistant embedded in the Articulate course-authoring workflow, generating training content and audio."
Asana,Asana,productivity,1,0,,Work-management platform with Asana Intelligence (GenAI),2,2,Asana | Asana,assistant,1,low,Work-management platform whose Asana Intelligence provides an embedded generative assistant.
Ask Sage,Ask Sage Inc.,general_llm,1,1,,GenAI platform authorized for federal/DoD use,7,4,Ask Sage | Ask Sage | Ask Sage,genai_platform,1,high,GenAI platform authorized for federal/DoD LLM use.
AveriSource,AveriSource,code_modernization,0,0,,,1,1,AveriSource,none,0,low,Legacy code analysis/modernization tooling with no clearly listed AI capability.
Azure AI Foundry,Microsoft,general_llm,1,1,Microsoft Azure Platform,,4,2,microsoft | Azure AI Foundry | Azure AI Foundry,genai_platform,1,high,"Azure AI Foundry hosts, serves, and fine-tunes generative models — named in the rubric as a genai_platform."
Azure AI Translator,Microsoft,translation,1,0,Microsoft Azure Platform,,1,1,"product_queue_review_2026-06: 'Deloitte, AzureAI AzureAI Translator TIP Report Research Translation' — maps to Azure AI Translator.",translation,0,high,Azure's neural machine translation service; the gen-AI hint overstates it — NMT translation is not novel-content generation.
Azure Computer Vision,Microsoft,other,0,0,,,1,1,"product_queue_review_2026-06: ""Automating blank page detection with Non-Generative AI (e.g., Azure Computer Vision and Docum[ent Intelligence]"" — Document Intelligence is in catalog; Azure Computer Vi",vision,0,high,"Azure's image-analysis API used here for blank-page detection, explicitly described as non-generative."
Azure OpenAI,Microsoft,general_llm,1,1,Microsoft Azure Platform,OpenAI models hosted on Azure,49,15,Microsoft | Microsoft | Microsoft,genai_platform,1,high,"OpenAI models hosted on Azure — a general-purpose LLM API surface, the archetypal genai_platform."
Beckman Coulter DxH 800,Beckman Coulter,clinical_decision_support,0,0,,,1,1,beckman coulter dxh 800,vision,0,low,Hematology analyzer using digital cell-morphology image classification.
BillieGPT,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,billiegpt,genai_platform,1,medium,VA general-purpose GPT chat surface (LLM platform).
BioRender,BioRender,productivity,1,0,,Scientific diagramming tool with AI assist,2,1,Biorender | Biorender,assistant,1,low,Scientific diagramming tool with an embedded AI assist that generates figures from prompts; AI capability is peripheral to the product.
Biosense Webster CARTO 3,Biosense Webster (Johnson & Johnson),clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Cardiac electroanatomic 3D mapping system; signal/spatial mapping outside the vocabulary.
Brainlab Cirq Alignment,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Robotic surgical alignment arm; hardware/robotics outside the vocabulary.
Brainlab Cranial Navigation,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,Image-guided surgical navigation registers and processes medical imaging.
Brainlab Elements Spine,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,Spine imaging and planning module built on medical image analysis.
BriefCatch,BriefCatch,legal_research,1,0,,"AI-powered legal-writing editor that suggests style, citation, and clarity improvements to briefs and memoranda.",1,1,BriefCatch,nlp,1,low,Legal-writing editor analyzing text and suggesting (partly generative) rewrites.
Broadcom Code for Z,Broadcom,code_modernization,1,0,,Mainframe code-modernization tool providing AI-assisted analysis and refactoring of COBOL and z/OS applications.,1,1,Broadcom Code for Z,assistant,1,medium,AI-assisted mainframe code analysis and refactoring assistant.
CANDA UEBA,CANDA Solutions,security_tool,0,0,,,1,1,product_queue_review_2026-06: 'CANDA Solutions Vetting Identities for an Enterprise Workforce User and Entity Behavior Analytics (UEBA)' - catalog 'CANDA UEBA'.,none,0,high,"User-and-entity behavior analytics security tool, excluded per security rule."
CISAChat,DHS CISA,general_llm,1,0,,,1,1,CISAChat,genai_platform,1,medium,DHS internal general-purpose LLM chat surface.
CMS AI Agent Orchestrator,CMS / Noblis,agent_platform,1,0,Skyward CEDAR/CLAW,,1,1,product_queue_review_2026-06: 'Noblis CEDAR AI Agent Orchestrator POC ... transform CMS's analytical capabilities' — catalog entry 'CMS AI Agent Orchestrator'.,genai_platform,1,medium,Noblis-built POC that orchestrates generative AI agents for CMS analytics — an agent-serving platform.
CMS ELMO Chatbot,CMS / Peraton,general_llm,1,0,,,1,1,"product_queue_review_2026-06: 'Peraton, Inc. ... Eligibility & Enrollment Medicare Online (ELMO) Chatbot' — catalog entry 'CMS ELMO Chatbot'.",chatbot,1,medium,Medicare eligibility/enrollment generative support chatbot.
CMS Integrated Data Repository Customer Analytic Environment,CMS / GDIT,ml_platform,0,0,,,1,1,product_queue_review_2026-06: 'GDIT ... Integrated Data Repository (IDR) Customer Analytic Environment (CAE)' — catalog entry 'CMS Integrated Data Repository Customer Analytic Environment'.,none,0,low,"Data repository/analytic environment (warehouse), not a listed AI capability."
CMS Medicare AI Customer Insights,CMS / commonFont,data_analytics,1,0,,,1,1,product_queue_review_2026-06: 'commonFont and AWS Public Website Shared Services Medicare AI Customer Insights' — catalog entry 'CMS Medicare AI Customer Insights'.,nlp,1,low,AI analysis of Medicare customer feedback (likely sentiment and summarization).
COREII,DOE Idaho National Lab,general_llm,1,0,,,1,1,COREII,genai_platform,1,low,INL generative AI capability inferred from name and gen-AI hint.
Canon Alphenix Angio Workstation,Canon Medical Systems,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,medium,Angiography workstation with AI-assisted image processing.
Canva,Canva,productivity,1,0,,Design platform with generative AI features (Magic Studio),2,2,Canva | Canva,assistant,1,low,Design platform whose Magic Studio provides an embedded generative design assistant.
CareCentra,CareCentra,clinical_decision_support,1,0,,,1,1,carecentra,none,0,low,Behavioral-health engagement with predictive nudges; no clear listed capability class.
Carestream CS 9600,Carestream Dental,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Dental CBCT imaging scanner (hardware); no distinct AI capability indicated.
CargoNet,Verisk,investigative_data,0,0,,Verisk CargoNet aggregates cargo theft incident data and applies analytics to predict and disrupt supply-chain crime.,1,1,CargoNet,none,0,low,Cargo-theft data aggregation and predictive analytics outside the vocabulary.
CaseGuard,CaseGuard,forensics,0,0,,,1,1,Case Guard  AI-Assisted Audio/Video Redaction,vision|speech,0,low,AI-assisted redaction detects faces/objects in video (vision) and PII in audio (speech).
Cell Hawk,LeadsOnline,investigative_data,0,0,,LeadsOnline Cell Hawk parses and visualizes call detail records and tower data for investigations.,1,1,Cell Hawk,none,0,low,"Call-detail-record parsing/visualization for investigations, no vocabulary capability."
ChatGPT,OpenAI,general_llm,1,1,,OpenAI's conversational AI assistant,74,19,chatgpt enterprise | chatgpt | ChatGPT Enterprise,genai_platform,1,high,OpenAI general-purpose conversational LLM surface.
Cisco,Cisco,security_tool,0,0,,,2,2,Cisco | cisco,none,0,low,Bare vendor name with no product specificity to assign a capability.
ClassifAI,DHS / Starlo,document_ai,1,0,,,1,1,ClassifAI,doc_processing,1,low,"DHS/Starlo document-AI tool that appears to classify/process documents; sparse evidence, gen-AI hint followed tentatively."
Claude,Anthropic,general_llm,1,1,,Anthropic's conversational AI,36,11,Anthropic | Anthropic Claude | anthropic,genai_platform,1,high,Anthropic's general-purpose LLM chat/API surface.
Claude Code,Anthropic,coding_assistant,1,0,Claude,Anthropic's coding agent,1,1,Claude Code,assistant,1,high,Anthropic's embedded generative coding agent.
CoCounsel,Thomson Reuters,legal_research,1,0,Thomson Reuters,"Thomson Reuters CoCounsel is a generative AI legal assistant for research, document review, and drafting.",3,3,Cocounsel AI | Thomson Reuters | CoCounsel,assistant|search,1,high,"Generative legal assistant for research (retrieval), document review, and drafting."
Cogitativo,Cogitativo,clinical_decision_support,0,0,,,1,1,cogitativo,none,0,low,Healthcare data-science/ML services with no specific listed capability described.
Commonlook Online,Commonlook,document_ai,0,0,,,1,1,Commonlook Online,none,0,low,PDF accessibility remediation tool; no listed AI capability class clearly applies.
Conductor Conduit AI,Conductor,document_ai,1,0,,Conductor's Conduit AI platform for document review and litigation workflows.,1,1,Conduit AI,nlp,1,low,Document-review/litigation platform inferred to apply NLP with generative features.
Credal,Credal,agent_platform,1,0,,,10,1,Credal | Credal | Credal,genai_platform,1,high,"Secure enterprise gen-AI platform (LLM gateway, RAG, agent building) sold to government customers."
CrewAI,CrewAI,agent_platform,0,0,,,1,1,CrewAI,genai_platform,1,medium,Framework for orchestrating multi-agent LLM workflows.
Custom In-House AI,In-House,custom,1,0,,Agency-built custom AI systems,50,12,custom | custom | custom,none,1,low,"Umbrella entry for heterogeneous agency-built AI spanning many capabilities; no single category can honestly be assigned, and the grab-bag includes generative builds."
DALL-E,OpenAI,computer_vision,1,0,ChatGPT,OpenAI's image generation model,1,1,DALL-E,genai_platform,1,high,OpenAI generative image model serving novel images from prompts.
DEA GenAI R&D Sandbox,DEA / NVIDIA,general_llm,1,0,,,1,1,"product_queue_review_2026-06: Vendor NVIDIA, ""create a R&D environment to enable DEA to test and prototype Generative AI"" — catalog DEA GenAI R&D Sandbox (DEA / NVIDIA).",genai_platform,1,high,NVIDIA R&D environment to test and prototype generative AI (LLM platform).
DOE OGC Docket Database,DOE,document_ai,0,0,,Internal DOE Office of General Counsel docket-tracking database,1,1,OGC Docket Database,none,0,low,Internal docket-tracking database; no AI capability described.
Databricks,Databricks,ml_platform,1,0,,ML platform,14,9,databricks | Databricks | Databricks,ml_platform|assistant,1,high,Data-science/ML platform plus embedded Assistant/Genie generative features.
Dataminr First Alert,Dataminr,social_listening,0,0,,,3,2,First Alert/Dataminr | product_queue_review_2026-06: 'Dataminr Dataminr Public Information Compilation for Travel Threat Analysis' - catalog 'Dataminr First Alert' is the government product. | product_queue_review_2026-06: Use case 'Dataminr' for 'Timely awareness of transportation safety events' — Dataminr's public-sector product is cataloged as Dataminr First Alert.,nlp,0,medium,Detects real-time events by analyzing public/social text streams.
DeepEMhancer,Open source (CSIC),scientific_ml,0,0,,Deep-learning post-processing tool that sharpens and denoises CryoEM density maps.,1,1,DeepEMhancer,none,0,low,Deep-learning CryoEM density-map denoising/sharpening; scientific image enhancement with no clean listed capability.
Democratizing Data,Coleridge Institute,data_analytics,0,0,,,1,1,Democratizing Data,nlp,0,low,ML text/entity extraction to identify dataset usage in publications.
Dentsply Sirona CEREC,Dentsply Sirona,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Dental CAD/CAM restoration system (hardware/imaging); no distinct listed AI capability.
Digital Science Dimensions,Digital Science,data_analytics,0,0,,,1,1,Digital Science Dimensions,search,0,low,Research publication database with AI-assisted search and analytics.
Doble Test Assistant,Doble Engineering,data_analytics,1,0,,,1,1,Doble Test Assistant,none,0,low,Electrical test-data analysis assistant with no clear vocabulary capability.
DocketScope,"The Regulatory Group, Inc.",document_ai,0,0,,,3,3,DocketScope | Docketscope | docketscope,nlp,0,low,"Analyzes regulatory docket comments/documents (text analytics, nlp)."
EDAV (CDC),CDC,data_analytics,0,0,,,32,1,enterprise data analytics and visualization platform | enterprise data analytics and visualization platform | enterprise data analytics and visualization platform,ml_platform,0,low,CDC enterprise data analytics/visualization environment supporting data-science and ML workloads.
ELIS,U.S. Citizenship and Immigration Services,custom,0,0,,,5,1,ELIS | ELIS | ELIS,none,0,low,Core USCIS Electronic Immigration System is a case-management platform; AI capabilities live in its named sub-services.
EPA Agency Records Management System,EPA,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'Agency Records Management System (ARMS)' built by Savan Group — exact catalog entry 'EPA Agency Records Management System'.,doc_processing,0,low,Records management system inferred to classify/process document records.
EPA RCRA PA,EPA,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'RCRA PA Risk scoring of Large Quantity Generators (LQGs) to support RCRA inspections' — catalog entry 'EPA RCRA PA'.,none,0,low,"Risk-scoring analytics for hazardous-waste inspections, no vocabulary capability."
ERNIE Radiological Detection,DHS Countering Weapons of Mass Destruction,computer_vision,0,0,,,1,1,product_queue_review_2026-06: 'ERNIE is used to analyze Radiation Portal Monitor (RPM) data' for DHS CWMD - catalog 'ERNIE Radiological Detection'.,none,0,low,Analyzes radiation portal monitor spectra rather than images or text; no listed capability class.
Edwards Acumen Hypotension Prediction Index,Edwards Lifesciences,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,"Clinical ML hypotension-prediction index, no vocabulary capability."
Elsa (FDA),"FDA (internal, vendor-supported)",general_llm,1,0,,FDA's Elsa is an internal generative AI assistant used by FDA staff for document drafting and search.,5,1,Elsa | elsa | elsa,assistant,1,high,FDA internal generative AI assistant for document drafting and search.
Emerald Innovations,Emerald Innovations,scientific_ml,0,0,,,1,1,Emerald Innovations,none,0,low,Insufficient detail to assign a capability; likely sensing/health analytics.
EnerGPT,Unknown / DOE-targeted vendor,general_llm,1,0,,DOE-targeted generative AI assistant tuned for energy-domain queries; vendor not yet confirmed in inventory text.,3,1,EnerGPT | EnerGPT | EnerGPT,genai_platform,1,medium,Domain generative AI assistant tuned for energy queries.
Equifax Background Screening,Equifax,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: 'Equifax, Trans Union Financial Background Investigation ... automating the verification process for conducting background screenings' — maps to the two bureaus' catalog ",none,0,low,Background-verification data automation with no vocabulary capability.
Everlaw AI Assistant,"Everlaw, Inc.",ediscovery,0,0,,,2,2,"Everlaw AI Assistant for Responsive Review | product_queue_review_2026-06: ""Migrate CORA data to Relativity One or Everlaw ... enable Relativity's and Everlaw's AI tools"" — Relativity in catalog; Everlaw's AI tools map to Everlaw AI Assistant.",nlp,1,medium,Ediscovery AI that classifies/reviews documents for responsiveness with generative assistance.
Expert.ai Cogito,expert.ai,nlp,0,0,,,1,1,"product_queue_review_2026-06: ""Expert AI (Cogito) ... automatically assigns word tags to agricultural research articles"" -- catalog Expert.ai Cogito; ""ARSAzure"" is the internal hosting environment, no",nlp,0,high,NLP engine that tags and classifies research articles.
FBOP Pathfinder,DOJ FBOP,training,0,0,,,1,1,"product_queue_review_2026-06: ""Pathfinder ... assist FBOP employees with career pathways"" — catalog FBOP Pathfinder; ""Azure"" is only the hosting platform.",none,0,low,Employee career-pathways guidance tool; the underlying AI capability (recommendation) is outside the vocabulary and details are thin.
FDA Annual Report CMC Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,"product_queue_review_2026-06: 'Annual Report CMC ... extracting Chemistry, Manufacturing, and Controls (CMC) changes' by Deloitte on CDEROne — catalog entry 'FDA Annual Report CMC Extraction'.",doc_processing,0,medium,Extracts CMC changes from unstructured annual-report documents; gen_ai hint conflicts as this is extraction not generation.
FDA HIVE AI Pilot,FDA / SAIC,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SAIC HIVE HIVE AI Pilot ... review process for INDs' — catalog entry 'FDA HIVE AI Pilot'.,genai_platform,1,low,SAIC HIVE generative-AI pilot for IND review; LLM platform inferred.
FDA Real World Data/Evidence Identification,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Real World Data/Evidence ... identifying industry unstructured submissions containing Real World Data/Evidence (RWD/E)' by Deloitte — catalog entry 'FDA Real World Data/,doc_processing|nlp,0,medium,Identifies and classifies unstructured submissions containing Real World Data/Evidence.
FERC Zvolvant Interconnection Assistant,Zvolvant,nlp,1,0,,,1,1,product_queue_review_2026-06: 'Zvolvant ... Support Interconnection Request Responses Use Case' — catalog entry 'FERC Zvolvant Interconnection Assistant'.,assistant,1,low,"Assistant supporting interconnection request responses, inferred generative."
FERC Zvolvant Market Surveillance,Zvolvant,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'Zvolvant ... Enhance Market Surveillance and Fraud Detection Use Case' — catalog entry 'FERC Zvolvant Market Surveillance'.,none,0,low,Market-surveillance and fraud-detection analytics with no vocabulary capability.
FINDER (ATF),DOJ ATF,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: ""FINDER ... sift through violent crime and firearms trafficking data"" — catalog FINDER (ATF).",search,0,low,Sifts/searches violent-crime and firearms-trafficking data (search/retrieval).
FLIR 280 HD,Teledyne FLIR,physical_security,0,0,,,1,1,FLIR 280 HD,none,0,low,Thermal imaging camera hardware with no clearly productized AI analysis.
FOIAXpress AI,OPEXUS,document_ai,0,0,,,1,1,FOIAXpress AI,doc_processing,1,low,FOIA document processing with review/redaction and likely generative summarization.
