canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
Amazon Connect,Amazon Web Services,nlp,1,0,Amazon Web Services,"AWS cloud contact center with built-in AI for IVR, transcription, sentiment, and agent assist.",5,4,Amazon Connect | amazon | amazon connect
ASCVD Risk Estimator,American College of Cardiology,clinical_decision_support,0,0,,,1,1,"product_queue_review_2026-06: ""ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator"" from the American College of Cardiology — exact catalog product."
Amped Software,Amped Software,forensics,0,0,,,2,2,Amped | amped
Autonomous Surveillance Tower,Anduril,physical_security,0,0,,,1,1,Anduril Autonomous Surveillance Towers
Claude,Anthropic,general_llm,1,1,,Anthropic's conversational AI,36,11,Anthropic | Anthropic Claude | anthropic
Claude Code,Anthropic,coding_assistant,1,0,Claude,Anthropic's coding agent,1,1,Claude Code
Apple Face ID,Apple,consumer_feature,0,0,,Apple's on-device facial recognition for device unlock,24,23,Apple Iphone | Apple iPhone | Apple iPhone
Apple Intelligence,Apple,general_llm,1,0,,,1,1,Apple Intelligence
Apple Maps,Apple,consumer_feature,0,0,,Apple Maps with AI-powered routing,16,16,Apple Maps | Apple Maps | Apple Maps
Apple News,Apple,consumer_feature,0,0,,,1,1,Apple News
Aretec EDP,Aretec,data_analytics,0,0,,"Aretec-built Enterprise Data Platform used at the SEC for analytics and ML workloads, distinct from NEAT.",3,2,Aretec EDP | EDP | EDP
Aretec SEARCH,Aretec,search,0,0,,Aretec-built SEARCH platform used at the SEC for full-text and analytical search across regulatory filings; sibling to NEAT and EDP.,2,1,Aretec SEARCH | Aretec SEARCH
Aretec NEAT,Aretec Inc,data_analytics,0,0,,,3,1,product_queue_review_2026-06: 'Aretec Inc NEAT Identification of Potentially Manipulative Activity' — maps to Aretec NEAT. | product_queue_review_2026-06: 'Aretec Inc NEAT Name Matching' — maps to Aretec NEAT. | product_queue_review_2026-06: 'Aretec Inc NEAT Parsing of Plain Language Descriptions to Machine-Readable Notations' — maps to Aretec NEAT.
Articulate 360 AI Assistant,Articulate,training,0,0,,,2,2,"Ariculate 360 AI Assistant | product_queue_review_2026-06: 'Adobe Firefly, Articulate Storyline 360, Vyond' for training audio/video generation — Firefly and Vyond are cataloged; Storyline 360's AI maps to Articulate 360 AI Assis"
Asana,Asana,productivity,1,0,,Work-management platform with Asana Intelligence (GenAI),2,2,Asana | Asana
Ask Sage,Ask Sage Inc.,general_llm,1,1,,GenAI platform authorized for federal/DoD use,7,4,Ask Sage | Ask Sage | Ask Sage
AttackIQ,AttackIQ,security_tool,0,0,,Breach-and-attack-simulation platform that uses ML to validate security controls against MITRE ATT&CK techniques.,1,1,AttackIQ
AveriSource,AveriSource,code_modernization,0,0,,,1,1,AveriSource
Avicenna.AI CINA,Avicenna.AI,clinical_decision_support,0,0,,,1,1,via add_product
Aware Biometrics,Aware,biometrics,0,0,,"Aware's biometric platform providing facial, fingerprint, and multimodal recognition.",22,10,aware | Aware | aware
Axon Evidence,Axon,forensics,1,0,,"Digital evidence management platform (evidence.com) with AI-driven redaction, transcription, and video retention used by law enforcement.",5,2,Axon Evidence.com | evidence.com | Axon Video Retention Solution (VRS)
Axon FUSUS,Axon,physical_security,0,0,Axon Evidence,"Real-time crime center platform that integrates camera feeds, sensors, and analytics for law-enforcement situational awareness.",1,1,Axon FUSUS
Axon,Axon Enterprise,media_analysis,1,0,,,7,3,Axon | Axon | Axon
BI SmartLINK,BI Incorporated,biometrics,0,0,,,1,1,product_queue_review_2026-06: 'BI ISAP IV (SmartLink)' biometric check-in app - catalog 'BI SmartLINK' (BI Incorporated).
BMC Helix ITSM,BMC,itsm,0,0,,,1,1,BMC Helix ITSM
Babel Street Babel,Babel Street,threat_intel,0,0,,,1,1,Babel Street Babel Street Babel
Beckman Coulter DxH 800,Beckman Coulter,clinical_decision_support,0,0,,,1,1,beckman coulter dxh 800
BD Pyxis MedStation,Becton Dickinson,clinical_decision_support,0,0,,Automated medication-dispensing system with predictive analytics for inventory and diversion detection.,1,1,BD Pyxis
Benefits Manager Virtual Assistant,Benefits Manager,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Benefits Manager Virtual Benefits Assistant ... Virtual Assistant is designed to answer questions' — catalog entry 'Benefits Manager Virtual Assistant'.
Bio-Rad BioPlex 2200,Bio-Rad Laboratories,clinical_decision_support,0,0,,,1,1,via add_product
BioRender,BioRender,productivity,1,0,,Scientific diagramming tool with AI assist,2,1,Biorender | Biorender
Biosense Webster CARTO 3,Biosense Webster (Johnson & Johnson),clinical_decision_support,0,0,,,1,1,via add_product
Biotronik Home Monitoring,Biotronik,clinical_decision_support,0,0,,,1,1,biotronik home monitoring
Bloomberg Government,Bloomberg,investigative_data,0,0,,"Bloomberg Government (BGOV) provides policy, regulatory, and procurement analytics for federal stakeholders.",2,2,Bloomberg Government (BGOV) | Bloomberg Government
Boston Dynamics Spot,Boston Dynamics,physical_security,0,0,,,2,1,Boston Dynamics | Boston Dynamics Spot Robotics
Boston Scientific Preventice BodyGuardian,Boston Scientific (Preventice),clinical_decision_support,0,0,,,1,1,via add_product
Brainlab Cirq Alignment,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product
Brainlab Cranial Navigation,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product
Brainlab Elements,Brainlab,clinical_decision_support,0,0,,,1,1,brainlab elements
Brainlab Elements Spine,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product
BriefCatch,BriefCatch,legal_research,1,0,,"AI-powered legal-writing editor that suggests style, citation, and clarity improvements to briefs and memoranda.",1,1,BriefCatch
Broadcom Code for Z,Broadcom,code_modernization,1,0,,Mainframe code-modernization tool providing AI-assisted analysis and refactoring of COBOL and z/OS applications.,1,1,Broadcom Code for Z
BLS Expenditure Classification Autocoder,Bureau of Labor Statistics,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: ""Expenditure Classification Autocoder [a]ssigns expense classification categories ... Consumer Expenditure Diary Survey"" — catalog BLS Expenditure Classification Autocode"
BSEE Corrosion Classifier,Bureau of Safety and Environmental Enforcement,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: BSEE Level 1 survey ""corrosion assessment of the platform"" classification matches catalog BSEE Corrosion Classifier; NASA is the development partner."
Butterfly iQ Ultrasound,Butterfly Network,clinical_decision_support,0,0,,,1,1,via add_product
Buzzsprout CoHost AI,Buzzsprout,media_analysis,1,0,,"Buzzsprout's CoHost AI generates podcast titles, descriptions, transcripts, and chapter markers from uploaded audio.",1,1,CoHost AI
C3 AI,C3.ai,ml_platform,0,0,,,1,1,C3.AI
CANDA UEBA,CANDA Solutions,security_tool,0,0,,,1,1,product_queue_review_2026-06: 'CANDA Solutions Vetting Identities for an Enterprise Workforce User and Entity Behavior Analytics (UEBA)' - catalog 'CANDA UEBA'.
EDAV (CDC),CDC,data_analytics,0,0,,,32,1,enterprise data analytics and visualization platform | enterprise data analytics and visualization platform | enterprise data analytics and visualization platform
CMS IDR Support Bot,CMS / GDIT,general_llm,1,0,CMS Integrated Data Repository Customer Analytic Environment,,1,1,product_queue_review_2026-06: 'GDIT Integrated Data Repository (IDR) Cloud IDR Support Bot' — catalog entry 'CMS IDR Support Bot'.
CMS Integrated Data Repository Customer Analytic Environment,CMS / GDIT,ml_platform,0,0,,,1,1,product_queue_review_2026-06: 'GDIT ... Integrated Data Repository (IDR) Customer Analytic Environment (CAE)' — catalog entry 'CMS Integrated Data Repository Customer Analytic Environment'.
CMS AI Agent Orchestrator,CMS / Noblis,agent_platform,1,0,Skyward CEDAR/CLAW,,1,1,product_queue_review_2026-06: 'Noblis CEDAR AI Agent Orchestrator POC ... transform CMS's analytical capabilities' — catalog entry 'CMS AI Agent Orchestrator'.
CMS ELMO Chatbot,CMS / Peraton,general_llm,1,0,,,1,1,"product_queue_review_2026-06: 'Peraton, Inc. ... Eligibility & Enrollment Medicare Online (ELMO) Chatbot' — catalog entry 'CMS ELMO Chatbot'."
CMS Medicare AI Customer Insights,CMS / commonFont,data_analytics,1,0,,,1,1,product_queue_review_2026-06: 'commonFont and AWS Public Website Shared Services Medicare AI Customer Insights' — catalog entry 'CMS Medicare AI Customer Insights'.
Pangolin Lineage,COG-UK,scientific_ml,0,0,,,1,1,Pangolin Lineage
CWTSatoTravel,CWTSatoTravel,productivity,0,0,,,1,1,CWTSatoTravel
Calendly,Calendly,productivity,0,0,,AI-enabled scheduling,1,1,Calendly
Canon Alphenix Angio Workstation,Canon Medical Systems,clinical_decision_support,0,0,,,1,1,via add_product
Canon Aplio Ultrasound,Canon Medical Systems,clinical_decision_support,0,0,,,1,1,via add_product
Canon Aquilion ONE AiCE,Canon Medical Systems,clinical_decision_support,0,0,,,2,1,"Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package | Aquilion ONE with AiCE"
Canon Cartesion Prime PET/CT,Canon Medical Systems,clinical_decision_support,0,0,,,1,1,via add_product
Canva,Canva,productivity,1,0,,Design platform with generative AI features (Magic Studio),2,2,Canva | Canva
CareCentra,CareCentra,clinical_decision_support,1,0,,,1,1,carecentra
CareView Patient Safety System,CareView Communications,computer_vision,0,0,,,1,1,careview patient safety system
Carestream CS 9600,Carestream Dental,clinical_decision_support,0,0,,,1,1,via add_product
Zeiss CLARUS,Carl Zeiss Meditec,clinical_decision_support,0,0,,,1,1,via add_product
CaseGuard,CaseGuard,forensics,0,0,,,1,1,Case Guard  AI-Assisted Audio/Video Redaction
CathWorks FFRangio,CathWorks,clinical_decision_support,0,0,,,1,1,via add_product
CellaVision DM1200,CellaVision,clinical_decision_support,0,0,,,1,1,cellavision dm1200
Cellebrite Media Classifier,Cellebrite,forensics,0,0,,,1,1,Cellebrite  Media Classifier for Computer and Digital Storage Evidence
Chainalysis,Chainalysis,blockchain_analytics,0,0,,,3,2,Chainalysis | Chainalysis | Chainalysis
Chiral Wildlife Deterrent System,Chiral Software,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: ""Chiral Software  Wildlife Deterrent System ... keep coyotes out of a fenced area"" -- catalog Chiral Wildlife Deterrent System."
Circle CVI42,Circle Cardiovascular Imaging,clinical_decision_support,0,0,,,2,1,circle cvi42 | via add_product
Cisco,Cisco,security_tool,0,0,,,2,2,Cisco | cisco
Cisco Identity Services Engine,Cisco,security_tool,0,0,Cisco,Cisco ISE network access control platform that uses ML for device profiling and posture assessment.,1,1,Cisco Identify Services engine
Cisco Secure Network Analytics,Cisco,security_tool,0,0,Cisco,Cisco's network detection-and-response platform (formerly Stealthwatch) using ML to surface anomalous network behavior.,1,1,Cisco Secure Network Analytics
Citrix,Citrix,virtualization,0,0,,,3,2,Citrix | citrix | citrix
Clearview AI,Clearview AI,biometrics,0,0,,,1,1,Clearview AI Traveler Verification System
Clirio,Clirio,other,0,0,,,1,1,"product_queue_review_2026-06: ""BGC/CLIRIO Hololens ... train Inspectors to visually inspect unsafe areas"" — HoloLens maps to catalog Microsoft HoloLens; Clirio (BGC Engineering spin-out) is the AR ins"
Cloudflare Turnstile,Cloudflare,security_tool,0,0,,Cloudflare's privacy-preserving bot detection and CAPTCHA-replacement service.,1,1,Cloudflare Turnstile
Windsurf,Codeium,coding_assistant,1,0,,,2,2,Windsurf | Windsurf
Cofense PhishMe,Cofense,security_tool,0,0,,Cofense's phishing simulation and reporting platform with ML-based threat triage.,1,1,Cofense
Cogitativo,Cogitativo,clinical_decision_support,0,0,,,1,1,cogitativo
Cohesity,Cohesity,security_tool,0,0,,,1,1,Cohesity
Democratizing Data,Coleridge Institute,data_analytics,0,0,,,1,1,Democratizing Data
Commonlook Online,Commonlook,document_ai,0,0,,,1,1,Commonlook Online
Conductor Conduit AI,Conductor,document_ai,1,0,,Conductor's Conduit AI platform for document review and litigation workflows.,1,1,Conduit AI
Cortechs NeuroQuant,Cortechs.ai,clinical_decision_support,0,0,,,1,1,NeuroQuant is a medical device with a fully automated Magnetic resonance (MR) imaging post-processing software
Credal,Credal,agent_platform,1,0,,,10,1,Credal | Credal | Credal
CrewAI,CrewAI,agent_platform,0,0,,,1,1,CrewAI
Critical Mention,Critical Mention,media_analysis,0,0,,Real-time broadcast and online media monitoring with transcription and sentiment analysis.,1,1,Critical Mention
Crowdstrike Falcon,Crowdstrike,security_tool,0,0,,Endpoint security with ML,15,13,Crowdstrike | CrowdStrike | CrowdStrike Falcon
DEA GenAI R&D Sandbox,DEA / NVIDIA,general_llm,1,0,,,1,1,"product_queue_review_2026-06: Vendor NVIDIA, ""create a R&D environment to enable DEA to test and prototype Generative AI"" — catalog DEA GenAI R&D Sandbox (DEA / NVIDIA)."
ClassifAI,DHS / Starlo,document_ai,1,0,,,1,1,ClassifAI
CISAChat,DHS CISA,general_llm,1,0,,,1,1,CISAChat
ERNIE Radiological Detection,DHS Countering Weapons of Mass Destruction,computer_vision,0,0,,,1,1,product_queue_review_2026-06: 'ERNIE is used to analyze Radiation Portal Monitor (RPM) data' for DHS CWMD - catalog 'ERNIE Radiological Detection'.
APT Analytics,DOE,scientific_ml,0,0,,,1,1,APT Analytics
DOE OGC Docket Database,DOE,document_ai,0,0,,Internal DOE Office of General Counsel docket-tracking database,1,1,OGC Docket Database
SEA-CROGS,DOE,scientific_ml,0,0,,,1,1,SEA-CROGS
LISA Chatbot,DOE / AWS,general_llm,1,0,,,1,1,LISA Chatbot
COREII,DOE Idaho National Lab,general_llm,1,0,,,1,1,COREII
INL Classified Subject Area GenAI,DOE Idaho National Lab,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Open source development with INL Advanced Analytics Center of Excellence ... GenAI for Classified Subject Area Categorization' - catalog 'INL Classified Subject Area Gen
INL Intelligent Automation,DOE Idaho National Lab,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'AI for Intelligent Automation ... using INL procedures and controlled documents' - catalog 'INL Intelligent Automation' (DOE Idaho National Lab).
Merlin,DOE Kansas City National Security Campus,general_llm,1,0,,,1,1,Merlin
LANL AI Portal,DOE Los Alamos National Lab,general_llm,1,0,,,2,1,LANL AI Portal | LANL AI Portal
NLCOO Lessons Learned AI,DOE NETL,search,0,0,,,1,1,"product_queue_review_2026-06: ""NLCOO AI for Lessons Learned tool"" matches catalog entry NLCOO Lessons Learned AI; surrounding text is AWS ATO boilerplate, not a product."
MAPPRITE,DOE Special Technologies Laboratory,general_llm,1,0,,,1,1,MAPPRITE
SWBTRAC,DOJ,data_analytics,0,0,,,1,1,SWBTRAC
FINDER (ATF),DOJ ATF,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: ""FINDER ... sift through violent crime and firearms trafficking data"" — catalog FINDER (ATF)."
FBOP Pathfinder,DOJ FBOP,training,0,0,,,1,1,"product_queue_review_2026-06: ""Pathfinder ... assist FBOP employees with career pathways"" — catalog FBOP Pathfinder; ""Azure"" is only the hosting platform."
DRUID AI,DRUID AI,agent_platform,1,0,,,2,1,DRUID AI | DRUID AI
Databricks,Databricks,ml_platform,1,0,,ML platform,14,9,databricks | Databricks | Databricks
Dataminr First Alert,Dataminr,social_listening,0,0,,,3,2,First Alert/Dataminr | product_queue_review_2026-06: 'Dataminr Dataminr Public Information Compilation for Travel Threat Analysis' - catalog 'Dataminr First Alert' is the government product. | product_queue_review_2026-06: Use case 'Dataminr' for 'Timely awareness of transportation safety events' — Dataminr's public-sector product is cataloged as Dataminr First Alert.
Dentsply Sirona CEREC,Dentsply Sirona,clinical_decision_support,0,0,,,1,1,via add_product
GrantSolutions,Department of Health and Human Services,custom,0,0,,,6,1,GrantSolutions | GrantSolutions | GrantSolutions
DOL Auntee Bot,Department of Labor,productivity,1,0,,,1,1,"product_queue_review_2026-06: System ""AUNTEE BOT"" meeting-notes summarizer — catalog DOL Auntee Bot."
Worker PLUS,Department of Labor,data_analytics,0,0,,,1,1,Worker PLUS
Descript,Descript,media_analysis,1,0,,"AI-powered audio and video editor with transcription, voice cloning, and text-based editing.",1,1,Descript
Digital Science Dimensions,Digital Science,data_analytics,0,0,,,1,1,Digital Science Dimensions
Doble Test Assistant,Doble Engineering,data_analytics,1,0,,,1,1,Doble Test Assistant
Dun & Bradstreet,Dun & Bradstreet,investigative_data,0,0,,Dun & Bradstreet business establishments and risk data with AI-driven anomaly and fraud-detection analytics.,1,1,Dun & Bradstreet Business Establishments Data
Dynatrace,Dynatrace,security_tool,0,0,,,2,2,Dynatrace | dynatrace
Lectora AI,ELB Learning,training,1,0,,,1,1,lectora ai
EPA Agency Records Management System,EPA,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'Agency Records Management System (ARMS)' built by Savan Group — exact catalog entry 'EPA Agency Records Management System'.
EPA RCRA PA,EPA,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'RCRA PA Risk scoring of Large Quantity Generators (LQGs) to support RCRA inspections' — catalog entry 'EPA RCRA PA'.
EarlySense WAVE Clinical Platform,EarlySense,clinical_decision_support,0,0,,,1,1,via add_product
Edwards Acumen Hypotension Prediction Index,Edwards Lifesciences,clinical_decision_support,0,0,,,1,1,via add_product
Elastic Stack,Elastic,search,0,0,,"Elastic Stack (Elasticsearch, Logstash, Kibana) for search, analytics, and observability with built-in ML jobs.",2,2,Elastic Stack Technology (ELK) | elk
Scopus AI,Elsevier,scientific_ml,0,0,,,1,1,Scopus AI
Emerald Innovations,Emerald Innovations,scientific_ml,0,0,,,1,1,Emerald Innovations
Ephesoft Transact,Ephesoft,document_ai,0,0,,,1,1,via add_product
Equifax Background Screening,Equifax,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: 'Equifax, Trans Union Financial Background Investigation ... automating the verification process for conducting background screenings' — maps to the two bureaus' catalog "
Espyr Therapy Chatbot,Espyr,clinical_decision_support,1,0,,,1,1,product_queue_review_2026-06: 'Espyr/Acentra ... Therapy Chatbot - Text-Based Mental Health Support for SSA Employees' matches catalog Espyr Therapy Chatbot.
Esri ArcGIS AI,Esri,nlp_specific,0,0,,GIS with AI features,13,6,ArcGIS | arcgis | ESRI
Everlaw AI Assistant,"Everlaw, Inc.",ediscovery,0,0,,,2,2,"Everlaw AI Assistant for Responsive Review | product_queue_review_2026-06: ""Migrate CORA data to Relativity One or Everlaw ... enable Relativity's and Everlaw's AI tools"" — Relativity in catalog; Everlaw's AI tools map to Everlaw AI Assistant."
Exiger DDIQ,Exiger,supply_chain,0,0,,,2,1,"product_queue_review_2026-06: ""Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics"" — catalog Exiger DDIQ. | product_queue_review_2026-06: ""Exiger Supply Chain Risk Management - DDIQ Research Engine"" — catalog Exiger DDIQ."
Elsa (FDA),"FDA (internal, vendor-supported)",general_llm,1,0,,FDA's Elsa is an internal generative AI assistant used by FDA staff for document drafting and search.,5,1,Elsa | elsa | elsa
FDA 356H ML Facility Supply Chain Role Classification,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: '356H Machine Learning (ML) Facility Supply Chain Role Classification' by Deloitte — catalog entry 'FDA 356H ML Facility Supply Chain Role Classification'.
FDA Annual Report CMC Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,"product_queue_review_2026-06: 'Annual Report CMC ... extracting Chemistry, Manufacturing, and Controls (CMC) changes' by Deloitte on CDEROne — catalog entry 'FDA Annual Report CMC Extraction'."
FDA Application-DMF Reference Extraction,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Application References / Application-DMF Reference ... Extracts references to Drug Master Files (DMFs)' by Deloitte — catalog entry 'FDA Application-DMF Reference Extrac
FDA DMF Facilities Extraction,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Extracting DMF Facilities from unstructured documents ... Extracts facility references from Type II (Drug Substance) DMF' by Deloitte — catalog entry 'FDA DMF Facilities
FDA Module 3 Facilities Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Module 3 Facilities Extraction ... extracting all drug manufacturing facilities reported within unstructured module 3 submissions' by Deloitte — catalog entry 'FDA Modul
FDA Packaging Materials and Suppliers Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Packaging Materials and Suppliers ... extract data from unstructured sources ... inventory of drug packaging materials' by Deloitte on CDEROne — catalog entry 'FDA Packa
FDA Real World Data/Evidence Identification,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Real World Data/Evidence ... identifying industry unstructured submissions containing Real World Data/Evidence (RWD/E)' by Deloitte — catalog entry 'FDA Real World Data/
FDA Regulatory Starting Materials Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Regulatory Starting Material ... extracting Regulatory Starting Materials (RSMs) and their suppliers' by Deloitte — catalog entry 'FDA Regulatory Starting Materials Extr
FDA Safety Reports Categorization Bot,FDA / Deloitte,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'Category Subcategory Classification - Safety Reports Bot' by Deloitte — catalog entry 'FDA Safety Reports Categorization Bot'.
FDA Smart Solution for Docket Management,FDA / Deloitte,nlp,1,0,,,1,1,product_queue_review_2026-06: 'Smart Solution for Docket Management (SSDM)' for 'public comments on FDA dockets' matches catalog FDA Smart Solution for Docket Management.
FDA HIVE AI Pilot,FDA / SAIC,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SAIC HIVE HIVE AI Pilot ... review process for INDs' — catalog entry 'FDA HIVE AI Pilot'.
FDA IND Safety Reports OCR,FDA / ThinkTrends,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'ThinkTrends FAERS Data Extraction from IND Safety Reports using OCR/AI Technologies' — catalog entry 'FDA IND Safety Reports OCR'.
FRTIB AVA,FRTIB / Accenture Federal Services,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Accenture Federal Services (AFS) Converge AVA ... Help participants answering questions about the TSP' — catalog entry 'FRTIB AVA'.
FRTIB Fraud Detection,FRTIB / Accenture Federal Services,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'Accenture Federal Services (AFS) Converge Fraud Detection Platform ... Detect potential fraud and abuse' — catalog entry 'FRTIB Fraud Detection'.
FS Pro,FS Pro,productivity,1,0,,Foreign Service productivity tool used at the Department of State,3,1,FS Pro | FS Pro | FS Pro
FTC Sentinel Analytic Sandbox,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Leidos Sentinel Network Services Analytic Sandbox' — catalog entry 'FTC Sentinel Analytic Sandbox'.
FTC Sentinel Chatbot,FTC / Leidos,general_llm,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Chatbot ... Provide automated chatbots capabilities for ReportFraud.ftc.gov and IdentifyTheft.gov' on Leidos Sentinel — catalog entry 'FTC Sentinel Chatbot'.
FTC Sentinel Developer Productivity,FTC / Leidos,coding_assistant,1,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Developer Productivity ... Enhance developer productivity by improving code quality' on Leidos Sentinel — catalog entry 'FTC Sentinel Developer Productivity'.
