canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
Biometrics Enrollment Tool,U.S. Citizenship and Immigration Services,biometrics,0,0,,,1,1,Biometrics Enrollment Tool
ELIS,U.S. Citizenship and Immigration Services,custom,0,0,,,5,1,ELIS | ELIS | ELIS
ELIS Card Photo Validation Service,U.S. Citizenship and Immigration Services,computer_vision,0,0,,,1,1,ELIS Card Photo Validation Service
ELIS Evidence Classifier Service,U.S. Citizenship and Immigration Services,document_ai,0,0,,,1,1,ELIS Evidence Classifier Service
Person-Centric Identity Services Deduplication Model,U.S. Citizenship and Immigration Services,nlp,0,0,,,1,1,Person-Centric Identity Services Deduplication Model
USCIS Customer Profile Management System Facial Recognition,U.S. Citizenship and Immigration Services,biometrics,0,0,,,1,1,product_queue_review_2026-06: 'Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT (1:1 ...)' - catalog 'USCIS Customer Profile Management System Facial 
USCIS Text Analytics,U.S. Citizenship and Immigration Services,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model' - catalog 'USCIS Text Analytics'.
USCIS Verification Match Model,U.S. Citizenship and Immigration Services,nlp,0,0,,,1,1,product_queue_review_2026-06: 'IBM Verification Information System Verification Match Model' - catalog 'USCIS Verification Match Model'.
FTC Sentinel Analytic Sandbox,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Leidos Sentinel Network Services Analytic Sandbox' — catalog entry 'FTC Sentinel Analytic Sandbox'.
FTC Sentinel Chatbot,FTC / Leidos,general_llm,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Chatbot ... Provide automated chatbots capabilities for ReportFraud.ftc.gov and IdentifyTheft.gov' on Leidos Sentinel — catalog entry 'FTC Sentinel Chatbot'.
FTC Sentinel Developer Productivity,FTC / Leidos,coding_assistant,1,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Developer Productivity ... Enhance developer productivity by improving code quality' on Leidos Sentinel — catalog entry 'FTC Sentinel Developer Productivity'.
FTC Sentinel Graph Analytics,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Graph Analytics ... identify relationships and connections between complaints' on Leidos Sentinel — catalog entry 'FTC Sentinel Graph Analytics'.
FTC Sentinel PSC Classification,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Automatic PSC Classification ... automatically classifying consumer complaints by PSC' on Leidos Sentinel — catalog entry 'FTC Sentinel PSC Classification'.
SRNS AI Drafting Assistant,Savannah River Nuclear Solutions,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI Drafting of Operational Procedures and Training Materials' - catalog 'SRNS AI Drafting Assistant' (Savannah River Nuclear Solutions).
SRNS AI Form and Questionnaire Assistant,Savannah River Nuclear Solutions,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI-Form and Questionnaire Assistant' - catalog 'SRNS AI Form and Questionnaire Assistant'.
SRNS AI Tailored Learning,Savannah River Nuclear Solutions,training,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI-Tailored Learning Management Solutions' - catalog 'SRNS AI Tailored Learning'.
SRNS Computer Vision Defect Detection,Savannah River Nuclear Solutions,computer_vision,0,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  Computer Vision for Defect Detection' - catalog 'SRNS Computer Vision Defect Detection'.
SRNS Operational Efficiency ML,Savannah River Nuclear Solutions,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  Machine Learning to support Operational Efficiency' - catalog 'SRNS Operational Efficiency ML'.
BillieGPT,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,billiegpt
VA AI Assist,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,va ai assist
VA Clinical AI Agent,U.S. Department of Veterans Affairs,transcription,1,0,,,1,1,via add_product
VA E2 HelpBot,U.S. Department of Veterans Affairs,nlp,1,0,,,1,1,via add_product
VA VoiceBot,U.S. Department of Veterans Affairs,nlp_specific,0,0,,,1,1,va voicebot
IBM ARGOS,IBM,nlp,0,0,IBM Watson,,1,1,IBM ARGOS
IBM CoreDF,IBM,document_ai,0,0,IBM Watson,,1,1,IBM CoreDF
IBM Watson,IBM,ml_platform,0,0,,,1,1,IBM Watson
IBM watsonx Code Assistant,IBM,coding_assistant,1,0,IBM Watson,IBM watsonx Code Assistant including the Code Assistant for Z mainframe modernization variant.,1,1,IBM WatsonX Code Assistant
Salesforce,Salesforce,productivity,0,0,,,1,1,"product_queue_review_2026-06: ""Integration of Provar Manager with VA GPT ... testing of Customer Relationship Management (CRM) applications developed in Salesforce"" -- VA GPT and Salesforce are catalo"
Salesforce Einstein,Salesforce,productivity,1,0,Salesforce,,17,9,Salesforce Einstein C2RMT | Salesforce | salesforce
Slack,Salesforce,productivity,1,0,Salesforce,Team messaging with Slack AI,4,2,slack ai | slack | slack
Tableau,Salesforce,data_analytics,1,0,Salesforce,Visualization platform with Tableau Pulse / Tableau GPT AI features,9,6,Tableau | tableau | Tableau
Federal Docket Management System,GSA,document_ai,0,0,,,1,1,Federal Docket Management System
USAi (GSA),GSA,general_llm,1,1,,,6,5,usai.gov | USAi | GSA USAi
VAO Ally,GSA,agent_platform,0,0,,,3,3,VAO Ally | VAO Ally | VAO Ally
Trunet Biometrics,Advanced Technologies Group,biometrics,0,0,,Advanced Technologies Group Trunet biometric capture and matching system.,1,1,Trunet Systems
Truview,Advanced Technologies Group,data_analytics,0,0,,,1,1,Truview
Aretec EDP,Aretec,data_analytics,0,0,,"Aretec-built Enterprise Data Platform used at the SEC for analytics and ML workloads, distinct from NEAT.",3,2,Aretec EDP | EDP | EDP
Aretec SEARCH,Aretec,search,0,0,,Aretec-built SEARCH platform used at the SEC for full-text and analytical search across regulatory filings; sibling to NEAT and EDP.,2,1,Aretec SEARCH | Aretec SEARCH
FRTIB AVA,FRTIB / Accenture Federal Services,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Accenture Federal Services (AFS) Converge AVA ... Help participants answering questions about the TSP' — catalog entry 'FRTIB AVA'.
FRTIB Fraud Detection,FRTIB / Accenture Federal Services,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'Accenture Federal Services (AFS) Converge Fraud Detection Platform ... Detect potential fraud and abuse' — catalog entry 'FRTIB Fraud Detection'.
NIAID DAIT AIDS Research Prioritization,NIAID / Deloitte,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'DAIT AIDS-Related Research Solution ... suggests prioritization of grant applications' by Deloitte — catalog entry 'NIAID DAIT AIDS Research Prioritization'.
NIAID OSPIDA Scientific Coding Assistance Tool,NIAID / Deloitte,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Deloitte SCORS Coding Assistance Tool (CAT) OSPIDA RPAB Scientific Coding Assistance Tool' — catalog entry 'NIAID OSPIDA Scientific Coding Assistance Tool'.
TLOxp,TransUnion,investigative_data,0,0,,"TransUnion TLOxp investigative search platform that links person, asset, and association records for due diligence.",1,1,TransUnion TLOxp
TransUnion TLOxp,TransUnion,data_analytics,0,0,,,2,2,"product_queue_review_2026-06: Vendor ""TransUnion Risk and Alternative Data Solutions, Inc."" performing background searches — TRADS' investigative background product is TLOxp (catalog TransUnion TLOxp) | product_queue_review_2026-06: 'Equifax, Trans Union Financial Background Investigation ... automating the verification process for conducting background screenings' — maps to the two bureaus' catalog "
ARANZ Silhouette Wound Imaging,ARANZ Medical,clinical_decision_support,0,0,,,1,1,via add_product
Aidoc BriefCase,Aidoc,clinical_decision_support,0,0,,,1,1,aidoc briefcase
Altana Atlas,Altana,supply_chain,0,0,,,2,1,Altana  Entity Resolution | Altana  Entity Resolution for Global Trade Data
Aretec NEAT,Aretec Inc,data_analytics,0,0,,,3,1,product_queue_review_2026-06: 'Aretec Inc NEAT Identification of Potentially Manipulative Activity' — maps to Aretec NEAT. | product_queue_review_2026-06: 'Aretec Inc NEAT Name Matching' — maps to Aretec NEAT. | product_queue_review_2026-06: 'Aretec Inc NEAT Parsing of Plain Language Descriptions to Machine-Readable Notations' — maps to Aretec NEAT.
AveriSource,AveriSource,code_modernization,0,0,,,1,1,AveriSource
BMC Helix ITSM,BMC,itsm,0,0,,,1,1,BMC Helix ITSM
Bio-Rad BioPlex 2200,Bio-Rad Laboratories,clinical_decision_support,0,0,,,1,1,via add_product
Boston Dynamics Spot,Boston Dynamics,physical_security,0,0,,,2,1,Boston Dynamics | Boston Dynamics Spot Robotics
BSEE Corrosion Classifier,Bureau of Safety and Environmental Enforcement,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: BSEE Level 1 survey ""corrosion assessment of the platform"" classification matches catalog BSEE Corrosion Classifier; NASA is the development partner."
EDAV (CDC),CDC,data_analytics,0,0,,,32,1,enterprise data analytics and visualization platform | enterprise data analytics and visualization platform | enterprise data analytics and visualization platform
CWTSatoTravel,CWTSatoTravel,productivity,0,0,,,1,1,CWTSatoTravel
Carestream CS 9600,Carestream Dental,clinical_decision_support,0,0,,,1,1,via add_product
Cellebrite Media Classifier,Cellebrite,forensics,0,0,,,1,1,Cellebrite  Media Classifier for Computer and Digital Storage Evidence
Clearview AI,Clearview AI,biometrics,0,0,,,1,1,Clearview AI Traveler Verification System
Cogitativo,Cogitativo,clinical_decision_support,0,0,,,1,1,cogitativo
Cortechs NeuroQuant,Cortechs.ai,clinical_decision_support,0,0,,,1,1,NeuroQuant is a medical device with a fully automated Magnetic resonance (MR) imaging post-processing software
DEA GenAI R&D Sandbox,DEA / NVIDIA,general_llm,1,0,,,1,1,"product_queue_review_2026-06: Vendor NVIDIA, ""create a R&D environment to enable DEA to test and prototype Generative AI"" — catalog DEA GenAI R&D Sandbox (DEA / NVIDIA)."
Merlin,DOE Kansas City National Security Campus,general_llm,1,0,,,1,1,Merlin
FINDER (ATF),DOJ ATF,data_analytics,0,0,,,1,1,"product_queue_review_2026-06: ""FINDER ... sift through violent crime and firearms trafficking data"" — catalog FINDER (ATF)."
Dentsply Sirona CEREC,Dentsply Sirona,clinical_decision_support,0,0,,,1,1,via add_product
Dun & Bradstreet,Dun & Bradstreet,investigative_data,0,0,,Dun & Bradstreet business establishments and risk data with AI-driven anomaly and fraud-detection analytics.,1,1,Dun & Bradstreet Business Establishments Data
Elastic Stack,Elastic,search,0,0,,"Elastic Stack (Elasticsearch, Logstash, Kibana) for search, analytics, and observability with built-in ML jobs.",2,2,Elastic Stack Technology (ELK) | elk
Espyr Therapy Chatbot,Espyr,clinical_decision_support,1,0,,,1,1,product_queue_review_2026-06: 'Espyr/Acentra ... Therapy Chatbot - Text-Based Mental Health Support for SSA Employees' matches catalog Espyr Therapy Chatbot.
FDA HIVE AI Pilot,FDA / SAIC,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SAIC HIVE HIVE AI Pilot ... review process for INDs' — catalog entry 'FDA HIVE AI Pilot'.
Flashpoint,Flashpoint,investigative_data,0,0,,,3,2,flashpoint | Flashpoint | Flashpoint
Genesys Cloud CX,Genesys,agent_platform,1,0,,,1,1,Genesys Cloud CX
AlphaFold,Google DeepMind,scientific_ml,0,0,,,2,1,Alphafold | AlphaFold
Grants.gov Applicant Help Chatbot,HHS / Business Performance Systems,general_llm,0,0,,,1,1,product_queue_review_2026-06: 'Business Performance Systems Grants.gov Cloud Applicant Help Chatbot Answer user questions about Grants.gov' — catalog entry 'Grants.gov Applicant Help Chatbot'.
HRSA PRF Program Chatbot,HRSA / GDIT,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'GDIT Inc PRB PRF Program Chatbot' — catalog entry 'HRSA PRF Program Chatbot'.
Hootsuite,Hootsuite,social_listening,1,0,,Social media management platform with AI-assisted content generation and analytics.,2,2,Hootsuite | Hootsuite
Illumio,Illumio,security_tool,0,0,,,1,1,Illumio
KnowBe4 PhishER,KnowBe4,security_tool,0,0,,,1,1,Knowbe4 PhishER
Lambient AI Scribe,Lambient,transcription,1,0,,,1,1,via add_product
Yurts AI,Legion (formerly Yurts),general_llm,0,0,,,1,1,Legion (Previously Yurts)
idiCORE,LexisNexis Risk Solutions,investigative_data,0,0,LexisNexis Risk Solutions,,1,1,idiCORE
MCG Energy Solutions Integrated Asset Manager,MCG Energy Solutions,data_analytics,0,0,,Wholesale-energy bid-capture/scheduling/settlement product,1,1,MCG Energy Solutions Integrated Asset Manager
Matroid I4 Viewer,Matroid,computer_vision,0,0,,,1,1,Matroid I4 Viewer
Meltwater,Meltwater,social_listening,0,0,,Media monitoring with AI,6,5,Meltwater | Meltwater | Meltwater
Mural,Mural,productivity,1,0,,,1,1,Mural
NIH SRDMS NLP COI Module,NIH / Deloitte,nlp,0,0,,,1,1,product_queue_review_2026-06: 'SRDMS NLP COI KP/KI Module' matches catalog entry NIH SRDMS NLP COI Module (Deloitte-built for NIH).
NIAMS GenAI Chatbot,NIH NIAMS,general_llm,1,0,,,1,1,NIAMS GenAI Chatbot
Nlets LPR Pointer Index,Nlets,investigative_data,0,0,,Nlets-operated nationwide license-plate-reader pointer index that federates LPR hits across state and local systems.,1,1,Nlets Nationwide License Plate Reader Pointer Index
DeepEMhancer,Open source (CSIC),scientific_ml,0,0,,Deep-learning post-processing tool that sharpens and denoises CryoEM density maps.,1,1,DeepEMhancer
PDRI Automatically-Scored Writing Assessment,PDRI,nlp_specific,0,0,,PDRI's commercial automatically-scored writing assessment used in federal hiring and selection.,1,1,"Personnel Decisions Research Institutes, LLC (PDRI)"
Pearson Q-interactive,Pearson,clinical_decision_support,0,0,,Pearson's tablet-based platform for administering and scoring psychological and cognitive assessments.,1,1,Pearson Assessments
Planmeca Romexis,Planmeca,clinical_decision_support,0,0,,,1,1,Romexis Dental Imaging Software
Precise MLaaS,Precise Software,ml_platform,0,0,,,2,1,Precise MLaaS | Precise MLaaS
Qualtrics,Qualtrics,data_analytics,1,0,,"Experience-management and survey platform with AI-driven sentiment, topic, and text analytics.",3,3,qualtrics | Qualtrics | Qualtrics
RapidAI,RapidAI,clinical_decision_support,0,0,,,1,1,via add_product
RedCastle Forest Health,RedCastle Resources,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: ""RedCastle Resources  Forest Health Detection Monitoring ... detecting tree damage through changes in light patterns collected by satellites"" -- catalog RedCastle Forest "
MSHA AI Headset,ResolveSoft,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: Vendor ""ResolveSoft"", system ""MSHA AI Head Gear"" — catalog MSHA AI Headset (ResolveSoft)."
SAS Analytics,SAS,data_analytics,0,0,,SAS statistical analytics and ML platform used across federal agencies for classification and risk modeling.,8,2,sas | SAS | SAS
Shabash Merops,Shabash,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Shabash Merops Automate and expedite copyediting of scientific manuscripts' — catalog entry 'Shabash Merops'.
Solventum 360 Encompass,Solventum (3M Health Information Systems),document_ai,0,0,,,1,1,solventum 360 encompass
Sprinklr,Sprinklr,social_listening,0,0,,,2,1,Sprinklr | Sprinklr
Synthesia,Synthesia,media_analysis,1,0,,AI video generation with avatars,2,2,Synthesia | Synthesia
Techsmith Audiate,TechSmith,media_analysis,1,0,,TechSmith Audiate is a text-based audio editor with AI transcription and voice cleanup.,2,2,Audiate | Audiate
DocketScope,"The Regulatory Group, Inc.",document_ai,0,0,,,3,3,DocketScope | Docketscope | docketscope
Consular Consolidated Database Facial Recognition,U.S. Department of State,biometrics,0,0,,,1,1,product_queue_review_2026-06: 'Department of State ... Facial Recognition (FR) on Demand report (Visa only) ... Consular Consolidated Database (CCD)' - catalog 'Consular Consolidated Database Facial R
USDA Marbled Murrelet Habitat Mapping,USDA Forest Service / American Museum of Natural History,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""American Museum of Natural History ... Mapping marbled murrelet nesting habitat across the Pacific Northwest"" -- catalog USDA Marbled Murrelet Habitat Mapping."
USDA VegScape/CropCASMA,USDA NASS / George Mason University,scientific_ml,0,0,,,1,1,"product_queue_review_2026-06: ""George Mason University  VegScape/CropCASMA Data Portals Shows crop conditions and soil moisture availability"" -- catalog USDA VegScape/CropCASMA."
Unison PRISM,Unison,productivity,1,0,,Federal contract-writing / acquisition lifecycle software; PRISM 7.6 (2025) added AI document generation,6,5,prism | Unison | prism
Upstream Tech HydroForecast,Upstream Tech,scientific_ml,0,0,,,1,1,Piloting Machine Learning Inflow Forecasts Across Reclamation
Verkada,Verkada,physical_security,0,0,,"Cloud-managed video surveillance, access control, and sensor platform with on-camera AI analytics.",2,2,Verkada | verkada
Welldoc BlueStar,Welldoc,clinical_decision_support,0,0,,,1,1,welldoc bluestar
UpToDate,Wolters Kluwer,clinical_decision_support,0,0,,,1,1,UpToDate
iCatalyst RPA,iCatalyst Inc,rpa,0,0,,,1,1,"product_queue_review_2026-06: ""IPAC RPA Bot"" by iCatalyst Inc — catalog iCatalyst RPA (iCatalyst Inc)."
