canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
Google Agentspace,Google,general_llm,1,0,Google Vertex AI,,2,2,google agentspace | Google Agentspace / NotebookLM,search|assistant,1,medium,"Enterprise agentic search over org data grounded in Gemini, bundled with NotebookLM."
Google Chrome Generative AI,Google,consumer_feature,1,0,Google,,1,1,Google Chrome Generative AI,assistant,1,medium,Chrome's embedded generative writing/help features act as an in-browser copilot.
Google Cloud Platform,Google,general_llm,1,0,Google,,21,5,google | Google Cloud Platform | Google Cloud Platform,ml_platform|genai_platform,1,low,"Umbrella cloud brand that agencies use to host and run ML and generative models (Vertex), though the entry is broad."
Google Distributed Cloud,Google,other,0,0,,,10,1,"product_queue_review_2026-06: Vendor ""OpenAI & Google Distributed Cloud"" — Google Distributed Cloud is a specific Google product missing from catalog; ""OpenAI"" is vendor-only with no product named (ge | product_queue_review_2026-06: Same vendor string ""OpenAI & Google Distributed Cloud"" — GDC is a real Google product absent from catalog; OpenAI vendor-only, not mapped. | product_queue_review_2026-06: Same vendor string ""OpenAI & Google Distributed Cloud"" — GDC is a real Google product absent from catalog; OpenAI vendor-only, not mapped.",none,0,low,On-prem/edge cloud infrastructure; a hosting substrate rather than an AI capability itself.
Google News Brief,Google,consumer_feature,1,0,Google,,4,4,Google News Brief | Google News Brief | Google News Brief,nlp,1,low,"Generates short news summaries, a summarization/analysis capability."
Google Pixel,Google,consumer_feature,0,0,Google,"Google Pixel with on-device AI features (Face Unlock, Magic Eraser)",2,2,Google Pixel | Google Pixel,vision,1,low,Phone whose headline AI is biometric Face Unlock (vision) plus generative photo editing.
Google Vertex AI,Google,general_llm,1,0,Google Cloud Platform,,3,3,google | Google Vertex AI Document workbench | google,ml_platform|genai_platform,1,high,Full data-science platform that also serves and orchestrates generative models.
Google Workspace,Google,productivity,0,0,Google,Google's productivity suite,1,1,Google Workspace,none,0,low,Productivity suite; its Gemini assistant is catalogued separately.
Grammarly,Grammarly,productivity,1,0,,Writing assistant,16,10,grammarly | Grammarly | Grammarly,assistant,1,high,"Writing assistant embedded in user workflows, with generative rewrite/compose (GrammarlyGO) on top of grammar NLP."
GrantSolutions,Department of Health and Human Services,custom,0,0,,,6,1,GrantSolutions | GrantSolutions | GrantSolutions,none,0,low,Grants-management platform; snippets give no evidence of a specific vocabulary AI capability.
GrantSolutions AI Writing Assistant,GrantSolutions (HHS Shared Service),general_llm,1,0,GrantSolutions,,1,1,GrantSolutions AI Writing Assistant,assistant,1,high,Generative writing assistant embedded in the GrantSolutions workflow.
GrantSolutions Helpdesk Agent,GrantSolutions (HHS Shared Service),general_llm,1,0,GrantSolutions,,1,1,GrantSolutions Helpdesk Agent,assistant,1,medium,Generative helpdesk agent answering user support questions.
GrantSolutions Recipient Risk Tool,GrantSolutions (HHS Shared Service),data_analytics,0,0,GrantSolutions,,1,1,GrantSolutions Recipient Risk Tool,none,0,low,Recipient risk-scoring analytics with no clear vocabulary capability.
Grok,xAI,general_llm,1,0,,,2,2,xAI Grok Pilot | Grok,genai_platform,1,high,xAI's general-purpose LLM chat/API surface.
H2O GPTe,H2O.ai,general_llm,0,0,,,1,1,product_queue_review_2026-06: Vendor field 'H2O.GPTe' powering the NBS Virtual Assistant — catalog entry 'H2O GPTe'.,genai_platform,1,high,h2oGPTe generative AI platform powering an assistant.
HHS FITARA Tool,HHS / Deloitte,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'Deloitte FITARA Federal IT Acquisition Reform Act (FITARA) Tool' — catalog entry 'HHS FITARA Tool'.,doc_processing,0,low,Deloitte-built FITARA compliance tool typed as document AI; capability inferred from type with thin evidence.
HRSA AI Audit Resolution Assistant,HRSA / Mindpetal,agent_platform,1,0,,,1,1,product_queue_review_2026-06: 'The DFI PRF AIARA project' by Mindpetal on UiPath Automation Cloud — catalog entry 'HRSA AI Audit Resolution Assistant'.,assistant,1,medium,Mindpetal-built AI assistant on UiPath that helps resolve Provider Relief Fund audits within the workflow.
Harvey,Harvey,legal_research,1,0,,Domain-specific generative AI legal assistant for law firms and legal departments.,1,1,harvey.ai,assistant,1,high,Domain-specific generative AI legal assistant.
HealthData.gov AI Harvest Service,HHS / Tyler Technologies,data_analytics,1,0,,,1,1,HealthData.gov AI Harvest Service,nlp,0,low,AI metadata harvesting/classification of datasets for the catalog.
Hootsuite,Hootsuite,social_listening,1,0,,Social media management platform with AI-assisted content generation and analytics.,2,2,Hootsuite | Hootsuite,nlp,1,low,Social-media management with AI social analytics (nlp) and AI content generation.
IBM ARGOS,IBM,nlp,0,0,IBM Watson,,1,1,IBM ARGOS,nlp,0,low,IBM Watson-family text-processing tool; nlp inferred from product type with little detail.
IBM CoreDF,IBM,document_ai,0,0,IBM Watson,,1,1,IBM CoreDF,doc_processing,0,low,IBM Watson-family document-processing tool inferred from product type.
IBM watsonx Code Assistant,IBM,coding_assistant,1,0,IBM Watson,IBM watsonx Code Assistant including the Code Assistant for Z mainframe modernization variant.,1,1,IBM WatsonX Code Assistant,assistant,1,high,Generative code assistant including mainframe (Z) modernization variant.
INL Classified Subject Area GenAI,DOE Idaho National Lab,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Open source development with INL Advanced Analytics Center of Excellence ... GenAI for Classified Subject Area Categorization' - catalog 'INL Classified Subject Area Gen,genai_platform,1,medium,Generative AI used for classified subject-area categorization.
INL Intelligent Automation,DOE Idaho National Lab,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'AI for Intelligent Automation ... using INL procedures and controlled documents' - catalog 'INL Intelligent Automation' (DOE Idaho National Lab).,genai_platform,1,low,GenAI applied to INL procedures and controlled documents for automation.
ISO ClaimSearch,Verisk,investigative_data,0,0,,Verisk ISO ClaimSearch is the all-claims database with analytics used by NICB and insurers to detect fraud.,1,1,National Insurance Crime Bureau ISO ClaimSearch,none,0,low,Claims database with fraud analytics; predictive analytics outside the vocabulary.
Ideation ReadyAI,Ideation,general_llm,1,0,,,3,1,Ideation ReadyAI | product_queue_review_2026-06: 'Microsoft (Azure Commercial OpenAI Cloud Offerings) ReadyAI Executive Summary GPT' - FEMA GPT built on Azure OpenAI within the ReadyAI platform (catalog 'Ideation ReadyA | product_queue_review_2026-06: 'Microsoft (OpenAI part of Azure Commercial Cloud offerings) ReadyAI OCFO Code Assist GPT' - FEMA GPT on Azure OpenAI within the ReadyAI platform (catalog 'Ideation Ready,genai_platform,1,high,Platform hosting FEMA GPTs built on Azure OpenAI.
Informatica,Informatica,data_catalog,0,0,,,3,3,Informatica | Informatica | Informatica,none,0,low,Data integration/catalog platform; its CLAIRE ML metadata features don't clearly map to a capability.
KESTREL,Maxar,data_analytics,0,0,,,1,1,Maxar KESTREL Aircraft Landing Location Predictor (KESTREL),vision,0,low,"Maxar imagery-derived predictor of aircraft landing locations, an imagery-analysis task."
LANL AI Portal,DOE Los Alamos National Lab,general_llm,1,0,,,2,1,LANL AI Portal | LANL AI Portal,genai_platform,1,medium,Los Alamos internal portal providing staff access to LLM chat/models — a general LLM surface.
LIGER Generative AI Toolkit,"LMI Consulting, LLC",general_llm,1,0,,,1,1,"LMI Consulting, LLC  LIGER Generative AI Toolkit",genai_platform,1,medium,Generative AI toolkit for building GenAI capabilities.
LaserAI,LaserAI,document_ai,1,0,,Commercial systematic-review automation product that uses ML to screen and extract from scientific literature.,1,1,LaserAI,nlp,0,medium,ML screening and extraction from scientific literature (text classification/extraction).
Lasso Security,Lasso Security,security_tool,0,0,,,1,1,Lasso ESS AI Security and Monitoring,none,0,medium,AI/LLM security monitoring tool; security analytics does not qualify.
Lectora AI,ELB Learning,training,1,0,,,1,1,lectora ai,assistant,1,low,E-learning authoring tool with embedded generative course-creation assistant.
Lexis+ AI,LexisNexis,legal_research,1,0,LexisNexis,Legal research AI,2,2,LexisNexis | LexisNexis,assistant|search,1,high,Generative legal-research assistant combining semantic retrieval with drafting.
Lexis+ Protege,LexisNexis,legal_research,1,0,Lexis+ AI,LexisNexis Protege is a personalized generative AI legal assistant; distinct from the broader Lexis+ AI platform.,1,1,Lexis Protege,assistant,1,high,Personalized generative AI legal assistant embedded in the Lexis workflow.
LexisNexis,LexisNexis,investigative_data,0,0,,,6,4,LexisNexis | LexisNexis | lexisnexis,search,0,low,Legal/public-records research brand whose core is retrieval over content.
LexisNexis Risk Solutions,LexisNexis,investigative_data,0,0,LexisNexis,,1,1,REX DBA Lexis Nexis,search,0,low,Public-records and identity/fraud data service centered on record search.
LibreChat,LibreChat (Open Source),general_llm,1,0,,,2,2,librechat | librechat,genai_platform,1,high,Open-source general-purpose LLM chat interface fronting multiple model APIs.
Litera TOA Builder,Litera,legal_research,0,0,,Litera (formerly Levit & James) Word plugin for automated table-of-authorities and legal document drafting.,1,1,Levit & James,nlp,0,medium,Extracts legal citations from documents to build tables of authorities.
Llama,Meta,general_llm,0,0,,,6,5,Llama | llama | llama,genai_platform,1,high,Meta's open-weight generative LLM family; the gen-AI hint of 0 is wrong — Llama is unambiguously a generative model platform.
MAPPRITE,DOE Special Technologies Laboratory,general_llm,1,0,,,1,1,MAPPRITE,genai_platform,1,low,DOE tool flagged as LLM-based; insufficient detail beyond the generative hint.
MCG Energy Solutions Integrated Asset Manager,MCG Energy Solutions,data_analytics,0,0,,Wholesale-energy bid-capture/scheduling/settlement product,1,1,MCG Energy Solutions Integrated Asset Manager,none,0,high,Wholesale-energy bid/scheduling/settlement software; no listed AI capability.
MSHA AI Headset,ResolveSoft,computer_vision,0,0,,,1,1,"product_queue_review_2026-06: Vendor ""ResolveSoft"", system ""MSHA AI Head Gear"" — catalog MSHA AI Headset (ResolveSoft).",vision,0,low,"AI head-gear for mine safety, inferred camera-based hazard detection (vision)."
Magnet Forensics,Magnet Forensics,forensics,1,0,,Digital forensics platform with Magnet Copilot AI features,3,2,"product_queue_review_2026-06: ""These tools include, for example, Cellebrite, Magnet Axiom and Griffeye"" — Magnet Axiom maps to Magnet Forensics, Griffeye to Griffeye Analyze; plain ""Cellebrite"" is ven | Magnet Copilot | Magnet Copilot",vision|assistant,1,low,Forensic media categorization (vision) plus the Magnet Copilot generative assistant.
Mark43,Mark43,investigative_data,1,0,,Cloud-based public-safety records management and CAD platform with AI-assisted report writing.,1,1,Mark43 Public Safety Records,assistant,1,medium,Public-safety records platform with AI-assisted report-writing copilot.
Matroid I4 Viewer,Matroid,computer_vision,0,0,,,1,1,Matroid I4 Viewer,vision,0,high,Matroid computer-vision object/video detection viewer.
MediaViz AI,MediaViz,media_analysis,1,0,,,2,2,MediaViz AI | MediaViz AI,vision,1,low,Media analysis product inferred to include image/video AI with generative features.
Medtronic CareLink,Medtronic,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Remote cardiac-device monitoring network; data telemetry rather than a listed capability.
Medtronic LINQ II,Medtronic,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Insertable cardiac monitor with signal-based arrhythmia detection; no listed capability fits.
Medtronic O-arm O2,Medtronic,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,"Intraoperative imaging scanner hardware, not an AI analysis product."
Merlin,DOE Kansas City National Security Campus,general_llm,1,0,,,1,1,Merlin,genai_platform,1,medium,DOE KCNSC general-purpose LLM ('Merlin').
Microsoft,Microsoft,productivity,0,0,,,20,6,Microsoft | microsoft | Microsoft,none,0,low,Vendor-level umbrella entry with no identifiable product or capability; snippets are just the vendor name.
Microsoft 365 Apps for Enterprise,Microsoft,coding_assistant,1,0,Microsoft 365,,1,1,Microsoft 365 Apps for Enterprise,none,0,low,"Office apps licensing SKU; the gen-AI hint likely reflects Copilot, which is a separate catalog product."
Microsoft 365 Copilot,Microsoft,general_llm,1,1,Microsoft 365,Microsoft's enterprise LLM assistant integrated with Office apps,205,41,Microsoft 365 Copilot | Copilot for Microsoft 365 | Microsoft M365 Copilot,assistant,1,high,Enterprise LLM copilot embedded in Office apps — the rubric's worked example for assistant.
Microsoft 365 Copilot Chat,Microsoft,general_llm,1,1,Microsoft 365 Copilot,The free in-app Copilot chat tier within Microsoft 365 (distinct from the paid M365 Copilot SKU),16,9,Microsoft Copilot Chat | Microsoft Copilot Chat | Microsoft Copilot Chat,assistant,1,high,"Free in-app Copilot chat tier embedded in the Microsoft 365 workflow suite, so assistant rather than standalone platform."
Microsoft Copilot for Security,Microsoft,security_tool,1,0,Microsoft 365,Microsoft's GenAI-assisted security operations copilot,3,3,Microsoft Copilot for Security | Security Copilot | Microsoft Security Copilot,assistant,1,high,GenAI security-operations copilot embedded in the security analyst workflow.
Microsoft Discovery,Microsoft,scientific_ml,0,0,Microsoft,,1,1,Microsoft Discovery,genai_platform,1,low,Microsoft's agentic generative-AI platform for scientific R&D; sparse snippets so the platform framing is uncertain despite the hint of 0.
Microsoft PowerPoint,Microsoft,productivity,0,0,Microsoft 365,,1,1,Microsoft PowerPoint MUI,none,0,high,Presentation software with no standalone AI capability.
Microsoft Sentinel,Microsoft,security_tool,0,0,Microsoft Azure Platform,,4,1,Microsoft Sentinel | Microsoft Sentinel | Microsoft Sentinel,none,0,high,SIEM security analytics; ML-based detection alone does not qualify per the rubric.
MirBot,NIH / Technatomy Axle,nlp,0,0,,,1,1,MirBot,chatbot,0,low,Named bot inferred to provide conversational interaction.
ModelAngelo,Open source (MRC LMB),scientific_ml,0,0,,Deep-learning tool for automated atomic-model building from CryoEM density maps.,1,1,ModelAngelo,vision,0,low,"Deep-learning automated atomic-model building from CryoEM density maps — 3D image interpretation, though it sits at the edge of the vision class."
Monday.com,monday.com,productivity,1,0,,Work-OS with monday AI features,1,1,Monday.com,assistant,1,medium,Work-OS with embedded monday AI generative assistant features.
Mural,Mural,productivity,1,0,,,1,1,Mural,assistant,1,low,Collaborative whiteboard with embedded AI clustering/summarization/generation assistant.
NARA A1 Museum AI,NARA / Cortina,computer_vision,1,0,,,1,1,product_queue_review_2026-06: 'Cortina Exhibit Personalization System (EPS) A1 Museum AI Project' matches catalog NARA A1 Museum AI (NARA / Cortina).,vision,0,low,"Cortina exhibit-personalization system typed as computer vision (visitor sensing), but the record is too thin to be sure of mechanism or generative use."
NEC NeoFace,NEC,biometrics,0,0,,,10,1,NEC | NEC | NEC (algorithm only),vision,0,high,Facial-recognition biometric matching.
NIAID DAIT AIDS Research Prioritization,NIAID / Deloitte,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'DAIT AIDS-Related Research Solution ... suggests prioritization of grant applications' by Deloitte — catalog entry 'NIAID DAIT AIDS Research Prioritization'.,nlp,0,low,Analyzes grant-application text to suggest prioritization; nlp inferred.
NIAID TB Portals (TB DEPOT),NIAID,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'TB DEPOT (Tuberculosis Data Exploration Portal)' matches catalog NIAID TB Portals (TB DEPOT).,none,0,low,"Tuberculosis data exploration portal, primarily a data platform."
NIAID TB Portals Outlier Detection,NIAID,computer_vision,0,0,NIAID TB Portals (TB DEPOT),,1,1,product_queue_review_2026-06: 'TB Portals Outlier Detection Lambda Function' matches catalog NIAID TB Portals Outlier Detection.,none,0,low,Outlier/anomaly detection function with no vocabulary capability.
NLCOO Lessons Learned AI,DOE NETL,search,0,0,,,1,1,"product_queue_review_2026-06: ""NLCOO AI for Lessons Learned tool"" matches catalog entry NLCOO Lessons Learned AI; surrounding text is AWS ATO boilerplate, not a product.",search,0,low,AI tool for searching/retrieving lessons-learned knowledge.
NetDocuments,NetDocuments,document_ai,1,0,,Cloud document and email management for legal/professional services with predictive filing and GenAI features.,1,1,NetDocuments,search|assistant,1,low,Document management with AI search and ndMAX generative drafting features.
NexisXplore,LexisNexis,investigative_data,0,0,LexisNexis,,1,1,NexisXplore,search,0,low,LexisNexis investigative research and retrieval product.
Nlets LPR Pointer Index,Nlets,investigative_data,0,0,,Nlets-operated nationwide license-plate-reader pointer index that federates LPR hits across state and local systems.,1,1,Nlets Nationwide License Plate Reader Pointer Index,none,0,low,Federates license-plate-reader hits as a pointer index; the index itself performs no recognition.
NotebookLM,Google,general_llm,1,0,Google,Google's Gemini-powered research notebook for document Q&A and synthesis,7,4,Google NotebookLM | Google NotebookLM | product_queue_review_2026-06: 'Google Agentspace / NotebookLM ... enable large-scale agent deployment with Google Agentspace' - both catalog entries.,assistant,1,high,"Gemini-powered research assistant for document Q&A, synthesis, and audio overviews."
OATI webSmartTag,OATI,data_analytics,0,0,,Transmission scheduling/e-tagging product,1,1,OATI Transmission Scheduling,none,0,high,Transmission scheduling/e-tagging product for energy markets — no vocabulary AI capability.
ORR Unaccompanied Children Policy Research Tool,HHS Office of Refugee Resettlement,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'Unaccompanied Children Program Policy & Procedure Research Tool' for ORR matches catalog ORR Unaccompanied Children Policy Research Tool.,genai_platform,1,low,Generative policy/procedure research tool inferred as an LLM surface.
OpenAI API,OpenAI,general_llm,1,1,,Direct OpenAI API access (non-Azure),53,14,OpenAI | OpenAI | OpenAI,genai_platform,1,high,Direct OpenAI LLM API access as a general-purpose generative model surface.
OpenAI Codex (legacy model),OpenAI,coding_assistant,1,0,,Deprecated 2021 OpenAI code-generation model that powered the original GitHub Copilot; sunset March 2023. Distinct from the 2025 OpenAI Codex CLI.,1,1,OpenAI Codex,genai_platform,1,high,OpenAI code-generation LLM that powered original GitHub Copilot.
OpenAI Codex CLI,OpenAI,coding_assistant,1,0,,"OpenAI's agentic coding CLI, released April 2025. Terminal-based AI software-engineering agent; peer to Anthropic's Claude Code. Distinct from the deprecated 2021 Codex model.",1,1,"OPM consolidated COTS entry 'Generating code using AI' lists commercial_product 'Codex'; in a 2025 code-generation context this reads as the OpenAI Codex CLI, not the deprecated 2021 model.",assistant,1,high,Agentic terminal-based AI coding assistant peer to Claude Code.
OpenAI Deep Research,OpenAI,other,0,0,,,1,1,product_queue_review_2026-06: 'OpenAI EDAV ... Deep Research for Public Health' — OpenAI's Deep Research product (not in catalog) deployed for CDC on the EDAV platform (catalog product 'EDAV (CDC)').,genai_platform,1,medium,OpenAI agentic LLM research product that generates cited reports.
