canonical_name,categories,gen_ai,confidence,reasoning
USCIS Verification Match Model,nlp,0,low,"Verification record/name matching model; closest fit is nlp text matching."
FTC Sentinel Analytic Sandbox,none,0,low,"An analytics sandbox environment for the Sentinel network with no specific AI capability described."
FTC Sentinel Chatbot,chatbot,0,medium,"Automated chatbots for ReportFraud.ftc.gov and IdentityTheft.gov (conversational front-end)."
FTC Sentinel Developer Productivity,assistant,1,medium,"AI coding-productivity/code-quality assistant for developers."
FTC Sentinel Graph Analytics,none,0,low,"Graph analytics linking complaints; relationship analytics does not map to a listed AI capability."
FTC Sentinel PSC Classification,nlp,0,high,"Automatically classifies consumer complaints by PSC (text classification)."
SRNS AI Drafting Assistant,assistant,1,medium,"AI assistant that drafts operational procedures and training materials (generative)."
SRNS AI Form and Questionnaire Assistant,assistant,1,medium,"AI assistant for completing forms and questionnaires (generative)."
SRNS AI Tailored Learning,none,0,low,"AI-tailored/adaptive learning management; personalization does not map cleanly to a listed capability."
SRNS Computer Vision Defect Detection,vision,0,high,"Computer vision for defect detection."
SRNS Operational Efficiency ML,none,0,low,"Applied ML for operational efficiency with no specific listed capability; predictive analytics only."
BillieGPT,genai_platform,1,medium,"VA general-purpose GPT chat surface (LLM platform)."
VA AI Assist,assistant,1,low,"Generic VA AI assistant; embedded copilot inferred from name."
VA Clinical AI Agent,assistant,1,low,"Clinical AI agent/copilot; assistant inferred, transcription type suggests possible speech component."
VA E2 HelpBot,chatbot,0,medium,"Help bot for the E2 travel system (conversational front-end)."
VA VoiceBot,speech|chatbot,0,medium,"Voice-driven conversational bot combining speech and dialog capabilities."
IBM ARGOS,nlp,0,low,"IBM Watson-family text-processing tool; nlp inferred from product type with little detail."
IBM CoreDF,doc_processing,0,low,"IBM Watson-family document-processing tool inferred from product type."
IBM Watson,ml_platform|nlp,0,medium,"IBM Watson AI platform with core ML and NLP services."
IBM watsonx Code Assistant,assistant,1,high,"Generative code assistant including mainframe (Z) modernization variant."
Salesforce,none,0,medium,"Base Salesforce CRM platform; its AI capability lives in the separately catalogued Einstein."
Salesforce Einstein,assistant,1,high,"Salesforce Einstein/Agentforce embedded CRM AI copilot."
Slack,assistant,1,medium,"Slack with Slack AI, an embedded assistant for summarization and search."
Tableau,assistant,1,medium,"BI platform whose Tableau Pulse/Tableau GPT features act as an embedded generative assistant."
Federal Docket Management System,none,0,low,"Regulatory docket management system with no specific AI capability described."
USAi (GSA),genai_platform,1,high,"GSA's government general-purpose generative-AI platform (usai.gov)."
VAO Ally,assistant,1,low,"Agent/assistant platform ('Ally'); generative assistant inferred from agent-platform type."
Trunet Biometrics,vision,0,high,"Biometric capture and matching system (vision/biometrics)."
Truview,none,0,low,"Truview analytics product with no specific AI capability described."
Aretec EDP,ml_platform,0,medium,"Aretec Enterprise Data Platform supporting analytics and ML workloads at the SEC."
Aretec SEARCH,search,0,medium,"Full-text and analytical search platform across regulatory filings."
FRTIB AVA,chatbot,1,medium,"Converge AVA virtual assistant answering participant questions about the TSP."
FRTIB Fraud Detection,none,0,medium,"Fraud/abuse detection analytics platform; fraud analytics does not map to a listed capability."
NIAID DAIT AIDS Research Prioritization,nlp,0,low,"Analyzes grant-application text to suggest prioritization; nlp inferred."
NIAID OSPIDA Scientific Coding Assistance Tool,nlp,0,medium,"Assists scientific coding/classification of research (text classification), not software coding."
TLOxp,none,0,low,"Investigative record-linking/skip-trace search platform; entity aggregation does not map cleanly to a listed capability."
TransUnion TLOxp,none,0,low,"Investigative background-search/record-linking data product; no clean listed AI capability."
ARANZ Silhouette Wound Imaging,vision,0,medium,"Wound imaging and measurement, a medical-imaging vision capability."
Aidoc BriefCase,vision,0,high,"Radiology imaging AI for triage/detection (medical-imaging vision)."
Altana Atlas,none,0,low,"Entity resolution for global trade/supply-chain data; entity resolution does not map cleanly to a listed capability."
Aretec NEAT,nlp,0,medium,"Market-surveillance tool with name matching and plain-language-to-notation parsing (nlp)."
AveriSource,none,0,low,"Legacy code analysis/modernization tooling with no clearly listed AI capability."
BMC Helix ITSM,none,0,medium,"IT service management platform; no specific AI capability indicated."
Bio-Rad BioPlex 2200,none,0,medium,"Laboratory immunoassay analyzer (instrument), not an AI capability product."
Boston Dynamics Spot,none,0,high,"Robotics hardware platform."
BSEE Corrosion Classifier,vision,0,medium,"Classifies platform corrosion, an image-based classification (vision) capability."
EDAV (CDC),ml_platform,0,low,"CDC enterprise data analytics/visualization environment supporting data-science and ML workloads."
CWTSatoTravel,none,0,high,"Travel management service, not an AI capability product."
Carestream CS 9600,none,0,low,"Dental CBCT imaging scanner (hardware); no distinct AI capability indicated."
Cellebrite Media Classifier,vision,0,high,"Classifies media/images in digital forensic evidence (vision)."
Clearview AI,vision,0,high,"Facial-recognition traveler verification, a biometric vision capability."
Cogitativo,none,0,low,"Healthcare data-science/ML services with no specific listed capability described."
Cortechs NeuroQuant,vision,0,high,"Automated MR brain-imaging post-processing/volumetrics (medical-imaging vision)."
DEA GenAI R&D Sandbox,genai_platform,1,high,"NVIDIA R&D environment to test and prototype generative AI (LLM platform)."
Merlin,genai_platform,1,medium,"DOE KCNSC general-purpose LLM ('Merlin')."
FINDER (ATF),search,0,low,"Sifts/searches violent-crime and firearms-trafficking data (search/retrieval)."
Dentsply Sirona CEREC,none,0,low,"Dental CAD/CAM restoration system (hardware/imaging); no distinct listed AI capability."
Dun & Bradstreet,none,0,medium,"Business/risk data with fraud-anomaly analytics; fraud analytics does not map to a listed capability."
Elastic Stack,search,0,medium,"Elasticsearch/Kibana search and analytics with built-in ML jobs (AI-powered search)."
Espyr Therapy Chatbot,chatbot,1,high,"Text-based mental-health support chatbot (conversational front-end)."
FDA HIVE AI Pilot,genai_platform,1,low,"SAIC HIVE generative-AI pilot for IND review; LLM platform inferred."
Flashpoint,none,0,low,"Threat-intelligence/investigative data platform; security intel does not map to a listed capability."
Genesys Cloud CX,chatbot|assistant,1,medium,"Contact-center platform with virtual agents/bots and agent-assist copilots."
AlphaFold,none,0,low,"Protein-structure prediction model; scientific prediction has no clean listed capability."
Grants.gov Applicant Help Chatbot,chatbot,0,high,"Chatbot answering Grants.gov applicant questions (conversational front-end)."
HRSA PRF Program Chatbot,chatbot,1,high,"PRF program chatbot answering applicant questions."
Hootsuite,nlp,1,low,"Social-media management with AI social analytics (nlp) and AI content generation."
Illumio,none,0,high,"Zero-trust network segmentation security product; no listed AI capability."
KnowBe4 PhishER,none,0,high,"Phishing incident-response security tooling; no listed AI capability."
Lambient AI Scribe,speech,1,medium,"Ambient AI clinical scribe transcribing and drafting notes (speech-to-text plus generation)."
Yurts AI,genai_platform,1,medium,"Yurts/Legion enterprise generative-AI platform; gen_ai hint overridden."
idiCORE,none,0,low,"LexisNexis investigative identity-search/record-linking product; no clean listed capability."
MCG Energy Solutions Integrated Asset Manager,none,0,high,"Wholesale-energy bid/scheduling/settlement software; no listed AI capability."
Matroid I4 Viewer,vision,0,high,"Matroid computer-vision object/video detection viewer."
Meltwater,nlp,0,medium,"Media-monitoring and social analytics (text/sentiment nlp)."
Mural,assistant,1,low,"Collaborative whiteboard with embedded AI clustering/summarization/generation assistant."
NIH SRDMS NLP COI Module,nlp,0,high,"NLP module for conflict-of-interest analysis, explicitly nlp."
NIAMS GenAI Chatbot,chatbot,1,medium,"NIH NIAMS generative-AI chatbot (conversational front-end)."
Nlets LPR Pointer Index,none,0,low,"Federates license-plate-reader hits as a pointer index; the index itself performs no recognition."
DeepEMhancer,none,0,low,"Deep-learning CryoEM density-map denoising/sharpening; scientific image enhancement with no clean listed capability."
PDRI Automatically-Scored Writing Assessment,nlp,0,medium,"Automatically scores written assessments (automated essay scoring, nlp)."
Pearson Q-interactive,none,0,medium,"Tablet platform administering and scoring psychological assessments; rule-based scoring, no listed AI capability."
Planmeca Romexis,none,0,low,"Dental imaging management software; no distinct listed AI capability indicated."
Precise MLaaS,ml_platform,0,medium,"Machine-learning-as-a-service platform."
Qualtrics,nlp,1,medium,"Experience/survey platform with sentiment/topic text analytics (nlp) and generative summaries."
RapidAI,vision,0,high,"Stroke/neuro imaging AI (medical-imaging vision)."
RedCastle Forest Health,vision,0,medium,"Detects tree damage from satellite imagery (remote-sensing image analysis, vision)."
MSHA AI Headset,vision,0,low,"AI head-gear for mine safety, inferred camera-based hazard detection (vision)."
SAS Analytics,ml_platform,0,high,"SAS statistical analytics and ML platform."
Shabash Merops,nlp,0,low,"Automated copyediting of scientific manuscripts (text processing, nlp)."
Solventum 360 Encompass,nlp,0,medium,"Computer-assisted medical coding/CDI using NLP on clinical documentation."
Sprinklr,nlp,0,medium,"Customer-experience/social-media platform with social text analytics (nlp)."
Synthesia,speech,1,low,"AI avatar video generation including synthesized speech; video generation lacks a listed capability, TTS captured as speech."
Techsmith Audiate,speech,1,medium,"Text-based audio editor with AI transcription and voice cleanup (speech)."
DocketScope,nlp,0,low,"Analyzes regulatory docket comments/documents (text analytics, nlp)."
Consular Consolidated Database Facial Recognition,vision,0,high,"Facial recognition on the Consular Consolidated Database (biometric vision)."
USDA Marbled Murrelet Habitat Mapping,none,0,low,"Species habitat distribution modeling; scientific ML with no clean listed capability."
USDA VegScape/CropCASMA,none,0,low,"Remote-sensing crop-condition/soil-moisture data portal; derived-data visualization with no clean listed capability."
Unison PRISM,assistant,1,low,"Acquisition/contract-writing software whose PRISM 7.6 added AI document generation (embedded assistant)."
Upstream Tech HydroForecast,none,0,low,"ML hydrological inflow forecasting model; scientific prediction with no clean listed capability."
Verkada,vision,0,high,"Cloud video surveillance with on-camera AI analytics (object/person detection, vision)."
Welldoc BlueStar,none,0,low,"Digital diabetes management/coaching app; personalized coaching does not map cleanly to a listed capability."
UpToDate,none,0,low,"Clinical evidence reference/lookup; curated medical reference does not map cleanly to a listed capability."
iCatalyst RPA,none,0,high,"Robotic process automation bot (RPA-only)."
