canonical_name,categories,gen_ai,confidence,reasoning
FERC Zvolvant Market Surveillance,none,0,low,"Market-surveillance and fraud-detection analytics with no vocabulary capability."
EPA Agency Records Management System,doc_processing,0,low,"Records management system inferred to classify/process document records."
EPA RCRA PA,none,0,low,"Risk-scoring analytics for hazardous-waste inspections, no vocabulary capability."
NIAID TB Portals (TB DEPOT),none,0,low,"Tuberculosis data exploration portal, primarily a data platform."
NIAID TB Portals Outlier Detection,none,0,low,"Outlier/anomaly detection function with no vocabulary capability."
State Department AI Research Engine (AIRE),genai_platform,1,low,"Generative AI research engine inferred as an LLM surface."
State Department Declassification Review AI,nlp,0,medium,"Analyzes classified document text to support declassification review."
ACCRETE ARGUS,nlp,0,low,"Supply-chain influence analytics inferred to use NLP over open-source text."
AIS Resume Screening Tool,nlp,0,medium,"Screens and matches resume text, an NLP classification task."
AgileMD eCART,none,0,low,"Clinical early-warning risk score with no vocabulary capability."
Alation Data Catalog,none,0,low,"Data catalog whose ML features do not clearly match a vocabulary capability."
Autonomous Surveillance Tower,vision,0,medium,"Surveillance towers using computer-vision object detection."
AttackIQ,none,0,high,"Breach-and-attack-simulation security analytics, excluded per security rule."
BI SmartLINK,vision,0,medium,"Biometric check-in app using facial recognition."
Benefits Manager Virtual Assistant,chatbot,1,medium,"Conversational virtual assistant answering benefits questions."
Bloomberg Government,none,0,medium,"Policy and procurement analytics/BI product with no vocabulary capability."
BLS Expenditure Classification Autocoder,nlp,0,high,"Assigns expenditure classification categories to survey text, an NLP task."
CANDA UEBA,none,0,high,"User-and-entity behavior analytics security tool, excluded per security rule."
Pangolin Lineage,none,0,low,"Bioinformatics lineage-assignment classifier, no vocabulary capability."
CareView Patient Safety System,vision,0,medium,"Computer-vision patient monitoring for safety events."
CellaVision DM1200,vision,0,medium,"Digital blood-cell morphology image analysis."
Citrix,none,0,high,"Virtualization/desktop delivery platform, no AI capability."
Cofense PhishMe,none,0,high,"Phishing simulation with ML triage, excluded per security rule."
Conductor Conduit AI,nlp,1,low,"Document-review/litigation platform inferred to apply NLP with generative features."
Crowdstrike Falcon,none,0,high,"Endpoint security analytics ML, excluded per CrowdStrike rule."
LISA Chatbot,chatbot,1,medium,"Named generative chatbot built on AWS."
SWBTRAC,none,0,low,"DOJ tracking analytics tool with no clear vocabulary capability."
Dataminr First Alert,nlp,0,medium,"Detects real-time events by analyzing public/social text streams."
Doble Test Assistant,none,0,low,"Electrical test-data analysis assistant with no clear vocabulary capability."
Edwards Acumen Hypotension Prediction Index,none,0,low,"Clinical ML hypotension-prediction index, no vocabulary capability."
Equifax Background Screening,none,0,low,"Background-verification data automation with no vocabulary capability."
Elsa (FDA),assistant,1,high,"FDA internal generative AI assistant for document drafting and search."
Fivecast,nlp,0,medium,"OSINT analytics applying NLP over open-source text data."
GAIA AI,vision,0,low,"Named computer-vision product with limited detail."
GlobalComm Video Surveillance,vision,0,medium,"Video surveillance with computer-vision analysis."
H2O GPTe,genai_platform,1,high,"h2oGPTe generative AI platform powering an assistant."
ORR Unaccompanied Children Policy Research Tool,genai_platform,1,low,"Generative policy/procedure research tool inferred as an LLM surface."
HeyGen,speech|vision,1,medium,"Generates synthetic talking-avatar videos with AI voice and image synthesis."
Ideation ReadyAI,genai_platform,1,high,"Platform hosting FEMA GPTs built on Azure OpenAI."
Kiteworks,none,0,high,"Secure file-sharing/governance platform, no AI capability."
LIGER Generative AI Toolkit,genai_platform,1,medium,"Generative AI toolkit for building GenAI capabilities."
Cell Hawk,none,0,low,"Call-detail-record parsing/visualization for investigations, no vocabulary capability."
Lexical Intelligence,nlp,0,medium,"Text/lexical analytics NLP product."
Lyssn,speech|nlp,0,medium,"AI analysis of conversation recordings combining transcription and text analytics."
Mark43,assistant,1,medium,"Public-safety records platform with AI-assisted report-writing copilot."
MediaViz AI,vision,1,low,"Media analysis product inferred to include image/video AI with generative features."
Motorola License Plate Recognition,vision,0,high,"Automated license-plate recognition, a vision capability."
NEC NeoFace,vision,0,high,"Facial-recognition biometric matching."
MirBot,chatbot,0,low,"Named bot inferred to provide conversational interaction."
Nightwing PII Detection,nlp,0,high,"Uses NLP to flag potential PII in text."
OnCue Trial Presentation,none,0,medium,"Trial exhibit presentation/display software with no AI capability."
Imaris,vision,0,medium,"Microscopy image analysis with ML-based segmentation and tracking."
PassiveLogic,none,0,low,"Autonomous building-controls AI with no vocabulary capability."
Pingoo.AI,chatbot,1,low,"AI chatbot platform inferred to be generative."
Poolside,assistant,1,high,"AI coding assistant for developers."
Pyramid Analytics,ml_platform,1,low,"Augmented-analytics BI platform with AutoML and added generative features."
Rank One Computing,vision,0,high,"Face-recognition biometric SDK."
Recorded Future,none,0,low,"Cyber threat-intelligence analytics, treated as security analytics."
Relativity,nlp,1,medium,"E-discovery document review/classification with generative review features."
SAP Concur,none,0,high,"Travel-and-expense management software, no AI capability."
SentinelOne,none,0,high,"Endpoint security ML detection, excluded per security rule."
Smiths Detection TruNarc,none,0,low,"Raman-spectroscopy narcotics classifier, not a vocabulary capability."
Spokeo,none,0,medium,"People-search public-records aggregation, no AI capability."
Supportbench,assistant,1,low,"Customer-support platform with embedded generative AI assist features."
SimplyFile,nlp,0,medium,"ML email categorization/filing, a text classification task."
TeraRecon iNtuition,vision,0,medium,"Advanced medical image visualization and analysis."
FSA Aidan Chatbot,chatbot,0,medium,"Federal Student Aid virtual-assistant chatbot."
ATLAS (Forest Service),none,0,low,"Geospatial analytics/mapping platform, no clear vocabulary capability."
USDA Automated Road Mapping,vision,0,medium,"Extracts roads from imagery, a computer-vision task."
Ultralytics YOLO,vision,0,high,"YOLO object-detection computer-vision model."
EnerGPT,genai_platform,1,medium,"Domain generative AI assistant tuned for energy queries."
Verathon BladderScan Prime PLUS,vision,0,medium,"Ultrasound bladder-volume estimation via ML image analysis."
WellSaid Labs,speech,1,high,"Synthetic voice / generative text-to-speech platform."
Wiz,none,0,high,"Cloud security posture with AI risk prioritization, excluded per security rule."
iCAD ProFound AI,vision,0,high,"Mammography AI detection, a medical-imaging vision capability."
Grok,genai_platform,1,high,"xAI's general-purpose LLM chat/API surface."
