canonical_name,verdict,categories,gen_ai,confidence,reason
VAO Ally,confirm,assistant,1,low,"Agent/assistant platform; generative assistant inferred from type."
Veritone Illuminate,confirm,speech,0,low,"Media analysis/redaction driven by transcription (speech)."
Visual Studio Enterprise,confirm,none,0,medium,"IDE licensing SKU with no standalone AI capability."
Volpara Imaging,confirm,vision,0,high,"AI breast-density/mammography image analysis."
Volta Medical AF-Xplorer,confirm,none,0,low,"AI mapping of cardiac electrograms; signal analysis with no listed match."
Washington Forest Inventory Maps,confirm,vision,0,low,"Remote-sensing ML classifying imagery into forest-inventory maps."
Welldoc BlueStar,confirm,none,0,low,"Digital diabetes coaching app; personalization maps to none."
Westlaw AI,confirm,assistant|search,1,high,"Semantic case-law retrieval plus generative answers."
Whooster,correct,none,0,low,"Public-records skip-trace lookup, not AI semantic search; consistent with TLOxp/idiCORE labeled none."
Wildfire.org Turbo Plan,confirm,genai_platform,1,low,"LLM-powered environmental-planning tool inferred as an LLM surface."
Windsurf,confirm,assistant,1,high,"Codeium AI coding assistant/agentic IDE."
Worker PLUS,confirm,none,0,low,"DOL analytics tool with insufficient detail to assign a capability."
Yurts AI,confirm,genai_platform,1,medium,"Yurts/Legion enterprise generative-AI platform."
Zeiss CLARUS,confirm,vision,0,low,"Fundus imaging device grouped with medical-imaging vision, though AI-analysis component is unclear."
Zoom,confirm,assistant|speech,1,medium,"Zoom AI Companion embedded assistant plus productized transcription."
crYOLO,confirm,vision,0,high,"Deep-learning object detection for cryo-EM particle picking."
iProov,confirm,vision,0,high,"Face biometric liveness verification (vision/biometrics)."
idiCORE,confirm,none,0,low,"Investigative identity-search/record-linking; no clean listed capability."
