child_canonical_name,parent_canonical_name,confidence,reasoning,_agent
Visual Studio,Microsoft,high,Visual Studio is a Microsoft IDE.,ws2_hierarchy
Gemini,Google,high,Gemini is Google's flagship LLM family.,ws2_hierarchy
NotebookLM,Google,high,"NotebookLM is a Google product. Prior pass removed the NotebookLM -> Gemini edge (model-use not sub-SKU), so parent at Google level.",ws2_hierarchy
Google Workspace,Google,high,Google Workspace (formerly G Suite) is Google's productivity SKU.,ws2_hierarchy
Google Cloud Platform,Google,high,GCP is Google's public-cloud platform. Existing Vertex AI / Cloud Vision children move to depth 3.,ws2_hierarchy
Google Translate,Google,high,Google Translate is a Google consumer/API translation product.,ws2_hierarchy
Google Maps,Google,high,Google Maps is Google's mapping product.,ws2_hierarchy
Google Lens,Google,high,Google Lens is Google's image-search/AR product.,ws2_hierarchy
Google Pixel,Google,high,Pixel is Google's phone hardware line.,ws2_hierarchy
Google Chrome Generative AI,Google,high,Chrome is a Google product; generative-AI features ship inside it.,ws2_hierarchy
Google Colab,Google,high,Colab is Google's hosted Jupyter environment.,ws2_hierarchy
Google Coral TPU,Google,high,Coral TPU is Google's edge-AI hardware line.,ws2_hierarchy
Google Earth Engine,Google,high,Earth Engine is Google's geospatial-analysis platform.,ws2_hierarchy
Google Earth Engine Wetlands Classifier,Google Earth Engine,high,Wetlands Classifier is a model running on Google Earth Engine. Two-hop chain (-> Google) stays at depth 3.,ws2_hierarchy
Google News Brief,Google,medium,Google News Brief is a Google consumer-AI feature in the Google News surface.,ws2_hierarchy
reCAPTCHA,Google,high,reCAPTCHA is a Google security/anti-bot product.,ws2_hierarchy
Nuance PowerScribe One,Nuance Dragon,high,derived from add_product by ws1_va: Nuance PowerScribe One is a well-known radiology reporting product with AI assist.,ws1_va
