use_case_id_2024,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,lineage_status,canonical_wave,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing,confidence,canonical_reasoning,wave1_is_generative_ai,wave1_ai_sophistication,wave1_deployment_scope,wave1_entry_type,wave1_reasoning,wave3_reasoning
34337,DOC,National Telecommunications and Information Administration,WAWENETS,,,,,Operation and Maintenance,continued,1,custom_system,0,classical_ml,bureau,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0,low,"Says 'WAWENETS' — classical ML pipeline, National Telecommunications and Information Administration-scoped.",0,classical_ml,bureau,custom_system,"Says 'WAWENETS' — classical ML pipeline, National Telecommunications and Information Administration-scoped.",
34347,DOC,NOAA - National Oceanic and Atmospheric Administration,Coral Reef Watch,,Remote sensing data interpretation and prediction,,,Initiated,retired_2024,1,custom_system,0,computer_vision,pilot,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0,low,"Says 'Remote sensing data interpretation and prediction' — computer-vision task, pilot/initiated stage.",0,computer_vision,pilot,custom_system,"Says 'Remote sensing data interpretation and prediction' — computer-vision task, pilot/initiated stage.",
34358,DOC,NOAA - National Oceanic and Atmospheric Administration,AI Total Precipitable Water estimation,,,None of the above.,,Initiated,retired_2024,1,custom_system,0,predictive_analytics,pilot,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0,low,"Says 'AI Total Precipitable Water estimation' — predictive ML model, pilot/initiated stage.",0,predictive_analytics,pilot,custom_system,"Says 'AI Total Precipitable Water estimation' — predictive ML model, pilot/initiated stage.",
34440,DOE,FNAL - Fermi National Accelerator (SC43 OIM),high level synthesis for machine learning (previously hls4ml),hls4ml is used to implement specialized AI algorithms in embedded hardware.  This is valuable across a wide range of scientific applications for enabling real-time processing capabilitles.  This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,It can be an AI algorithm from prediction to data compression to control (decision making).,None of the above.,Developed in-house.,Acquisition and/or Development,continued,1,custom_system,0,predictive_analytics,bureau,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0,high,"Says 'prediction' — predictive ML model, FNAL-scoped.",0,predictive_analytics,bureau,custom_system,"Says 'prediction' — predictive ML model, FNAL-scoped.",
34448,DOI,OCIO,DOIChatGPT AI Chatbot,"Create for DOI users a secure space to chat with a Large Language Model without leaving our security boundary.

This is a customized version of Microsofts Govchat repo deployed as an azure app service on the internal network with entra authentication, using DOIChatGPT APIM as the back end AI service provider.",See description,Searching for information using AI.,,Implementation and Assessment,retired_2024,1,bespoke_application,1,general_llm,department,0,1,,0,,,,,,,,,inference_only,mission_critical,0,medium,"""Large Language Model"" indicates LLM/chatbot deployment.; department scope, in-house wrap on third-party model",1,general_llm,department,bespoke_application,"""Large Language Model"" indicates LLM/chatbot deployment.; department scope, in-house wrap on third-party model",
34457,DOI,NPS,CESU project to detect of bird nests using deep learning to support annual colonial bird monitoring,"This work is already being accomplished via a cooperative agreement with a university (Florida International University)

The National Park Service (NPS), has been monitoring colonial nesting birds monthly via low level aerial photography from a helicopter platform in Biscayne National Park since 2010. These photographs are processed to determine the number of active nests for specific focal species: Double-crested Cormorants, Great Egrets, Great White Herons, Great Blue Herons, White Ibises, and Roseate Spoonbills. NPS now has 13 years of data which is composed of 64,350 uniquely identified nests and 57,793 birds representing.

This monitoring is time consuming and needs to be accomplished consistently and accurately. Currently, the aerial photos are processed by individuals. Which takes substantial time and effort. We propose to explore the creation of automatic script that would allow the active nest to be identified using software. The goal of this project is to explore software programs and create automatic script that can identify potential bird nests on the photograph and to highlight this area on the photograph. By developing a robust object detection model, researchers can monitor bird colonies and their populations more efficiently, e.g. by consistently identifying nests with software which will allow the tracking of nesting patterns with less person effort needed to accomplish this task. It will also help to control observer detection variation over time.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Data not reported by submitter and will be updated once additional information is collected,Implementation and Assessment,renamed,1,custom_system,0,computer_vision,bureau,0,,,0,,,,,,,,,unknown,mission_critical,0,medium,"""object detection"" → imagery/CV model.",0,computer_vision,bureau,custom_system,"""object detection"" → imagery/CV model.",
34481,DOI,BOR,Data Driven Sub-Seasonal Forecasting of Temperature and Precipitation,"Reclamation has run 2, year-long prize competitions where particants developed and deployed data driven methods for sub-seasonal (2-6 weeks into future) prediction of temperature and precipitation across the western U.S. Particpants outperformed benchmark forecasts from NOAA. Reclamation is currently working with Scripps Institute of Oceanography to further refine, evaluate, and pilot implement the most promising methods from these two copmetitions. Improving sub-seasonal forecasts has significant potential to enhance water management outcomes.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Implementation and Assessment,retired_2024,1,custom_system,0,predictive_analytics,pilot,0,,,0,,,,,,,,,custom_trained,mission_critical,0,high,"""prediction"" → predictive/forecasting model.; pilot/prototype, in-house build",0,predictive_analytics,pilot,custom_system,"""prediction"" → predictive/forecasting model.; pilot/prototype, in-house build",
34546,DOI,USGS,Predicting inundation dynamics of small forested wetlands,This project aims to help land managers in the Upper Midwest understand the wetting/drying dynamics of small wetlands relevant to amphibians. The approach will leverage field observations of wetland water levels as training data in a random forest model.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Acquisition and/or Development,continued,1,custom_system,0,predictive_analytics,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""Predicting inundation dynamics of small"" → predictive/forecasting model.; in-house build",0,predictive_analytics,bureau,custom_system,"""Predicting inundation dynamics of small"" → predictive/forecasting model.; in-house build",
34547,DOI,USGS,Hydrograhy feature extraction from remotely sensed data,"Surface water features shown on maps, also known as hydrography, show the available water that can greatly influence the quality of life and the environment. Mapping hydrography is a complex task because the amount and distribution of surface water continuously varies with weather conditions. This research is testing machine learning techniques to develop models that predict the location of surface water from remotely sensed elevation and image data. Machine learning techniques are methods that train a model based on existing hydrography features in training area. After training a model, it can be applied to other areas where hydrography data do not exist, and the model can potentially be applied to new remote sensing data to help update hydrography features over time.",see description,None of the above.,Developed in-house.,Initiated,retired_2024,1,custom_system,0,computer_vision,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""remote sensing"" → imagery/CV model.; in-house build",0,computer_vision,bureau,custom_system,"""remote sensing"" → imagery/CV model.; in-house build",
34576,DOI,USGS,Machine Learning Image Classification,"The mission of the PLACE (Patterns in the Landscape - Analyses of Cause and Effect) project is to inform land managers, planners and researchers about historical and current changes to human and natural environments. PLACE focuses on floods, droughts, and fires, which are increasing in severity, extent and frequency around the globe. The PLACE project utilizes random forest machine learning to classify wetlands and soil moisture at large scales, and to quantify causal processes behind wildfire.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Implementation and Assessment,renamed,1,custom_system,0,computer_vision,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""machine learning"" → imagery/CV model.; in-house build",0,computer_vision,bureau,custom_system,"""machine learning"" → imagery/CV model.; in-house build",
34586,DOI,USGS,Shoreline modeling,"We're trying to evaluate the prospect of using AI/ML methods/models (e.g., LSTM, CNN, Transformers) to predict shoreline evolution and compare their accuracy to traditional physics-based models.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Implementation and Assessment,retired_2024,1,custom_system,0,computer_vision,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""CNN"" → imagery/CV model.; in-house build",0,computer_vision,bureau,custom_system,"""CNN"" → imagery/CV model.; in-house build",
34591,DOI,USGS,Coastal Ecosystem Prediction System,"The USGS is partnering with NOAA National Centers for Coastal Ocean Science to co-develop an integrated, national-scale framework for projecting wetland vulnerability to sea level rise. Multi-model ensemble predictions will show a range of possible future conditions and inform the protection of coastal communities, economies and their natural resources.",see description,None of the above.,Developed in-house.,Initiated,retired_2024,1,custom_system,0,predictive_analytics,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""predictions"" → predictive/forecasting model.; in-house build",0,predictive_analytics,bureau,custom_system,"""predictions"" → predictive/forecasting model.; in-house build",
34602,DOI,USGS,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,"In measurements of natural systems, incomplete time-series data are the rule, not the exception. Environmental time-series data may suffer from gaps at a variety of time scales, significantly reducing the number of observations to understand phenomena, identify change, calibrate models, and predict future behavior. Data may be missing because of sensor degradation (e.g., biofouling, mechanical issues, power failure), failure to meet basic quality assurance checks, or resampling of paired observations to a common timestamp.

Decades of water-quality time-series data (e.g., turbidity, salinity, temperature) collected throughout the San Francisco Bay-Delta (SFBD) by a variety of agencies including USGS, CA DWR, USBR, USFWS, and USACE are used as a critical indicator of estuary health. These data are no exception to the rule and contain numerous gaps. While bad data points can be relatively straightforward to identify (e.g., as anomalously high or low values), they are challenging to replace and are often flagged and left blank, which can bias long-term observational records.

We will test and develop several (~5) proposed methods to fill gaps in water-quality time-series data and quantify the uncertainty in those estimates. The methods will range in complexity, from linear regression to machine learning and deep learning approaches (Lepot and others, 2017), and will characterize uncertainty in the filled data (Cox and others, 2003).  For this proposal, we will initially restrict our scope to turbidity data, because of the relatively high biofouling rate of the optical sensors typically used to measure turbidity, as well as its ecological significance. In addition, we are already actively implementing one of the methods to fill gaps in turbidity data collected in a south S.F. Bay salt-marsh tidal creek (Figure 1) as part of a project investigating temporal variability in sediment delivery to marshes funded by the S.F. Bay Regional Monitoring Program.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,None of the above.,Developed in-house.,Acquisition and/or Development,continued,1,custom_system,0,predictive_analytics,bureau,0,,,0,,,,,,,,,custom_trained,research,0,high,"""estimates"" → predictive/forecasting model.; in-house build",0,predictive_analytics,bureau,custom_system,"""estimates"" → predictive/forecasting model.; in-house build",
34616,DOI,BOR,Machine Learning Applied to Geotechnical Engineering: Statistical Methods Applied to Seismic Analysis 1,Purpose is to create machine learning models that predict soil liquefaction during a seismic event and compare to the geotechnical case history database to gain confidence in the machine learning estimates. The expected benefits are the existence of another tool for geotechnical staff to predict the probability of liquefaction and reducing the amount of more complex approaches to be conducted.,"Prediction of liquefaction potential at input site, as it compares to existing case history dataset.",None of the above.,Developed in-house.,Implementation and Assessment,renamed,1,custom_system,0,predictive_analytics,bureau,0,,,0,,,,,,,,,custom_trained,mission_critical,0,high,"""estimates"" → predictive/forecasting model.; in-house build",0,predictive_analytics,bureau,custom_system,"""estimates"" → predictive/forecasting model.; in-house build",
34667,DOL,OCIO,SnagIT,"SnagIT provides tools for quickly capturing, editing, and sharing visual content. SnagIt's Optional Character Recognition streamlines the process for extracting and reusing text from images.","Screenshots and screen recordings.  SnagIt AI’s Grab Text
Image Generation
Automatic Captions
Automatic Titles",Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Acquisition and/or Development,retired_2024,1,product_deployment,0,computer_vision,office,,,,1,Snagit,TechSmith,,,,,,,inference_only,administrative,0,high,'SnagIt's Optional Character Recognition' — COTS OCR.,0,computer_vision,office,product_deployment,'SnagIt's Optional Character Recognition' — COTS OCR.,
34673,DOL,OCIO,Periscope Mobile App,"Periscope the place to show what’s happening in your world, creating vibrant communities and making the app what it was. The Periscope mobile app will be discontinued on March 31, 2021, but live video will live on as an important part of the conversation on Twitter.","NLP, Communications",Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,retired_2024,1,product_feature,0,classical_ml,office,,,,1,Periscope,Twitter,,,,,,,inference_only,administrative,0,low,'Periscope mobile app will be discontinued' — minimal AI exposure.,0,classical_ml,office,product_feature,'Periscope mobile app will be discontinued' — minimal AI exposure.,
34707,EPA,Office of Reseach and Development,Machine learning-assisted literature screening,"The purpose is to help scientists in screening references by using machine learning to rank references by title and abstract based on relevance as determined from a set of ""on topic"" and ""off topic"" references. The benefits are that scientists will more efficiently identify relevant references for consideration in the development of scientific assessments.","The machine learning tools support scientists in screening references by providing those references in a ranked order. That ranked order may or may not be based on seed references that are ""on topic"" and/or ""off topic. The screening tools build a model based on what the screener identifies for ""inclusion"" and ""exclusion"". This ranked set of references allows scientists to more quickly identify relevant references. Some of these tools also provide an estimate or recall, or the percentage of relevant references identified.",Searching for information using AI.,,Operation and Maintenance,renamed,1,custom_system,0,nlp_specific,office,,,,0,,,,,,,,,custom_trained,research,0,high,'machine learning to rank references by title and abstract' for ORD literature review.,0,nlp_specific,office,custom_system,'machine learning to rank references by title and abstract' for ORD literature review.,
34725,GSA,GSA IT (IDT),ServiceNow Virtual Agent (Curie),"Virtual agent that uses ML to provide predictive results for chat entries. A natural language chatbot (virtual assistant), we named Curie, as part of a multi-model customer service experience for employee's IT service requests leveraging knowledge-based articles.",Text response generated the most likely answer base on the user input.,None of the above.,Developed with contracting resources.,Initiated,continued,3,product_deployment,0,nlp_specific,office,,,,1,ServiceNow Virtual Agent,ServiceNow,,,,,,,inference_only,it_operations,0,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",0,nlp_specific,office,product_deployment,'Virtual agent that uses ML... natural language chatbot... named Curie'.,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight"
34748,HHS,ACF,Ask HR Policy,"This project provides a resource for ACF Executive Officers/Administrative Officers and managers to easily navigate Human Resources (HR) Policy documentation and quickly get answers to their questions that are based on the official HR Policy Library that is on the HHS.gov website (https://www.hhs.gov/about/agencies/asa/ohr/hr-library/index.html)

Ask HR Policy provides a secure interface permissioned only to select ACF Executive Officers and Administrative Officers.  Users type in questions about managing employees covered by the HR Policy Library, and Ask HR Policy provides a narrative of its “thought process” then suggests an answer based in the documentation, alongside links that take the user to the relevant section of the official document.",We are using LLMs to analyze the questions inputted by users. The AI model synthesizes the provided documentation sources and then summarizes and answers the users questions with cited sources.,None of the above.,Developed with contracting resources.,Operation and Maintenance,continued,3,bespoke_application,1,general_llm,bureau,0,,,1,,,,,,,,,inference_only,administrative,,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",1,general_llm,bureau,bespoke_application,In-house wrapper/RAG over foundation model: 'using LLMs to analyze the que' → general_llm.,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight"
34805,HHS,CDC,ChatCDC - CDC Enterprise Generative AI Chatbot (Ideation),"CDC has an internal productivity tool available to all CDC staff which can be used in a variety of ways. This use case covers staff who will be using this general purpose to assist with the development of ideas or to overcome writers block in different tasks. When doing a task, staff can ask this tool to ask questions to help evolve any ideas being developed. Currently, CDC has internal Generative AI guidance determining how this tool can be used, and individual Centers, institutes, or Offices may implement their own policy to ensure safe and responsible AI. 

This tool enables CDC staff to have the productivity benefits of Generative AI powered chatbots without any of the security risks of 3rd party AI powered general purpose chatbots. This ensures staff can provide information regarding a current task along with general information with current tasks to help organize thinking, actions to take, and developing ideas for staff to use or reject as a part of their process. This reduces the time spent by staff dealing with situations such as writers block.","This chatbot, powered by Azure OpenAI Large Language Models, will generate responses to questions asked by the user. The chatbot's output can then be copied and pasted or manually entered into the appropriate testing process by the staff to ensure any code used from the chatbot's output meets the criteria of the current task. The output must be copied and pasted or manually entered somewhere for the output to be used by staff.",None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,retired_2024,1,product_deployment,1,general_llm,bureau,0,1,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,inference_only,administrative,,high,Named product deployment: 'red by Azure OpenAI Large' → general_llm.,1,general_llm,bureau,product_deployment,Named product deployment: 'red by Azure OpenAI Large' → general_llm.,
34829,HHS,CMS,Central Data Abstraction Tool-Modernized (Modernized-CDAT)- Intake Process Automation (PA) Tool,"Intake PA uses advanced capabilities (NLP, OCR, AI, ML) to automate, modernize, and reduce manual efforts related to medical record review functions within MA RADV audits

Eliminates manual review of Medical Record (MR) submissions, expedites the Intake process and realizes cost savings in both time and resources.",The PA-BOT tool will replace the RADV audit Intake manual functions for Steps 2 & 3 of the RADV audit process.  The RADV Intake process conducts a review of the MAO Medical Record (MR) submissions and validates that the MR submissions from MAOs have met RADV audit intake requirements and can proceed to MR abstraction/coding.,None of the above.,Developed with contracting resources.,Operation and Maintenance,retired_2024,3,bespoke_application,0,computer_vision,bureau,0,,,1,,,,,,,,,unknown,mission_critical,,high,internal_inconsistency: applied proposed correction (entry_type=product_deployment but tool_product_name is empty),0,computer_vision,bureau,product_deployment,"Named product deployment: 'NLP, OCR, AI, ML) to automat' → computer_vision.",internal_inconsistency: applied proposed correction (entry_type=product_deployment but tool_product_name is empty)
34839,HHS,CMS,MSP Assignment Bot,"This impacts automatically retrieving records from a contractor's system, and importing them into an internal OPOLE Access database.  Once populated in the database the record is assigned to staff to review and adjudicate.

Pulls more cases out of BCRC and assigns much faster than an analyst. By allowing BOT to pull and assign cases instead of an analyst, this approach provides maximum time for staff to process cases which decreases the response time.",The Medicare Secondary Payer Operations Group (MSPOG) uses a BOT to pull compromise cases out of BCRC and assign to staff in our internal Management Information System (MIS),None of the above.,Developed in-house.,Implementation and Assessment,retired_2024,1,custom_system,0,classical_ml,bureau,0,,,0,,,,,,,,,custom_trained,administrative,,medium,"In-house classical_ml system: 'This impacts automatically retrieving records from a contractor's system, and importing'.",0,classical_ml,bureau,custom_system,"In-house classical_ml system: 'This impacts automatically retrieving records from a contractor's system, and importing'.",
34866,HHS,CMS,Improved Data Quality Checks,"Improve consumer experience by providing an asynchronous solution to detect and provide near real time feedback via outreach to the consumer shortening the overall return cycle time without requiring UI changes. 

Improvement of user experience",develop a POC classifier model to identify incorrect document upload types / low-quality images through use of OCR.,None of the above.,Developed with contracting resources.,Acquisition and/or Development,continued,3,product_deployment,0,computer_vision,bureau,0,,,1,,,,,,,,,unknown,administrative,,high,drift_legitimate — kept 2024 tag as filed,0,computer_vision,bureau,product_deployment,Named product deployment: 'low-quality images through use of OCR' → computer_vision.,drift_legitimate — kept 2024 tag as filed
34879,HHS,HHS,News from commercial publisher such as Google News,"Major news publishers, such as Google News, send selective news based on users' preferences and recent visits.",The outputs from these news providers are more customized news feeds.,Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,retired_2024,1,custom_system,0,classical_ml,department,0,,,,,,,,,,,,unknown,administrative,,medium,"In-house classical_ml system: 'Major news publishers, such as Google News, send selective news based on'.",0,classical_ml,department,custom_system,"In-house classical_ml system: 'Major news publishers, such as Google News, send selective news based on'.",
