use_case_id_2024,agency_abbreviation,use_case_name,verdict_is_generative_ai,verdict_ai_sophistication,verdict_deployment_scope,verdict_entry_type,verdict_tool,notes,auditor_confidence
34945,HHS,Detection of Implementation Science focus within incoming grant applications,correct,correct,correct,debatable,correct,NLP/ML grant classifier — sounds custom-built ('This tool uses NLP and ML to calculate a score') but tagged product_deployment with is_cots=1 and no named product. entry_type is debatable.,medium
34977,HHS,NLM-Gene: towards automatic gene indexing in PubMed articles,correct,correct,correct,correct,correct,NLP + DL for gene name extraction from biomedical text. nlp_specific and custom_system correct.,high
35084,STATE,Innovation and Transformation Measurement and Prediction,correct,correct,correct,debatable,correct,Causal impact ML for consular services. predictive_analytics correct. bespoke_application vs custom_system is debatable for a planning/research methodology.,medium
35094,STATE,Apptio,correct,correct,correct,correct,correct,Apptio commercial COTS for financial forecasting. Apptio/Apptio named in narrative. All tags correct.,high
35095,STATE,DT Data Analytics and Assessment (DAA) AI Use Case ITCP data harvest,correct,correct,correct,debatable,correct,Unstructured text parsing to structured data — nlp_specific correct. bespoke_application vs custom_system is debatable for a planned data parsing tool.,medium
35113,STATE,Topic Modeling,correct,correct,correct,correct,correct,Text clustering/topic modeling with Python. nlp_specific and custom_system correct.,high
35114,STATE,Forecasting,correct,correct,correct,correct,correct,"Statistical forecasting (COVID, violence). predictive_analytics and custom_system correct.",high
35122,STATE,Digital Media Analytics Platform,correct,correct,correct,correct,correct,"Neural machine translation for media articles — NMT is nlp_specific by convention, not GenAI. office scope and custom_system correct.",high
35192,USAID,"Chemonics International Inc.'s ""Disinformation Monitoring and Sentiment Analysis""",correct,correct,correct,correct,correct,Social media sentiment analysis for disinformation monitoring. nlp_specific and custom_system correct.,high
35193,USAID,PEER 8-161: A wood species identification tool to aid in compliance and enforcement of Peruvian timber regulations,correct,off_by_one,correct,correct,correct,Xylotron uses image scanning to match wood species — computer_vision better fits than classical_ml. off_by_one.,high
35196,USAID,USING PREDICTIVE ANALYTICS TO IMPROVE CARE,correct,correct,correct,correct,correct,Child malnutrition risk prediction model. predictive_analytics and custom_system correct.,high
35209,USAID,Global Antimicrobial Resistance Surveillance System,correct,correct,correct,correct,correct,WHO GLASS surveillance/reporting system. Weak AI content — classical_ml is assumed by convention. All tags are reasonable given sparse narrative.,low
35210,USAID,GXAlert,correct,correct,correct,correct,correct,Diagnostic device data integration and reporting system (GXAlert/System One). Thin AI narrative. classical_ml assumed. System One named in narrative but not commercial AI product per se.,low
35213,USAID,DeepGreen Ukraine,correct,off_by_one,correct,correct,correct,Satellite imagery analysis for deforestation detection — computer_vision better fits than classical_ml. off_by_one.,high
35230,USAID,Amazonía Mia - AI for environmental law enforcement in Colombia,correct,correct,correct,correct,correct,Environmental crime/deforestation AI tool. Vague narrative but classical_ml and custom_system are reasonable.,low
35237,USAID,Project Data Machine: Open governance data in Colombia,correct,off_by_one,correct,correct,correct,"Open governance data integration tool — reads like ETL/data pipeline, not ML. classical_ml is unsubstantiated. off_by_one is generous; could be incorrect. No AI vocabulary in narrative.",medium
35270,USAID,ESDB/IDEA Series Classification,correct,correct,correct,correct,correct,Category suggestion ML for economic indicators. classical_ml (text classification) and custom_system correct.,high
35294,USAID,"AI translation of water, sanitation, and hygiene learning materials",correct,off_by_one,correct,correct,correct,AI translation of WASH materials — nlp_specific fits better than classical_ml for machine translation. off_by_one.,high
35321,USDA,Detection of Pre-symptomatic HLB Infected Citrus,correct,correct,correct,correct,correct,Drone imagery CV model for citrus disease detection. computer_vision and custom_system correct.,high
35360,USDA,Dam Inspection Report Document Processing,correct,correct,correct,correct,correct,Document OCR/NLP for dam inspection reports with MS Power BI. nlp_specific and product_deployment correct. MS Power Platform/Microsoft correctly identified.,high
35640,VA,ECG/EKG Machines- Interpretation of Results,correct,correct,correct,correct,correct,In-house ECG interpretation software. classical_ml (signal pattern recognition) and custom_system correct.,high
35641,VA,Appointment Comments Categorization,correct,correct,correct,correct,correct,Mental health alert classification from appointment comments. classical_ml and custom_system correct.,high
35654,VA,Roche Digital Pathology,correct,correct,correct,correct,missing,Roche Digital Pathology is a named commercial product in use_case_name. tool_product_name is blank — should be 'Roche Digital Pathology'. verdict_tool=missing.,high
35662,VA,TrueFidelity CT Deep Learning Image Reconstruction,correct,off_by_one,correct,incorrect,missing,TrueFidelity is a GE Healthcare commercial CT reconstruction product (named in use_case_name). entry_type=custom_system is incorrect — should be product_deployment. tool_product_name blank for a named commercial product = missing.,high
35674,VA,National Training Team | Schools — FAQ Dashboard,incorrect,off_by_one,correct,debatable,correct,"Narrative says 'generate a sample question based on the category' — this is a generative task, is_generative_ai should be 1. classical_ml is also weak for Q&A generation — nlp_specific or general_llm would be better. product_deployment with no named product is debatable.",medium
35675,VA,Audit of Service Connection Designations Associated with Prescriptions,correct,correct,correct,correct,correct,Binary fraud/abuse classifier. classical_ml and custom_system correct. Thin narrative.,medium
35678,VA,"Prostate Cancer, Genetic Risk, and Equitable Screening Study (ProGRESS) - Prostate Cancer Risk Prediction Model",correct,off_by_one,correct,correct,correct,LASSO Cox survival model for prostate cancer risk stratification. predictive_analytics is more precise than classical_ml. off_by_one. Wave 3 correctly rejected wave1's general_llm/generative tag.,high
35687,VA,ESD-Speech Sentiment and Analytics,incorrect,off_by_one,correct,debatable,correct,Speech sentiment analysis for service desk — the narrative has no generative AI indicators. is_generative_ai=1 appears to come from the OMB checkbox phrase (not a valid vendor signal per rubric). general_llm→nlp_specific is off_by_one if truly non-generative. bespoke_application vs custom_system debatable.,high
35773,VA,Classify clinical pathway for cancer patients,correct,correct,correct,correct,correct,Explicitly uses 'open-source generative large language model'. All tags correct.,high
35776,VA,Adobe Creative Cloud,incorrect,incorrect,correct,incorrect,missing,Adobe Creative Cloud is explicitly named; outputs include 'AI art' which is generative. is_generative_ai=0 incorrect. classical_ml incorrect for image generation. custom_system incorrect — should be product_deployment. tool_product_name blank for named commercial product.,high
35794,VA,Intelligent 2D,correct,correct,correct,correct,correct,"Synthetic mammography 2D from 3D — medical imaging CV, not classified as GenAI. computer_vision and custom_system correct.",high
35820,VA,VA CART Percutaneous Coronary Intervention SYNTAX Score,correct,correct,correct,correct,correct,PCI 30-day mortality risk model. predictive_analytics and custom_system correct.,high
35845,VA,Transcription Services,incorrect,off_by_one,correct,debatable,correct,Transcription service (ASR) — not inherently generative AI. is_generative_ai=1 is incorrect. general_llm→nlp_specific is off_by_one. bespoke_application vs product_deployment is debatable without a named product.,high
35952,DOJ,Supply Chain Analytics,correct,correct,correct,correct,correct,Drug market supply chain analytics. classical_ml and custom_system correct. Sparse AI vocabulary.,medium
35967,DOJ,Data & Analytics: Financial and Cryptocurrency Transactions 1,incorrect,incorrect,correct,correct,correct,Financial/crypto transaction pattern analysis — no GenAI indicators in narrative. is_generative_ai=1 incorrect. agentic is incorrect — this is classical ML/analytics pattern matching. wave3 adopted wave2 correction that appears wrong here.,high
35988,DOJ,General Web Search,correct,correct,correct,correct,correct,Standard web search (Google/Bing). classical_ml for ranking. department/generic_use_pattern correct.,high
35995,DOJ,Parallel Search from CaseText,correct,off_by_one,correct,debatable,missing,CaseText Parallel Search is a named commercial legal AI product. tool_product_name blank = missing. Semantic search is nlp_specific not classical_ml (off_by_one). generic_use_pattern vs product_deployment is debatable for a named commercial product.,high
36022,DOJ,Autonomous Detection and Monitoring (Procurement ID: 15F06721P0002431),correct,correct,correct,correct,correct,Open source threat intelligence analytics. classical_ml and custom_system correct.,medium
36036,DOJ,Gemini,correct,correct,correct,correct,correct,Google Gemini LLM for grammar/content generation. All tags correct. is_google=1 correct.,high
36066,DOJ,Cyber Network Analysis for OCDETF MIS,correct,correct,correct,correct,correct,Network anomaly detection for cybersecurity. predictive_analytics and pilot correct.,high
36080,DOJ,Dragon,correct,correct,correct,incorrect,missing,Dragon is a named Nuance/Microsoft commercial speech recognition product. entry_type=custom_system incorrect — should be product_deployment. tool_product_name blank for named commercial product = missing.,high
36093,DOJ,EEG - Live Captioning,correct,off_by_one,correct,incorrect,missing,EEG is a commercial real-time captioning vendor named in use_case_name. entry_type=custom_system incorrect — should be product_deployment. nlp_specific fits better than classical_ml for ASR captioning. tool_product_name blank = missing.,high
36129,ED,Generative AI Usage,correct,correct,correct,correct,correct,General LLM usage for document summarization. All tags correct.,high
36143,ED,Generative AI Usage,correct,correct,correct,correct,correct,LLM DLP filter testing. general_llm and generic_use_pattern correct.,high
36179,ED,AWS Bedrock- Amazon Bedrock in FSA EDMAPS Assessment for the Department Use,correct,correct,correct,correct,correct,AWS Bedrock explicitly named. bespoke_application on foundation model platform correct.,high
36209,DOT,"Geolocating and Identifying Vehicle Hard Brake, Acceleration and Seat Belt Usage with CV Data",correct,correct,correct,correct,correct,Traffic safety AI/ML analytics on connected vehicle data. classical_ml and custom_system correct.,high
36212,DOT,Enterprise Knowledge Graph and Advanced AI Data Structures Collaboration Group,correct,off_by_one,correct,correct,correct,Knowledge graph + AI data structures collaboration — more structural/semantic than classical_ml. off_by_one. enterprise_wide correct given cross-agency scope.,medium
