use_case_id_2024,tagged_by_agent,confidence,reasoning,entry_type,is_generative_ai,ai_sophistication,deployment_scope,scope_detail,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing
34167,wave3-P1,medium,"tagging_error_2024: adopted proposed correction (updated entry_type, ai_sophistication, is_general_llm_access, tool_product_name, tool_vendor)",product_deployment,0,general_llm,bureau,CBP,0,1,0,,Aretec SEARCH,Aretec,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34175,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic),custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34176,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34185,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift computer_vision→agentic),custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34186,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34207,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,CWMD,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34213,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,FEMA,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34216,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),custom_system,1,general_llm,bureau,FEMA,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34220,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),custom_system,1,general_llm,bureau,FEMA,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34223,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,ICE,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34225,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,pilot,ICE,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,mission_critical,1
34227,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,ICE,0,0,0,1,,,0,0,0,0,0,0,inference_only,administrative,0
34230,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),custom_system,1,general_llm,bureau,ICE,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34243,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,ICE,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34248,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication LLM-class shift nlp_specific→general_llm),custom_system,0,nlp_specific,bureau,MGMT,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34252,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),custom_system,1,general_llm,bureau,MGMT,0,0,0,0,,,0,0,0,0,0,0,inference_only,mission_critical,0
34265,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),bespoke_application,1,general_llm,bureau,TSA,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34266,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,TSA,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0
34268,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster classical_ml->agentic),custom_system,0,classical_ml,bureau,TSA,0,0,0,1,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34269,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",bespoke_application,0,nlp_specific,bureau,TSA,0,0,0,1,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34271,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster classical_ml->general_llm),custom_system,0,classical_ml,bureau,TSA,0,0,0,,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34273,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication LLM-class shift nlp_specific→general_llm),custom_system,0,nlp_specific,bureau,TSA,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0
34274,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster classical_ml->general_llm),custom_system,0,classical_ml,bureau,TSA,0,0,0,,,,0,0,0,0,0,0,inference_only,administrative,0
34287,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→general_llm),custom_system,0,nlp_specific,bureau,USCIS,0,0,0,,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34291,wave3-P1,medium,"tagging_error_2024: adopted proposed correction (updated entry_type, is_generative_ai, ai_sophistication)",bespoke_application,1,general_llm,bureau,USCIS,0,0,0,,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34294,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (scope bureau→enterprise_wide (≥2 tiers)),custom_system,0,computer_vision,bureau,USCIS,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,1
34312,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,1,coding_assistant,pilot,BEA,0,0,1,1,GitHub Copilot,GitHub,0,0,0,0,1,0,inference_only,it_operations,0
34325,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,CENSUS,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0
34326,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),bespoke_application,1,general_llm,bureau,CENSUS,0,0,0,0,,,0,0,0,0,0,0,unknown,research,1
34327,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),product_deployment,1,general_llm,bureau,CENSUS,0,0,0,1,ChatGPT,OpenAI,0,1,0,0,0,0,inference_only,mission_critical,0
34328,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (deployment_scope NARROWED enterprise_wide->bureau (2 tiers)),custom_system,0,nlp_specific,enterprise_wide,CENSUS,1,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34329,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,1,general_llm,pilot,CENSUS,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
34330,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight; tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately)",generic_use_pattern,1,general_llm,pilot,CENSUS,0,0,0,0,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0
34335,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,1,general_llm,pilot,ITA,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34336,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,1,general_llm,pilot,ITA,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0
34338,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),product_deployment,1,general_llm,bureau,National Telecommunications and Information Administration,0,0,0,1,Microsoft Copilot,Microsoft,1,0,0,0,0,0,inference_only,administrative,0
34339,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,pilot,National Telecommunications and Information Administration,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34340,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,1,general_llm,pilot,National Telecommunications and Information Administration,0,0,0,1,LexisNexis,LexisNexis,0,0,0,0,0,0,unknown,research,0
34341,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,pilot,National Telecommunications and Information Administration,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34342,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0; entry_type also shifted custom_system->product_deployment),custom_system,1,general_llm,bureau,NIST,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34348,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,pilot,NOAA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34350,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,computer_vision,pilot,NOAA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34357,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,pilot,NOAA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
34362,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,0,computer_vision,pilot,USPTO,0,0,0,1,Clarivate,Clarivate,0,0,0,0,0,0,,mission_critical,0
34372,wave3-P1,medium,"tagging_error_2024: adopted proposed correction (updated ai_sophistication, is_general_llm_access)",custom_system,0,general_llm,bureau,EHSS HQ,0,1,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34380,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,bureau,LANL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34381,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,0,classical_ml,pilot,PNNL,0,0,0,0,,,0,0,0,0,0,0,,research,0
34382,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,1,general_llm,pilot,PNNL,0,0,0,1,Microsoft 365 Copilot,Microsoft,1,0,0,0,0,0,inference_only,research,0
34384,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,pilot,PNNL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34385,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,0,classical_ml,pilot,PNNL,0,0,0,0,,,0,0,0,0,0,0,,research,0
34386,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0; entry_type also shifted custom_system->product_deployment),custom_system,1,general_llm,bureau,HC HQ,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34388,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,0,classical_ml,pilot,PNNL,0,0,0,1,Databricks,Databricks,0,0,0,0,0,0,,research,0
34389,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,0,classical_ml,bureau,EHSS HQ,0,0,0,0,,,0,0,0,0,0,0,,research,0
34390,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,1,general_llm,pilot,PNNL,0,0,0,1,Microsoft Copilot for Security,Microsoft,1,0,0,0,0,0,inference_only,cybersecurity,0
34391,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,0,classical_ml,bureau,KCNSC,0,0,0,0,,,0,0,0,0,0,0,,research,0
34394,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,IM-50,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34395,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,EHSS HQ,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34399,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,team,SLAC,0,0,0,0,,,0,0,0,0,0,0,custom_trained,cybersecurity,0
34401,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,RL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34402,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",bespoke_application,1,general_llm,pilot,PPPL,0,0,0,0,,,0,0,0,0,0,0,rag_pipeline,research,0
34403,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,RL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34404,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",bespoke_application,1,general_llm,pilot,NE INL,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34405,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),product_deployment,1,general_llm,bureau,RL,0,0,0,1,ChatGPT,OpenAI,0,1,0,0,0,0,inference_only,research,0
34407,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,pilot,NE INL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34408,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",bespoke_application,1,general_llm,pilot,GDO HQ,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34413,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,IM-50,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34416,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,FNAL,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34417,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,bureau,RL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34421,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",product_deployment,1,coding_assistant,pilot,PNNL,0,0,1,1,GitHub Copilot,GitHub,0,1,0,0,1,0,inference_only,research,0
34422,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",generic_use_pattern,0,classical_ml,team,NA-IM (Enterprise) – Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ),0,0,0,0,,,0,0,0,0,0,0,,research,0
34423,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),bespoke_application,1,general_llm,bureau,SLAC,0,0,0,0,,,0,0,0,0,0,0,unknown,research,0
34424,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,classical_ml,pilot,PPPL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34427,wave3-P1,medium,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight; tagging_error_2024: adopted proposed correction (updated entry_type, ai_sophistication, is_general_llm_access)",bespoke_application,0,general_llm,pilot,IM-50,0,1,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34430,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",bespoke_application,1,general_llm,pilot,PPPL,0,0,0,0,,,0,0,0,0,0,0,rag_pipeline,research,0
34445,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,bureau,FNAL,0,0,0,0,,,0,0,0,0,0,0,custom_trained,research,0
34451,wave3-P1,medium,misclassified_lifecycle: deployment_scope→bureau to match dev_stage='Initiated',custom_system,0,predictive_analytics,bureau,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,unknown,administrative,0
34458,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),custom_system,1,general_llm,bureau,ONRR,0,,,0,,,,,,,,,inference_only,mission_critical,0
34463,wave3-P1,medium,misclassified_lifecycle: deployment_scope→bureau to match dev_stage='Acquisition and/or Development',custom_system,0,classical_ml,bureau,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,unknown,administrative,0
34464,wave3-P1,medium,misclassified_lifecycle: deployment_scope→bureau to match dev_stage='Acquisition and/or Development',custom_system,0,classical_ml,bureau,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,custom_trained,administrative,1
34465,wave3-P1,medium,misclassified_lifecycle: deployment_scope→bureau to match dev_stage='Initiated',custom_system,0,computer_vision,bureau,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,unknown,mission_critical,0
34466,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml),custom_system,1,general_llm,department,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,rag_pipeline,mission_critical,0
34475,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),custom_system,1,general_llm,bureau,ONRR,0,,,0,,,,,,,,,inference_only,mission_critical,0
34476,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=1 vs 2025=0),custom_system,1,general_llm,bureau,ONRR,0,,,0,,,,,,,,,inference_only,mission_critical,0
34490,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster predictive_analytics->general_llm),custom_system,0,predictive_analytics,bureau,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34491,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,pilot,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34496,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,predictive_analytics,pilot,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34514,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic),custom_system,0,classical_ml,bureau,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34516,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,computer_vision,bureau,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34533,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift predictive_analytics→agentic),custom_system,0,predictive_analytics,bureau,USGS,0,,,0,,,,,,,,,unknown,research,0
34540,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,bureau,USGS,0,,,0,,,,,,,,,custom_trained,research,0
34568,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),custom_system,1,general_llm,bureau,USGS,0,,,0,,,,,,,,,inference_only,research,0
34610,wave3-P1,high,tagging_error_2025: kept Wave 1 (2024 tag was correct; 2025 row mistagged — handled separately),custom_system,1,general_llm,bureau,USGS,0,,,0,,,,,,,,,inference_only,research,0
34615,wave3-P1,medium,misclassified_lifecycle: deployment_scope→bureau to match dev_stage='Initiated',custom_system,0,classical_ml,bureau,OS - Office of the Secretary of the Interior,0,,,0,,,,,,,,,unknown,mission_critical,0
34622,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,computer_vision,bureau,BSEE,0,,,0,,,,,,,,,custom_trained,mission_critical,0
34629,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->custom_system),generic_use_pattern,0,nlp_specific,department,DOL Department Wide,,,,0,,,,,,,,,unknown,administrative,1
34630,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->product_deploy),generic_use_pattern,0,nlp_specific,department,DOL OWCP/VETS/WHD,,,,0,,,,,,,,,unknown,administrative,0
34633,wave3-P1,high,"drift_legitimate: kept Wave 1 (2024 tag) — agency changed posture between cycles, do not import 2025 hindsight",custom_system,0,nlp_specific,office,DOL OTAA,,,,0,,,,,,,,,unknown,mission_critical,1
34638,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster nlp_specific->general_llm; entry_type also shifted generic_use_pattern->custom_system),generic_use_pattern,0,nlp_specific,department,DOL Department Wide,,,,0,,,,,,,,,unknown,administrative,0
34640,wave3-P1,medium,material_divergence (no proposed fix): kept Wave 1 — 2024 narrative is authoritative for 2024 row (ai_sophistication crossed cluster computer_vision->general_llm),custom_system,0,computer_vision,office,DOL OWCP,,,,0,,,,,,,,,custom_trained,mission_critical,0
