use_case_id_2024,tagged_by_agent,confidence,reasoning,entry_type,is_generative_ai,ai_sophistication,deployment_scope,scope_detail,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing
35582,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),generic_use_pattern,1,general_llm,pilot,OIT,0,,,,,,,,,,,,unknown,it_operations,
35583,wave3-P3,high,internal_inconsistency — entry_type=product_deployment lacks tool name; downgraded entry_type,generic_use_pattern,1,general_llm,office,OHR,0,,,1,,,,,,,,,inference_only,administrative,
35586,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,custom_system,0,classical_ml,office,OIT,0,,,,,,,,,,,,unknown,cybersecurity,
35591,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,classical_ml,office,OIT,0,,,,,,,,,,,,unknown,mission_critical,
35592,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),generic_use_pattern,1,general_llm,pilot,FinHub,0,,,,,,,,,,,,unknown,research,
35597,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,generic_use_pattern,0,classical_ml,pilot,EXAMS,0,,,,,,,,,,,,unknown,research,
35602,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,coding_assistant,office,ENF & DERA,0,,1,,,,,,,,,,inference_only,it_operations,
35604,wave3-P3,high,misclassified_lifecycle — dev_stage='Initiated'; scope enterprise_wide→bureau,product_deployment,1,general_llm,bureau,OCIO,1,1,,1,Microsoft 365 Copilot,Microsoft,1,,,,,,inference_only,administrative,
35605,wave3-P3,high,misclassified_lifecycle — dev_stage='Initiated'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,1,Latakoo/Whisper,Latakoo/OpenAI,,1,,,,,inference_only,mission_critical,
35606,wave3-P3,high,misclassified_lifecycle — dev_stage='Initiated'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,unknown,mission_critical,
35607,wave3-P3,high,misclassified_lifecycle — dev_stage='Initiated'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,unknown,mission_critical,
35608,wave3-P3,high,misclassified_lifecycle — dev_stage='Planned'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,rag_pipeline,administrative,
35609,wave3-P3,high,misclassified_lifecycle — dev_stage='Planned'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,unknown,mission_critical,
35610,wave3-P3,high,misclassified_lifecycle — dev_stage='Planned'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,inference_only,mission_critical,1
35611,wave3-P3,high,misclassified_lifecycle — dev_stage='Planned'; scope department→bureau,bespoke_application,1,general_llm,bureau,OCIO,0,,,,,,,,,,,,unknown,mission_critical,
35618,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35619,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,1,general_llm,pilot,OIT,0,1,,,Microsoft Copilot,Microsoft,1,,,,,,inference_only,administrative,
35620,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35624,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,OIT,0,,,,,,,,,,,,inference_only,administrative,
35629,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35630,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,0,nlp_specific,pilot,VHA,0,,,,,,,,,,,,custom_trained,mission_critical,
35631,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35632,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,bureau,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35633,wave3-P3,medium,material_divergence (soph) — narrative supports LLM-class; adopted 2025 sophistication,bespoke_application,1,nlp_specific,office,VHA,0,,,0,,,,,,,,,inference_only,mission_critical,
35635,wave3-P3,medium,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here,bespoke_application,1,general_llm,bureau,OIT,0,,,,,,,,,,,,inference_only,mission_critical,
35637,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,general_llm,bureau,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35643,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35647,wave3-P3,high,internal_inconsistency — entry_type=product_deployment lacks tool name; downgraded entry_type,bespoke_application,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35650,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,OIT,0,,,,,,,,,,,,inference_only,mission_critical,
35653,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,OM,0,,,0,,,,,,,,,custom_trained,administrative,
35658,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,rag_pipeline,mission_critical,
35661,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,product_deployment,0,predictive_analytics,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35672,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,agentic,bureau,VBA,0,,,1,,,,,,,,,inference_only,administrative,
35678,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,inference_only,administrative,
35679,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,0,,,,,,,,,custom_trained,administrative,
35683,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,0,,,,,,,,,custom_trained,administrative,
35685,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,0,,,,,,,,,custom_trained,administrative,
35686,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35688,wave3-P3,high,tagging_error_2024 — adopted Wave 2 corrections (and 2025 mirror where Wave 2 cited),product_deployment,0,general_llm,bureau,VBA,0,1,0,0,,,,,,,,,custom_trained,mission_critical,
35690,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,pilot,OIT,0,,,0,,,,,,,,,custom_trained,it_operations,
35692,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,custom_trained,mission_critical,
35695,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,1,general_llm,bureau,OIT,0,,,,Microsoft Copilot,Microsoft,1,,,,,,inference_only,mission_critical,
35699,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,OEHRM,0,,,,,,,,,,,,unknown,mission_critical,
35700,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,0,predictive_analytics,pilot,VHA,0,,,,,,,,,,,,custom_trained,mission_critical,
35701,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35704,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,1,general_llm,pilot,OAWP,0,,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,inference_only,administrative,
35705,wave3-P3,medium,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here,bespoke_application,1,agentic,bureau,VHA,0,,,0,,,,,,,,,inference_only,mission_critical,
35711,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,bureau,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35713,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35714,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35716,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35717,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,0,,,,,,,,,custom_trained,mission_critical,
35719,wave3-P3,high,internal_inconsistency — entry_type=product_deployment lacks tool name; downgraded entry_type,bespoke_application,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35721,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35725,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35729,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35730,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35731,wave3-P3,high,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here; drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,1,general_llm,pilot,VHA,0,,,,ChatGPT,OpenAI,,1,,,,,inference_only,administrative,
35732,wave3-P3,high,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here; drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,VBA,0,,,1,,,,,,,,,inference_only,mission_critical,
35733,wave3-P3,medium,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here,bespoke_application,1,general_llm,bureau,VBA,0,,,,,,,,,,,,inference_only,mission_critical,
35736,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35739,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,VHA,0,,,0,,,,,,,,,rag_pipeline,administrative,
35749,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35751,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35752,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,pilot,VHA,0,,,0,,,,,,,,,inference_only,administrative,
35753,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35755,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,0,,,,,,,,,inference_only,mission_critical,
35756,wave3-P3,high,internal_inconsistency — entry_type=product_deployment lacks tool name; downgraded entry_type,bespoke_application,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35762,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,bureau,OSVA,0,,,,,,,,,,,,unknown,administrative,
35763,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35767,wave3-P3,medium,material_divergence (gen_ai) — narrative shows generative markers; adopted gen_ai=1,product_deployment,1,general_llm,bureau,VHA,0,,,,ChatGPT,OpenAI,,1,,,,,inference_only,mission_critical,
35770,wave3-P3,medium,material_divergence (gen_ai) — narrative shows generative markers; adopted gen_ai=1,bespoke_application,1,general_llm,office,VHA,0,,,,,,,,,,,,inference_only,mission_critical,
35773,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,general_llm,bureau,VHA,0,,,,,,,,,,,,fine_tuned,mission_critical,
35777,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35780,wave3-P3,medium,material_divergence (gen_ai) — narrative shows generative markers; adopted gen_ai=1,bespoke_application,1,general_llm,bureau,VEO,0,,,,,,,,,,,,rag_pipeline,administrative,
35781,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35785,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VBA,0,,,,,,,,,,,,inference_only,mission_critical,
35786,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,nlp_specific,pilot,OIT,0,,,,,,,,,,,,unknown,administrative,1
35787,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35789,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35790,wave3-P3,medium,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here,bespoke_application,1,general_llm,bureau,VBA,0,,,,,,,,,,,,rag_pipeline,mission_critical,
35793,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35796,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,0,classical_ml,pilot,VHA,0,,,,,,,,,,,,custom_trained,administrative,
35800,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,pilot,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35803,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,bureau,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35805,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,,,,,,,,,,unknown,mission_critical,
35811,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,bureau,VHA,0,,,0,,,,,,,,,inference_only,mission_critical,
35827,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35829,wave3-P3,medium,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here,bespoke_application,1,general_llm,bureau,VHA,0,,,0,,,,,,,,,inference_only,mission_critical,
35832,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35834,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35838,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,VHA,0,,,,,,,,,,,,unknown,administrative,
35839,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,computer_vision,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35840,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35844,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,product_deployment,0,classical_ml,bureau,VHA,0,,,1,,,,,,,,,unknown,mission_critical,
35847,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,office,Enterprise Planning,0,,,,,,,,,,,,custom_trained,mission_critical,
35848,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,nlp_specific,office,Supply Chain,0,,,,,,,,,,,,unknown,administrative,
35850,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,nlp_specific,office,Enterprise Analytics & Innovation,0,,,,,,,,,,,,custom_trained,mission_critical,
35851,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,nlp_specific,office,Enterprise Analytics & Innovation,0,,,,,,,,,,,,custom_trained,mission_critical,
35853,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,computer_vision,office,Enterprise Analytics & Innovation,0,,,,,,,,,,,,unknown,mission_critical,
35854,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,computer_vision,office,Enterprise Analytics & Innovation,0,,,,,,,,,,,,custom_trained,mission_critical,
35866,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,office,Enterprise Planning,0,,,,,,,,,,,,custom_trained,mission_critical,
35870,wave3-P3,high,misclassified_lifecycle — dev_stage='Initiated'; scope department→bureau,generic_use_pattern,0,classical_ml,bureau,Cybersecurity,0,,,,,,,,,,,,inference_only,cybersecurity,
35884,wave3-P3,low,material_divergence — narrative thin; kept wave1 tag,product_feature,0,nlp_specific,enterprise_wide,T&I Operations,1,,,,,,,,,,,,inference_only,administrative,
35886,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,computer_vision,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35889,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,custom_system,0,nlp_specific,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35900,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,computer_vision,bureau,ATF,0,0,0,1,Axon Evidence.com,Axon,0,0,0,0,0,0,,mission_critical,0
35906,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35909,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,team,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35910,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,bureau,ATF,0,0,0,1,Palantir,Palantir,0,0,0,0,0,0,,mission_critical,0
35911,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,nlp_specific,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35912,wave3-P3,medium,material_divergence (soph) — narrative supports LLM-class; adopted 2025 sophistication,custom_system,1,nlp_specific,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
35918,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,product_deployment,0,computer_vision,bureau,ATF,0,0,0,1,Veritone,Veritone,0,0,0,0,0,0,,mission_critical,0
35923,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,computer_vision,bureau,ATF,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35924,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,product_deployment,0,computer_vision,bureau,ATR,0,0,0,1,Veritone,Veritone,0,0,0,0,0,0,,mission_critical,0
35925,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,classical_ml,bureau,ATR,0,0,0,1,SAS,SAS,0,0,0,0,0,0,unknown,mission_critical,0
35926,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,general_llm,bureau,ATR,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
35927,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,general_llm,bureau,ATR,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
35928,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,general_llm,bureau,ATR,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
35930,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),product_deployment,0,classical_ml,pilot,CIV,0,0,0,1,Salesforce,Salesforce,0,0,0,0,0,0,,mission_critical,0
35932,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,predictive_analytics,pilot,CRM,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35938,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,custom_system,0,classical_ml,bureau,CRT,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35939,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,custom_system,0,nlp_specific,bureau,CRT,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35942,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,nlp_specific,bureau,CRT,0,0,0,1,Axon Evidence.com,Axon,0,0,0,0,0,0,,mission_critical,0
35944,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,custom_system,0,classical_ml,bureau,DEA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35949,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,classical_ml,pilot,DEA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35950,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),custom_system,0,computer_vision,pilot,DEA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35953,wave3-P3,high,tagging_error_2024 — adopted Wave 2 corrections (and 2025 mirror where Wave 2 cited),product_deployment,1,general_llm,bureau,DEA,0,1,0,0,Aretec SEARCH,Aretec,0,0,0,0,0,0,custom_trained,cybersecurity,1
35967,wave3-P3,high,tagging_error_2024 — adopted Wave 2 corrections (and 2025 mirror where Wave 2 cited),custom_system,1,agentic,bureau,DEA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35968,wave3-P3,high,tagging_error_2024 — adopted Wave 2 corrections (and 2025 mirror where Wave 2 cited),custom_system,1,agentic,bureau,DEA,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0
35970,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,custom_system,0,general_llm,bureau,DEA,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0
