canonical_name,alias_text,extra
CoCounsel,Cocounsel AI,Thomson Reuters CoCounsel legal AI; not in catalog.
Techsmith Audiate,Audiate,Techsmith Audiate text-to-speech tool; not in catalog.
Harvey,harvey.ai,Harvey AI legal LLM; not in catalog. Heuristic captured Perplexity and OpenAI API.
PDRI Automatically-Scored Writing Assessment,"Personnel Decisions Research Institutes, LLC (PDRI)","PDRI's commercial AWA product, not in catalog."
Cisco Identity Services Engine,Cisco Identify Services engine,"Cisco ISE is a real commercial security product, not currently in catalog."
Amazon Connect,Amazon Connect,Amazon Connect (cloud contact center with AI) not in catalog. OneReach.ai is already in catalog (deprecated tool).
Lumivero NVivo,"Lumivero, NVivo",NVivo (Lumivero) qualitative analysis tool not in catalog.
Qualtrics,Qualtrics,Qualtrics survey analytics not in catalog.
Amazon Alexa,Amazon Alexa Skill,Amazon Alexa is the platform; not currently in catalog.
Unison PRISM,Unison,"Unison's PRISM (procurement) AI product, not in catalog."
LaserAI,LaserAI,"LaserAI is a commercial systematic review automation product, not in catalog."
Elsa (FDA),Elsa GenAI Chat Tool,FDA's Elsa GenAI tool - widely reported FDA AI assistant. Worth a canonical entry.
Milestone XProtect,Milestone,"Milestone Systems' XProtect VMS with AI analytics, not in catalog."
DeepEMhancer,DeepEMhancer,"Open-source CryoEM enhancement tool, not in catalog."
Fiji ImageJ,FIJI,Fiji is the open-source ImageJ distribution for microscopy ML; not in catalog.
Imaris,Imaris,"Imaris (Oxford Instruments/Andor) microscopy AI software, not in catalog."
ModelAngelo,ModelAngelo,"Open-source CryoEM model-building tool, not in catalog."
Ptolemy,Ptolemy,"Open-source CryoEM screening tool, not in catalog."
Topaz (CryoEM),Topaz,"Topaz CryoEM picker, not in catalog."
Genetec Security Center,Genetec,Genetec Security Center video analytics; not in catalog.
Verkada,Verkada,Verkada cloud video AI; not in catalog.
Lenel OnGuard,Lenel,Lenel access control; not in catalog.
TekSynap SimplifAI,TekSynap SimplifAI,"TekSynap's SimplifAI commercial GenAI platform, not in catalog."
Aretec EDP,Aretec EDP,EDP is a separate Aretec system distinct from NEAT; appears multiple times in SEC inventory and warrants a new canonical entry.
Aretec EDP,EDP,Same SEC EDP system; vendor IBM here may indicate underlying ML provider but EDP is the system.
Aretec SEARCH,SEARCH,SEC's Aretec-built SEARCH platform appears repeatedly; not in catalog.
Aretec SEARCH,SEARCH,Same SEC Aretec SEARCH platform.
Aretec SEARCH,SEARCH,SEC SEARCH platform with Elder Research as additional integrator.
Lexis+ Protege,Lexis Protege,LexisNexis Protege is a distinct LexisNexis AI assistant for legal research; not currently in catalog as separate entry.
Aretec SEARCH,SEARCH,Same SEC SEARCH platform.
Aretec SEARCH,SEARCH,Same SEC SEARCH platform.
IBM watsonx Code Assistant,IBM WatsonX Code Assistant,IBM watsonx Code Assistant for Z is a known product; not in catalog.
Broadcom Code for Z,Broadcom Code for Z,Broadcom Code for Z is a commercial mainframe modernization tool; not in catalog.
RWS Trados,RWS Trados,Trados is a major commercial translation/CAT tool; not in catalog.
Thomson Reuters CoCounsel,CoCounsel,CoCounsel is Thomson Reuters' legal AI assistant; widely used in legal offices; not in catalog.
Rangeland Analysis Platform,Rangeland Analysis Platform,Public RAP tool from University of Montana on Google Cloud; widely cited; not in catalog.
