parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DOC,doc-ita,International Trade Administration,ITA,sub_agency,9,Broad,ChatGPT Enterprise|Claude For Government|Generative AI Tools Pilot - Global Markets,ITA staff multi-LLM pilot per round-1,medium,db_subtree;round1_by_agency.md (DOC row enumerates ITA deployments),ITA is the most LLM-active DOC bureau per round-1.
DOC,doc-ntia,National Telecommunications and Information Administration,NTIA,sub_agency,8,None reported,—,No general LLM identified,low,db_subtree,3 LLM use cases tagged but no named tools or general assistant.
DOC,doc-nist,National Institute of Standards and Technology,NIST,sub_agency,7,Limited,Gemini|Grammarly,Individual-use scope at NIST,low,db_subtree;round1_by_agency.md (DOC row mentions LLM support for NIST research),No NIST-wide general assistant; Gemini at user level only.
DOE,doe-lanl,Los Alamos National Laboratory,LANL,sub_agency,43,Enterprise,ChatGPT Enterprise|Microsoft 365 Copilot,LANL workforce (~14K) — round-1 names ChatGPT Enterprise at LANL,high,db_subtree;round1_by_agency.md (DOE row);DOE 2025 AI Strategy,LANL ChatGPT Enterprise is one of the largest lab-level rollouts.
DOE,doe-pnnl,Pacific Northwest National Laboratory,PNNL,sub_agency,40,Enterprise,Microsoft 365 Copilot|GitHub Copilot|Claude|OpenAI API,PNNL staff (~6K) per round-1 (M365 Copilot + Anthropic Claude pilots),high,db_subtree;round1_by_agency.md,PNNL named in round-1 as having M365 Copilot + Claude pilots; 23 LLM-tagged use cases.
DOE,doe-inl,Idaho National Laboratory,INL,sub_agency,39,Enterprise,MauroGPT|FuelGPT|Chatlab|M365 Copilot|ChatGPT|Claude,INL workforce (~5K) — multiple custom chatbots + M365 Copilot,high,db_subtree;round1_by_agency.md (names MauroGPT/FuelGPT/Chatlab at INL),INL is one of the most LLM-active DOE labs.
DOE,doe-bnl,Brookhaven National Laboratory,BNL,sub_agency,34,None reported,—,No general LLM in subtree,low,db_subtree (0 LLM-tagged of 34 use cases),BNL not named in DOE round-1 lab list. No deployment surfaced.
DOE,doe-srs,Savannah River Site,SRS,sub_agency,27,Enterprise,ChatSRS|Tabnine|Azure GOV,SRS workforce — 13 of 14 LLM use cases tagged enterprise,high,db_subtree;round1_by_agency.md (names ChatSRS at Savannah River),Maturity tier 'progressing' + 13 enterprise-LLM-tagged use cases is unambiguous.
DOE,doe-ornl,Oak Ridge National Laboratory,ORNL,sub_agency,25,Broad,Microsoft 365 Copilot|Microsoft Copilot Studio|ServiceNow Now Assist,ORNL staff via M365 Copilot Cloud Enclave,medium,db_subtree;round1_by_agency.md (lists ORNL among M365 Copilot DOE labs),ORNL not named with custom LLM in round-1; runs M365 Copilot.
DOE,doe-fnal,Fermi National Accelerator Laboratory,FNAL,sub_agency,17,None reported,—,No general LLM in subtree,low,db_subtree (0 LLM-tagged of 17 use cases),Fermi not named in DOE round-1 lab list.
DOE,doe-netl,National Energy Technology Laboratory,NETL,sub_agency,15,None reported,—,No general LLM in subtree,low,db_subtree (0 LLM-tagged of 15 use cases),NETL not in round-1 lab roster.
DOE,doe-em,Office of Environmental Management,EM,sub_agency,11,Broad,Azure OpenAI|GitHub Copilot,EM staff using Azure OpenAI deployments,medium,db_subtree (10 of 11 use cases LLM-tagged),High LLM density (>90%) suggests broad use; not enterprise-flagged.
DOE,doe-llnl,Lawrence Livermore National Laboratory,LLNL,sub_agency,9,Enterprise,LivChat|ChatGPT|Azure OpenAI|Claude,LLNL workforce (~8K) — LivChat is round-1 named,high,db_subtree;round1_by_agency.md (names LivChat at LLNL),LivChat is LLNL's lab-wide LLM.
DOE,doe-nr,Naval Reactors,NR,sub_agency,8,Enterprise,SpyglassGPT|M365 Copilot|ServiceNow Now Assist,Naval Reactors workforce — SpyglassGPT named in round-1,high,db_subtree;round1_by_agency.md (names SpyglassGPT at Naval Reactors),Custom NR LLM plus M365 Copilot.
DOE,doe-ee,Office of Energy Efficiency and Renewable Energy,EE,sub_agency,8,None reported,—,OpenText e-discovery only; no general LLM,low,db_subtree,"OpenText Axcelerate/Decisiv are narrow legal-discovery tools, not general LLM."
DOE,doe-slac,SLAC National Accelerator Laboratory,SLAC,sub_agency,7,Broad,GitHub Copilot|Microsoft 365 (O365)|ServiceNow Now Assist,SLAC staff via O365/M365 Copilot per round-1,medium,db_subtree;round1_by_agency.md (lists SLAC under M365 Copilot labs),No standalone SLAC chatbot but M365 Copilot present.
DOE,doe-nrel,National Renewable Energy Laboratory,NREL,sub_agency,7,Enterprise,Energy Wizard / ELM|OpenAI API|Azure,NREL staff (~3K) — Energy Wizard is round-1 named,high,db_subtree;round1_by_agency.md (names Energy Wizard / ELM at NREL),All 7 NREL LLM use cases reference NREL Stratus/Azure.
DOE,doe-anl,Argonne National Laboratory,ANL,sub_agency,5,Limited,Argonne IT Infrastructure (1 LLM use case),Single use case; no named tool,low,db_subtree,Maturity tier 'minimal'.
DOE,doe-lm,Office of Legacy Management,LM,sub_agency,5,Limited,Gemini,Office of Legacy Management — Gemini in 1 use case,low,db_subtree,Tier minimal; no broad assistant.
DOE,doe-nnsa,National Nuclear Security Administration,NNSA,sub_agency,5,None reported,—,No general LLM in subtree,low,db_subtree (0 LLM-tagged),NNSA HQ subtree shows no general LLM (the labs roll up separately).
DOI,doi-usgs,U.S. Geological Survey,USGS,sub_agency,187,Broad,theKraken (Amazon Q Business)|Azure OpenAI ChatGPT|Esri ArcGIS AI,USGS staff via theKraken pilot + Azure OpenAI ChatGPT,medium,db_subtree;round1_by_agency.md (DOI row names theKraken at USGS),USGS is the DOI bureau with the most LLM activity (12 LLM-tagged of 187 use cases).
DOI,doi-fws,U.S. Fish and Wildlife Service,FWS,sub_agency,11,None reported,—,No general LLM identified,low,"db_subtree (2 LLM-tagged, no named tool)",No FWS-named assistant.
DOI,doi-bor,Bureau of Reclamation,BOR,sub_agency,8,None reported,—,No general LLM identified,low,db_subtree (0 LLM-tagged),Tier minimal.
DOI,doi-blm,Bureau of Land Management,BLM,sub_agency,7,Limited,(unspecified BLM chatbot per DOI round-1 narrative),Bureau-only narrow use,low,"db_subtree (4 LLM-tagged, no named tool)",Round-1 mentions BLM among DOI narrow chatbots.
DOI,doi-onrr,Office of Natural Resources Revenue,ONRR,sub_agency,6,None reported,—,No general LLM identified,low,db_subtree (0 LLM-tagged),Tier minimal.
DOI,doi-bsee,Bureau of Safety and Environmental Enforcement,BSEE,sub_agency,6,None reported,—,No general LLM identified,low,db_subtree (0 LLM-tagged),No BSEE assistant.
DOJ,doj-fbi,Federal Bureau of Investigation,FBI,sub_agency,50,Broad,FBI Policy Chatbot|Redacted commercial LLMs,FBI bureau pilot; round-1 names policy chatbot,medium,db_subtree;round1_by_agency.md (DOJ row names FBI policy chatbot);FedScoop FBI inventory,FBI doubled AI use cases YoY; specific policy chatbot named in round-1 evidence.
DOJ,doj-dea,Drug Enforcement Administration,DEA,sub_agency,43,Broad,DEA OpenAI chatbot|OpenAI API,DEA staff per round-1 (OpenAI chatbot pilot),medium,db_subtree;round1_by_agency.md (DOJ row names DEA OpenAI chatbot),"18 LLM-tagged use cases, second-most among DOJ components."
DOJ,doj-atf,"Bureau of Alcohol, Tobacco, Firearms and Explosives",ATF,sub_agency,34,Limited,"(commercial LLM vendors, redacted)",Component-only narrow use,low,db_subtree (3 LLM-tagged of 34),ATF not named with general assistant in round-1.
DOJ,doj-fbop,Federal Bureau of Prisons,FBOP,sub_agency,32,Limited,(narrow LLM use; WellSaid for content),BOP narrow use,low,db_subtree (5 LLM-tagged of 32),"WellSaid Labs is voice-gen, not general LLM. Narrow."
DOJ,doj-usms,U.S. Marshals Service,USMS,sub_agency,19,Limited,AWS Textract|(redacted),USMS narrow use,low,db_subtree,"Textract is doc OCR, not general LLM."
DOJ,doj-civ,Civil Division,CIV,office,17,Limited,(unspecified),Civil Division narrow use,low,db_subtree,No named general assistant.
DOJ,doj-jmd,Justice Management Division,JMD,office,17,Inherited,DOJ CoPilot (department-wide; pre-deployment),JMD admin staff covered by DOJ-wide M365 Copilot rollout,medium,db_subtree;round1_by_agency.md (DOJ row names DOJ CoPilot department-wide),JMD = DOJ HQ admin; covered by department CoPilot.
DOJ,doj-tax,Tax Division,TAX,office,14,Limited,AWS Transcribe|LexisNexis,Tax Division narrow legal-research use,low,db_subtree,Transcribe + LexisNexis are not general LLM.
DOJ,doj-jmd-ocdetf,Organized Crime Drug Enforcement Task Forces,OCDETF,office,10,Limited,(unspecified),OCDETF narrow use,low,db_subtree,"6 LLM-tagged use cases, no named general assistant."
DOJ,doj-atr,Antitrust Division,ATR,office,10,Broad,Harvey|OpenAI|Perplexity|Azure OpenAI|Databricks,ATR Generative AI Test pilot per round-1,medium,db_subtree;round1_by_agency.md (DOJ row names ATR Generative AI Test),Round-1 names ATR's multi-vendor LLM pilot.
DOJ,doj-ojp,Office of Justice Programs,OJP,sub_agency,6,None reported,—,No general LLM identified,low,db_subtree,OJP tier minimal.
DOL,dol-bls,Bureau of Labor Statistics,BLS,sub_agency,13,None reported,—,No general LLM in subtree (0 LLM-tagged),low,db_subtree,BLS uses internal-system tags only; no general assistant.
DOL,dol-eta,Employment and Training Administration,ETA,sub_agency,6,Limited,Azure OpenAI|AWS,ETA narrow pilot,low,db_subtree,Single Azure OpenAI use case; not broad.
DOL,dol-osha,Occupational Safety and Health Administration,OSHA,sub_agency,5,None reported,—,No general LLM in subtree,low,db_subtree,Hololens VR + Amazon PII redaction; not general LLM.
DOT,dot-faa,Federal Aviation Administration,FAA,sub_agency,42,Inherited,DOT Enterprise Personal Productivity Assistant,FAA staff covered by DOT-wide rollout; FAA's own 'LLM Document Search' rows are narrow,medium,db_subtree;round1_by_agency.md (DOT row notes FAA LLM Document Search is narrow),Round-1 explicitly excludes FAA LLM Document Search rows from general LLM. FAA inherits DOT.
DOT,dot-caio,Office of the Chief Artificial Intelligence Officer,CAIO,office,15,Inherited,—,15 subtree use cases,low,foundation:dot-caio; deterministic_rule_post_unmapped_integration,parent rated 'Enterprise'; cascade
ED,ed-fsa,Federal Student Aid,FSA,sub_agency,9,Enterprise,OpenAI API|Generative AI - * (FSA)|EDMAPS,FSA staff — 8 of 8 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md (ED row names FSA OpenAI/Google deployments),Strong enterprise-LLM density at FSA on top of department-wide M365 Copilot.
EPA,epa-ofa,Office of the Administrator,OFA,office,10,Limited,—,10 subtree use cases,low,foundation:epa-ofa; deterministic_rule_post_unmapped_integration,some LLM activity in subtree (llm=2)
FDIC,fdic-drr,Division of Resolutions and Receiverships,DRR,office,11,None reported,—,No general LLM in subtree (0 LLM-tagged),low,db_subtree,DRR uses CLEAR/RRMP — not general LLM. Enterprise FDIC Chat is at OCIO level (not subtree here).
FHFA,fhfa-ocio,Office of the Chief Information Officer,OCIO,office,10,Limited,ServiceNow Now Assist|Oracle LLM (retired),OCIO narrow use,low,db_subtree;round1_by_agency.md (FHFA row notes Oracle LLM retired),Round-1 lists FHFA's only LLM entry as retired.
FRB,frb-s-r,Division of Supervision and Regulation,S&R,office,21,None reported,—,No general LLM in subtree (0 LLM-tagged),low,db_subtree,Tier minimal; Fed S&R has no general assistant.
FTC,ftc-bcp,Bureau of Consumer Protection,BCP,sub_agency,12,Limited,Leidos Sentinel Network,BCP — Sentinel-only narrow analytic use,low,db_subtree,"Sentinel is a consumer-complaint analytics platform, not a general LLM. FTC parent rating Limited (M365 Copilot pilot)."
HHS,hhs-nih,National Institutes of Health,NIH,sub_agency,124,Enterprise,NIH ChIRP|ChatGPT|Azure OpenAI|Palantir Foundry|HHS Claude (department-wide),All NIH staff via VPN (ChIRP); 47/48 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md (HHS row names ChIRP at NIH);NIH Catalyst on ChIRP,ChIRP supports GPT-4o + Claude. Independent NIH-wide LLM beyond the HHS Claude rollout.
HHS,hhs-cdc,Centers for Disease Control and Prevention,CDC,sub_agency,103,Enterprise,Azure OpenAI|Palantir AIP (1CDP)|Databricks|HHS Claude,CDC workforce — 36/38 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md (HHS row mentions CDC chatbots),Tier 'leading'. Charter rule: leading => at least Broad; ent_llm_count=36 satisfies Enterprise.
HHS,hhs-cms,Centers for Medicare and Medicaid Services,CMS,sub_agency,75,Enterprise,CMS AI Workspace|CEDAR|GitHub Copilot|OpenAI API|HHS Claude,CMS workforce — 31/34 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md (HHS row notes CMS narrow chatbots),Tier 'leading' + 31 enterprise-LLM use cases. CMS AI Workspace is named in subtree.
HHS,hhs-fda,Food and Drug Administration,FDA,sub_agency,65,Enterprise,FDA Elsa|HHS Claude (department-wide),>70% of FDA staff voluntarily using Elsa across 11 centers,high,db_subtree;round1_by_agency.md (HHS row names FDA Elsa);Nextgov on Elsa,Elsa on Anthropic Claude in GovCloud. Highest-profile component LLM in HHS.
HHS,hhs-fda-cder,Center for Drug Evaluation and Research,CDER,office,40,Enterprise,FDA Elsa|CDEROne Analytics (FISMA-high),CDER staff covered by FDA Elsa,high,db_subtree;round1_by_agency.md,CDER is the largest FDA center; Elsa coverage cascades.
HHS,hhs-acf,Administration for Children and Families,ACF,sub_agency,27,Enterprise,ACF Discover (Palantir)|ACF Horizon (Palantir)|HHS Claude,ACF workforce — 10/10 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md (HHS row mentions ACF narrow chatbots),Round-1 noted ACF chatbots; subtree 100% enterprise density. Promote to Enterprise.
HHS,hhs-cms-cciio,Center for Consumer Information and Insurance Oversight,CCIIO,office,20,Inherited,HHS Claude|CMS AI Workspace,CCIIO staff covered by CMS + HHS rollouts,medium,db_subtree;round1_by_agency.md,3 enterprise-LLM use cases but CCIIO is a CMS sub-component; cascades from CMS.
HHS,hhs-cms-oit,Office of Information Technology,OIT,office,19,Enterprise,CEDAR|CMS AI Workspace|OpenAI API,CMS OIT staff — 7/8 LLM use cases enterprise-tagged,high,db_subtree;round1_by_agency.md,OIT is the central CMS IT shop; runs CEDAR and CMS AI Workspace.
HHS,hhs-hrsa,Health Resources and Services Administration,HRSA,sub_agency,18,Enterprise,(unspecified HRSA LLM)|UiPath|HHS Claude,HRSA workforce — 13/14 LLM use cases enterprise-tagged,medium,db_subtree;round1_by_agency.md (HHS row mentions HRSA chatbots),High enterprise-LLM density (>90%); promote to Enterprise even with thin named tools.
HHS,hhs-cms-oc,Office of Communications,OC,office,12,Enterprise,GitHub Copilot|HHS Claude (cascaded),CMS Office of Communications — 11/12 LLM use cases enterprise-tagged,medium,db_subtree,Sub-CMS office; cascades from CMS + has its own GitHub Copilot subtree.
HHS,hhs-ahrq,Agency for Healthcare Research and Quality,AHRQ,sub_agency,8,Inherited,HHS Claude (department-wide)|Microsoft Teams,AHRQ staff covered under HHS-wide rollout,low,db_subtree;round1_by_agency.md,Small AHRQ subtree; only 2 enterprise-LLM use cases tagged. Cascades from HHS.
NASA,nasa-gsfc,Goddard Space Flight Center,GSFC,sub_agency,227,Enterprise,ChatGSFC|Anthropic Claude pilot|Custom LLM (planned)|Fine-tuned FLAN,">7,000 NASA users on ChatGSFC (federated agency-wide from GSFC)",high,db_subtree;round1_by_agency.md (NASA row);Element 84 on ChatGSFC;FedScoop on Claude at NASA,Tier 'leading' + ChatGSFC scaled beyond GSFC. The most LLM-active NASA center.
NASA,nasa-msfc,Marshall Space Flight Center,MSFC,sub_agency,44,Broad,MSFC Copilot pilot|ChatGSFC (cascaded),MSFC staff via Copilot pilot + GSFC chat,medium,db_subtree;round1_by_agency.md (NASA row names MSFC Copilot pilot),MSFC named in round-1 NASA Copilot pilot.
NASA,nasa-jpl,Jet Propulsion Laboratory,JPL,sub_agency,43,Limited,(no center-wide LLM named),JPL — 7 LLM-tagged of 43 use cases; no enterprise tag,low,db_subtree,JPL is Caltech-managed; not in round-1 NASA LLM roster.
NASA,nasa-larc,Langley Research Center,LaRC,sub_agency,38,Broad,ALTIRA|ChatGSFC (cascaded),LaRC staff — ALTIRA named in round-1,medium,db_subtree;round1_by_agency.md (NASA row names ALTIRA at Langley);FedScoop on Claude at NASA,ALTIRA + Anthropic Claude pilot at Langley.
NASA,nasa-arc,Ames Research Center,ARC,sub_agency,34,Broad,ChatGPT|FAA enclave,Ames staff in approved enclave (ChatGPT),medium,db_subtree,Tier 'progressing'; one enterprise-LLM use case + ChatGPT named tool.
NASA,nasa-jsc,Johnson Space Center,JSC,sub_agency,13,Limited,Azure OpenAI|Gemini,JSC narrow Azure OpenAI/Gemini use,low,db_subtree,No JSC-wide assistant named.
NASA,nasa-grc,Glenn Research Center,GRC,sub_agency,7,None reported,—,No LLM-tagged use cases in subtree,low,db_subtree (0 LLM-tagged of 7 use cases),Glenn not in round-1 NASA LLM roster.
SBA,sba-ocio,Office of the Chief Information Officer,OCIO,office,17,Broad,ChatGPT|Amazon Q|Microsoft Copilot for Security|Gemini|GitHub Copilot|AWS Bedrock,SBA OCIO multi-LLM pilot per round-1,medium,db_subtree;round1_by_agency.md (SBA row names OFO multi-LLM pilot),13 of 17 use cases LLM-tagged; broadest tool fan-out among small agencies.
SEC,sec-oit,Office of Information Technology,OIT,office,12,Limited,ACES (internal),OIT narrow,low,db_subtree,No SEC-wide assistant.
SEC,sec-exams,Division of Examinations,EXAMS,office,12,Limited,NEAT (Aretec)|EDP (Aretec/IBM),Exams division narrow analytic use,low,db_subtree,"NEAT/EDP are exam-data tools, not general LLM."
SEC,sec-ocdo,Office of the Chief Data Officer,OCDO,office,11,Limited,Westlaw AI|AI Filing Parser,OCDO narrow tools,low,db_subtree,No general LLM.
SSA,ssa-ocio,Office of the Chief Information Officer,OCIO,office,20,Enterprise,Agency Support Companion (ASC)|M365 Copilot|AveriSource|IBM watsonx Code Assistant,SSA OCIO runs the agency-wide ASC general chatbot,high,db_subtree;round1_by_agency.md (SSA row names ASC);Nextgov on ASC,"OCIO is the SSA bureau that owns ASC, the agency-wide general chatbot."
State,state-ca,Bureau of Consular Affairs,CA,sub_agency,13,Inherited,StateChat (department-wide),Consular Affairs staff covered under StateChat 45K rollout,medium,db_subtree;round1_by_agency.md (State row);FedScoop on StateChat,CA does not have its own general LLM but inherits StateChat.
State,state-dt,Bureau of Diplomatic Technology,DT,office,12,Enterprise,StateChat (operated by DT)|Databricks|OpenAI API|Palantir CfA PFCS,DT runs StateChat for the entire Department,high,db_subtree;round1_by_agency.md (State row);FedScoop on StateChat,Bureau of Diplomatic Technology is the bureau that operates StateChat.
State,state-fsi,Foreign Service Institute,FSI,sub_agency,6,Inherited,StateChat (department-wide),FSI staff covered under StateChat,low,db_subtree;round1_by_agency.md,Tier 'minimal'; no FSI-specific LLM.
TVA,tva-it,Information Technology,IT,office,19,Limited,GitHub Copilot|Amazon Q|AWS Transcribe|Copilot,TVA IT pilot,low,db_subtree;round1_by_agency.md (TVA Limited),Round-1 lists TVA Copilot/ChatSPP/TradeChat as bureau-level Limited.
TVA,tva-po,Power Operations,PO,office,14,None reported,—,14 subtree use cases,medium,foundation:tva-po; deterministic_rule_post_unmapped_integration,no LLM-tagged use cases in subtree
Treasury,treasury-irs,Internal Revenue Service,IRS,sub_agency,61,Broad,IRS GenAI for ticketing/code|Microsoft Teams|Custom In-House AI,IRS staff with multiple GenAI deployments per round-1,high,db_subtree;round1_by_agency.md (Treasury row names IRS GenAI for ticketing/code);FedScoop on IRS,37 LLM-tagged use cases; no single named staff-facing assistant per round-1.
Treasury,treasury-occ,Office of the Comptroller of the Currency,OCC,sub_agency,26,Enterprise,OCC.Chat|OCC.DocChat,OCC staff in production since Dec 2024,high,db_subtree;round1_by_agency.md (Treasury row names OCC.Chat & OCC.DocChat);FedScoop on OCC,25 of 26 use cases LLM-tagged. OCC.Chat is one of the cleanest bureau-level enterprise LLMs.
Treasury,treasury-bfs,Bureau of the Fiscal Service,BFS,sub_agency,23,Broad,BFS LLM POCs,BFS staff multi-POC,medium,db_subtree;round1_by_agency.md (Treasury row names BFS LLM POCs),"19 LLM-tagged use cases; many POCs, no single enterprise system per round-1."
Treasury,treasury-ofr,Office of Financial Research,OFR,sub_agency,7,Enterprise,ChatOFR (multi-LLM in-house),OFR staff (small bureau ~200) on ChatOFR,high,db_subtree;round1_by_agency.md (Treasury row names ChatOFR),ChatOFR named in round-1 as deployed.
Treasury,treasury-bep,Bureau of Engraving and Printing,BEP,sub_agency,5,Limited,AskBEP,BEP staff narrow,low,db_subtree;round1_by_agency.md (Treasury row names AskBEP),Tier minimal.
USDA,usda-nre,Natural Resources and Environment,NRE,sub_agency,76,Limited,Esri ArcGIS AI|Google NotebookLM,NRE/Forest Service narrow tools,low,db_subtree,Forest Service not running a bureau-wide general LLM.
USDA,usda-ree,"Research, Education, and Economics",REE,sub_agency,22,Limited,Microsoft Copilot Studio|ARSAzure,ARS bureau pilot (GovChat) per round-1,medium,db_subtree;round1_by_agency.md (USDA row names GovChat ARS pilot),ARS sits in REE; GovChat is the round-1-named ARS pilot.
USDA,usda-fpac,Farm Production and Conservation,FPAC,sub_agency,20,Limited,AI Builder|UIPath,FPAC narrow analytic use,low,db_subtree,3 LLM-tagged use cases of 20; no named general assistant.
USDA,usda-mrp,Marketing and Regulatory Programs,MRP,sub_agency,16,None reported,—,No general LLM in subtree,low,db_subtree (1 LLM-tagged of 16),Tier minimal.
USDA,usda-foodsafety,Food Safety,FoodSafety,sub_agency,13,Limited,(unspecified),FSIS narrow LLM use,low,db_subtree (8 LLM-tagged of 13),High LLM density but no named tool surfaced.
VA,va-vha,Veterans Health Administration,VHA,sub_agency,253,Enterprise,VA GPT|M365 Copilot Chat|ChatGPT|Databricks,"VHA clinicians/staff among VA GPT's 95,000+ users; OIG flagged PHI use",high,db_subtree;round1_by_agency.md (VA row);VA OIG advisory;Military.com on OIG memo,OIG explicitly names VHA as authorizing VA GPT + Copilot Chat for PHI without NCPS coordination.
VA,va-oit,Office of Information & Technology,OIT,office,57,Enterprise,VA GPT (operated by OIT)|Ask Sage (pilot)|ServiceNow Now Assist,OIT runs VA GPT for the whole department (95K+ users),high,db_subtree;round1_by_agency.md;FedScoop on VA generative AI tools,Tier 'leading' + OIT is the bureau that operates VA GPT.
VA,va-vba,Veterans Benefits Administration,VBA,sub_agency,27,Enterprise,VA GPT (department-wide)|M365 Copilot Chat,VBA claims processors among VA GPT users,medium,db_subtree;round1_by_agency.md,VBA staff covered by VA-wide rollout.
