use_case_id,agency,use_case_name,prior_corrected_value,final_is_general_llm_access,final_deployment_scope,decision,confidence,search_attempted,search_query,evidence_url,evidence_quote,notes
7487,DHS,TSA Contact Center Virtual Assistant,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7488,DHS,Risk Management Framework (RMF) Automation,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7491,DHS,Enterprise WiFi,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7496,DHS,Hazard Mitigation Assistance Chatbot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7497,DHS,Technical Resource for Mitigation Programs,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7498,DHS,Large Language Model (LLM) Guided Data Dictionary Generation,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7525,DHS,AI-Assisted Resume Screening Tool,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7556,DHS,Dark Web Threat Intelligence for Cyber Investigations,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7559,DHS,Enhanced Lead Identification and Targeting,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7565,DHS,AI Security and Monitoring,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7568,DHS,CBP Careers Bot - Leo,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7571,DHS,Global Entry Mobile App Traveler AI Question Answering Service,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7581,DHS,OCFO Response Augmentation Suite,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7589,DHS,AI-Enhanced ICE Tip Processing,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7591,DHS,AI-Powered Developer Tools,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7592,DHS,Open-Source Intelligence for Investigations,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7595,DHS,ESEC Inquiry (STORM) Summarization,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7601,DHS,AskTSA,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7602,DHS,Lexis Nexis,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7607,DHS,PDF Intake (PDFI) for myUSCIS,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7608,DHS,AI Interview Simulator for Officer Training,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7628,DHS,Commercial Generative AI for Text Generation (AI Chatbot),0,1,enterprise_wide,overturn,high,0,,,Commercial Generative AI for Text Generation (AI Chatbot) - explicitly an enterprise-wide DHS chatbot use case,Name explicitly says generative AI text chatbot at enterprise_wide scope; the heuristic was wrong.
7629,DHS,Commercial Generative AI for Image Generation,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7630,DHS,Commercial Generative AI for Code Generation,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7664,DOC,Global Business Navigator Chatbot,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7673,DOC,Community-based Messaging with LLM,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7675,DOC,Draft Fronts for Surface Analysis,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7697,DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7799,DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7801,DOC,Generative AI for Biological Opinions,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7806,DOC,LLM-Generated Causal Models,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7808,DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7815,DOC,Super-resolution of Satellite Imagery Products using Generative AI,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7818,DOC,Integrating NOAA APIs with LLMs for Enhanced Access to Environmental Data and Insights,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7819,DOC,AI Pair Programming with GitHub CoPilot,0,0,pilot,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7826,DOC,Storm Events Knowledge Graph Chatbot,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7829,DOC,APIgee with Gemini Code Assist for OpenAPI Development,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7841,DOC,Grants Program Administration - Inquiry management Chatbot Pilot,0,0,pilot,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7843,DOC,Grants Program Administration - Tiered Environmental Assessment AI Pilot,0,0,pilot,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7844,DOC,"NTIA Grants Portal (NGP) - AI Summarization, Analytics, and Automations",0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7847,DOC,DOC Chat,1,1,department,confirm,medium,1,"""DOC Chat"" Department of Commerce AI",,DOC Chat is the DOC department-wide AI chat platform,Listed at department scope; DOC Chat is DOC enterprise GenAI assistant.
7901,DOE,PARSGPT,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7935,DOE,Argonne Resilience AI Assistant ARAIA (nee CALLM),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7945,DOE,LLM EV,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7982,DOE,Merlin - KCNSC Generative AI with RAG,0,1,bureau,overturn,high,0,,,"It serves as a general productivity enhancer -not driven by a specific problem, but by the opportunity to improve efficiency.",Merlin/KCNSC GenAI explicitly described as general productivity tool for staff with vLLM/GPT-OSS-120b/OpenWebUI front-end.
7986,DOE,Custom GenAI for eVinci Microreactor Engineering (MauroGPT),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8082,DOE,HR Job Postings,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8113,DOE,MOOSE-LLM,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8133,DOE,AI for Vendor Compliance,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8152,DOE,Amazon Q Chatbot Pilot,0,0,pilot,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8156,DOE,Ask HR,0,0,enterprise_wide,confirm,medium,0,,,,Ask HR is RAG over HR-only content; narrow workflow despite enterprise availability. Reverting to confirm=0.
8167,DOE,Custom GenAI for ATR Fuel Conversion Project (FuelGPT),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8225,DOI,VoiceAtlas no-code chatbot framework,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8333,DOI,Refining Flood Risk Predictions in Hawai?i with Generative Machine Learning,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8352,DOI,LLM-Assisted Volcanic Alert Monitoring,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8403,DOI,FBMS UPC Chatbot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8407,DOI,Assessment Inventory and Monitoring (AIM) Chatbot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8433,DOI,Document Review Platform Generative AI,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8442,DOI,ePermits: Chatbot Implementation and Permit Application Wizard Tools,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8480,DOJ,Veritone Redact,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8512,DOJ,Data & Analytics: Healthcare Fraud Detection,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8606,DOJ,Speech to Text Managed Service - Voice Transcription to Text,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8608,DOJ,Internal Component-specific chatbot service,0,1,bureau,overturn,medium,0,,,Provide human-like conversational responses to conduct general information queries and suggestions towards improving text,"DOJ OIG internal generative chatbot — explicitly general info queries and improving text, broadly available."
8626,DOJ,JAWS (Text-to-Speech Assistant for Accessibility),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8644,DOJ,"Voicemail Transcription, Translation and Summarization",0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8647,DOJ,UFMS ChatBot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8679,DOJ,NIST Compliance Recommender,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8687,DOJ,Immigration Hearing Transcription and Translation/Interpretation Services,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8707,DOJ,Data Triage,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8710,DOJ,Customer Service AI Agent/ChatBot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8717,DOJ,Chatbot to Answer Internal Employee Policy Queries,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8718,DOJ,Chatbot,0,1,bureau,overturn,medium,0,,,General AI assistance / Multimodal output,"FBI ""Chatbot"" with stated purpose ""General AI assistance"" — fits general LLM access."
8739,DOJ,AI-Enabled Briefing Assistant,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8754,DOJ,Acquisition Support Tool,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8759,DOJ,Community Outreach Chatbot that Helps the Public Consume Prevention Resources,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8760,DOJ,Chatbot to Answer Diversion Registrants' Queries About Registration and Compliance Issues,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8768,DOL,Audio Transcription,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8771,DOL,Website Chatbot Assistant,0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8776,DOL,Automatic Document Processing,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8786,DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8806,DOL,ETA Grants Monitoring Tool through Doc Explorer,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8850,DOT,Tech Ops LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8851,DOT,Human Resources Policy Manual (HRPM) LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8852,DOT,Financials LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8853,DOT,Civil Aviation Registry Electronic Services (CARES) LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8854,DOT,Financial Policy LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8855,DOT,Spectrum Assignment & Engineering Team LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8856,DOT,National Program Office LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8857,DOT,FAA Orders and associated supplemental change notices LLM Document Search,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8868,DOT,AI-Assisted Legal Research,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8881,ED,Speech to Text Meeting Transcription,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8883,ED,Customer Service Support,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8955,EPA,AI Assistants in Esri Tools,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
8997,FDIC,Generative Artificial Intelligence (AI) for Legal Research,0,0,office,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9001,FDIC,CFOO Admin Chatbot,0,0,office,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9002,FDIC,CFOO Travel Chatbot,0,0,office,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9030,FDIC,Data Extraction from Contract PDF Files,0,0,office,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9037,FERC,Gas Blanket Certificates (Permitting),0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9038,FERC,AI Enabled Assistant Legal Research,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9044,FHFA,Virtual Acquisition Office (VAO) Ally,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9045,FHFA,"Analytics,, Search, Queries and LLM integration for data management on Oracle",0,0,bureau,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9054,FHFA,Mathematical formula transcription using Commonlook Online,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9090,FRB,Virtual Benefits Assistant,0,0,office,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9097,FRTIB,Sumtotal Chatbot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9114,FTC,DNC IVR Audio File Transcription,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9130,GSA,SINSpector: Using Generative AI to Enforce Scope and Compliance,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9134,GSA,FAS Catalog Platform - Virtual Assistant,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9139,GSA,Enterprise Management Program Management Office Chatbot,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9149,GSA,Cybersecurity Chatbot,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9157,GSA,OCFO Chatbot,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9168,GSA,National Computerized Maintenance Management System (NCMMS) AI Chatbot,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9169,GSA,PBS AI Chatbot Domain Enhancements,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9172,GSA,Pricing Policy Chatbot,0,0,unknown,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9183,HHS,Ask HR Policy,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9186,HHS,Discover User Assistant,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9190,HHS,Training and Technical Assistance (TTA) GenAI Chatbot,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9195,HHS,Document Review for Alignment with Executive Orders: Position Descriptions,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9196,HHS,Document Review for Alignment with Executive Orders: Grant Materials,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9198,HHS,Acquisition support: co-drafting acquisition packages,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9199,HHS,Acquisition support: assisting reviews and co-drafting technical evaluation documents,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9201,HHS,Chatbot,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9202,HHS,Chatbot,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9234,HHS,CDC Chatbot - Enterprise Data Assistant,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9238,HHS,Using Generative AI for Stance Analysis of Public Comments on CDCs Proposed Rules,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9244,HHS,Evaluating Generative AI for polio containment.,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9247,HHS,CDC Chatbot,0,1,enterprise_wide,overturn,high,0,,,"This tool is a general purpose assistant for CDC staff powered by Large Language Models. Staff can upload documents, summarize information, extract information, create content, develop software code, or general tasks",CDC Chatbot explicitly general-purpose LLM assistant for staff.
9248,HHS,EDAV Virtual Assistant - Eva ( Microbot Service) - Bot as a Service (BaaS),0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9253,HHS,NCIRD SmartFind ChatBots - Public and Internal,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9262,HHS,GenAIMeta: Generative AI CDC Metadata Query Application,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9265,HHS,Using generative AI to gain insight of older adult falls,0,0,enterprise_wide,confirm,low,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9268,HHS,DHDSP NOFO Technical Assistance Chatbot,0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
9269,HHS,Rapid Detection of Acute Releases of Toxic Substances (RaDARTS),0,0,enterprise_wide,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
