use_case_id,agency,use_case_name,platform_named,vendor,deployment_environment,confidence,evidence_url,evidence_quote,notes
9386,HHS,IDR Customer Analytic Environment,Snowflake (in IDR Cloud),GDIT,aws_govcloud,High,db_row_9386,system='Integrated Data Repository (IDR) Cloud',CMS Medicare data warehouse — public CMS docs confirm Snowflake
9387,HHS,IDR Support Bot,Snowflake / IDR Cloud,GDIT,aws_govcloud,High,db_row_9387,Same as 9386,CMS
9504,HHS,NBS Virtual Assistant,H2O.ai (H2O.GPTe),H2O.ai,unknown,Medium,db_row_9504,vendor 'H2O.GPTe' / NIH Business System,NIH ML platform claim
9530,HHS,NIH Grants Virtual Assistant,Google Cloud / Vertex,Google,gcp_assured_workloads,Medium,db_row_9530,vendor='Google',NIH
9563,HHS,Writing code using AI (NIH IDAP),Palantir Foundry,Palantir,fedramp_high_il5,High,db_row_9563,"system='NIH Integrated Data Analysis Platform' / vendor='Palantir Technologies deployed application within Foundry'",NIH IDAP confirmed Foundry-based
9577,HHS,AWS Exscribo,AWS Transcribe + Bedrock,"Deloitte, AWS",aws_govcloud,High,db_row_9577,vendor='Deloitte, AWS',NIH transcription with retraining
9505,HHS,NCI-DOE MOSSAIC,DOE Lab HPC (Oak Ridge),Oak Ridge National Lab,on_prem,High,db_row_9505,vendor='Oak Ridge National Lab',NCI uses ORNL Summit/Frontier-class HPC
9465,HHS,PRF Program Chatbot (HRSA),AWS Bedrock,GDIT,aws_govcloud,Medium,db_row_9465,bedrock token,HRSA
9471,HHS,HRSA Data Warehouse ChatBot,HRSA Data Warehouse,N/A,unknown,Low,db_row_9471,enterprise warehouse + chatbot,
9446,HHS,DICE (FDA),Custom platform (DICE),"Trigent, Digitrix",unknown,Medium,db_row_9446,FDA Human Foods Program data platform,
10037,NASA,Hydrology Copilot,Palantir Foundry + Azure Synapse,Palantir+Microsoft,unknown,Medium,db_row_10037,foundry+synapse tokens,
9656-9658,NASA,Airport Surface Models,MLflow (NAS),N/A,unknown,Medium,db_rows_9656_9658,'mlflow' token in narrative,Ames Research Center
9684,NASA,MERRAMax Automated feature selection,On-prem HPC (NCCS Discover),N/A,on_prem,Medium,db_row_9684,GSFC; MERRA-2 needs HPC,
9810,NASA,Foundation model for Weather and Climate (Prithvi),HECC + IBM partnership,IBM,on_prem,High,db_row_9810,"NASA-IBM Foundation Model Experiments project on HECC (per public NASA HECC pubs)",Athena/Aitken/Pleiades
9997,NASA,Stratospheric NO2 retrievals,NCCS Prism GPU cluster,N/A,on_prem,High,db_row_9997,system='NASA Center for Climate Simulation's Prism GPU cluster',NASA NCCS HPC
10087,NSF,AWS Assisted Software Development,AWS Bedrock + Q,Amazon Web Services,aws_govcloud,Medium,db_row_10087,"AWS CodeWhisperer, Amazon Q and Bedrock",
10097,NSF,NSF AI-Ready RPPR Data,AWS SageMaker + Bedrock + Neptune + Comprehend,Amazon Web Services,aws_govcloud,High,db_row_10097,"Request approval to use AWS Bedrock, AWS SageMaker, AWS Neptune & AWS Comprehend",NSF OCIO building real analyst environment
10146,SBA,Multi-Agent Orchestration,AWS Bedrock (FedRAMP),Amazon Web Services,aws_govcloud,High,db_row_10146,system='Amazon Bedrock (FedRAMP Authorized)',
10184,SEC,Semantic Layer Natural Language Query,Custom semantic layer,N/A,unknown,Medium,db_row_10184,DERA / OCDO,SEC has data science teams but no named platform in row
10227,SSA,Data Governance Product (DGP),Informatica EDC,Informatica,unknown,Medium,db_row_10227,vendor='Informatica',Cataloging w/ predictive analysis
10249,State,Predictive Analytics Platform,Palantir or custom,N/A,unknown,Low,db_row_10249,Consular Affairs platform,
10257,State,Data.State Analytics and AI Funhouse,Databricks + Microsoft + ZenPoint,"Microsoft, Databricks, ZenPoint",azure_gov,High,db_row_10257,"vendor='Microsoft, Databricks, ZenPoint' / system='Data.State-SBU; DOS-O365'","SBU-classified analytic sandbox for State data scientists — cleanest analyst platform in the whole inventory"
10262,State,PFCS Proving Ground (CfA),Palantir Federal Cloud Service,Palantir,fedramp_high_il5,High,db_row_10262,vendor='Palantir' system='CfA PFCS','Center for Analytics' AIP environment
10265,State,StateChat,Palantir AIP + OpenAI,Palantir+OpenAI,fedramp_high_il5,High,db_row_10265,"vendor='Palantir, OpenAI' system='CfA PFCS'",
10277,State,Digital Media Analytics Platform (NorthStar),Custom (NorthStar),N/A,unknown,Medium,db_row_10277,system='NorthStar',GPA component
10283,State,Databricks Code Assistant,Databricks,Databricks,unknown,Medium,db_row_10283,explicit databricks token,
10278,State,EHR AI Enhancements,Palantir,Palantir,fedramp_high_il5,Medium,db_row_10278,vendor='Palantir' system='MED-PLTR',MED component
10361,Treasury,OCC.InfoAssist,Custom RAG (OCC docs),N/A,unknown,Low,db_row_10361,Q&A chatbot only — NOT an analytic platform,Despite the name
10391,Treasury,GenAI for Data Platform Operations,Custom platform ops (TCSC),N/A,unknown,Low,db_row_10391,Treasury Common Services Center,
10437,Treasury,Tax Disclosure Text Clustering,IRS Compliance Data Warehouse (CDW),N/A,on_prem_plus_aws,High,db_row_10437,"extraction of text from Form 8275-R… from CDW",IRS RAAS uses CDW; Palantir contract reported (2026)
10453,Treasury,Line-Item Consolidation for Form 1120,IRS CDW,N/A,on_prem_plus_aws,High,db_row_10453,IRS LB&I research project on CDW,
10470,Treasury,TP360 IRM Research Companion,Custom RAG,N/A,unknown,Low,db_row_10470,IRS knowledge management tool,
10489,USDA,Repair Spend (EDAPT),EDAPT (Impala+Tableau),Accenture,unknown,Medium,db_row_10489,system='Enterprise Data Analytics Platform & Toolset (EDAPT, Impala, Tableau)',USDA Ag-research enterprise data platform
10530,USDA,IRIS,IRIS (Marketing & Regulatory Programs),N/A,unknown,Low,db_row_10530,IRIS = USDA app; not the same as DOI's,
10554,USDA,BIGMAP,Esri ArcGIS + GeoPlatform,Esri,unknown,Medium,db_row_10554,system='Esri FS GeoPlatform',Geospatial analytics platform
10660,VA,CSOC AI Analyst Accelerator (Andesite AI),AWS Bedrock,Andesite AI,aws_govcloud,Medium,db_row_10660,bedrock token,VA cyber SOC analyst tool
10723,VA,Electronic Mammogram Reporting,Databricks,N/A,unknown,Medium,db_row_10723,databricks token,VHA
10841,VA,eCaremanager (Philips) using CDW,VA Corporate Data Warehouse + VINCI,Philips,on_prem,High,db_row_10841,"inputs from VISTA and… from the CDW",VHA TeleCritical Care; CDW/VINCI confirmed in public VA docs
10909,VA,VEO Retention/Trust Models,VA CDW + CX Insights,N/A,on_prem,Medium,db_row_10909,'inputs are CDW VISTA data',
9110,FTC,Azure Databricks Assistance,Azure Databricks,Microsoft,azure_gov,High,db_row_9110,explicit azure databricks,FTC Sentinel
9113,FTC,Azure ML,Azure Machine Learning,Microsoft,azure_gov,High,db_row_9113,explicit azure ml,FTC Sentinel
8127,DOE,Scripting (Google Gemini),Google,Google,unknown,Low,db_row_8127,DOE Office of Legacy Management,
