canonical_name,field,current_value,proposed_value,confidence,reasoning
Salesforce Einstein,product_type,ml_platform,productivity,medium,"The banded usage recorded for this product is a generative-writing/communications task, not predictive modeling. ml_platform (technical) undercounts it against its observed real-world use; productivity (general) matches the attested use case. This is the highest-band (50,000+) product_type change in this set, so confidence is capped at medium pending confirmation of which Einstein feature (Copilot vs. classic predictive scoring) agencies are actually filing under this name."
Windsurf,is_generative_ai,0,1,high,"Windsurf (formerly Codeium) is an AI-native coding IDE whose entire product is AI code generation/autocomplete/agentic coding; gen=0 is inconsistent with every other coding_assistant in this set (GitHub Copilot, Claude Code, and Poolside are all gen=1)."
Unison PRISM,product_type,supply_chain,productivity,medium,"'supply_chain' does not appear in the product_type-to-stratum map at all, so this product is currently uncategorized in the stratification model. PRISM is federal contract-writing/acquisition-lifecycle software, closest to the business-ops productivity bucket already used for similar tools (SAP Concur, CWTSatoTravel)."
Unison PRISM,is_generative_ai,0,1,medium,"PRISM 7.6 (released Feb 2025) added AI-driven document generation and clause guidance for contract writing; gen=0 does not reflect the current product."
Doble Test Assistant,product_type,document_ai,data_analytics,high,"DTA is diagnostic software for electrical test equipment (Doble M-Series instruments); its AI component (FRANK) analyzes test measurement data and produces diagnostic recommendations -- this is data analysis of engineering test data, not document processing. document_ai (general stratum) undercounts it; data_analytics (technical stratum) matches its actual function."
Synthesia,product_type,computer_vision,media_analysis,high,"Synthesia is an AI text-to-video avatar generation platform, functionally identical to HeyGen and Vyond (both already media_analysis in this dataset). computer_vision in this catalog is used for image-focused tools (Firefly, Photoshop, DALL-E, Google Lens); Synthesia produces video, not still images, so it belongs with its direct competitors under media_analysis. This moves Synthesia from excluded to the comms stratum at its max band (50,000+) -- the most consequential stratum-inclusion change identified in this audit."
Meltwater,product_type,productivity,social_listening,high,"Meltwater is a media intelligence/social listening platform (brand monitoring, sentiment analysis, competitive benchmarking across social and news) -- the same product category as Hootsuite and Sprinklr, both already correctly typed social_listening in this dataset."
Sprout Social,product_type,productivity,social_listening,high,"Sprout Social's own marketing centers on 'Social Listening' as a headline capability (brand/sentiment/trend monitoring across platforms); it is a direct competitor to Hootsuite/Sprinklr/Meltwater, all social_listening in this catalog."
Flashpoint,product_type,social_listening,investigative_data,medium,"Flashpoint is a cyber threat intelligence/OSINT platform (dark web monitoring, stolen credentials, fraud and threat-actor tracking), not a social-media brand-monitoring tool. Its function fits the investigative stratum far better than social_listening, especially given SEC's likely enforcement/investigative use."
Magnet Forensics,product_type,security_tool,forensics,high,"Magnet Forensics builds digital forensics tools (e.g., Magnet AXIOM) for extracting and analyzing evidence from devices for investigations -- this is literally 'forensics,' a category this catalog already uses elsewhere. security_tool (excluded) miscategorizes it and drops it from the investigative stratum where it belongs."
Tableau,product_type,ml_platform,data_analytics,medium,"Tableau is a BI/data-visualization tool, not a machine-learning platform; its direct competitor Microsoft Power BI is already correctly typed data_analytics in this set. No stratum change (both technical) -- flagged for internal consistency."
Microsoft 365,product_type,coding_assistant,productivity,high,"The base Microsoft 365 office suite (Word/Excel/PowerPoint/Outlook/Teams) is an office productivity suite, not a coding tool -- coding_assistant is a clear data error. (The generative Copilot layer and GitHub Copilot are already tracked as separate rows in this set.)"
Microsoft 365,is_generative_ai,1,0,medium,"The generative-AI-specific product is already tracked separately as 'Microsoft 365 Copilot' (its own row, gen=1); this generic 'Microsoft 365' row most likely represents the base suite without Copilot, which is not generative on its own."
DALL-E,parent_canonical_name,ChatGPT,,medium,"DALL-E is a standalone OpenAI image-generation model, not derived from or dependent on the GPT text models behind ChatGPT. Its OpenAI siblings in this catalog (ChatGPT, OpenAI API) both carry no parent, so nesting DALL-E under the sibling chat product is inconsistent with that convention; recommend clearing the parent to match."
Genesys Cloud CX,product_type,itsm,agent_platform,medium,"Genesys Cloud CX is a contact-center/CX platform, not IT service management; its headline AI capability is an agentic, LAM-powered virtual agent for customer interactions, matching agent_platform better. No stratum change (itsm and agent_platform are both general) -- flagged for correctness."
ServiceNow Now Assist,product_type,productivity,itsm,medium,"Now Assist is ServiceNow's generative AI layered specifically onto ITSM/ITOM workflows (ticket summarization, case resolution); itsm is an explicit category in this taxonomy and fits better than generic productivity. No stratum change (both general) -- flagged for correctness."
