agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
HHS,AI for Assessing Bioanalytical Study Conduct Alignment with Guidance and Method SOPs,HHS/FDA/CDER,pilot,Generative AI,1,1,0,general_llm,Elsa (FDA),Elsa,,b) Developed in-house,No,"Cross-comparing large amounts of bioanalytical data (reports, validation, tabulated data) with the M10 guidance and aligned method Standard Operating Procedures (SOPs) to identify all possible study conduct issues.","Expedited identification of bioanalytical study conduct issues through efficient cross-comparisons between the M10 guidance, method Standard Operating Procedures (SOPs), and bioanalytical study reports/data before and during inspections, helping ensure data quality and regulatory compliance.","Organized summary of bioanalytical study conduct deviations from M10 principles, regulations, and method SOPs, followed by a summary of potential study impact. Outputs are verified by FDA staff."
HHS,AI for Bioanalytical Study Risk Assessment and Inspection Readiness,HHS/FDA/CDER,pilot,Generative AI,1,1,0,general_llm,Elsa (FDA),Elsa,,b) Developed in-house,No,Challenges in assessing large amounts of analytical/bioanalytical study information for risk assessment and inspection preparation in a short period of time,"Efficient and thorough review of bioanalytical portions of pivotal studies, enabling risk assessors and reviewers to identify and address potential issues. This benefit promotes public health by ensuring the welfare of study subjects, and helping the office verify the quality, study integrity, and regulatory compliance of Bioavailability/Bioequivalence (BA/BE) studies supporting CDER-regulated drugs.","Summary including reanalysis, deviations from method SOPs or protocols, inconsistencies or gaps in data reporting, deviations from data acceptance criteria, and deviations from the method validation; description of potential impact on study outcome. Outputs are verified by FDA staff."
HHS,AI for Clinical Study Risk Assessment and Inspection Preparation,HHS/FDA/CDER,pilot,Generative AI,1,1,0,general_llm,Elsa (FDA),Elsa,,b) Developed in-house,No,Challenges in assessing large amounts of clinical study information for risk assessment and inspection planning in a short period of time,"Efficient and thorough review of clinical portions of pivotal studies, enabling risk assessors and reviewers to identify and address potential issues. This benefit promotes public health by protecting study subjects, and by helping the office verify the quality, study integrity, and regulatory compliance of Bioavailability/Bioequivalence (BA/BE) studies supporting CDER-regulated drugs.","Summary including any inconsistencies, discrepancies, missing information, protocol deviations, unforeseen circumstances, unexpected adverse events, severe or serious adverse events, and modifications to processes or procedures; description of potential impact on study outcome. Outputs are verified by FDA staff."
HHS,AI for Regulatory Review (AIRR) Pilot,HHS/FDA/CDER,pilot,Generative AI,1,1,0,general_llm,Custom In-House AI,N/A,In-house (CDER staff) and contractor teams,c) Developed with both contracting and in-house resources,No,"The AI-assisted regulatory review paradigm addresses the inefficiency and administrative burden of manually searching through vast amounts of disconnected sponsor-submitted and FDA-generated documents by integrating three components: AI-powered prompt engineering for streamlined workflows, real-time regulatory data retrieval systems, and automated document formatting capabilities that maintain human oversight while significantly enhancing review efficiency and consistency.","Enables faster and more efficient regulatory reviews by reducing time spent on document searching and information gathering, allowing FDA reviewers to focus on scientific analysis and decision-making. Maintains high review quality while improving consistency across review teams and reducing administrative burden on expert reviewers.",Preliminary administrative or review summary (available in Word format) for reviewers' verification and refinement
HHS,AI in Figma Make,HHS/CMS/OC,deployed,Generative AI,1,0,0,general_llm,,,,a) Purchased from a vendor,No,Rapid prototyping,Improved speed and efficiency,Suggestion
HHS,AI in Slack,HHS/CMS/OC,deployed,Generative AI,1,1,0,general_llm,Slack,Enterprise Web Support Tools,,a) Purchased from a vendor,No,Improved Slack,Improved operations,Suggestion
HHS,AI-Powered Video Analytics for Law Enforcement,HHS/FDA/OII,deployed,Computer Vision,0,0,0,computer_vision,Milestone XProtect,Digital Acquisition Report System (OII-OCI-DARS),Milestone,a) Purchased from a vendor,No,"The AI is intended to solve the challenge of manually reviewing large volumes of surveillance video, which is time-consuming, labor-intensive, and prone to human error.","Faster identification of persons, vehicles, and events of interest through AI-powered video search and filtering.
Improved accuracy and objectivity in surveillance review and analysis.
Increased situational awareness via real-time alerting and behavior detection.
Greater operational efficiency, enabling limited staff to manage larger video workloads.
Data-driven decision-making supported by trend analysis and visual dashboards.","- Object-level detections: bounding boxes with classifications (e.g., person, vehicle type, animal), attributes (e.g., clothing color, bag, face mask), and movement patterns.
- Appearance-based search results: lists of matching individuals or vehicles based on facial features, clothing, or license plate.
- Real-time alerts: triggered events based on predefined rules (e.g., line crossing, group formation, presence of a vehicle type), sent via connected systems.-
- Visual summaries: Video Synopsis® clips that compress hours of activity into short, layered visualizations for faster review.-
- K34Dashboards and analytics: aggregated data on movement, dwell time, crowding, object counts, and traffic patterns to inform operational decisions."
HHS,AI-Powered web scanner for digital surveillance of rabies-related news articles,HHS/CDC,pilot,Agentic AI,0,0,0,nlp_specific,,,,b) Developed in-house,No,"US travelers to international destinations are often exposed to rabies, and in some cases have died upon return to the US. Accurate and early identification of rabies outbreaks can help inform US travelers pre-travel healthcare and vaccine decisions. Unfortunately, surveillance for and transparency of rabies outbreaks in international settings is unreliable and rarely reported through official government channels.","This scanner offers a low-resource method of scanning media for evidence of rabies outbreaks that jeopardize US traveler's health, faster and more reliably than relying on formal notifications or announcement from foreign governments.","Daily automated compilation of news reports with potential outbreaks, high-risk rabies exposures, species involvement, etc."
HHS,AI-assisted comment triaging tool,HHS/CMS/CM,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,"L&M Policy Research, LLC",c) Developed with both contracting and in-house resources,Yes,"To reduce labor hours of manual comment review we use AI to assist in comment review and triage, and in identifying form letters.",Cost savings and time savings to the government.,Compiles public comments by topic in the rule.
HHS,AIP Assist,HHS/CDC,deployed,Generative AI,1,1,0,general_llm,Palantir AIP,1 CDC Data Platform (1CDP),Palantir Technologies,a) Purchased from a vendor,No,"AIP assist supports user engagement with the Palantir Platform. It is an LLM-powered support tool that is able to answer inquiries about the platform and can also guide users in developing their own applications by supporting users to write their own code or pointing the user to the right tool for the task. It supports assistance for platform navigation, coding tasks, documentation support, and problem solving for users.","AIP Assist benefits the agency and general public by enabling users to quickly understand the platform which allows them to quickly ramp up the development of new applications.  It supports assistance for platform navigation, coding tasks, documentation support, and problem solving for users when working on applications in many roles including data science, data engineering, machine learning, and AI.","AIP Assist is an LLM-powered tool available to all 1CDP. It provides accessibility to the user in relation to the capabilities of the platform by using generative AI and internal documentation.  This tool works as an assistant to help users to understand the platform and helps them to quickly iterate over the development of new applications. The assistance provided by AIP Assist is text generated information to the user intended to be used for platform navigation, coding tasks, documentation support and problem solving. AIP assist provides generated text on the aforementioned aspects"
HHS,AIP Cyber Incident Ingestion,HHS/ASPR/CP,pilot,Natural Language Processing,0,0,0,nlp_specific,Palantir AIP,Tiberius,Palantir,b) Developed in-house,Yes,The manual process of parsing out cyber incidents and entering them into the system,Allows the Cyber team to quickly ingest cyber incident data,Automatically parses and creates cyber incidents based on the user inputted description or email
HHS,ATSDR Toxicological Assistant chatbot,HHS/CDC,deployed,Generative AI,1,1,0,general_llm,,EDAV (Enterprise Data Analytics and Visualization Platform),N/A,c) Developed with both contracting and in-house resources,No,"The ATSDR Toxicological Assistant chatbot via the CDC Chatbot has access to query 180 comprehensive toxicological profiles (A-Z Index of Tox Profiles | Toxicological Profiles | ATSDR).
The chatbot can assist users in accessing toxicological data, answering questions about specific chemicals, providing information on exposure pathways, and offering guidance on health assessments related to environmental contaminants. 
This tool can significantly reduce research time, ultimately enhancing efficiency in accessing critical toxicological information.","This tool significantly reduce research time, ultimately enhancing efficiency in accessing critical toxicological information to effectively and rapid response to general public enquire relative to chemical exposure through to ATSDR Info.","Substance Lookup: Summarizes health risks, exposure pathways, and toxicological data from a pre-built library of over 180 ATSDR toxicological profiles.
Interactive Q&A: Generates answers to user questions based solely on information within the extensive toxicological profiles, ensuring accuracy and reliability.
Navigation Support: Effectively guides users to specific chapters, tables, pages, and references within lengthy toxicological documents.
Comparative Analysis: Enables users to compare the health effects of different substances, facilitating comprehensive environmental research and exposure assessments.
Document Generation: Assists in creating documents and reports tailored to different reading levels, supporting health consultations and public communication."
HHS,AWS Exscribo,HHS/NIH,pilot,Generative AI,1,1,0,general_llm,AWS Bedrock,,"Deloitte, AWS",c) Developed with both contracting and in-house resources,Yes,"Typical transcription services struggle to handle scientific and biomedical terminology, and many platforms do not include the ability to pretrain for specific words, or offer the ability to perform queries on that text in the transcription system itself.","The AWS Exscribo application is specifically built to allow for custom vocabularies, editing of meeting transcriptions, and model retraining, making it well-suited to handle complex medical terminologies. It also has the benefit of using AWS Bedrock, which enables Gen AI prompting on the transcription.","The AI systems output includes transcriptions of audio recordings, and outputs of results from Gen AI prompts on those transcriptions."
HHS,AWS Kendra Search tool,HHS/SAMHSA,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Kendra,AWS,a) Purchased from a vendor,Yes,Kendra address the technical limitations of efficient access to public information.,The SAMHSA STORE houses a tremendous wealth of mission-critical information for public consumption and utilization. Kendra provides an efficient and comprehensive way for the public to access this information.,A comprehensive scan of SAMHSA STORE materials based on a public query in an efficient and effective User Experience.
HHS,Acquisition support: assisting reviews and co-drafting technical evaluation documents,HHS/ACF,deployed,Generative AI,1,0,0,general_llm,Microsoft 365 Copilot Chat,"ACF Credal, Ask Sage (decommissioned), Microsoft Copilot Chat","Credal, Ask Sage, Microsoft",c) Developed with both contracting and in-house resources,No,"How can ACF teams more efficiently review contract proposals and summarize technical evaluation discussions?

In response to Requests for Information and Requests for Proposals, ACF teams receive responses from interested vendors. In the review process, ACF staff need to provide summarized comments for each response on potential suitability for delivering the work. These summaries are based on individual and group review against pre-established criteria. When there is a high volume of vendor responses, review teams have many summaries to write.","Increased efficiency in drafting technical evaluation documents, so that more time is spent on review and analysis and less time is spent on ""blank screen syndrome""","Draft language for technical evaluation documents, based on user-provided context, direction, analysis, and examples.

For example, the user may provide a statement on why they assess a proposal to be unsuitable based on the evaluation criteria, and then leverage the AI tool to draft language to pull and format specific examples with page citations from the proposal.

AI is only used to draft language and make it easier to find relevant passages in proposal materials. AI is not used to make final determinations. The technical evaluators review and revise as needed all AI-drafted language, verifying accuracy of any cited excerpts."
HHS,Acquisition support: co-drafting acquisition packages,HHS/ACF,deployed,Generative AI,1,0,0,general_llm,Microsoft 365 Copilot Chat,"ACF Credal, Ask Sage (decommissioned), Microsoft Copilot Chat","Credal, Ask Sage, Microsoft",c) Developed with both contracting and in-house resources,No,"How can ACF acquisition teams more efficiently draft acquisition packages? 

In addition to tailored performance work statements (PWS), acquisition packages include multiple documents that often require information based on the PWS. There are also instances where a recompete is issued that largely follows a previous contract, with some updates to volumes. Different contract awarding agencies have different formats. ACF's acquisition teams therefore commonly need to repackage information.",Increased efficiency in preparing acquisition packages so that more time is spent on the substance of scoping contracts and less time on rote drafting,"Draft language for various parts of an acquisition package based on user-provided context and direction. 

For instance, based on a provided set of task narratives, a user may ask a large language model to draft the table of deliverables. Based on a draft set of requirements, a user may ask the large language model to provide an initial suggestion for organizing tasks. Based on a copy of a previous modification memo and an executed contract, a user may ask a large language model to draft a new modification memo to exercise the next option year."
HHS,Aivia,HHS/NIH,deployed,Computer Vision,0,0,0,computer_vision,,,Leica,a) Purchased from a vendor,No,Provides machine-learning-based object classification in microscopy applications,"Provides AI-based segmentation, enhancement, and prediction in microscopy applications. This tool is utilized in support of research projects within NIEHS DIR and DTT laboratories.","Inputs are microscopy images, outputs are object and structure annotations and enhanced images."
HHS,Alphafold,HHS/NIH,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,Google DeepMind,a) Purchased from a vendor,No,Prediction of atomic models from CryoEM specimens.,This tool uses ML to build de novo atomic models for proteins based on amino acid sequence alone. This tool is utilized by the Cryo-EM core in support of research projects within NIEHS DIR and DTT laboratories.,"Inputs are amino acid sequences, outputs are atomic models."
HHS,Analytics-Driven Supplement Evaluation (ASE),HHS/FDA/CDER,deployed,Natural Language Processing,0,0,0,nlp_specific,Custom In-House AI,Other/CDEROne,In-house (CDER staff),c) Developed with both contracting and in-house resources,Yes,"Exponential increase in post-approval chemistry, manufacturing, and controls (CMC) change submissions, with 80% being Changes Being Effected (CBE-30/0) notifications that may be suitable for systematic analytics-driven evaluation.","This AI use case supports the triage and staff assignment process for the review of post-market Change Being Effected (CBE) supplement submissions, improving review efficiency and consistency while ensuring appropriate regulatory oversight.","Using a Convolutional Neural Network (NN) model, in combination with a rules-based approach, produces an output that helps staff triage CBE submission review"
HHS,Annual Report CMC,HHS/FDA/CDER,deployed,Generative AI,0,0,0,general_llm,,CDEROne Analytics: FISMA-high environment,Deloitte,c) Developed with both contracting and in-house resources,Yes,"FDA receives numerous annual reports from drug manufacturers containing important manufacturing and quality information, but key details can be difficult to locate quickly within lengthy documents.","Objective of this use case was to assist in extracting Chemistry, Manufacturing, and Controls (CMC) changes reported within unstructured annual report industry submission documents to help build a complete repository for downstream analysis and more efficient regulatory review.",Support information extraction from unstructured documents
HHS,Applicant Help Chatbot,HHS/OS/ASFR,deployed,Natural Language Processing,0,0,0,general_llm,,Grants.gov Cloud,Business Performance Systems,a) Purchased from a vendor,Yes,Answer user questions about Grants.gov,Faster answers to questions at a lower cost,System help documentation and funding opportunity listings
HHS,Ask Aithena,HHS/NIH,deployed,Natural Language Processing,1,1,0,general_llm,OpenAI API,,"Axle Informatics, Microsoft, OpenAI",c) Developed with both contracting and in-house resources,Yes,Helps researchers stay on top of the latest research in their field and quickly get up to speed in new fields by providing conversational answers while also providing verifiable references for the user to read primary sources.,Increased productivity of researchers due to more time spent doing science and less time researching about other people's science,Text blurbs answering the user's questions and the references used to answer those questions.
HHS,Ask HR Policy,HHS/ACF,deployed,Generative AI,1,0,0,general_llm,Palantir AIP,ACF Discover,Palantir,a) Purchased from a vendor,Yes,"How can ACF better support Executive Officers and Administrative Officers find relevant Human Resources (HR) policy?

HHS has over 70 HR policies that ACF Executive Officers/Administrative Officers must navigate when trying to find an answer to a question.","Faster fact-finding on HHS's HR policies 

Rather than clicking through multiple policies to try to identify the ones with relevant information to their question, Executive Officers/Administrative Officers can ask a question in natural language.","Suggested answer to an HR-related question, with thought process and links to relevant section of official document(s).

Ask HR Policy provides a secure interface permissioned only to select ACF Executive Officers and Administrative Officers.  Users type in questions about managing employees covered by the HR Policy Library, and Ask HR Policy provides a narrative of its thought process then suggests an answer based in the documentation, alongside links that take the user to the relevant section of the official document."
HHS,Assisted Referral Tool (ART),HHS/NIH,deployed,Natural Language Processing,0,0,0,nlp_specific,,Assisted Referral Tool (ART),,b) Developed in-house,Yes,This tool suggests which study sections an application might best fit for peer review. The applicant can then get a better idea of the topics being reviewed in that study section and the expertise the reviewers are likely to have. This tool is also used internally to help efficiently assign applications into study sections.,This tool provides information to applicants about the context of the eventual review of their applications and increases efficiency of internal study section assignments.,SRG recommendations
HHS,Autocoding to Support Adverse Drug Event Surveillance,HHS/CDC,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,No,Manual coding of adverse drug event reports is time-consuming and slows down the production of prevalence estimates. The AI model will automate and speed up the coding process for surveillance epidemiologists.,"The AI model will help epidemiologists quickly determine whether reported adverse drug events meet surveillance case definitions, speeding up the coding process and enabling faster, more accurate prevalence estimates for the surveillance system.","The model takes a de-identified free-text description of a patient's emergency department visit, along with other pre-coded variables, and outputs the probability that the encounter meets the surveillance case definition for an adverse drug event."
HHS,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,HHS/CDC,pilot,Natural Language Processing,1,1,0,general_llm,,EDAV (Enterprise Data Analytics and Visualization Platform),,b) Developed in-house,No,"The AI is designed to streamline the review process of Annual Progress Reports (APRs) submitted by Injury Control Research Centers (ICRCs), improve efficiency, and support the evaluation of the performance and progress of ICRC-funded activities.","The AI will help quickly and efficiently identify key challenges and insights from ICRC APRs, enabling more effective decision-making in the review process. By automating the extraction and analysis of critical information, the AI allows the ICRC team to focus on higher-level evaluation and strategic planning. This will reduce the time and resources needed for manual review, improve the consistency and accuracy of assessments, and facilitate faster responses to ICRC needs. Ultimately, this will support ICRCs in overcoming challenges and achieving their research and injury control goals, benefiting the public health system as a whole.","The AI analyzes the textual content of APRs, focusing initially on sections detailing the challenges faced by ICRCs. It identifies key themes, trends, and critical information that may require further attention. The AI methodology extracts insights and patterns from the data, which can then be compared with manual qualitative analysis outcomes. In subsequent stages, the AI will be expanded to analyze other sections of the APRs, such as progress toward goals and program impact."
HHS,Automated approaches to analyzing scientific topics,HHS/NIH,pilot,Natural Language Processing,0,0,0,nlp_specific,,,"Lexical Intelligence, LLC",c) Developed with both contracting and in-house resources,Yes,Slow and inefficient means by which decision makers are able to evaluate portfolios,Assist decision makers in analyzing topics in their portfolios,Recommendation
HHS,Automating Influenza Vaccine Virus Data Processing,HHS/CDC,pilot,Generative AI,0,0,0,general_llm,,,,b) Developed in-house,No,Information for candidate vaccine virus (CVV) data from public-facing websites is highly labor intensive to gather. Previously R scriptstext files with computer programming commandsautomate some scraping processes but still rely on manual methods to extract data from PDFs.,"The automation from this AI use case reduced processing time for new data from about one week to one day, enabling faster access and analysis of CVV data to enhance CDCs preparedness for upcoming flu seasons.","The use case automates extracting key phrases, recognizing text, processing forms, and identifying entities to streamline data extraction and supplement missing CVV data from PDFs. This tool is intended for internal use only."
HHS,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,HHS/CDC,pilot,Generative AI,0,1,0,general_llm,,,,b) Developed in-house,No,"Configuring and customizing bioinformatics workflows in Clarity LIMS is time-consuming and requires specialized expertise. The AI tool automates this process, enabling rapid deployment and lowering the barrier for laboratory staff. It also improves access to quality management and regulatory documentation.","The system can reduce the time required to configure Clarity LIMS workflows, enable rapid deployment during outbreaks, lower the expertise needed for workflow customization, and enhance team learning and training by providing easy access to relevant documentation and best practices.",The AI system converts natural language lab protocols into precise XML workflows compatible with Clarity LIMS and serves as an interactive knowledge base for laboratory quality management and regulatory documentation.
HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,HHS/CDC,deployed,Agentic AI,0,0,0,nlp_specific,,Microsoft,N/A,c) Developed with both contracting and in-house resources,No,"The output from the AI system is the automated and timely distribution of CDC-State Department cables. It delivers accurate, formatted messages directly to the intended recipients within seconds, ensuring fast and reliable communication without manual intervention.","This AI use case reduces cable distribution time from 24 hours to 30 seconds, greatly speeding up communication. It saves staff time, improves accuracy, and helps the CDC respond faster to health threats, supporting its mission to protect public health effectively.","The output from the AI system is the automated and timely distribution of CDC-State Department cables. It delivers accurate, formatted messages directly to the intended recipients within seconds, ensuring fast and reliable communication without manual intervention."
HHS,Biomedical Citation Selector (BmCS),HHS/NIH,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,Time-consuming human review of individual journal articles from multidisciplinary journals to determine inclusion in MEDLINE.,"More efficient and effective indexing and inclusion of relevant journal articles, standardization of citation record selection, and reduced processing time",Sets of citation records that are classified as relevant to biomedicine and the life sciences.
HHS,Builder Buddy,HHS/ACF,deployed,Agentic AI,1,1,0,general_llm,,ACF Credal,Credal,a) Purchased from a vendor,No,"How can ACF staff more readily develop their own tailored virtual assistants on our enterprise genAI platform?

ACF's enterprise generative AI platform gives users the tools to create their own tailored virtual ""agents"" to assist with more specialized tasks specific to a user's work. Users do not need to code to build these virtual assistants but do have to provide adequate context and instructions. Builder Buddy lets users draft a virtual assistant through describing their needs and providing context in a natural conversational manner as an alternative to a form-based builder interface.","More ACF staff feel empowered and equipped to configure their own tailored virtual assistants, increasing the usefulness of LLMs beyond basic chat

Tailored virtual assistants allow ACF staff to leverage LLMs in repeated workflows, reducing administrative burden and allowing staff to focus on higher-order analysis.",Draft virtual assistant configurations that users then further test and iterative on before deployment.
HHS,C3PO: CMS Comprehensive Cybersecurity and Privacy Optimization,HHS/CMS/OIT,pilot,Generative AI,1,1,0,general_llm,OpenAI API,,Connsci and OpenAI,c) Developed with both contracting and in-house resources,No,"Reduce the burden of reviewing lengthy OMB, NIST and HHS policy documents, quicker review of SORN and PIAs","Reducing the response time to new or emerging policies and technologies, the ability to adequately review privacy agreements in the event of incident","Recommendations on policy updates, identification of privacy agreements and the associated systems."
