agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
DHS,Adaptive Risk Model for Inspected Small Passenger Vessels,USCG,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,"A lack of a comprehensive data-driven tool for informing marine inspection policy has left policymakers to make decisions based on qualitative and anecdotal information, resulting in less-than-optimal allocation of limited marine inspection resources.","The Small Passenger Vessels Safety Task Force uses machine learning and expert input to build a flexible analysis tool that identifies the main causes of marine casualties and calculates a risk score for each vessel in the largest segment of the U.S.-inspected fleet. By using a logistic regression–based model with basic machine learning, this effort improves how inspectors are allocated, sharpens the focus on higher-risk vessels, and strengthens oversight to improve passenger safety.",Numerical score that compares vessels predicted safety risk relative to each other.
DHS,AdaptiveMFA,MGMT,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,Microsoft Defender,The DHS Next Generation Authentication as a Service (DHSAuthPortal) System,Okta,c) Developed with both contracting and in-house resources,No,"Enhances security and the user experience, including: Behavioral Anomaly Detection - AI monitors user activity over time to establish a baseline pattern of their behavior.  If a login attempt deviates significantly, such as logging in from a foreign country, unknown workstation, or disallowed IP address space, Okta can trigger Adaptive Multi-factor Authentication (aMFA) to block access. Adaptive MFA - Okta's AI-powered Adaptive MFA tailors security challenges based on risk level. Trusted users might only need a password, while high-risk users are prompted for biometric or application-based verification. Real-Time Threat Detection - Okta's integration with AI-driven threat intelligence platforms like CrowdStrike and Microsoft Defender enhance real-time visibility into threats, correlating data from endpoint, network, and identity layers. Access Governance with Intelligence - AI enables smarter access reviews and role recommendations.  It detects unusual access rights, flags overprovisioned users, and automatically suggests changes. AI is integrated into DHS's identity and access management solutions to strengthen security and enhance the user experience.","Adaptive Multi-factor Authentication (aMFA) introduces additional intelligence into Identity flows by taking into account the authentication context data during the authentication. Using the data, DHS is able to adapt security and authentication policies to enhance the security to DHS systems.","The input includes: device, network, location, travel, IP, and external data from third parties and endpoint security integrations. The output are Risk ratings HIGH, MEDIUM, LOW for each authentication attempt which can be configigured to require stricted access comtrol policies."
DHS,Agriculture Commodity Model (AGC),CBP,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Automated Targeting System (ATS),,b) Developed in-house,Yes,"AI/ML Model aids CBP personnel in accurately and efficiently identifying cargo shipments at risk for agricultural pests in compliance with APTL's agricultural monitoring program. Due to the excessive volume and velocity of inbound cargo shipments, CBP personnel cannot possibly evaluate every shipment for risk. AI/ML models assist in performing a greater depth of risk assessment across all inbound cargo shipments to identify the most likely ones that would require additional attention, analysis and possible examination.",The AGC Model uses data analytics and risk indicators to prioritize inspections and allocate resources effectively. This proactive approach helps protect the U.S. food supply and agricultural economy while facilitating legitimate trade.,"CBP agriculture specialists use the AGC Model's risk assessment outputs, such as risk scores to prioritize further screening of cargo shipments."
DHS,Aircraft Landing Location Predictor (KESTREL),CBP,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,KESTREL,Maxar,a) Purchased from a vendor,Yes,Monitoring activities in the air and maritime domains to identify unusual patterns or behaviors.,The system analyzes potential landing locations for aircraft to support response planning and preparation.,"The output provides a visual representation of the top three potential locations, using color-coded indicators to show the likelihood of each outcome."
DHS,Airport Throughput Predictive Model,TSA,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Secure Flight,,b) Developed in-house,Yes,This use case is a predictive model for passenger volume to help with airport staffing.,This project was to create a predictive model for the passenger volume using the Security Operations throughput count from checkpoints to help with airport staffing.,"Once a month the data is ingested, the predictive model is trained, and predictions of airport checkpoint throughput are made for the airports."
DHS,Airship Outpost for Conveyance Identification,CBP,deployed,Computer Vision,0,0,0,computer_vision,,TECS CLOUD,Airship,a) Purchased from a vendor,Yes,"CBP must efficiently and accurately identify and document cross-border conveyances (aircraft, vessels, automobiles).","Outpost uses machine learning to identify the type of conveyance in front of the sensor camera and uses this information to determine where to capture the conveyance's identification (License plate, hull number, tail number, etc). Conveyance identifiers exist in different locations on different conveyance types. By identifying the type of conveyance, the system knows where to focus the capture mission relevant information.","Identification and classification of the type of conveyance (e.g., automobile, aircraft, watercraft) including license plates, hull numbers, or tail numbers for monitoring purposes."
DHS,AskTSA,TSA,deployed,Generative AI,1,0,0,general_llm,,,Sprinklr,a) Purchased from a vendor,No,"The AI is intended to address several challenges within the AskTSA customer service process. These include reducing the time it takes for agents to respond to inquiries, improving the accuracy and consistency of responses, and streamlining the categorization of incoming inquiries. Additionally, the AI would help identify areas for improvement in the virtual assistant’s performance and provide actionable insights to enhance its effectiveness. By automating repetitive tasks like categorizing inquiries, the AI would allow human agents to focus on more complex issues, ultimately improving efficiency and customer satisfaction.","The AI’s intended purpose is to enhance the efficiency, accuracy, and overall effectiveness of the AskTSA customer service process. It would assist human agents by automating routine tasks such as categorizing inquiries and summarizing customer concerns, enabling faster and more consistent communication with the public. Additionally, the AI would analyze interactions with the virtual assistant to identify areas for improvement and recommend adjustments to ensure it provides accurate and helpful responses. By streamlining workflows and providing actionable insights, the AI would support TSA’s goal of delivering high-quality, timely, and reliable customer service.","Summarized Inquiries: Condensed explanations of why a customer is reaching out; Recommended Responses: Suggested replies tailored to the summarized inquiries; Categorized Inquiries: Labels or classifications of inquiries based on their content to streamline workflow; Performance Reports: Analytical insights on the virtual assistant’s interactions, highlighting areas for improvement."
DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,CISA,deployed,Natural Language Processing,0,0,0,nlp_specific,,Trusted Automated eXchange of Indicator Information server,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002",c) Developed with both contracting and in-house resources,Yes,"To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts.","Automated PII Detection and Review Process uses analytics to identify and manage potential PII in submissions. If PII is flagged, the submission is sent to CISA analysts, who are guided by AI to review and confirm or reject the detection, redacting information if necessary. Privacy experts monitor the system and provide feedback. The system learns from this feedback, ensuring compliance with privacy regulations and improving efficiency by reducing false positives. Regular audits ensure the process remains trustworthy and effective.",The system sends flagged data rows with potential PII to humans for review.
DHS,Automated Item of Interest Detection,CBP,deployed,Classical/Predictive Machine Learning,0,0,0,computer_vision,,I4 Viewer,Matroid,c) Developed with both contracting and in-house resources,Yes,"The software is designed to analyze photographs and video feeds captured by field imaging equipment for review by U.S. Border Patrol (USBP) agents and personnel. Using proprietary software, the system processes and annotates images to identify whether they contain human subjects, animals, or vehicles. The system is designed to incorporate future enhancements that expand its detection capabilities and to improve accuracy based on user feedback.","The software analyzes images and video that are taken by operationally deployed equipment, which are then fed into CBP systems for review by USBP agents, Office of Field Operations (OFO) officers, and other CBP users. It provides quick identification of people either crossing into the U.S. at a time and place other than designated for entry, circumventing security at a port of entry, or those already inside the U.S. trying to elude capture, as well as the ability for human operators to quickly determine if subjects in an image are, in fact, human.",The system creates a layer which is overlaid over the image to produce a box around items of interest it has determined to be likely human beings.
DHS,Automated Name and Date of Birth (DOB) Harvesting Service,USCIS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,ELIS,SAIC and DV United,c) Developed with both contracting and in-house resources,Yes,Adjudicators spend significant amount of time manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,To reduce the amount of adjudicative time spent manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,Suggested Names and DOBs from IdHS record.
DHS,Automated Realtime Global Organization Specialist (ARGOS) for Company Registration Submissions to E-Verify,USCIS,deployed,Natural Language Processing,0,0,0,nlp_specific,,ARGOS (Automated Real-Time Global Organization Specialist),IBM,c) Developed with both contracting and in-house resources,Yes,The goal of the use case is to leverage sentiment analysis in ARGOS to streamline the process and accelerate work for the individual who is researching a company that has submitted its information for registration to E-Verify.,"ARGOS sentiment analysis produces a risk score and keyword extraction identifies the keyword category of interest to the VAC MPAs (management and program analyst) for the aggregated open-source information to help quickly identify any pertinent information to aid the MPAs in their open-source investigation of company applications.  This saves potentially thousands of MPA man hours in open-source investigation and creates a single source-of-truth for each MPAs investigation of a company application.  This, in turn, allows for quicker application processing and, if risk of company fraud exists, much faster referral processing time quickening the next-step referral to FDNS for further investigations.",Responses back to a user dashboard accessible internally only by VAC Management and Program Analyst (MPA) personnel.  Keywords relating to the MPA's work interest are extracted if present and risk scores are assigned to the open-source collected information. The data is presented to the MPA on the GUI (graphical user interface) dashboard.
DHS,Autonomous Surveillance Tower,CBP,deployed,Classical/Predictive Machine Learning,0,0,0,computer_vision,,Autonomous Surveillance Towers,Anduril,a) Purchased from a vendor,Yes,"CBP's limited manpower constrains its ability to manually monitor all areas of the border at all times. To account for this limitation, surveillance and sensor systems assist in monitoring the border.","AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals."
DHS,Babel,CBP,deployed,Natural Language Processing,0,0,0,computer_vision,,Babel Street,Babel Street,c) Developed with both contracting and in-house resources,No,"Babel utilizes AI modules for text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface, versus doing multiple manual queries. The output is not singly used for action or decision making.",CBP uses this tool to conduct targeted queries to aid CBP in open source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Babel utilizes AI modules for Text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface versus doing multiple manual queries. The output is not singly used for action or decision making and are used to identify additional Open Source or Social Media of a person or identify additional selectors (such as phone and emails) that are previously unknown to CBP and compared by an analyst against Government systems to identify additional derogatory information. These factors can often eliminate the traveler from additional screening.
DHS,Biometric Check-in for ATD-ISAP (SmartLINK),ICE,deployed,Computer Vision,0,0,0,computer_vision,,ISAP IV (SmartLink) IATSS,BI,a) Purchased from a vendor,No,This use case intends to solve the problem of the need for frequent in-person check-ins for participants in the ATD-ISAP program.,"ISAP Biometric Monitoring App is a technology option that allows participants to report in using a smartphone. This app verifies a participant’s identity, determine their location, and quickly collect status change information. The app adds functionality not available with telephonic and is less intrusive than a GPS unit. ISAP monitoring app limits in-person interactions of routine check-ins, allowing more time to be allocated to non-compliant participants, complex removal proceedings cases and docket management.","There are two outputs related to using ISAP Biometric Monitoring App. Either a participant “passes” (biometric match) or the photo is moved to a “pending review” status.  In either scenario, a human can evaluate the response."
DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,USCIS,deployed,Classical/Predictive Machine Learning,0,0,0,general_llm,,Biometrics Enrollment Tool,Pluribus Digital,c) Developed with both contracting and in-house resources,Yes,"This effort aims to maximize the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. The output is a Numerical Fingerprint Quality score, which is compared against fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications.","BET assists in determining if the fingerprint taken is good enough quality to pass the FBI fingerprint check process. It provides immediate feedback when a set of prints is likely to be rejected by the FBI by incorporating machine learning models into the BET application. The FBI will not disclose their quality grading criteria for fingerprints, leaving BET with the responsibility of determining quality to prevent unnecessary secondary encounters with applicants.","Numerical Fingerprint Quality score, which is compared against  fingerprint quality thresholds (per finger and per set of fingerprints) to align with FBI specifications"
DHS,Blockchain Analysis,ICE,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,TRM Labs,a) Purchased from a vendor,No,"By utilizing this AI-powered blockchain analysis platform, investigators can uncover hidden connections across blockchain networks, detect illicit activities, and significantly reduce the time required for manual analysis, enhancing HSI’s ability to combat transnational crime effectively.","The use of AI within TRM Labs improves HSI’s ability to uncover hidden connections across blockchain ecosystems, detect illicit behaviors, and reduce the time required for manual analysis.","The platform’s outputs include confidence scores for address attributions, risk flags based on behavioral typologies, identification of hidden connections across blockchain ecosystems, and plain-language summaries of smart contracts."
DHS,CBP Careers Bot - Leo,CBP,deployed,Natural Language Processing,0,0,0,general_llm,,C2RMT,Salesforce Einstein,c) Developed with both contracting and in-house resources,No,"The Natural Language Processing (NLP) chatbot is intended to help visitors to the CBP careers site navigate complex and extensive career resources quickly and easily. By providing a guided, interactive experience, the chatbot simplifies access to the most relevant career information, on a user-by-user basis. Additionally, the chatbot can direct users to CBP recruiters and recruitment events, strengthening the agency's recruitment network and fostering more direct engagement with prospective candidates.","Visitors to the U.S. Customs and Border Protection (CBP) careers website can engage with a Natural Language Processing (NLP) based chat bot to help access CBP career related information and drive users to take the next action such as contacting a recruiter, attending a career event, or applying for a CBP career to help access CBP career related information and drive users to take the next action. These data-driven responses will allow for more natural, conversational interactions to increase usability and accuracy in provided information.",The NLP-chatbot will provide natural language responses to user queries.
DHS,CBP Employee Experience,CBP,deployed,Natural Language Processing,0,0,0,nlp_specific,,MASS,Medallia,c) Developed with both contracting and in-house resources,No,"Parsing through voluminous amounts of qualitative and quantitative data from recruit/applicant/employee survey data. The technology provides actionable intelligence for senior leaders to better improve the recruit/applicant/employee experience, thereby increasing both yield rates and resiliency.","CBP Employee Experience is intended to ingest, interpret, and operationalize employee experience data originating from survey results and operational data to deliver real time insights related to the experience of USBP recruits, applicants, and employees. These metrics inform HRM leadership of opportunities for process improvement in order to meet congressionally mandated hiring targets and retain a qualified workforce.","Real time insights related to the experience of USBP recruits, applicants, and employees."
DHS,CBP Link,CBP,deployed,Computer Vision,0,0,0,computer_vision,,Traveler Verification Service,IProov,c) Developed with both contracting and in-house resources,Yes,CBP Link utilizes liveness to ensure the photo that TVS it utilizing to conduct facial matching to CBP holdings is of a live person and not a photo of a 2-D image and well as validate the presence of a specific user when collecting geolocation to validate that person is in the required location.,"CBP Link uses liveness detection and TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verification. This automation streamlines border processes, enhances accuracy, and reduces fraud.","CBP Link outputs include identity match confirmation, fraud alerts, and traveler status updates for clearance in processes like boarding or border crossing."
DHS,CBP Translate,CBP,deployed,Natural Language Processing,1,0,0,nlp_specific,,CBP Translate,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT",c) Developed with both contracting and in-house resources,Yes,Assist officers and agents with immediate interpretation needs when human translators are not available.,"CBP Translate enhances efficiency by expediting questioning when immediate interpretation is needed. It ensures clear communication, minimizes misunderstandings, and offers immediate accessibility via mobile and web platforms. This improves operational flexibility and creates a smoother experience for travelers.","The outputs of CBP Translate include translated text or audio in the form of chat bubbles, which store each interaction. Additionally, CBPOs can capture images of non-travel documents for text translation, but images of actual travel documents are not taken."
DHS,CISAChat,CISA,deployed,Generative AI,1,1,0,general_llm,,,Microsoft,a) Purchased from a vendor,Yes,"Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.","Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.",LLM generated response to the questions posed on uploaded content.
DHS,Cargo Classification Tool,CBP,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Automated Targeting System (ATS),,b) Developed in-house,Yes,"The need to improve data classification, enable better machine learning integration, and facilitate nuanced trade entity risk assessments. By categorizing goods based on their descriptions and characteristics, these classifiers help identify potential threats associated with specific cargo types associated with prior violations.","CBP’s Cargo Classification Tool improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting, which strengthens security and facilitates trade.","The Cargo Classification Tool produces outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security."
DHS,Cargo Security Assessment Model,CBP,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Automated Targeting System (ATS),,b) Developed in-house,Yes,"This use case addresses the challenge of efficiently identifying and mitigating risks associated with cargo shipments entering the United States. With the high volume of shipments processed daily at ports of entry, it is essential to detect potentially high-risk shipments, such as those that may pose security threats, without causing delays to legitimate trade and commerce. This use case uses advanced data analytics and machine learning to enhance the ability to evaluate and prioritize shipments for further review, ensuring that flagged cargo is inspected appropriately while maintaining efficient cargo processing operations.","AI/ML Models identify high risk shipments to aid CBP officers in detecting narcotics smuggling threats, identifying candidate shipments for review and referral for inspection at CBP Ports of Entry (POEs).","High risk model results are returned to users as a system rule hit. These rule hits are viewable in the associated system results window. From this window, CBP operational personnel review and assess result for next action, including possible shipment examination."
DHS,ChatCBP,CBP,deployed,Generative AI,1,1,0,general_llm,,,,b) Developed in-house,Yes,Workforce enablement and efficiency.,"Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. _x000D_
_x000D_
Enhancing Decision-Making: Providing quick and accurate access to relevant information will improve the quality and consistency of decisions across the agency. _x000D_
_x000D_
Increasing Mission Effectiveness: By applying LLM capabilities to critical use cases like hot list review and violation coding, we can enhance accuracy, reduce errors, and improve overall mission success rates.","Generative LLM that will allow users to upload, search, delete, summarize documents, conduct advanced searches, and identify similar language in documents and receive natural language-style outputs in response to their prompts."
DHS,Commodity Detection Model (Cargo Insights Team),CBP,deployed,Computer Vision,0,0,0,computer_vision,,Automated Targeting System (ATS),,b) Developed in-house,Yes,"This enhances border security and optimizes resource allocation for inspections. Analyze X-Ray images and predict the commodity code, reducing the need for users to manually enter commodity codes.",This project leverages computer vision with object detection and a neural network to analyze X-Ray images and predict the commodity code.,"The system applies a prediction label alongside a bounding box on record.  Officers use this information along with all information provided to determine what, if any, further steps are required."
DHS,Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only),DHS,deployed,Computer Vision,0,0,0,computer_vision,,,Department of State,a) Purchased from a vendor,No,On-demand facial recognition services.,DHS Components use the Facial Recognition (FR) on Demand report (Visa only) to combat fraud by benefit applicants whose fingerprints are not in IDENT but who may have photos in the Department of State's (DoS) Consular Consolidated Database (CCD) that predate the fingerprinting of visa applicants.,Facial Recognition and other biometric checks and reports.
DHS,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),TSA,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,STIP/CAT,"IDEMIA Identity, Security USA LLC",a) Purchased from a vendor,No,Improving the detection of imposters.,"The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) and one-to-many (1:n) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of identity verification at the checkpoint while improving detection of imposters.","The system produces a recommendation to the Transportation Security Officer (TSO) to indicate if person presenting the identity document is similar to the face on the photo ID document.  In the event of a non-match, the TSO is responsible for additional identity verification steps to verify the identity of the traveler."
DHS,Criminal Investigations (OBIM),USSS,deployed,Computer Vision,0,0,0,computer_vision,,Automated Biometric Identification System (IDENT),NEC,a) Purchased from a vendor,Yes,"The intended problem to solve is the identification of unknown victims and suspects involved in crimes that undermine the integrity of U.S. financial and payment systems. By using facial recognition and biometric image comparison, the USSS aims to efficiently and accurately identify individuals connected to criminal investigations, thereby supporting law enforcement efforts to detect, arrest, and prevent such crimes.","The intended purpose of this AI is so that USSS personnel may submit available photographs or video stills of these unknown persons as probe images (facial images or templates searched against the gallery of an FRS) to other government agencies for comparison against their image galleries. The agencies will query their image galleries of known persons and may provide lists of potential matches. They may use the potential matches to produce investigative leads which will assist in the further identification of victims or suspects. Additionally, we may request another government agency to conduct a one-to-one comparison of two photographs or video stills for investigative use.",The system will query image galleries of known persons and may provide lists of potential matches. USSS personnel may use the potential matches to produce investigative leads which will assist in the further identification of victims or suspects.
DHS,Critical Infrastructure Network Anomaly Detection,CISA,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,CISA Technical Engagement Network,,b) Developed in-house,Yes,"CyberSentry currently ingests hundreds of terabytes of data from Critical Infrastructure Partners every single day. At petabyte-scale over all collected network data, CyberSentry required a way to filter through the noise to be able to detect Advanced Persistent Threat (APT) and Nation State malicious activity happening within our Partners' networks. CyberSentry has developed numerous machine learning-based detections to identify trends, patterns, and anomalies in network data that ultimately result in both automated and manual triage by analysts.","This use case delivers improved internal government tools for hunting and detection of malicious threat actors on critical infrastructure networks. It automates manual data fusion and correlation processes and highlights potential anomalies, allowing CISA analysts to focus more  time on hunting adversaries.","An interface is provided for analysts to query cybersecurity data, and dashboards are provided with potential cybersecurity alerts, including anomalies detected through predictive models and rule-based heuristics."
