agency,use_case_name,original_verdict,override_verdict,reasoning
Treasury,Software Code Generation,standalone_chat,,"Agree: generates code, templates, and docs as development aids with validation/implementation left to staff -- no integration described."
Treasury,Sub-Asset Maintenance Model,system_integrated,,Agree: deployed SAMM model predicting per-machine maintenance mileage to drive proactive servicing -- production classical ML per rule 2.
Treasury,Synthetic Data Engine,system_integrated,,Agree: outputs synthetic IMF/BMF returns and a simulated SSA DM1 feed seeding the MeF test system per XSD release -- direct coupling to named systems.
Treasury,Tax Disclosure Text Clustering,system_integrated,,Agree: pipeline extracts Form 8275-R/Schedule UTP text from the named Compliance Data Warehouse -- reads an identified agency data store.
Treasury,Taxpayer Services Chatbot,workflow_embedded,,"Agree: Intent Engine classifies taxpayer utterances into predetermined responses -- one defined flow, no system-of-record coupling."
Treasury,Ticket Management Generative AI Pilot,workflow_embedded,system_integrated,"Override: the pilot reads case notes and incident history from operational service-desk records to generate per-incident summaries, resolution notes, and KB articles feeding the knowledge publication process -- read coupling to an identified operational system. Rule 6 says human review before entering the system of record does not reduce depth (the labeler's downgrade rationale is exactly what rule 6 excludes), and the prior audit round confirmed system_integrated here."
Treasury,USAspending Natural Language Search Initiative,workflow_embedded,,"Agree: pilot natural-language search layer over USAspending.gov data -- retrieval/search enhancement for one flow, per rule 4."
Treasury,Vendor Risk Analytics,system_integrated,workflow_embedded,"Override: this is explicitly 'research on vendor risk analytic methods' at pilot stage, with assessments delivered as spreadsheets/dashboard visualizations for review -- rule 2 covers classical ML in production, and no operational system or data-store coupling is described, so this is one analytic flow, not system integration."
FRTIB,AVA,standalone_chat,workflow_embedded,"Override: AVA is a deployed participant-facing chatbot answering TSP questions within the named Converge platform (system field) -- one identified participant-support flow, matching the round's treatment of the IRS taxpayer intent chatbots; the thin narrative argues against system_integrated, not against workflow_embedded."
FRTIB,Adobe Firefly,standalone_chat,,"Agree: Firefly generates images/videos for participant-education materials -- direct-use content generation, per rule 3."
FRTIB,Contact Center AI,workflow_embedded,,Agree: rep-assist knowledgebase search plus call transcription/scripts inside the Converge contact-center operation -- one identified support process.
FRTIB,Fraud Detection Platform,system_integrated,,Agree: deployed fraud model flagging potential fraud/abuse activity in the named Converge system -- production risk scoring per rule 2.
FRTIB,Microsoft CoPilot,standalone_chat,,"Agree: generic M365 Copilot assistance 'on agency business activities' -- named tool without described coupling, per rule 3."
FRTIB,Sumtotal Chatbot,standalone_chat,workflow_embedded,"Override: the simulation chatbot runs inside the named SumTotal training platform delivering one identified process (difficult-conversation training simulations) -- the prior audit round confirmed workflow_embedded on this row, and a direct chat interface does not make it general LLM access; the coupling is the identified training workflow."
NARA,A1 Museum AI Project,system_integrated,,Agree: EPS applies AI-generated tags/topics across the ~2M-record digital collection and serves recommendations to museum visitors -- read/write coupling to the named system.
NARA,AI Pilot Project to Screen and Flag for Personally Identifiable Information (PII) in Digitized Archival Records,system_integrated,,"Agree: identifies and redacts PII within NARA's digitized archival records, producing redacted records and a prioritized redaction list -- write-back into the records store at pilot stage."
NARA,AI based Semantic Search for National Archives Catalog (aka ArchiAI),workflow_embedded,,"Agree: semantic search over the named National Archives Catalog -- retrieval for one flow, per rule 4."
NARA,Amelia Earhart AI Search,workflow_embedded,,Agree: NLP search locating and connecting Earhart records across Archives.gov holdings for release preparation -- retrieval over a named system's data for one flow.
NARA,Generative AI Solutions for Workplace Productivity (aka Gemini),standalone_chat,,"Agree: Gemini drafting, summarizing, and note-taking across Workspace -- general productivity assistance with no specific system or process coupling."
NARA,NARA@WORK Kendra Search,workflow_embedded,,"Agree: Kendra-based contextual retrieval with 'Suggested Answers' over NARA@Work content -- RAG over a named internal corpus for one flow, per rule 4."
SBA,Chatbots for internal research,standalone_chat,,"Agree: general chatbots (Claude/ChatGPT) synthesizing web information for research -- general LLM access; the desired policy-document retrieval is aspiration, not described coupling (rule 1)."
SBA,"Email, Document, and Composing AI Editor",standalone_chat,,Agree: Grammarly inline grammar/style/tone suggestions -- writing-assistance tool with no agency system integration.
SBA,General AI Use Case across the SBA for web and desktop,standalone_chat,,"Agree: Perplexity web-search answers with citations -- general LLM/search access, no agency system or data-store coupling."
SBA,Office of Advocacy AI System-Prompt Suite,standalone_chat,,Agree: structured-JSON prompt suite delivering rewrites/summaries/replies via API is general text processing via model API per the amendment; 'enabling automation at scale' remains design intent (rule 1) and no agency system is named as source or sink.
