agency,use_case_name,original_verdict,override_verdict,reasoning
DOJ,Generative AI R&D Sandbox,unclear,,"R&D sandbox with outputs that 'vary based on the use cases'; no operating depth described, unclear correct."
DOJ,Hootsuite,workflow_embedded,,Post-time recommendation embedded in PAO's social-media scheduling flow; unused listening features correctly excluded.
DOJ,Knowledge retrieval and synthesis (Azure OpenAI Services),workflow_embedded,,Retrieval-and-synthesis over ATR's document corpus for legal review is the rule-4 RAG case; workflow_embedded correct.
DOJ,"Language Translation,  Optical Character Recognition (OCR), Object Detection, Language Detection, Alert Noise Reduction",system_integrated,,Alert-noise-reduction plus multi-capability processing of open-source/threat-intel feeds implies continuous coupling to operational streams; system_integrated defensible at low confidence.
DOJ,License Plate Reader 3,system_integrated,,LPR character recognition on operational video to locate vehicles; rule-2 sensor-feed case.
DOJ,NIST Compliance Recommender,workflow_embedded,,Compliance-assessment flow generating reports; workflow_embedded defensible for a thin pilot filing.
DOJ,Next Generation Identification,system_integrated,,NGI matches biometrics against its identification database in production; clear system_integrated.
DOJ,Open Source Investigative Tool,workflow_embedded,,Lead-screening recommendations in one investigative flow; workflow_embedded defensible.
DOJ,Optical Character Recognition Tool 3,workflow_embedded,,"Thin filing, but OCR is inherently a document-to-text pipeline step; workflow_embedded acceptable (borderline unclear), QC will re-review."
DOJ,Palantir (via access to external state LE system),system_integrated,unclear,"Filing states ATF's use is limited to standard search of partner-shared data and that ATF has 'no involvement with or any knowledge of use of AI features' in the state-run Palantir system — no AI is described as operating in ATF's use, parallel to the Axon rows this labeler correctly marked unclear; depth of the host system ATF queries is not depth of an AI coupling."
DOJ,Procurement Data Triage Tool,workflow_embedded,,Triage of procurement data for analyst review matches 'triage of incoming X'; workflow_embedded correct.
DOJ,Salesforce,unclear,,"Filing is explicit that this is enabling infrastructure 'rather than direct AI outputs'; nothing operating, unclear correct."
DOJ,Search Tool,unclear,,"Nothing states what is searched or how the search couples to systems, and the rung depends on that (agency corpus would be rule-4 workflow_embedded, open-web search-box would be standalone_chat); unclear is honest here."
DOJ,Sentiment Analysis Tool,workflow_embedded,,"Sentiment aggregation for recruitment marketing, one analysis flow; workflow_embedded defensible."
DOJ,ServiceNow,system_integrated,,"Now Assist triages/classifies tickets and virtual agents resolve requests inside the named ServiceNow ITSM system; system_integrated correct (autonomy described is single-step, not agentic)."
DOJ,Summarization Tool,workflow_embedded,,"Bare 'summarization' filing; workflow_embedded acceptable as a summarize-each-Y step (borderline standalone_chat), QC will re-review."
DOJ,Symphony AD-Hoc Batch Processing,workflow_embedded,,In-house batch translation/transcription/summarization pipeline is one defined processing flow; workflow_embedded correct.
DOJ,"TruNarc, Smith Detection",system_integrated,,"ML-based narcotics detection on a physical sensor analyzing mail in the operational screening process; rule-2 operational-sensor case, defensible."
DOJ,Unmanned Aerial Systems (UAS),agentic_workflow,,"This ATF instance alone describes only CV surveillance with OCR/alerts (system_integrated on its own merits), but the key (DOJ, 'Unmanned Aerial Systems (UAS)') is duplicated and the USMS instance describes operating autonomy; key-level fan-out takes the deepest described level, so agentic_workflow stands for ALL instances of this key — do not split the key."
DOJ,Unmanned Aerial Systems (UAS),agentic_workflow,,Skydio drones predict obstacle movement and autonomously plot/execute flight paths while the operator 'focuses on the mission'; agency classified it Agentic AI; described autonomy meets the bar. Verdict applies to all instances of this duplicated key.
DOJ,Video Transcription Tool,workflow_embedded,,"In-house NLP converts audio/video files to text for analysts, a single conversion step; workflow_embedded correct."
