agency,use_case_name,verdict,confidence,reasoning
HHS,AI for Bioanalytical Study Risk Assessment and Inspection Readiness,workflow_embedded,medium,"Elsa assists one review flow (bioanalytical risk assessment/inspection prep), producing a summary FDA staff verify; no system read/write described."
HHS,AI for Clinical Study Risk Assessment and Inspection Preparation,workflow_embedded,medium,"Elsa assists one review flow (clinical study risk assessment), producing a verified summary; no system read/write described."
HHS,AI for Regulatory Review (AIRR) Pilot,workflow_embedded,medium,"Combines prompt engineering, regulatory data retrieval, and document formatting into one assisted-review flow producing a draft summary for reviewer verification."
HHS,AI in Figma Make,standalone_chat,low,Thin filing naming an AI prototyping feature inside Figma Make with no further process description.
HHS,AI in Slack,standalone_chat,low,Thin filing naming an AI feature inside Slack with no further process description.
HHS,AI-Powered Video Analytics for Law Enforcement,system_integrated,high,"Milestone XProtect CV runs on live surveillance feeds integrated with the Digital Acquisition Report System, sending real-time alerts to 'connected systems' and dashboards."
HHS,AI-Powered web scanner for digital surveillance of rabies-related news articles,workflow_embedded,medium,"A scheduled scan of public news/media producing a daily automated compilation; scans external sources, not identified agency systems, so it is a single automated pipeline rather than system integration."
HHS,AI-assisted comment triaging tool,workflow_embedded,medium,Runs at one step (triage/categorization of incoming public comments and form-letter identification); no agency system read/write described.
HHS,AIP Assist,standalone_chat,medium,"An LLM-powered support chatbot answering questions about the Palantir platform and guiding users to write their own code -- general assistance, not a specific single workflow."
HHS,AIP Cyber Incident Ingestion,system_integrated,high,Automatically parses user input/email and creates cyber incidents directly within the Tiberius system.
HHS,ATSDR Toxicological Assistant chatbot,workflow_embedded,medium,RAG chatbot answering questions from 180 ATSDR toxicological profiles; retrieval over an agency document corpus with no write-back described.
HHS,AWS Exscribo,workflow_embedded,low,A transcription tool with GenAI prompting on the resulting transcript; a single tool used directly by staff with no described agency-system coupling.
HHS,AWS Kendra Search tool,system_integrated,medium,AWS Kendra search index reads from SAMHSA STORE content to power the live public search experience on the site.
HHS,Acquisition support: assisting reviews and co-drafting technical evaluation documents,standalone_chat,high,"Per audit correction: Microsoft 365 Copilot Chat drafting help for technical evaluation summaries, user-driven per response, not an automated per-item step -- AI 'only used to draft language,' final language is human-written."
HHS,Acquisition support: co-drafting acquisition packages,standalone_chat,high,"Per audit correction: Copilot Chat drafting help for acquisition package language, manually invoked per document, not an automated per-item pipeline step."
HHS,Aivia,workflow_embedded,medium,ML-based object classification is one step of the CryoEM/microscopy imaging pipeline supporting NIEHS research; no agency system-of-record coupling described.
HHS,Alphafold,workflow_embedded,medium,A single-step structure-prediction tool (amino-acid sequence -> atomic model) used within the Cryo-EM research pipeline.
HHS,Analytics-Driven Supplement Evaluation (ASE),workflow_embedded,medium,A CNN plus rules-based model runs at one step (triage/staff assignment) of the CBE supplement submission review process.
HHS,Annual Report CMC,system_integrated,medium,Extracts CMC changes from unstructured annual reports to 'build a complete repository for downstream analysis' within the CDEROne Analytics environment.
HHS,Applicant Help Chatbot,workflow_embedded,medium,RAG-style chatbot answering Grants.gov questions from system help documentation and funding-opportunity listings.
HHS,Ask Aithena,workflow_embedded,medium,"Conversational research-literature assistant providing answers with verifiable references, i.e., retrieval-based Q&A over a document corpus."
HHS,Ask HR Policy,workflow_embedded,medium,"Palantir AIP RAG tool answering natural-language questions against ~70 HHS HR policies, with citations to source documents."
HHS,Assisted Referral Tool (ART),workflow_embedded,medium,Suggests which study section an application fits and is used internally to assign applications -- a single recommendation step in the review-assignment process.
HHS,Autocoding to Support Adverse Drug Event Surveillance,system_integrated,medium,A production classical-ML model scores free-text ED visit descriptions against surveillance case definitions to feed prevalence estimates for the adverse-drug-event surveillance system.
HHS,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,workflow_embedded,medium,LLM reviews Annual Progress Reports in one flow (extract challenges/insights) to support ICRC evaluation; no system-of-record integration described.
HHS,Automated approaches to analyzing scientific topics,workflow_embedded,low,Thin portfolio-analytics tool producing a 'Recommendation' for decision makers analyzing scientific topics; no system coupling described.
HHS,Automating Influenza Vaccine Virus Data Processing,workflow_embedded,medium,"A single extraction pipeline (key phrases, forms, entities) that supplements missing CVV data from PDFs; described as 'internal use only,' no system-of-record write-back."
HHS,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,system_integrated,high,Converts natural-language lab protocols directly into XML workflows deployed into the Clarity LIMS system.
HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,system_integrated,medium,"A scripted automation pipeline (per audit correction) that parses, formats, and delivers CDC-State cables to recipients within seconds 'without manual intervention' -- fixed-sequence automation integrated with the messaging system, not autonomous planning."
HHS,Biomedical Citation Selector (BmCS),workflow_embedded,low,A classifier flags citation records as biomedicine-relevant to speed MEDLINE inclusion decisions; a single classification step feeding human indexing review.
HHS,Builder Buddy,standalone_chat,medium,"A conversational interface letting ACF staff draft their own virtual-assistant configurations, which users then further test/iterate -- a chat-based authoring tool, not itself an autonomous or system-integrated process."
HHS,C3PO: CMS Comprehensive Cybersecurity and Privacy Optimization,workflow_embedded,medium,Reviews lengthy OMB/NIST/HHS policy documents and SORNs/PIAs in one flow to produce policy-update recommendations; no system read/write described.
HHS,CCSQ Now Assist for CSM,system_integrated,medium,"ServiceNow Now Assist reads and writes case/chat data within the Quality Service Center's Customer Service Management records (summaries, resolution notes)."
HHS,CCSQ Now Assist for Creator,standalone_chat,medium,"ServiceNow Now Assist 'text to code / text to flow' is a coding assistant for ServiceNow app development, not tied to a specific agency data process."
HHS,CCSQ ServiceNow AI Search,system_integrated,medium,AI Search index reads data from ServiceNow platform records and external sources to power live search results in production.
HHS,CDC Chatbot,standalone_chat,high,"General-purpose LLM assistant for CDC staff (upload documents, summarize, draft, code) with no single described process coupling."
HHS,CDC Chatbot - Enterprise Data Assistant,workflow_embedded,medium,"RAG-based assistant letting staff 'ask questions of large sets of documents,' with citations -- retrieval over an agency document corpus."
HHS,CDC Vault and Stacks Metadata Extraction,system_integrated,medium,"AI-prepared metadata records are entered into CDC Vault/Stacks, and for non-public records feeding NARA, 'this process will not have a human review' -- writes directly into the system of record."
HHS,CDER Publications,system_integrated,medium,Automates categorization of CDER publications feeding the CDER Pubs / SARITA reporting and tracking system for science-investment oversight.
HHS,CDER Regulatory Science Research (RSR) Projects AI for Process Control in Advanced Manufacturing,workflow_embedded,low,"A research model demonstrating AI-based setpoint tracking/disturbance rejection on a digital continuous-manufacturing line to inform future FDA review policy, not an FDA operational system."
HHS,CI5: Development and refinement of toolkits for routine use in the EHR and claims Data Partner network,system_integrated,medium,Regularized ML/targeted-learning covariate-adjustment tools are built as routine toolkits deployed across the Sentinel EHR/claims Data Partner network.
HHS,CMS Chat,standalone_chat,high,"General conversational assistant drafting emails/reports, summaries, and brainstorming -- no single described process coupling."
HHS,CMS Labor Analysis Wizard (CLAW),workflow_embedded,medium,Provides normalized labor-category analysis and price trend insights to support one process (OAGM contract labor evaluation/negotiation); no described system write-back.
HHS,CSR Public Chatbot (CPC),workflow_embedded,medium,RAG chatbot pulling answers directly from official government web pages for NIH grant/peer-review questions.
HHS,Case Management Tool Case Creation & Automation,system_integrated,high,Automatically creates a case directly within the Medicare Enrollment & Premium Billing System based on scanned incoming documents.
HHS,Category Subcategory Classification - Safety Reports Bot,system_integrated,medium,"Predicts category/subcategory for IND safety submissions through the Data Services Automation rule setup, feeding the submission-processing pipeline."
HHS,Center for Forecast and Analytics (CFA) Model Studio,standalone_chat,low,"A Palantir-hosted model registry/experimentation environment letting users bring, containerize, and test models directly -- an infra sandbox, not tied to a specific operational process."
HHS,ChIRP - A ChatGPT Model for the NIH Intramural Community,standalone_chat,medium,"ChatGPT used directly to summarize and identify themes in loaded text; described as 'moderately helpful,' no process integration."
HHS,ChatBot for Safety Reporting Portal Adverse Events and Product problems submissions,system_integrated,high,DRUID AI routes users and 'uses API to submit the report to SRP without having to use the existing legacy app' -- direct API write into the Safety Reporting Portal.
HHS,ChatGPT,standalone_chat,high,ChatGPT used directly to break down legal concepts and identify patterns in rulings; no described system coupling.
HHS,"Child Welfare Information Automated Inquiry System

(Note: previously named ""Child Welfare Information Gateway OneReach Application"")",system_integrated,medium,"Amazon Connect IVR routes hotline callers to state hotlines using a maintained database keyed by area code, plus NLP-based FAQ texting -- integrated with the production phone system."
HHS,Citation Analysis and Survey Assistant (CASA - Nursing Home Survey CMS 2567),system_integrated,medium,NLP/ML embedded within the CDRAP application gives Nursing Home Oversight groups a tracking interface for citing CMS Form 2567 deficiencies over time.
HHS,Clinical Trial Predictor,system_integrated,medium,Reads IMPAC II grant-application data to predict clinical-trial status so NIH can withdraw/redirect misclassified applications from non-CT NOFOs.
HHS,ClinicalTrials.gov Protocol Registration and Results System Review Assistant,system_integrated,medium,Classical ML flags quality issues in study registration/results records as part of ClinicalTrials.gov's live QC review pipeline.
HHS,CoPilot Outlook,standalone_chat,medium,"Westlaw AI used directly to revise emails ('CoPilot Outlook'); thin filing describing drafting help, matching the amendment's Copilot-drafting guidance."
HHS,Collective Bargaining Compass,workflow_embedded,medium,"Palantir AIP RAG tool answering natural-language questions against the ~400-page HHS-NTEU Collective Bargaining Agreement, with citations."
HHS,Complaint Analysis,workflow_embedded,medium,"High-volume case analysis identifying trends/citations that SMEs validate -- a single analytic flow in the CMS AI Workspace sandbox, no system write-back described."
HHS,Content Analysis POC,workflow_embedded,medium,"POC for automated coding/thematic analysis of qualitative feedback (comments, complaints, interviews, surveys); no system integration described."
HHS,CoreDF,system_integrated,medium,CoreDF (IBM) extracts and organizes sponsor safety findings from nonclinical study reports to support FDA data-quality assessment.
HHS,Creating a development network,system_integrated,medium,NLP extracts data from clinical notes to standardize EHR/claims conversion into the Sentinel Common Data Model across the FDA's operational surveillance network.
HHS,CryoSPARC,workflow_embedded,medium,ML evaluates protein flexibility/variability as one step of the CryoEM data-processing pipeline supporting NIEHS research.
HHS,DAIT AIDS-Related Research Solution,system_integrated,medium,"Extracts grant-application text and classifies AIDS-related-research priority, with the output 'shared along with other grant application metadata in a custom module.'"
HHS,DGMH AI Chatbot,workflow_embedded,medium,Drafts initial responses to public inquiries from CDC website content; every draft is reviewed and cleared through the existing CDC process before sending.
HHS,DHDSP NOFO Technical Assistance Chatbot,workflow_embedded,medium,RAG chatbot trained on DHDSP NOFO/HHS policy documents to answer grantee technical-assistance questions.
HHS,DHP Virtual Assistant,workflow_embedded,medium,"RAG assistant retrieving HIV-research information to answer researcher queries; retrieval over an agency/literature corpus, no write-back described."
HHS,DLS AI Assistant tool,workflow_embedded,medium,RAG assistant providing guidance from the DLS Policy and Procedures Manual and CLIA/ISO regulations; a planned future SOP auto-evaluation feature is not yet operating.
HHS,Data Extraction from IND Safety Reports using OCR/AI Technologies,system_integrated,high,Extracted IND safety-report data 'is converted into E2B(R2) format for automatic ingestion into FAERS LSMV' -- direct automated write into the FAERS system.
HHS,Data Ingestion and Content Explorer (DICE),system_integrated,medium,"Built to search content within the CARA and CARTS systems and the growing Human Food Data Platform, extracting structured data across those identified agency systems."
HHS,Data Management and Sharing Plans - Assistant Review Tool,workflow_embedded,medium,NLP identifies DMSP sections in a grant application and pre-processes them against a checklist; reviewer makes the final determination -- a single review-support step.
HHS,Deep Research for Public Health,agentic_workflow,high,"OpenAI's Deep Research autonomously retrieves, synthesizes, and analyzes information across public-health tasks with measured outcomes (94% success, tasks compressed into 'a single automated workflow') -- the guide's own example of legitimate agentic behavior."
HHS,DeepEMhancer,workflow_embedded,medium,ML refines/sharpens cryoEM maps as one screening step in the Cryo-EM research pipeline.
HHS,Detecting Overlapping Science (DOS),system_integrated,medium,Examines grant applications 'as they are submitted' to NIH in real time and automatically sends a duplicate-funding report to relevant personnel.
HHS,Detecting Stimulant and Opioid Misuse and Illicit Use,system_integrated,medium,Two ML models extract non-therapeutic drug-use signals from EHR clinical notes to feed statistics for the National Hospital Care Survey.
HHS,Detection of AI-Generated Reviewer Critiques,workflow_embedded,medium,Flags whether a written reviewer critique was likely AI-generated; flagged critiques are then examined by NIH staff -- a single detection step.
HHS,Detection of Implementation Science focus within incoming grant applications,workflow_embedded,medium,NLP/ML scores whether a grant application is Implementation Science and the score is used to assign it to a division for oversight -- a single scoring/routing step.
HHS,Detection/Identification of Reviewer Expertise and Grant Application Content,workflow_embedded,medium,"Classifies grant-application content areas and reviewer expertise to support matching; output is a recommendation used by staff, not a system write-back."
HHS,Determining if multiple isolates share the same antimicrobial resistant plasmids using short read whole genome sequencing data,workflow_embedded,low,A probability model determines whether isolates share plasmids from WGS data to support outbreak investigations; a single bioinformatics analysis step.
HHS,Develop an empirical algorithm to automate negative control identification in Sentinel System using the Data-driven Automated Negative Control Estimation (DANCE) algorithm,system_integrated,medium,Optimizes and validates the DANCE algorithm via plasmode simulation for use in real electronic-healthcare-database studies within the Sentinel network.
HHS,Developing an Objective and Quantitative Endpoint for Atopic Dermatitis in Pediatric and Adult Populations,workflow_embedded,low,"A digital endpoint/ML model measuring nocturnal scratching to evaluate treatment efficacy -- a single measurement step in clinical assessment, no system integration described."
HHS,Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items),system_integrated,high,"Per audit correction: searches multiple FBIS reports (CANs, categories, sub-CAN line items) and aggregates supplier/obligation data into a real-time spend plan for a human budget manager to use -- not autonomous planning."
HHS,Discover User Assistant,workflow_embedded,medium,Palantir AIP RAG virtual assistant answering ACF Discover navigation questions from the User Reference guide.
HHS,Distiller SR: AI to screen research articles for Community Guide reviews,workflow_embedded,medium,ML screens research articles for relevance to Community Guide systematic reviews -- a single screening step.
HHS,Docketscope Public Comment Processing,system_integrated,medium,"Docketscope, the named platform CMS division staff use to triage public comments, runs clustering/issue-mapping/bulk-processing functions as part of ongoing rulemaking comment operations."
HHS,Document Review for Alignment with Executive Orders: Grant Materials,workflow_embedded,medium,"Reviews grant submission files and generates flags/priorities routed to ACF Program Office staff for final review -- a single flagging step, not a system write-back."
HHS,Document Review for Alignment with Executive Orders: Position Descriptions,workflow_embedded,medium,Flags position descriptions potentially needing revision for EO alignment for further staff review; AI does not make final determinations.
HHS,Drug Shortage Predictive Model,workflow_embedded,low,A classical-ML model predicts CDER product supply events over the next 12 months; no named system or dashboard integration described.
HHS,EDAV Azure DataFactory - Pipeline failure Analysis,system_integrated,medium,Analyzes live logs from Azure Data Factory pipelines (an operational system) to generate recommended next steps for staff.
HHS,EDAV Virtual Assistant - Eva ( Microbot Service) - Bot as a Service (BaaS),workflow_embedded,medium,RAG helpdesk chatbot answering staff questions from EDAV platform documentation.
HHS,Electronic translational services for regulatory documents for articles offered for import,system_integrated,high,Google Translate API-based translation is 'integrated in the current system used by the consumer safety officers' conducting import investigations.
HHS,Eligibility & Enrollment Medicare Online (ELMO) Chatbot,workflow_embedded,medium,RAG-style chatbot answering questions about how to navigate the ELMO enrollment tool.
HHS,Elsa GenAI Chat Tool,standalone_chat,high,"General-purpose GenAI chat assistant for synthesizing, drafting, and proofreading FDA work -- no single described process coupling."
HHS,Enhancing influenza A risk assessment rubrics: leveraging predictive correlates and machine learning from in vivo experiments.,workflow_embedded,low,"ML analysis of 25+ years of ferret risk-assessment data identifies predictive correlates to inform CDC's IRAT scoring rubric -- a research analysis step, not an operational system integration."
HHS,Enhancing the RCDC with Generative AI,system_integrated,medium,"ChatGPT recommends RCDC categories and predicts semantic types feeding the NIH RCDC research-categorization process, connected to search indexes of agency data."
HHS,Expansion of Generative AI (GenAI) Caption Generation for all Collections Videos,workflow_embedded,medium,Generates captions for Collections videos -- a single content-generation step.
HHS,FE5: Incorporate a range of frequently used engineering features from EHRs into the Sentinel common data model in the Sentinel EHR and claims linked Data Partner network,system_integrated,medium,NLP extracts five medical concepts from EHR data and makes them available in the Sentinel Common Data Model for the FDA's ongoing surveillance network.
HHS,FIJI,workflow_embedded,medium,ML-based object classification is one step of the microscopy imaging pipeline supporting NIEHS research.
HHS,FOIA REDACTION (FRED) TOOL,workflow_embedded,medium,Produces a marked-up PDF recommending redactions for FOIA staff to apply; a single per-document recommendation step.
HHS,Federal IT Acquisition Reform Act (FITARA) Tool,workflow_embedded,medium,"Predicts whether a Statement of Work is IT-related for FITARA determination, displayed via a custom module for the contracting officer to use."
HHS,Federal Select Agents Program (FSAP) Customer Agent,workflow_embedded,medium,Chat/copilot trained on FSAP operations data answering user questions about navigating the FSAP process -- a helpdesk-style Q&A tool.
HHS,Feedback Analysis Solution (FAS),system_integrated,medium,"Feedback Analysis Solution runs within the CDRAP application, categorizing stakeholder comments via topic/sentiment models to support ongoing CMS analyst review."
HHS,Filer Evaluation prioritization using risk-based decision Machine Learning approach,system_integrated,high,"ML-based risk scoring of 4,000+ filers feeds 'an interactive dashboard' displaying model outputs for staff use in evaluations."
HHS,Food AI Decision Engine (FAIDE),system_integrated,medium,A production classifier scores probability of violative status per establishment against a recommended threshold to prioritize FDA regulatory oversight.
HHS,Fuzzy matching tool,system_integrated,medium,Matches records between the eClearance system and CDC-authored publications to identify duplicates/related documents across two named agency systems.
HHS,GenAIMeta: Generative AI CDC Metadata Query Application,system_integrated,medium,Azure OpenAI-driven validation/monitoring connects to a dashboard with real-time data-quality checks on the live data.cdc.gov metadata catalog.
HHS,Genetic distance computation method for comparing complex multi-locus parasite (Cyclospora) genotypes,workflow_embedded,medium,"Genetic distance/clustering analysis within the AMD platform is one analytic step that complements epidemiologic outbreak investigations, no system-of-record write-back described."
HHS,Grant award process efficiency,workflow_embedded,low,Thin filing describing highlighting/summarizing information from grant-related documents to reduce repetitive task burden.
HHS,Grant management support: structuring information in applications,workflow_embedded,medium,Summarizes/extracts information and flags gaps in non-standardized grant applications for staff review; AI does not make award determinations.
HHS,GrantSolutions AI Writing Assistant,workflow_embedded,medium,Generates a simplified rewrite of selected NOFO text with a side-by-side comparison -- a single per-item editing feature within the GrantSolutions system.
HHS,GrantSolutions Helpdesk Agent,workflow_embedded,medium,Helpdesk chatbot resolving GrantSolutions login/access questions -- a Q&A tool over documentation.
HHS,GrantSolutions Non?Competing Continuation Approval Tool,system_integrated,medium,Analyzes year-over-year differences in non-competing continuation budgets/narratives and produces eligibility recommendations acted on directly within the live GrantSolutions award system.
HHS,GrantSolutions Non?Competing Continuation Review Tool,system_integrated,high,Explicitly 'feeds reporting dashboards and enables secure sharing with other authorized systems' -- compliance-risk flags cross system boundaries.
HHS,GrantSolutions Recipient Risk Tool,system_integrated,medium,Generates a fraud/risk score used before issuing financial-assistance awards within the GrantSolutions system -- a production risk model scoring live award decisions.
HHS,GrantSolutions Text Analyzer Tool,workflow_embedded,medium,Displays a Flesch-Kincaid readability score for NOFO text -- a single informational scoring step.
HHS,HIVE AI Pilot,workflow_embedded,medium,Recommends review disciplines and highlights key data/summaries within the HIVE IND-review process for reviewers to use; no system write-back described.
HHS,IDR Support Bot,workflow_embedded,medium,RAG chatbot answering questions about the Integrated Data Repository using retrieval-augmented generation over a knowledge base.
HHS,ITAC SOP Chat,workflow_embedded,medium,RAG search over ITAC SOP/policy/as-built documents with citations to the source section.
HHS,Identification of emerging areas,workflow_embedded,low,Thin portfolio-analytics tool ('Recommendation'-style output) helping decision makers assess rate of scientific progress; no system coupling described.
HHS,Identify infrastructure supports for physical activity (e.g. sidewalks) in satellite and roadway images,workflow_embedded,medium,"CV analysis of satellite/roadway imagery producing geocoded tables/maps identifying sidewalks -- a single analytic task, not an ongoing sensor-feed integration with an agency system."
HHS,Imaris,workflow_embedded,medium,ML-based object classification is one step of the microscopy imaging pipeline supporting NIEHS research.
HHS,Independent Dispute Resolution (IDR) Eligibility Rules Engine,system_integrated,high,AI searches documentation to identify and 'store necessary data points' directly within the CCIIO Customer Relations Management System.
HHS,Integrated Data Repository (IDR) Customer Analytic Environment (CAE),system_integrated,medium,"A managed AI/ML workspace 'directly integrated with the IDR,' generating predictions/classifications from live IDR data across CMS programs."
HHS,Internal Newsletter Formatter Tool,workflow_embedded,medium,Summarizes/formats lengthy newsletters for leadership; output is edited and reviewed by communications staff before dissemination.
HHS,Internal Referral Module (IRM),workflow_embedded,medium,"NLP complements the existing manual referral process, producing recommended Program Officer/branch assignments for staff to use -- a recommendation step, not a described automatic write-back."
HHS,JIT Automated Calculator (JAC),workflow_embedded,medium,"Parses JIT Other Support PDFs and totals funding figures into 'an editable spreadsheet' for program officers -- a single extraction/calculation step, output is a standalone file."
HHS,Knowledge Navigator,workflow_embedded,medium,GenAI LLM answers detailed questions from Application and Program Guidance documents to help analysts/call-center agents respond to inquiries -- RAG over agency documents.
HHS,LaserAI,workflow_embedded,medium,"LaserAI automates title/abstract screening, PDF retrieval, and extraction as steps within one systematic-review pipeline; no agency system-of-record integration described."
HHS,Leveraging AI for Metadata Tagging for Enterprise Data Catalog of CDC,system_integrated,medium,"Generates suggested metadata tags applied to dataset entries within CDC's Enterprise Data Catalog, a system of record for dataset discovery."
HHS,Leveraging AI for the Creation of Synthetic Datasets,workflow_embedded,low,An AI-assisted programming environment speeds writing code to generate synthetic HAI datasets -- a single code-generation task for one use case.
HHS,Leveraging NLP and LLMs to identify and characterize NIH prevention research via 160-topic taxonomy,workflow_embedded,medium,Classifies NIH grants by health condition/risk factor/study design within a 160-topic taxonomy -- a single classification flow for portfolio analysis.
HHS,Lineage Assignment by Extended Learning (LABEL),workflow_embedded,medium,Classifies and annotates influenza sequences within the AMD platform as one analytic step supporting downstream surveillance reporting.
HHS,MFT UI Chatbot,system_integrated,medium,Chatbot reads live file-processing status from the Data Services Hub and reports Real-Time File Status/Historical File Tracking to external users.
HHS,Machine Learning Techniques for Early Detection and Situational Awareness of Rabies Outbreaks,system_integrated,medium,A production ML surveillance model produces real-time rabies outbreak trend/risk estimates that are 'shared with relevant public health authorities to initiate preventive actions.'
HHS,"Machine Learning as a Service: Extract data from product labels, business forms, and image files",system_integrated,medium,Extracted product-label/form data is structured into JSON specifically 'without the need to have users retype or copy & paste the data into FDA applications' -- feeds downstream systems directly.
HHS,Machine Learning as a Service: Translate and extract text from images using AI,system_integrated,medium,"Same MLaaS/Precise pipeline as related row 143, translating and extracting foreign-label text into structured JSON for downstream FDA import-review use."
HHS,Machine Learning with Premier Healthcare Data to inform predictive modeling of antibiotic use,system_integrated,medium,"Predictive model fills gaps in antibiotic-use data to 'better leverage EIP and NHSN data,' feeding CDC's named surveillance systems."
HHS,Malaria parasites DNA barcode geography classification,workflow_embedded,medium,DNA-barcode classification within the AMD platform is one analytic step complementing epidemiologic malaria investigations.
HHS,MedCoder - Coding literal text cause of death information reported on death certificates to ICD-10,system_integrated,high,"MedCoder automatically codes cause-of-death text to ICD-10 directly within the National Vital Statistics System, flagging complex cases for manual review."
HHS,MedWatch Dashboard,system_integrated,medium,Time-series/topic-modeling signals feed the MedWatch Dashboard within CDEROne Analytics for ongoing product-risk monitoring.
HHS,Medical Data Enterprise Artificial Intelligence (MDE AI),system_integrated,medium,"Extraction/insight outputs (deficiency text, signal alerts) feed the CEDh regulatory-review system for premarket device review."
HHS,Medical Text Indexer-NeXt Generation (MTIX) MEDLINE Indexing,system_integrated,medium,Assigns MeSH terms used for MEDLINE indexing -- the production indexing system of record for NIH biomedical citations.
HHS,Medicare AI Customer Insights,standalone_chat,low,Thin filing ('Suggestion' output) describing an AI feature on Public Website Shared Services with no described process coupling.
HHS,Medicare AI Drug Search,standalone_chat,low,Thin filing ('Suggestion' output) describing an AI drug-search feature on Medicare Authenticated eXperience with no described process coupling.
HHS,Merops,workflow_embedded,low,AI automates copyediting of scientific manuscripts -- a specific per-manuscript step in the publication pipeline.
HHS,MirBot,workflow_embedded,medium,Extracts key information from submitted study PDFs to populate 'the grant prior approval review form details' -- a single per-document extraction step.
HHS,ModelAngelo,workflow_embedded,medium,ML builds atomic models from CryoEM data as one step of the Cryo-EM research pipeline.
HHS,NBS Virtual Assistant,workflow_embedded,medium,RAG-based virtual assistant answering NBSC service-desk questions from a knowledge base of job aids/FAQs.
HHS,"NCI-DOE Collaboration, MOSSAIC project (Modeling Outcomes using Surveillance Data and Scalable AI for Cancer)",system_integrated,high,"OncoID and OncoIE APIs 'are in production use in the data management system used by SEER registries,' predicting cancer-relatedness and extracting tumor characteristics directly within SEER*DMS."
HHS,NCIRD SmartFind ChatBots - Public and Internal,workflow_embedded,medium,"Conversational chatbots analyze free-text questions and match agency-cleared FAQ answers, flagging complex queries for manual review."
HHS,NHLBI Chat,standalone_chat,high,A secure general-purpose chat interface (like ChatGPT) for NHLBI staff to explore GenAI on day-to-day work; no specific process coupling.
HHS,NHLBI Chat Workflow - Data Management and Sharing Plan,workflow_embedded,medium,Assists program officers reviewing grant applications for one specific DMSP checklist item -- runs at a defined step in the review workflow.
HHS,NHLBI Chat Workflow - Foreign Component,workflow_embedded,medium,Assists program officers reviewing grant applications for one specific Foreign Component checklist item -- runs at a defined step in the review workflow.
HHS,NIAMS AI Chatbot Pilot,standalone_chat,high,"General secure chatbot for NIAMS staff to research, summarize documents, draft emails, and generate code -- broad assistance with no single process coupling."
HHS,NICHD RPAB AI/ML Application Referral System,workflow_embedded,medium,Classical ML produces class predictions/probabilities as branch-assignment recommendations for staff to use in the grant-referral process.
HHS,NICHD RPAB AI/ML NICHD Relevance Model,workflow_embedded,medium,Classical ML produces class predictions/probabilities as referral recommendations for staff triaging grant applications.
HHS,NIGMS Azure Open AI,workflow_embedded,low,"LLM prompt-engineering used across several NIH admin classification tasks (IC prediction, clinical-trial prediction) without integration into a specific named production system."
HHS,NIH Grants Virtual Assistant,workflow_embedded,medium,Chat bot answering grants-information questions from NIH Grants and Funding site FAQs -- a documentation Q&A tool.
HHS,NIH Travel Policy AI Chatbot,workflow_embedded,medium,Chatbot providing real-time answers to Federal Travel Regulation/NIH Travel Policy questions from policy documents -- RAG over agency policy corpus.
