parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DOI,doi-onrr,Office of Natural Resources Revenue,ONRR,sub_agency,6,None reported,—,n/a,low,foundation: 0 named tools; minimal maturity,Nothing in inventory
DOI,doi-bsee,Bureau of Safety and Environmental Enforcement,BSEE,sub_agency,6,None reported,—,n/a,low,foundation: 0 named tools,Nothing in inventory
DOJ,doj-fbi,Federal Bureau of Investigation,FBI,sub_agency,50,Moderate,Palantir (likely) | inventory heavily redacted,FBI investigative analysts,low,by_agency.md DOJ Palantir at multiple components; inventory rows redacted,Almost certainly has Palantir at scale per public reporting; can't independently verify in subtree because rows are redacted; Moderate as floor
DOJ,doj-dea,Drug Enforcement Administration,DEA,sub_agency,43,Moderate,DEA Intelligence Data Platform (PenLink PLX),DEA intelligence analysts,high,db env-row: DEA SaaS PenLink PLX; db_row_8521 per by_agency,Named analytic platform with vendor; SaaS deployment limits scope vs. on-prem CUI
DOJ,doj-atf,Bureau of Alcohol Tobacco Firearms and Explosives,ATF,sub_agency,34,Moderate,Palantir (FedRAMP High/IL5),ATF investigators,medium,db env-row: ATF Palantir on fedramp_high_il5 (system redacted),FedRAMP High Palantir tagged in DB despite redaction
DOJ,doj-fbop,Federal Bureau of Prisons,FBOP,sub_agency,32,Limited,—,n/a,low,foundation: WellSaid + Photoshop only,No analytic platform; tools are content/media
DOJ,doj-usms,U.S. Marshals Service,USMS,sub_agency,19,Limited,AWS Textract,USMS staff,low,foundation: AWS Textract (OCR service),Textract is feature-level not analyst environment
DOJ,doj-civ,Civil Division,CIV,office,17,Moderate,Unspecified FedRAMP-High/IL5 platform,DOJ Civil litigators,low,db env-row: 1 fedramp_high_il5 row (unnamed),Some IL5 environment exists in CIV's subtree but unnamed
DOJ,doj-jmd,Justice Management Division,JMD,office,17,Limited,—,n/a,low,foundation: 0 named tools,No platform surfaced
DOJ,doj-tax,Tax Division,TAX,office,14,Limited,AWS Transcribe,n/a,low,foundation: AWS Transcribe,Transcribe is a feature not a platform
DOJ,doj-jmd-ocdetf,Organized Crime Drug Enforcement Task Forces,OCDETF,office,10,Limited,—,n/a,low,foundation: 0 named tools,No platform surfaced
DOJ,doj-atr,Antitrust Division,ATR,office,10,Strong,Databricks | Azure OpenAI / Azure AI Foundry,ATR economists & litigators,high,db env-rows: ATR Databricks on aws_govcloud + Azure OpenAI on azure_gov; db_row_8490 per by_agency.md,Two distinct named platforms with env tags; ATR has the most coherent analyst stack in DOJ outside FBI
DOJ,doj-ojp,Office of Justice Programs,OJP,sub_agency,6,None reported,—,n/a,low,foundation: 0 named tools; minimal maturity,Nothing in inventory
DOL,dol-bls,Bureau of Labor Statistics,BLS,sub_agency,13,Limited,—,BLS economists,low,foundation: 0 named tools,BLS undoubtedly has SAS/Stata/Python analyst infra but nothing surfaced in M-25-21
DOL,dol-eta,Employment and Training Administration,ETA,sub_agency,6,None reported,—,n/a,low,foundation: only N/A,Nothing in inventory
DOL,dol-osha,Occupational Safety and Health Administration,OSHA,sub_agency,5,None reported,—,n/a,low,foundation: 0 named tools,Nothing in inventory
DOT,dot-faa,Federal Aviation Administration,FAA,sub_agency,42,Strong,Palantir Foundry (AIP) | AIR event analysis,FAA Aviation Safety analysts,high,db env-row: 1 fedramp_high_il5 row; FAA AIR using Foundry/AIP per problem statement; databricks USDOT case study (parent),Foundry/AIP confirmed in narrative; FedRAMP High env tag; FAA also is a Databricks public reference customer
DOT,dot-caio,Office of the Chief Artificial Intelligence Officer,CAIO,office,15,Limited,—,15 subtree use cases,low,foundation:dot-caio; deterministic_rule_post_unmapped_integration,no platform/env signal in subtree
ED,ed-fsa,Federal Student Aid,FSA,sub_agency,9,Strong,EDMAPS (AWS Bedrock multi-vendor),FSA staff,high,db env-row: EDMAPS on aws_govcloud (AWS); db_row_8886 per by_agency.md,Named system + AWS GovCloud + Bedrock multi-model; explicitly the FSA analytic stack
EPA,epa-ofa,Office of the Administrator,OFA,office,10,Limited,—,10 subtree use cases,low,foundation:epa-ofa; deterministic_rule_post_unmapped_integration,no platform/env signal in subtree
FDIC,fdic-drr,Division of Resolutions and Receiverships,DRR,office,11,Limited,—,DRR resolutions staff,low,foundation: 0 named tools; standard COTS only,No platform surfaced
FHFA,fhfa-ocio,Office of the Chief Information Officer,OCIO,office,10,Moderate,FMAP (FHFA Modeling Analytics Platform),DHMG modelers,medium,by_agency.md db_row_9040 FMAP,Named modeling platform; small scale
FRB,frb-s-r,Division of Supervision and Regulation,S&R,office,21,Limited,—,FRB supervision economists,low,foundation: 0 named tools,FRB known to use SAS Viya/Snowflake/Hadoop publicly but not in inventory; rated Limited per CHARTER absence-of-evidence rule
FTC,ftc-bcp,Bureau of Consumer Protection,BCP,sub_agency,12,Strong,Sentinel Network Services | Azure Databricks | Azure ML | Analytic Sandbox,BCP/DCRO investigators,high,db env-row: Sentinel on azure_gov (Microsoft); db_rows 9099-9114 per by_agency.md,Coherent CUI consumer-protection analytic stack; foundation named_tools includes Leidos Sentinel
HHS,hhs-nih,National Institutes of Health,NIH,sub_agency,124,Strong,IDAP (Palantir Foundry) | Biowulf (105k-core HPC) | NBSC (H2O.GPTe) | NIH Grants Virtual Assistant,NIH researchers / grants reviewers / 1000s,high,db env-rows: 5 NIH rows incl. IDAP fedramp_high_il5 + on_prem SEER + GCP NBSC + AWS GovCloud; hpc.nih.gov Biowulf,Multiple named analytic environments; leading maturity tier; subtree env_count=5
HHS,hhs-cdc,Centers for Disease Control and Prevention,CDC,sub_agency,103,Strong,EDAV (Azure Synapse + Databricks Genie + Azure OpenAI) | 1CDP (Palantir Foundry/AIP) | Model Studio,CDC epidemiologists / data scientists agency-wide,high,db env-rows: 5 CDC rows incl. 1CDP fedramp_high_il5 (4x) + EDAV azure_gov w/ Databricks,The deepest analyst stack in civilian government per by_agency.md; subtree env_count=5; leading tier
HHS,hhs-cms,Centers for Medicare and Medicaid Services,CMS,sub_agency,75,Strong,IDR Cloud (Snowflake) | CMCS DataConnect (Databricks on AWS),CMS analysts / contractors,high,by_agency.md db_rows 9386/9387 IDR Snowflake; CMS OIT subtree env_count=2,Inherits Strong from parent + own CMS-OIT env tags; large user base across CMS programs
HHS,hhs-fda,Food and Drug Administration,FDA,sub_agency,65,Moderate,Custom In-House AI | (covered by HHS Anthropic for chat),FDA reviewers,low,foundation: subtree env_count=1; named_tools mostly Custom In-House,FDA does not name a public analytic platform in its rows; relative to peer HHS components weaker — Moderate floor
HHS,hhs-fda-cder,Center for Drug Evaluation and Research,CDER,office,40,Limited,Custom In-House AI,CDER reviewers,low,foundation: 0 env rows; only Custom In-House + Teams,No named platform; CDER analytic work likely sits on FDA stacks but not surfaced
HHS,hhs-acf,Administration for Children and Families,ACF,sub_agency,27,Strong,Palantir Discover/Horizon/Upstream/Cares,ACF program analysts,high,by_agency.md db_rows 9175-9197 ACF Palantir,Foundation env_count=0 but parent rollup explicitly names ACF Palantir suite as Strong; inheriting
HHS,hhs-cms-cciio,Center for Consumer Information and Insurance Oversight,CCIIO,office,20,Moderate,(Inherits CMS IDR/DataConnect),CCIIO actuaries,low,parent CMS rollup,No own env rows; CMS-wide platforms presumably available
HHS,hhs-cms-oit,Office of Information Technology (CMS),OIT,office,19,Strong,IDR Cloud | CMCS DataConnect | CEDAR,CMS-wide IT and data engineers,high,db env-rows: 2 IDR Cloud rows on aws_govcloud (GDIT),CMS OIT is the operator of the CMS analytic platforms; env-tagged in DB
HHS,hhs-hrsa,Health Resources and Services Administration,HRSA,sub_agency,18,Moderate,PRB (AWS GovCloud) | inherits HHS chat,HRSA program staff,medium,db env-rows: 2 HRSA aws_govcloud rows incl. PRB GDIT,Real AWS GovCloud platform but small scope; not an enterprise analyst sandbox
HHS,hhs-cms-oc,Office of Communications (CMS),OC,office,12,Limited,GitHub Copilot,n/a,low,foundation: only GitHub Copilot,Coding tool not analytic platform
HHS,hhs-ahrq,Agency for Healthcare Research and Quality,AHRQ,sub_agency,8,Limited,—,AHRQ researchers,low,foundation: only Microsoft Teams,No platform surfaced
NASA,nasa-gsfc,Goddard Space Flight Center,GSFC,sub_agency,227,Strong,NCCS Discover + Prism GPU cluster | HECC partner | Prithvi (IBM/NASA),GSFC Earth-science researchers + partners,high,db env-rows: 3 GSFC rows incl. Prism GPU cluster on_prem + azure_gov; by_agency.md NASA,Largest subtree in dataset (227); leading tier; Prism GPU cluster explicitly named; world-class HPC
NASA,nasa-msfc,Marshall Space Flight Center,MSFC,sub_agency,44,Moderate,VEDA-LLM | Custom In-House AI,MSFC Earth-science staff,medium,db env-row: 1 on_prem Custom In-House; problem statement references VEDA + Microsoft LLM,Real Earth-science AI work but not a generic analyst environment
NASA,nasa-jpl,Jet Propulsion Laboratory,JPL,sub_agency,43,Strong,JPL Supercomputing | JPL on-prem science computing,JPL mission scientists/engineers,medium,foundation env_count=0 but JPL operates large mission-data systems publicly known,JPL inventory rows undersell its computing footprint; rated Strong on public knowledge of mission data infra
NASA,nasa-larc,Langley Research Center,LaRC,sub_agency,38,Moderate,LaRC research computing | Lessons Learned Bot,LaRC researchers,low,foundation: 0 named tools; 0 env rows,Real research computing exists but inventory thin; conservative Moderate
NASA,nasa-arc,Ames Research Center,ARC,sub_agency,34,Strong,HECC (Pleiades, Aitken, Athena) | NAS MLflow,Ames + agency-wide HPC users,high
NASA,nasa-jsc,Johnson Space Center,JSC,sub_agency,13,Limited,—,JSC mission staff,low,foundation: Azure OpenAI + Gemini chat only,Chat tools not analytic platform
NASA,nasa-grc,Glenn Research Center,GRC,sub_agency,7,Limited,Custom In-House AI,GRC researchers,low,foundation: only Custom In-House AI,No named platform
SBA,sba-ocio,Office of the Chief Information Officer (SBA),OCIO,office,17,Moderate,AWS Bedrock (FedRAMP) | multi-tool ChatGPT/Gemini/Q,SBA OCIO,high,db env-row: SBA Bedrock aws_govcloud; db_rows 10146/10147 per by_agency.md,Real Bedrock usage with multiple frontier model providers; OCIO-scoped
SEC,sec-oit,Office of Information Technology (SEC),OIT,office,12,Limited,—,SEC IT,low,foundation: 0 named tools,No platform surfaced
SEC,sec-exams,Division of Examinations,EXAMS,office,12,Limited,—,SEC examiners,low,foundation: 0 named tools,No platform surfaced; SEC EXAMS likely uses internal Snowflake/SAS but not in inventory
SEC,sec-ocdo,Office of the Chief Data Officer (SEC),OCDO,office,11,Moderate,Unspecified AWS GovCloud env | Westlaw AI,DERA economists + OCDO,low,db env-row: 1 unnamed aws_govcloud; by_agency.md SEC DERA semantic-layer work,OCDO is the data office but inventory rows are vague; semantic-layer/NL query work referenced
SSA,ssa-ocio,Office of the Chief Information Officer (SSA),OCIO,office,20,Moderate,Informatica EDC (Enterprise Data Catalog),SSA-wide data governance,medium,db env-row: SSA EDC aws_govcloud; foundation also lists AveriSource + IBM watsonx Code Assistant,Real cataloging + code modernization stacks; not an analyst LLM-on-data sandbox
State,state-ca,Bureau of Consular Affairs,CA,sub_agency,13,Strong,CA Predictive Analytics Platform,Consular fraud / visa analysts,medium,db env-row: 1 azure_gov; by_agency.md CA Predictive Analytics Platform,Named bureau platform with Azure Gov env; covered explicitly in parent rollup
State,state-dt,Bureau of Diplomatic Technology,DT,office,12,Strong,Funhouse (Microsoft + Databricks + ZenPoint) | CfA PFCS (Palantir AIP) | StateChat | MED-PLTR,Department-wide SBU + bureau-specific PFCS,high,db env-rows: 4 DT rows: Funhouse azure_gov + 2 PFCS fedramp_high_il5 + MED-PLTR,One of the strongest analyst sandbox postures in the federal dataset; named in by_agency.md
State,state-fsi,Foreign Service Institute,FSI,sub_agency,6,Limited,—,FSI students/staff,low,foundation: 0 named tools; minimal maturity,No platform surfaced
TVA,tva-it,Information Technology (TVA),IT,office,19,Limited,—,TVA IT,low,foundation: GitHub Copilot + Amazon Q + AWS Transcribe,Coding/transcription tools not analytic platform
TVA,tva-po,Power Operations,PO,office,14,None reported,—,14 subtree use cases,low,foundation:tva-po; deterministic_rule_post_unmapped_integration,no platform/env signal in subtree
Treasury,treasury-irs,Internal Revenue Service,IRS,sub_agency,61,Strong,Compliance Data Warehouse (CDW) | RAAS analytic environment,IRS RAAS researchers + exam staff,high,db env-rows: 3 IRS rows on_prem_plus_aws + azure_gov; irs.gov RAAS IRM 1.1.18; theintercept Palantir-IRS,CDW/RAAS is one of the longest-running analyst environments; explicit hybrid env tags
Treasury,treasury-occ,Office of the Comptroller of the Currency,OCC,sub_agency,26,Moderate,OCC.InfoAssist (Azure Gov) | unnamed in-house AI,OCC bank examiners,medium,db env-row: 1 OCC azure_gov,Real Azure Gov chat/analysis env; by_agency.md notes InfoAssist is a chatbot not a full analyst platform — Moderate not Strong
Treasury,treasury-bfs,Bureau of the Fiscal Service,BFS,sub_agency,23,Limited,—,BFS staff,low,foundation: only N/A vendors,No platform surfaced
Treasury,treasury-ofr,Office of Financial Research,OFR,sub_agency,7,Moderate,Custom In-House AI,OFR economists,low,foundation: Custom In-House AI; OFR known publicly to use Snowflake/HPC,OFR has financial-data analytic infra publicly known but inventory rows thin
Treasury,treasury-bep,Bureau of Engraving and Printing,BEP,sub_agency,5,None reported,—,n/a,low,foundation: 0 named tools; minimal maturity,Nothing in inventory
USDA,usda-nre,Natural Resources and Environment,NRE,sub_agency,76,Moderate,BIGMAP (Esri GeoPlatform) | Esri ArcGIS AI on-prem,NRE / Forest Service / NRCS,high,db env-row: NRE on_prem Esri; by_agency.md db_row_10554 BIGMAP,Geospatial analytic platform with explicit on-prem BPA + Esri AI
USDA,usda-ree,Research Education and Economics,REE,sub_agency,22,Strong,EDAPT (Impala + Tableau),REE / ERS / NASS economists,high,db env-row: REE EDAPT on_prem (Accenture); by_agency.md db_row_10489,Named REE-wide analytic platform; supports researchers across REE mission area
USDA,usda-fpac,Farm Production and Conservation,FPAC,sub_agency,20,Limited,—,FSA/NRCS/RMA staff,medium,foundation: 0 named tools; by_agency.md notes USDA-Palantir $300M Foundry signed 2025 for FPAC NFSAP,Today: Limited (rollout starting). Post-2026: likely Strong once NFSAP/One-Farmer-One-File goes live
USDA,usda-mrp,Marketing and Regulatory Programs,MRP,sub_agency,16,Limited,On-prem (small),MRP staff,low,db env-row: 1 unnamed on_prem,Single weak env row; no named analyst platform
USDA,usda-foodsafety,Food Safety,FoodSafety,sub_agency,13,Limited,—,FSIS staff,low,foundation: 0 named tools,No platform surfaced
VA,va-vha,Veterans Health Administration,VHA,sub_agency,253,Strong,VINCI (CDW research environment) | Rockies (Databricks + Azure ML),VA researchers + clinical informaticists,high,db env-row: VHA aws_govcloud Databricks + on_prem; research.va.gov/programs/vinci; govciomedia VA Rockies Databricks,Largest VA subtree (253); leading-research analyst environment predates inventory; strong public + DB evidence
VA,va-oit,Office of Information & Technology (VA),OIT,office,57,Strong,Andesite (Bedrock SOC accelerator) | Rockies/Databricks operational,VA OIT operations + SOC,high,db env-rows: 2 VA OIT rows aws_govcloud + on_prem; db_rows 10723 + 10660 per by_agency.md,Leading maturity tier; VA OIT operates the Rockies platform powering VHA research
VA,va-vba,Veterans Benefits Administration,VBA,sub_agency,27,Limited,—,VBA claims staff,low,foundation: 0 named tools; 0 env rows,No analytic platform surfaced; VBA claims processing is rules-engine driven
