2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Linkage and Matching Program (LaMP),Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,"This use case involves probabilistic record linkage to link multiple person-level datasets. The predicted links are used for downstream processing to enable research regarding economic, demographic, and other topics and improve quality and efficiency of multiple Census operations.",The AI produces a prediction regarding whether two records match. Output from the model is pairs of records above a minimum threshold indicating a match along with the score describing the similarity between the two records in the pair.,Acquisition and/or Development,Neither,3/31/2023,8/1/2024,,,Developed with both contracting and in-house resources.,"Brite Group, Harmonia",No,,,,,,,Yes,,Survey response data from decennial census operations.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.","Age
Sex/Gender",,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Census Research Exploration and Analysis Tool (CREAT),Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Education & Workforce,,None of the above.,"The Census Research Exploration and Analysis Tool (CREAT) is an experimental data tool from the Center for Economic Studies (CES) at the US Census Bureau that uses natural language processing to analyze, categorize, and sort the economic research contained in the CES working paper series. The goal of this project is to help CES researchers, managers, and other internal stakeholders explore connections among existing research, form new collaborations, and separate research into discrete topics. Working papers are sortable by author, tag, and keyword. Natural language processing (NLP) techniques are used to extract tags (using spaCy) and keywords (using KeyBERT) from the paper's text, as well as to determine working paper similarity (using Doc2Vec). This NLP usage highlights the value of these tools and techniques for making connections across economic research publications.","keywords, tags, and recommendations based on similarity.",Implementation and Assessment,Neither,11/1/2023,12/1/2023,3/1/2024,,Developed in-house.,,No,,,Yes,N/A,No,No,No,,CES working paper metadata,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Dr. NAICS LLM,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,Searching for information using AI.,The core problem the Dr. NAICS LLM addresses is the ability to accurately and consistently place a NAICS code for a given business description. Because NAICS is such a large classification system with a lot of nuance it is sometimes difficult for businesses to identify the correct business description within it. The AI makes suggestions to improve that classification decision when reading incoming emails and voicemails from the general public.,The output is a set of recommendations for which NAICS codes best align with a text description of a business activity. ,Implementation and Assessment,Neither,11/27/2023,11/27/2023,9/30/2025,,Developed with both contracting and in-house resources.,1333LC23C00000030 and 1333LC23C00000026,No,,,No,N/A,No,No,No,,N/A,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,Does not use any demographic variables.,No,,,No,,Less than 6 months,Other,,No,In the process of migrating the Dr. NAICS LLM beta app from the Reveal Server to inside the Census AWS server environment.,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",,,,,,,,,,,,,,,,,,
Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,"The purpose of this AI-driven pipeline is to tackle the challenge of processing non-English, short-text responses in large-scale surveys and censuses, especially brief entries for race and ethnicity. Traditional language detection and translation systems often struggle with these minimal text responses, impacting data accuracy and inclusivity. This AI solution is designed to automate the entire multilingual data processing workflow, from language detection to translation, named entity recognition, and validation, using AI and transformer-based models along with natural language processing techniques. By achieving high accuracy even with limited context, the system reduces the need for human translators, increases processing speed, and guarantees fair and accurate representation of diverse populations. This innovation not only supports the agency’s mission to collect inclusive, representative data but also benefits the public by contributing to more precise demographic insights, ultimately aiding in resource allocation and policy making.","The AI system outputs a series of automated decisions and validated translations for short-text responses, such as race and ethnicity write-ins, within large-scale survey data. Specifically, it provides accurate language detection, corrects potential spelling errors, generates contextually accurate translations, and validates these translations against standardized labels using semantic similarity analysis. The system then selects the most accurate translation for each input, guaranteeing precise categorization and extraction of demographic data. These outputs streamline survey data processing by reducing the need for human intervention, allowing for real-time or near real-time responses that meet high standards of accuracy and inclusivity",Acquisition and/or Development,Neither,6/3/2024,7/8/2024,9/30/2025,,Developed in-house.,,No,,,,,,,,,"The agency used agency-owned decennial paradata to train, fine-tune, and evaluate the AI model’s performance. This paradata, collected from previous census responses, provided important interaction data that allowed the model to improve its language detection and translation accuracy, especially for short-text responses typical in race and ethnicity write-ins.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups.",Race/Ethnicity,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",,,,,,,,,,,,,,,,,,
FAQ for SMaRT,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Government Services (includes Benefits and Service Delivery),,Searching for information using AI.,"The purpose of the FAQ search tool is to find the correct Census Bureau-provided answers to common questions from the public about the 2025 Census Test. The 2025 Census Test is a proposed test as part of the Small-Scale Response Test (SmaRT) program in decennial. The purpose of this program is to perform experiments using different methods to improve self-response rates and data collection. The SmaRT program accomplishes this using iterative tests with relatively small sample sizes. Four installments of the SmaRT program were fielded before the 2020 Census. Three small-scale tests have occurred so far this decade with the fourth test planned for 2025. There is an online questionnaire for each of the tests, with a census.gov landing page to access the online questionnaire. In the first three tests this decade, there were approximately 15 FAQs on the landing page that the user could read. For the 2025 Census Test, we would like to offer over 50 FAQs to answer the public’s questions via a search tool.
Current public-facing search tools at the Census Bureau use exact match only. Depending on what users type to search, the correct FAQ might not appear because users do not always use the same terminology as the Census Bureau. This FAQ search tool built with machine-learning models will use semantic similarity (i.e., synonyms or misspellings) to find the correct answers. The answers it provides back to the public are census-approved answers, and not generative AI answers. If the 2025 Census Test is approved, this search feature will be on the landing page for the survey. Implementing this search tool is considered a proof-of-concept for the use of such a search feature. If it is successful, the search tool could be used in the 2026 Census Test on its landing page, or the 2028 Dress Rehearsal. Ultimately, if it is successful, the public will benefit by finding answers to common questions more easily and more accurately.","Description of what the AI system outputs, whether it’s a prediction, recommendation, decision, etc.
Utilizing transfer learning from Large Language Models (LLMs) we utilize them to encode our Census approved FAQs to then compare to a user query. This user query is then encoded as an embedding from the same LLM model and then we take a distance calculation using cosine similarity to rank our reference materials. We then showcase the top 3 results depending if a threshold is met of .25 cosine similarity or above. It is a semantic search tool that ranks reference material.",Acquisition and/or Development,Neither,7/8/2024,9/9/2024,7/11/2025,,Developed in-house.,,No,,,,,,,,,We did not fine tune the LLM because it was just used for transfer learning. We created a question-and-answer pairing dataset to estimate search accuracy. We also selected FAQs that had a high use rate in the 2020 Census to populate the 2025 FAQ list.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Statistical package syntax development and debugging,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Education & Workforce,,None of the above.,"I. Interaction Terms Generation: I utilized ChatGPT to generate SPSS syntax for creating interaction terms in a 97 X 4 matrix (race by item). This was integral for conducting moderated multiple regression analyses, aiming to establish differential prediction based on continuous supervisor scores and binary supervisor status (1 = supervisor, 0 = non-supervisor).
II. Regression Analyses: The AI facilitated the development of large amounts of complex statistical analysis syntax for both binary logistic regression and multiple regression analyses, incorporating the interaction terms effectively.
III. Racial Codes Creation: Used the AI to write syntax that would generate unique racial codes based on participants' self-identifications from a ""select all that apply"" question, allowing for a nuanced analysis of racial group memberships.
IV. Consistency Comparison: Used AI to generate command syntax (for statistical software) to compare self-identified race and other protected class standings between two separate surveys, assessing consistency. The AI-generated syntax marked consistency (1) versus inconsistency (0) for each protected class.",The output was SPSS syntax and recommendations about configuring the syntax,Implementation and Assessment,Neither,9/16/2024,9/16/2024,9/16/2024,,Developed in-house.,,No,,,No,N/A,No,No,No,,none,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,No,,,No,,Less than 6 months,Other,,Other,Just access to the internet,Yes,no model training involved,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",,,,,,,,,,,,,,,,,,
DSD Python Code Translation,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,The AI purpose for this effort is to assist the translation of SAS to Python code for the DSD data processing and supporting systems. The effort is in support of the Census mission to migration to enterprise-wide solutions and reducing dependency on costly proprietary software products.,The expected AI final system outputs are the translated Python code that replicates the SAS code. Comparison of the system outputs will be performed until the expected results are achieved.,Acquisition and/or Development,Neither,10/2/2024,10/28/2024,,,Developed with contracting resources.,1333LC,No,,,,,,,No,,N/A,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,Pre-trained model for translating SAS code,,,,No,,Less than 6 months,No,,No,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Census API GPT,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Other,"Statistical Information about People, Places, and the Economy",Searching for information using AI.,"The Census API GPT provides guidance and assistance in using the Census API to retrieve a wide range of statistical information. It helps users form accurate API requests for demographic, economic, housing, and geographic data queries.","The Census API GPT offers clear explanations of the available datasets, parameters, and methods to efficiently retrieve the desired data, ensuring that users can access comprehensive information across these key areas. When necessary, it asks for clarification to ensure the accuracy and relevance of the request, making the process of using the Census API straightforward for users of all technical backgrounds. It emphasizes the importance of specificity in queries to reduce errors and improve the relevance of the data retrieved, catering to both beginners and experienced users alike. Additionally, the Census API GPT displays the data returned by the API, providing a direct view of the output alongside the guidance on constructing the API call.",Initiated,Neither,10/24/2024,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Search for data.census.gov,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Other,"Statistical Information about People, Places, and the Economy",Searching for information using AI.,The current search algorithm on data.census.gov does not support true natural language search and is keyword-based. Leveraging a natural language search interface powered by an LLM that uses a RAG architecture to fetch responses to user queries has the potential to vastly improve the search experience and ensure that users of all backgrounds are able to quickly find the information they are looking for.,"The AI system would consist of a natural language (LLM) input that would then use RAG (retrieval augmented generation) to identify an answer to the user's query (either in the form of an actual statistic, a relevant dataset, or relevant filters). Once an answer has been identified, it would be returned to the user via a natural language (LLM) interface.",Initiated,Neither,10/24/2024,,,,,,,,,,,,,,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ACES CAPEX (structures, equipment, other) Machine Learning",Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,Inputting large amounts of data from paper forms into a digital system using AI.,"The annual capital expenditures survey used to ask respondents to classify structures, equipment, or ""other"".  Machine Learning was implemented to classify these items better.  ACES is no longer an active survey, and the machine learning is no longer active.",Decision on if an item is structures or equipment.,Retired,Neither,,,1/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
