Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0017,FINDER,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ATF uses the AI features in FINDER is to sift through violent crime and firearms trafficking data more efficiently. By employing machine learning to highlight significant patterns, suspects, or trends, the AI feature automates tasks that would normally require manual, resource-intensive reviews. This leads to quicker identification of essential insights, improves operational effectiveness, and ensures that effort is directed at the most pertinent leads, enhancing both speed and precision in investigative processes.

Expected benefits: The expected benefit is more strategic attention to areas that may reduce negative outcomes or enhance preparedness.","The AI features map trends, highlight recurrent factors, and propose focus points, reducing manual data reviews.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0018,First Two,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ATF uses the AI features in First Two to link individuals to specific locations and visualize spatial relationships that might be important. By automating map-based data correlation, pattern discovery, and geospatial analysis, the system reduces manual data plotting and interpretation. This results in quicker recognition of significant activity areas, improved allocation of resources to critical locations, and overall enhancement of operational responsiveness and strategic planning.

Expected benefits: The expected benefit is more efficient focus on frequently visited places/people, enhancing resource allocation where location matters.","The AI features visualize activity geographically, spotlight frequent places, and suggest beneficial attention areas.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0019,LexisNexis Accurint,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The AI features in LexisNexis Accurint merge and analyze an array of public and proprietary records to build a clearer picture of individuals and entities. By automating data integration, filtering, and pattern recognition, it expedites the identification of relevant subjects and connections. This advanced approach reduces manual searching, enhances accuracy in linking data points, and strategically directs focus toward high-value leads, improving overall investigative efficiency and decision-making.

Expected benefits: The expected benefit is accelerated identification of important figures/relationships, replacing inefficient manual searches across disconnected datasets.","The AI features compile overviews, note aliases, highlight patterns, giving clear reference points for exploration.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0020,LexisNexis Babel Street,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: LexisNexis Babel Street leverages advanced analytics on publicly available data, automating the identification of meaningful patterns, entities, and relationships. By integrating AI-driven classification, trend detection, and data correlation, the system enhances investigative and analytical workflows. This approach reduces manual effort, improves accuracy in pinpointing relevant insights, and optimizes resource allocation. Overall, the AI capabilities aim to streamline data exploration, increase operational efficiency, and support more informed decision-making.

Expected benefits: The expected benefit is more efficient identification of significant topics/entities, focusing time/resources effectively.","The AI features produce structured insights, highlight connections, and guide users to useful information without manual effort.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0021,Mark43 Public Safety Records,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The AI features of Mark43 Public Safety Records organize, categorize, and correlate extensive law enforcement data from various sources. By employing AI-driven classification, entity resolution, and data linking, it reduces the manual workload needed to extract meaningful insights. This empowers users to identify key relationships and patterns more rapidly, increases data accuracy, and supports more strategic use of investigative resources, ultimately improving both timeliness and quality of public safety operations.

Expected benefits: The expected benefit is less guesswork, allowing focus on data likely to yield meaningful insights.","The AI features categorize documents, flag repeated factors, and highlight patterns that may otherwise be hidden without assistance.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0022,National Insurance Crime Bureau ISO ClaimSearch,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI features in National Insurance Crime Bureau ISO ClaimSearch is to analyze insurance claim data and highlight suspicious patterns or anomalies more efficiently. By applying AI-driven pattern recognition, risk assessment, and anomaly detection, this tool streamlines what would be a lengthy manual review process. This leads to faster fraud identification, more accurate identification of problematic claims, and better resource utilization, ultimately strengthening investigative outcomes.

Expected benefits: The expected benefit is more effective resource use, identifying claims that differ from typical patterns.","The AI features produce lists of flagged claims, show patterns, and suggest where deeper validation might help.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0023,OBR Indexing,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of this AI use case is to improve the efficiency of tracing firearms using Gun Control Act (GCA) forms submitted to ATF by Federal Firearms Licensees (FFLs) that go out of business. Adhering to a Congressional restriction and consistent with previously audited (United States Government Accountability Office (GAO)) data systems, the AI use case is designed to only recognize specific data fields while ensuring no personal or identifying information about individuals is captured or searchable.

Using AI, the system recognizes the structure of various versions of GCA forms stored in the Out-of-Business Records. It extracts designated pixel data and converts it into searchable text through an optical character recognition (OCR) engine. This information is then indexed, allowing for faster and more efficient firearm trace searches. By automating this process and focusing exclusively on certain data, the system improves tracing speed and accuracy while also complying with the strict data restrictions for records submitted by out-of-business FFLs.

Expected benefits: The AI system is expected to significantly enhance ATF’s ability to fulfill its mission of supporting criminal investigations and promoting public safety by improving the efficiency of firearm tracing. Automating aspects of the search process will reduce the time, effort, and costs associated with manually sifting through millions of scanned forms. ATF will be able to respond to crime gun trace requests quicker, enabling law enforcement to act faster in solving crimes.

The system also ensures that only authorized data are processed and maintains compliance with all statutory restrictions. For the general public, these improvements translate to enhanced public safety through more efficient crime resolution and resource optimization. The system promotes a more effective and focused use of ATF resources, ultimately contributing to the Department of Justice’s broader mission of enforcing the law and ensuring public safety.","The AI system produces two key outputs. First, it identifies and isolates certain data fields. Then, it converts the data from these specific data fields into digitized text using OCR. This text is used to create a limited searchable index , which points firearm trace processors to potential responsive records. This streamlined process makes firearm tracing faster and more efficient, replacing the need for manual searches through scanned forms.","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Rights Impacting
DOJ-0024,Operational Planning Analytics Risk Management Solution (OPARMS),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The Operational Planning Analytics Risk Management Solution (OPARMS) creates operation plans within ATF's case management system, Spartan, eliminating previous pdf-based operation plans. OPARMS will also provide dashboard overviews of the operation plans and risk data for all operation plans. AI-based features for analyzing operational planning metrics and strategies are being evaluated, but have not been implemented.

Expected benefits: Improve operational planning, data collection, and risk mitigation. Reduce time to fill out operation plans. Increase accuracy of data entered into operation plans by populating info from Spartan. Reduce approval times by routing and tracking operation plans through OPARMS. Increase collection of operations planning and after action reports by making these forms mandatory in order to close out an operation. Collect and store data to begin developing the analytics for calculating and identifying risk in operations allowing team members to better mitigate those risks.","Risk rating of proposed operations.
Recommendations for resource allocation based on risk ratings","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Safety Impacting
DOJ-0025,Palantir (via access to external state LE system),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This use case is being reported because Palantir has AI-based capabilities. However, ATF only accesses Palantir through task force partnerships with a state law enforcement (LE) partner. The state LE agency uses Palantir as its case management system, and ATF's use is limited to searching for information which the state LE agency chooses to share with law enforcement partners. ATF has no involvement with or any knowledge of use of AI features by the state agency which runs the system.

Expected benefits: ATF use of the state LE partner Palantir system is limited to searching for information which the state agency chooses to share with law enforcement partners. ATF has no involvement with, any knowledge of, or any expected benefits from use of AI by the state agency which runs the system.",Unknown. ATF only uses the system to perform standard search functions of information which state agency chooses to share with law enforcement partners.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0026,PowerBI Premium ,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Other,None,"Purpose: ATF recently procured PowerBI Premium software, which included smart and intelligent features like smart data discovery, visualization, and natural language processing. ATF does not use these features directly; they are embedded within the tools, enabling automatic data recognition, discovery, and visualization based on the data fed into the system. 

Expected benefits: The embedded data analytic capabilities will increase the efficiency and effectiveness with which ATF is able to locate and analyze data.","Tables, graphs, link-node diagrams, and other visualizations of extracted data","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0027,ServiceNow,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: ATF's helpdesk services vendor uses the ServiceNow Virtual Agent as part of its managed service offering to provide chatbot services to ATF users. This service allows users to chat with an AI chatbot to request and receive assistance with common issues and requests for support.

Expected benefits:  Use of the ServiceNow Virtual Agent has helped to accelerate the speed with which some users are able to get assistance, has increased user satisfaction based upon survey results, and has resolved user issues without requiring calls to helpdesk staff.",Chat-style interaction that is able to assist users with submitting and resolving common types of IT service requests.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0028,ShotSpotter (via access to external state/local systems),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This capability is not provided or managed by ATF. State and local partner law enforcement agencies provide access to a limited number of ATF staff.

Expected benefits:  Rapid detection of gunshots, which can help to decrease the time to respond to a violent crime.","Notifications to law enforcement of suspected gunfire, with a location and confidence rating.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0029,Southwest Border Transaction Record Analysis Center (SWBTRAC),Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ATF uses the Southwest Border Transaction Record Analysis Center (SWBTRAC) to monitor cross-border financial transactions and identify unusual activities more efficiently. By integrating AI-driven anomaly detection, trend analysis, and risk scoring, it simplifies manual review and directs attention to truly irregular transfers. This approach ensures that investigative focus is applied judiciously, improves accuracy, and enhances strategic use of resources in addressing cross-border financial concerns.

Expected benefits: The expected benefit is faster recognition of outlier scenarios, focusing investigative resources on pertinent transactions.","The AI features provide alerts, highlight unusual transfers, and explain why certain activities warrant closer observation.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0030,Spokeo,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ATF uses Spokeo to aggregate and enrich publicly accessible personal data to create comprehensive profiles of individuals related to investigations. AI-based entity resolution, data linkage, and pattern recognition automate the task of piecing together scattered details. This tool significantly reduces manual workload, sharpens the accuracy of identifying individuals of interest, and ensures that investigative energies are invested where they can yield the most valuable insights.

Expected benefits: The expected benefit is quicker access to comprehensive background details, easily identifying individuals of interest.","The AI features assemble contact info, historical records, and related data into a cohesive presentation.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0031,Thomson Reuters CLEAR,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Thomson Reuters Clear consolidates and analyzes diverse records, creating coherent profiles of individuals and entities. By applying AI-driven data integration, entity resolution, and intelligent filtering, it automates traditionally manual tasks. This leads to faster identification of subjects of interest, improved accuracy in linking related data points, and a more strategic use of time and resources. Ultimately, AI integration enhances investigative effectiveness, reduces errors, and supports more focused research.

Expected benefits: The expected benefit is reduced manual effort, enabling quicker discovery of relevant profiles and relationships.","The AI features organize profiles, indicate links, and suggest deeper review areas, streamlining  processes.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0032,TransUnion TLOxp Online Investigative Services,Department of Justice,ATF,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The purpose of the AI use case in TransUnion TLOxp Online Investigative Services is to gather and analyze diverse personal, financial, and asset-related data more effectively. By implementing AI for entity resolution, risk scoring, and pattern detection, this tool replaces manual data handling with automated insights. This tool accelerates the discovery of meaningful leads, reduces errors, and ensures attention is concentrated on cases truly warranting further review, improving both accuracy and resource allocation.

Expected benefits: The expected benefit is better use of time and effort, focusing on subjects and data points that are more relevant to investigations.","The AI features highlight key personal details, indicate anomalies, and present data in a structured format for deeper inquiry.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
