2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Electronic Records Management,Department of Labor,DOL,Department Wide Initiative,Mission-Enabling (internal agency support),N/A,None of the above.,"Meeting NARA metadata standards for (permanent) federal documents by using AI to identify data within the document, and also using NLP to classify and summarize documents.","

The system output is decision based and summarization of documents.",Initiated,Neither,12/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Recording Analysis,Department of Labor,DOL,EBSA,Mission-Enabling (internal agency support),N/A,None of the above.,"

Automatic analysis of recorded calls made to Benefits Advisors in the DOL Interactive Voice Response (IVR) center. AI is not used for analysis, AI is used only for transcription","

The output is a transcription of calls. The AI is only doing the transcriptions",Operation and Maintenance,Neither,2/23/2023,4/1/2024,5/24/2024,,Developed with both contracting and in-house resources.,"1605DC19A0004
NNG15SD60B",No,N/A,N/A,No,N/A,No,NO,Other,Agency datasets are not necessary for the development of this use case.,Agency owned data to do analysis of call recordings,Documentation is complete,N/A,N/A,No,Yes,N/A,Yes,Azure,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Automatic Document Processing,Department of Labor,DOL,OWCP,Government Services (includes Benefits and Service Delivery),N/A,None of the above.,Automatic processing of continuation of benefits form to extract pre-defined selection boxes. AI tool will extract data from the forms.,"

AI tool will extract data from the forms for further processing",Operation and Maintenance,Neither,2/23/2023,2/23/2023,5/29/2023,,Developed with both contracting and in-house resources.,"1605DC19A0004
 NNG15SD60B",No,N/A,N/A,No,N/A,Yes,Yes,No,N/A,Agency Generated,Documentation is complete,N/A,N/A,No,No – agency does not have access to source code.,N/A,Yes,Azure,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Automatic Data Processing Workflow with Form Recognizer ,Department of Labor,DOL,ETA,Mission-Enabling (internal agency support),N/A,None of the above.,Automatic processing of current complex workflow to extract required data. ,The output of the AI system is a consolidated data for review. The GPT will extract the data and into a spreadsheet and gets reconciled. ,Acquisition and/or Development,Neither,7/22/2023,11/30/2023,,,Developed with both contracting and in-house resources.,"NNG15SD22B, 1605DC19A0004",No,N/A,N/A,No,N/A,No,No,No,N/A,"Historical ETA-9130/ETA-9178 forms, 9178/9130 data from R1 states.",Documentation is widely available,N/A,N/A,,,,Yes,Azure,Less than 6 months,Yes,n/A,No,N/A,Yes,N/A,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",,,,,,,,,,,,,,,,,,
Case Recording summarization,Department of Labor,DOL,OSHA,Mission-Enabling (internal agency support),N/A,None of the above.,Using an open source large language model to summarize publicly available case recording documents which are void of personal identifiable information (PII) or any other sensitive information. This is not hosted in the DOL technical environment and is reviewed by human note takers.,Summarized version of text,Retired,Neither,,,,4/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEWS Occupation Autocoder,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,The input is state submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,6-digit Standard Occupational Classification (SOC) codes,Operation and Maintenance,Neither,1/1/2015,1/1/2015,1/1/2018,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,No,Yes,N/A,Agency Generated,Documentation is complete,None,N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Scanner Data Product Classification,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review. Benefits: real-time turnaround, productivity improvements, cost saves",Entry Level Item codes,Operation and Maintenance,Neither,1/1/2018,1/1/2018,3/1/2019,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,N/A,Yes,N/A,Agency Generated; respondent-provided category and product description information,Documentation is complete,None,N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Expenditure Classification Autocoder,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"Purpose: assign a reported expense description from Consumer Expenditure Diary Survey respondents to expense classification categories known as item codes. Benefits: improve productivity, cost savings",BLS-internal item codes (expenditure classification categories),Operation and Maintenance,Neither,6/1/2019,1/1/2022,1/1/2024,,Developed with both contracting and in-house resources.,1605TA-21-F-00064,No,N/A,N/A,No,N/A,No,N/A,Yes,N/A,Agency-internal; expenditure descriptions and corresponding item code assignments,Documentation is complete,N/A,N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Generative AI Assistant,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,None of the above.,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.","

The AI system provides recommendations.",Operation and Maintenance,Neither,8/15/2023,8/15/2023,8/16/2024,,Developed with both contracting and in-house resources.,"1605DC19A0004
NNG15SD60B",No,N/A,N/A,No,N/A,No,Yes,Other,Agency datasets are not necessary for the development of this use case.,"No specific dataset. The AI engine came ready off the shelf, and the final product has been tested ad hoc by agency users and their NLP free text data. ",Documentation is widely available,N/A,N/A,No,No – agency does not have access to source code.,N/A,Yes,Azure Open AI and AWS,Less than 6 months,Yes,N/A,No,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Occupation Code Suggestion For Job Duties Data,Department of Labor,DOL,ETA,Mission-Enabling (internal agency support),N/A,None of the above.,Suggest appropriate occupation code for job duties data using natural language processing  and classification techniques,Automated Occupation code suggestions,Retired,Neither,,,,8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notice of Deficiency (NOD) Text Generation using Generative AI model,Department of Labor,DOL,ETA,Mission-Enabling (internal agency support),N/A,None of the above.,Application of custom Generative AI model to create Notice of Deficiency (NOD) text based on the input data,Natural language text generation,Initiated,Neither,7/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PII Redaction,Department of Labor,DOL,OSHA,Mission-Enabling (internal agency support),N/A,None of the above.,Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.,Input text returned with personal identifying information removed.,Operation and Maintenance,"Rights-Impacting
",5/20/2024,5/20/2024,11/19/2024,,Developed with both contracting and in-house resources., NNG15SD22B,NO,N/A,No,No,N/A,Yes,YES,Yes,N/A,Agency Generated,Documentation is available,Yes,,No,YES,Yes,Yes,AWS,6-12 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,YES,Yes,Risk of PII been published,Yes – by the CAIO,"Intermittent and Manually Updated: A plan for monitoring the AI use case is in place, and requires data science teams to work with DevOps engineers to manually update models at scheduled intervals, and create metrics to detect data distribution shifts between the operational environment and the training data for the model. ",,"Other – Immediate human intervention is not practicable; however, an appropriate fail-safe has been implemented.",N/A - individuals are not interacting with the AI for this use case,N/A,NO,Review,General solicitations of comments from the public,N/A,,,,
Website Chatbot Assistant,Department of Labor,DOL,ODEP,Mission-Enabling (internal agency support),N/A,None of the above.,The chatbot helps the end user with basic information about the Workforce Recruitment Program and information on who to contact.,Generate content from the WRP program,Operation and Maintenance,Neither,1/18/2024,3/18/2024,8/16/2024,,Developed with both contracting and in-house resources.,"NNG15SD22B
 1605DC19A0004",No,N/A,N/A,Yes,YES,No,NO,NO,N/A,Agency provided list of questions and answers.,Documentation is complete,N/A,N/A,Yes,Yes,https://aws.amazon.com/lex/,Yes,AWS,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Initial Determinations for incoming applications,Department of Labor,DOL,ETA,Mission-Enabling (internal agency support),N/A,None of the above.,AI tool to help perform initial analysis of the incoming 9141 and 9089 applications. Make initial determinations regarding whether issuance of a Request for Information is necessary. Create a standard RFI request and either (1) automatically issue the RFI before case assignment and hopefully obtain customer responses by the time the case is assigned OR (2) perform this action at case assignment and allow the assignment analyst to affirm and issue the RFI or not.,Flag cases for RFI ,Initiated,Neither,5/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Course Design Assistant,Department of Labor,DOL,OSHA,Education & Workforce,N/A,Improving the quality of written communications using AI tools.,"AI tool to recommend the structure of a course, titles for modules, descriptions, and images. AI-powered algorithms analyze course content and quickly generate test questions and prompts for authentic assessments. (Blackboard/COTS Product, unmodified)","Generated text and images for Course outlines, descriptions, tests/assessments.",Operation and Maintenance,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worker PLUS Microsimulation Program,Department of Labor,DOL,CEO ,Government Services (includes Benefits and Service Delivery),N/A,None of the above.,"The Worker PLUS model was developed as an evolutionary iteration of the Paid Family and Medical Leave 
Simulator Model developed by Albelda and Clayton-Matthews (the ACM model)","The model simulates specific leave-taking behavior and outcomes (including number of leaves, leave lengths, benefit levels, and benefit eligibility) with individual workers in a state using data from the five-year American Community Survey (ACS) Public Use Microdata Sample (PUMS)",Operation and Maintenance,Neither,9/27/2017,9/27/2017,3/1/2021,,Developed with contracting resources.,DOLQ129633247,NO,N/A,N/A,Yes,"All CEO products adhere to the principles of rigor, relevance, transparency, independence, and ethics.",No,NO,Other,"All data is public, and not necessarily owned by DOL. ","CEO/WHD 2018 FMLA Employee Survey, American Community Survey",Documentation is widely available," Gender/Sex, Age, Income, Employment status",N/A,Yes,Yes,https://www.dol.gov/resource-library/microsimulation-model-worker-leave,No,N/A,More than 12 months,No,N/A,Yes,N/A,Yes,N/A,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Yes,,,,,,,,,,,,,,,,,,
Computer-Assisted Coding: SOII Autocoder,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include worker occupation, nature of the injury, part of body affected, event that resulted in the injury, source and secondary source (if it exists) that caused the injury. The use of SOII autocoder initially began in 2012 for review purposes, then gradually expanded to automatically assign these classification codes. In reference year (RY) 2022, 92% of all SOII elements were automatically coded, which were then subsequently validated by human staff.

The SOII Autocoder is a transformer-based text classification model using millions of SOII cases as the labeled training data and a publicly available, third-party language model as a pre-trained base model. The Autocoder is trained annually in house using a GPU server that is owned and maintained by OCWC. Once trained, the Autocoder is deployed internally via REST API, autocoding batches of SOII and MSHA cases on a routine basis during the production cycle, all within the BLS network.",SOC and OIICS codes,Operation and Maintenance,Neither,1/12/2012,1/13/2013,1/15/2015,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,Yes,No,Yes,N/A,Agency Generated,Documentation is complete,None,N/A,Yes,Yes,N/A,Yes,BLS Internal System,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
CFOI Record Matching,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) Information System (OIS) files, news articles, and Quarterly Census of Employment and Wages (QCEW), to identify missing or inconsistent data in CFOI.

The CFOI Record Matching programs use various aspects of AI in the areas of natural language processing and record matching. The CFOI-OIS matching uses random forest classifier model trained on previously matched CFOI-OIS data. The CFOI-QCEW matching uses TF-IDF vectors and cosine similarity to match establishment names in the CFOI-QCEW data. And the CFOI-CPDMS matching uses a publicly available, third-party question-answering language model to identify relevant CFOI elements from CPDMS data and then uses random forest classifier model to match CPDMS data to CFOI data. These processes are all conducted within the BLS network, and the outputs, in the form of spreadsheets, are provided once or twice a year to the staff in the CFOI program for review. These processes are all run within the BLS network.",Similarity score between records,Operation and Maintenance,Neither,9/18/2024,10/18/2024,9/20/2024,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,Yes,No,Yes,N/A,Agency Generated,Documentation is complete,Age and Sex/Gender,N/A,Yes,Yes,N/A,Yes,BLS Internal System,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
OIICS Coding,Department of Labor,DOL,OSHA,Mission-Enabling (internal agency support),N/A,None of the above.,"

Auto-code assigning Occupational Injury and Illness Classification (OIICS)","

Manual coding would be a time-consuming task, estimated to require around 65,500 labor hours for initial coding, plus additional time for error correction.",Initiated,Neither,11/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Assisted coding -Microsoft GitHub Copilot,Department of Labor,DOL,OCIO,Mission-Enabling (internal agency support),N/A,None of the above.,"Automatically generate software code using Microsoft Copilot, this will reduce the time for generating code","Automatically generate software code using Microsoft Copilot, this will reduce the time for generating code",Operation and Maintenance,Neither,9/1/2024,9/1/2024,9/1/2024,,Developed in-house.,NNG15SD60B,No,,,No,N/A,No,No,No,N/A,N/A,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",N/A,N/A,No,"Yes – agency has access to source code, but it is not public.",NA,Yes,Azure,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
CPS OTC Prediction,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, such as removing paid time off (PTO), adding off-the-clock (OTC) hours, and adding in hours worked by self-employed and unpaid family workers. BLS uses the Current Population Survey (CPS) dataset to identify the amount of hours that are worked off-the-clock (OTC) by workers. There are some workers in the CPS dataset that do not report whether their time off was paid, or whether they get paid hourly or not. This data needs to be imputed to calculate the ratio of total hours worked to paid hours worked. A random forest model is used to predict the responses for workers that did not report this information by training it on characteristics (such as industry, occupation, education level, age, etc.) of respondents that have reported that information. The benefit of this AI use case is increased accuracy.","

worker's time off was paid, or whether they get paid hourly or not",Operation and Maintenance,Neither,1/1/2022,2/1/2022,11/1/2022,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,No,Yes,N/A,Agency Generated,Documentation is complete,"Class of worker, education, marital status, family income, sex, age",N/A,Yes,Yes,N/A,Yes,BLS Internal system,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Sample Refinement: Frame API,Department of Labor,DOL,BLS,Mission-Enabling (internal agency support),N/A,None of the above.,"BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a significant time-lag between when the sample is drawn for a program and when data collection begins. A critical and time-consuming part of data collection is sample refinement: checking the latest Quarterly Census of Employment and Wages (QCEW) and LDB data to adjust for any changes to the sampled establishment during that time-lag. The QCEW/LDB Frame API allows fast retrieval of the latest QCEW/LDB data for a nationwide sample so that users can perform sample refinement more efficiently. The SOII program uses the Frame API to perform over 20 sample refinement comparison checks, which outputs a report for the data collectors.

The Frame API uses TF-IDF vectors and cosine similarity to compare company names, mailing addresses, and unit descriptions between the survey sample and the latest QCEW/LDB data to determine what components may have changed. The Frame API also has the flexibility for the users to match records using other combinations of variables. These processes are all run within the BLS network.",Similarity score between records,Operation and Maintenance,Neither,5/20/2024,6/20/2024,9/20/2024,,Developed in-house.,N/A,No,N/A,N/A,NO,N/A,No,No,Yes,N/A,Agency Generated,Documentation is complete,None,N/A,Yes,Yes,N/A,Yes,BLS Internal System,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
