usecasename,shorttext14,flexselect16,richtext18,flexselect112,shorttext24
AI Incubator Sandbox,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Produce high-quality, contextually relevant, and coherent responses or content based on user input. ",Neither,
CrowdStrike,LM HQ - Office of Legacy Management (LM),Other,"Predicts malicious behavior, provides decisions and blocks malicious behavior.",Neither,
SCMC AWS Data Infrastructure,KCNSC - Kansas City National Security Campus (KCFO),Mission-Enabling (internal agency support) ,Automation of multiple manual processes and improvement of data quality and governance.,Neither,
ServiceNow Predictive Intelligence,LANL - Los Alamos National Lab (LAFO),Mission-Enabling (internal agency support) ,"Provide better and more consistent classification of ticket data entered into ServiceNow
",Neither,
AI-Enhanced Lab Assist,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Integrating lessons learned into Lab Assist Activity Planning to enhance operational efficiency, improve information sharing leveraging best practices, and foster a culture of continuous improvement.  ",Neither,
SWPA Generative AI,SWPA - Southwestern Power Administration (PMA),Mission-Enabling (internal agency support) ,"By integrating offline Generative AI into the office environment, the organization will be able to significantly boost productivity, streamline routine tasks, and encourage creativity, all while maintaining high security standards. This approach not only enhances operational efficiency but also creates a more dynamic and innovative workplace. SWPA's offline instance is still being tested in isolation. General comerical off the shelf solutions, such as ChatGPT, CoPilot, Meta, and Gemini, are freely avaible and could be utilised by SWPA staff under the the guidance of the SWPA AI Policy.",Neither,
Microsoft 365 Copilot (Productivity Suite),PNNL - Pacific Northwest National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"This helps PNNL streamline workflows, improve efficiency, and allow researchers to focus more on innovation and less on administrative tasks, ultimately accelerating scientific research and operational effectiveness.",Neither,
NLCOO AI for Lessons Learned tool ,LANL - Los Alamos National Lab (LAFO),Mission-Enabling (internal agency support) ,"Better search to gain insights from exisitng lessons learned to improve how we do work.
",Neither,
" Spot for automated sensing, inspection, and capture",PNNL - Pacific Northwest National Laboratory (SC43 OIM),Science & Space,"Spot, a mobile robot, can navigate hazardous or hard-to-reach areas to perform inspections and gather precise data with its advanced sensors and cameras.",Neither,
Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Automate,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Other,"By leveraging AI for automation, PNNL can automate routine tasks such as data entry, reporting, and workflow management, freeing up researchers and staff to focus on higher-value activities. ",Neither,
CAISY,HC HQ -  Office of the Chief Human Capital Officer (HC),Education & Workforce,"1. CAISY provides interactive, scenario-based content powered by AI where a learner can practice new skills in a safe space. This AI simulation content allows learners to choose a role, practice specific skills by responding to AI prompts, and receive adaptive, personalized feedback to guide their development
2. The user  is introduced by an avatar that is generated with AI text-to-video. After the introduction, the learner can either interact by typing or using speech-to-text (STT) and text-to-speech (TTS) services for more immersive and natural interaction.
When the conversation is over, the learner will receive a rating and evaluation
",Neither,
ServiceNow Virtual Agent,LANL - Los Alamos National Lab (LAFO),Mission-Enabling (internal agency support) ,"Provide troubleshooting assistance via chat to employees seeking assistance on IT-related issues
",Neither,
Databricks AI for Cloud Data Warehouse,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Other,Efficiency in analytics and deployment of AL/ML models,Neither,
DOE Technical Standards,EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Mission-Enabling (internal agency support) ,"Enhance quality and accuracy of technical standards, supporting DOE's commitment to safety excellence. ",Neither,
Microsoft Copilot for Security,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Proactively identify, mitigate, and respond to threats. Copilot assists in real-time monitoring, threat detection, incident response automation, and vulnerability management.",Neither,
Text To Speech Audio Generation,KCNSC - Kansas City National Security Campus (KCFO),Education & Workforce,AI tool is used to generate audio files to be used in training content.Allows for faster development of training to meet company needs.  This leads to a cost savings in both initial development and future modifications. ,Neither,
Lex Natural Language Interface ,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,"Create an efficient and user-friendly system that enables users to query project data, such as funding, AUs (allocation units), project focus, and fiscal years, with natural language prompts.
",Neither,
Copilot Studio,ORNL - Oak Ridge National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,1) Enhancing employee productivity and efficiency.,Safety-impacting,
Scopus AI,NE INL - NE Idaho National Laboratory (NE),Science & Space,Assist researchers by reducing time to find applicable research while increasing quality and accuracy of identified hits.,Neither,
EnerGPT,IM-50 - Architecture Engineering Technology and Innovation (IM),Mission-Enabling (internal agency support) ,EnerGPT aims to enhance user productivity and reduce time spent on redundant tasks . ,Neither,
MAPPRITE,EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Mission-Enabling (internal agency support) ,"(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help improve EHSS-51 business workflows for researching potentially relevant S&S support data available such that the information will be accessible and searchable by policy subject matter specialists for awareness and additional context for strategic decision-making and policy management  ",Neither,
ServiceNow AI Search,ORNL - Oak Ridge National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,1) Enhancing employee productivity and efficiency.,Safety-impacting,
Copilot for Microsoft 365,ORNL - Oak Ridge National Laboratory (SC43 OIM),Education & Workforce,1) Enhancing employee productivity and efficiency.,Safety-impacting,
MI8 Collimators Surogate Model,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,This project is working to create a ML surogate model of the exisitng MI8 collimation system. The purpose of the ML model is to aid in the tuning of the collimation system for acclerator operations and to help find more optimal settings in a timely manner. We hope to extend these techniques to other sub-systems and also a new MI8 collimation system being installed.,Neither,
AI for High Risk Property,ORNL - Oak Ridge National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,1) Regulatory compliance.  2) Improved identification of high-risk property items and increased productivity.,Safety-impacting,
Records Digitization,SEPA - Southeastern Power Administration (PMA),Mission-Enabling (internal agency support) ,SEPA is leveraging AI and ML to enhance metadata tagging and quality control during the records digitization process.,Neither,
Machine Learning components within Splunk Enterprise Security,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Allows for big data analysis and identification of trends in large datasets. SLAC expects to be able to perform data clustering, trend analysis, classification, and regression by using Splunk
",Neither,
Machine Learning components within CrowdStrike,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"CrowdStrike uses machine learning to review security events in order to create notifications of detections and incidents for the SLAC Cybersecurity team. From the use of CrowdStrike's machine learning components, SLAC receives the benefit of visibility to analyze possible security events
",Neither,
AskOEDI,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,Making data more accessible and user-friendly for the public. ,Neither,
Talent Assistant,SNL - Sandia National Laboratory (SFO),Education & Workforce,"(1). The intended purpose of using AI is to help Sandia National Laboratories become more efficient in its recruiting processes by removing manual tasks that can be done quickly and easily by AI allowing the Talent Acquisition (TA) team to work in a more strategic manner with their customers. 
AI will also be used to help find the niche diverse talent that the labs need to support the mission. 

(2). There are numerous expected benefits. 
Applicants:
- Help with locating openings that match their qualifications and interests
- Shorter cycle time for the hiring process and improved communication
Hiring Managers:
- Review/rank/compare candidates and make selections more efficiently
- Possibility of helping to schedule interviews which would relieve huge time burdens for everyone involved. 
Talent Acquisition:
- Automate resume screening which is very time consuming and labor intensive
- There would be more time to focus on quality manager and candidate/applicant relationships
- Source diverse niche/hard-to-find talent more efficiently
Sandia National Laboratories:
- Attract top talent and match them to the right postings
- Foster diversity and reduce bias
- Reduce applicant withdrawl rates caused by long cycle times
- Match internal employees to opportunities decreasing backfill time
- Increase employee retention and enable career advancement",Neither,
Hanford Search,RL - Hanford - Richland Operations Office - Hanford (EM),Mission-Enabling (internal agency support) ,"The purpose of the Hanford  Search is to provide similar functionality to our Hanford Search application without needing multiple applications. The benefits of the AI are that there is a single interface with multiple uses and the AI can provide better, more relevant search results.  Additionally, users can ask questions in natural language instead of needing to input specific search criteria.  
",Neither,
AI Chat Bot for IT User Services,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.",Neither,
Hanford Popfon Search,RL - Hanford - Richland Operations Office - Hanford (EM),Mission-Enabling (internal agency support) ,"The purpose of the Hanford Popfon Search is to provide similar functionality to our employee look-up application without needing multiple applications. The benefits of the AI are that there is a single interface with multiple uses and the previous application, which is older in architecture, can be retired, providing a safer, more secure, and cost effective alternative. Additionally, users can ask questions in natural language instead of needing to input specific search criteria.  
",Neither,
AI for Intelligent Automation,NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,"Improve the timeliness and quality of manual work processes through automation where generative AI can make comparisons and decisions using INL procedures and controlled documents, with humans performing final validation and approval.",Neither,
Cyber Threat Enrichment,NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,"Enrich emerging cyber threat data with recent and past analysis data curated from the DOE-CESER Geo Threat Observable project and grid modernization project Deep Learning Malware using TBs of well structured cyber threat. Input vulnreability, weakness, malware inforamtion to find connections to well analyzed cyber threat including attack patterns, known exploited, spast mitigations and detections. When firmware binaries are analyzed and translated to structured threat used to create codified attack surfaces and Firmware or Software Bill of Materials (SBOM) for supply chain tracking",Neither,
Hanford Ai Liaison,RL - Hanford - Richland Operations Office - Hanford (EM),Mission-Enabling (internal agency support) ,"The purpose of the Hanford Ai Liaison tool is to provide a prompt to text tool that will allow users to ask questions against the chat and receive generative responses based on model training. The benefits of this AI are that it provides a mitigation for users that were using similar funtionality in external ChatGPT tools that were available to AI users and then blocked. It also provides a safe, secure enviroment for a ChatGPT experience where our prompts will not be used to train models in external system and our prompt and document data does not leave our accedidation boundary.",Neither,
Tritium Accountancy for Fusione Energy,SRS - SRNL - Savannah River Site - Savannah River National Laboratory (EM),Science & Space,"Adaptive learning, improved uncertainty on accountancy, and prediction for commercial systems.",Neither,
ServiceNow Now Assist,NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,"Improve the timeliness and quality of transactional service desk requests through improved incident search, resolution, feedback as well as AI-assisted coding of  workflows.",Neither,
Enhancing ClimRR Capabilities to Better Support Electric Utility Applications and Technical Assistance,GDO HQ -  Grid Deployment Office (GDO),Science & Space,"The AI, CALLM (Climate Action through Large Language Models), addresses the problem of communicating complex climate projections and scientific literature to a broad audience, particularly electric sector stakeholders. It simplifies this information to help these stakeholders identify climate resilience solutions.

Expected benefits include improved communication of climate science, empowering stakeholders to directly address climate change impacts, and accelerating the scalability of ClimRR (presumably an existing Argonne tool) to serve a wider range of users. This ultimately leads to more effective climate resilience planning and potentially cost savings through better informed decision-making.",Neither,
WCD-AI,ANL - Argonne National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,Recommend keyword-based search for relevant Lessons Learned published on DOE OPEXShare.,Neither,
OpenText for Records Management (File share auto-classification),EE HQ - EE Headquarters (EE),Mission-Enabling (internal agency support) ,Reduce time required to classify legacy records accumulated over 20 years.,Neither,
AI for Isotopes (Pellet) Inspection,ORNL - Oak Ridge National Laboratory (SC43 OIM),Other,1) Reduce technician radiation exposure. 2) Increased productivity.,Safety-impacting,
OPQ-AI,ANL - Argonne National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Significantly reduces person-hours for manual review of incoming people registrations to match with existing database records by recommending most likely matches, if an existing record is identified that matches with the registration details.",Neither,
Funding Finder,IM-50 - Architecture Engineering Technology and Innovation (IM),Mission-Enabling (internal agency support) ,The Funding Finder will aggregate FOAs from different DOE sources and enables users to ask questions when identifying opportunities and developing proposals. ,Neither,
PDF Analyzer,IM-50 - Architecture Engineering Technology and Innovation (IM),Mission-Enabling (internal agency support) ,PDF Analyzer will enable teams across the DOE to upload large PDFs and ask questions and generate content related to those PDFs.  ,Neither,
Hanford  Service Ticket Lookup,RL - Hanford - Richland Operations Office - Hanford (EM),Mission-Enabling (internal agency support) ,"The purpose of the Hanford Service Ticket Lookup is to provide a single interface with for customers to ask questions and get to service tickets without having to navigate extensive menu's, tool bars, and search functions. Eventually, this will include service tickets from multiple platforms, providing the customer with a single interface to do all things service request related. Additionally, users can ask questions in natural language instead of needing to input specific search criteria.  
",Neither,
INL AI Virtual Assitant (AiVA),NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,"This chatbot uses commercial chatgpt-like capability to answer questions, provide coaching on processes, summarize and improve communications, and produce code in a variety of formats.  INL has been authorized and has planned activiites in 2025 to begin adding internal INL non-CUI data using RAG.  Examples include the employee handbook and approved controlled documents.",Neither,
Unleashing AI Transformer Models on FPGAs for Accelerating LHC and Particle Physics,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,"This effort focuses on Transformer models for representation learning on Field Programmable Gate Arrays
(FPGA), in order to seamlessly integrate AI capabilities into particle physics experiments, specifically
focusing on the CMS level-1 (L1) trigger at the High-Luminosity LHC (HL-LHC) and real-time magnet
quench detection. While conventional methods for event identification have limitations, modern AI and
machine learning techniques offer superior alternatives.",Neither,
Hanford Procedure Search,RL - Hanford - Richland Operations Office - Hanford (EM),Mission-Enabling (internal agency support) ,"The purpose of the Hanford  Search is to provide greater service in our customers search for relevant proceedures, which is a main look-up for many of our employees. The benefits of the AI are that there is a single interface with multiple uses and the AI can provide better, more relevant search results.  Additionally, users can ask questions in natural language instead of needing to input specific search criteria.  
",Neither,
LLM EV ,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,"Making NREL EV-specific data more accessible for researchers and accelerating research in this field. 
",Neither,
AskPRIMR,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,"Making data more accessible and user-friendly for the public. 
",Neither,
Coupa,KCNSC - Kansas City National Security Campus (KCFO),Mission-Enabling (internal agency support) ,AI functionality within Coupa drives better search functionailty and drives efficiency of sourcing and procurment processes.,Neither,
GitHub Copilot with the OpenAI Codex,PNNL - Pacific Northwest National Laboratory (SC43 OIM),Science & Space,"This increases their productivity, allows them to focus more on innovation and research, and accelerates the development of high-quality software solutions for scientific research.",Neither,
First Alert DataMinr AI,NA-IM (Enterprise) ? Office of the Associate Administrator for Information Management and Chief Information Officer (HQ-Enterprise) (NNSA HQ),Emergency Management,"We use this AI service to provide spectial or situational awareness, incidents occuring around NNSA or DOE Site.  Emergency reporting, monitoring, speeds up emergency operations reporting. The AI is being used in place of a large team that would be required for coding and development of emergency services facilitation.  This would be a cost saving software for the Federal government.",Neither,
Yurts AI search function,SLAC - SLAC National Accelerator Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Locating relevant information across multiple data sources at SLAC. The expected benefit SLAC intends to receive from the use of Yurts is improved data accessibility for the userbase at SLAC
",Neither,
"Interactive platform to help review and create ""Promoting Inclusive and Equitable Research"" Plans",PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"A trained and informed model that can help to review PIER plans for accuracy, consistency and also to help integrate specific PPPL DEIA goals and initiatives, aligned with input from the user, helping to clearly define the goals of the research plan.",Neither,
Energy Wizard,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,Making NREL data more accessible for researchers and accelerating research. ,Neither,
LANL AI Portal,LANL - Los Alamos National Lab (LAFO),Mission-Enabling (internal agency support) ,"Democratized access to open-source/open-weights Large Language Models (LLMs) for general purpose office productivity, research of AI models, software development, operational streamlining, code development
",Neither,
Deep Learning Malware Analysis for reusable cyber defenses,NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,Identified commonalities in malware,Neither,
Position Description Tool,IM-50 - Architecture Engineering Technology and Innovation (IM),Mission-Enabling (internal agency support) ,Currently requirements are still be collected for this use case. The end goal of this use case is to  streamline the creation of position descriptions used as a critical component for hiring federal employees. ,Neither,
ChatGPT Enterprise,LANL - Los Alamos National Lab (LAFO),Mission-Enabling (internal agency support) ,"General business productivity, research of AI models
",Neither,
Argo,ANL - Argonne National Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Enables anyone with the Argonne community to leverage text-based generative AI with their Argonne-specific information and data, including sensitive research or operational data up to and including CUI.",Neither,
AI Chat Bot for Facility Sustainability Practices,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),Mission-Enabling (internal agency support) ,"Interactive RAG chat bot model trained on facility recycling, composting and trashing guidelines to inform users how to handle niche cases for sustainably getting rid of unwanted items. This should reduce confusion when throwing items out and also increase the amount of properly recycled items at PPPL.",Neither,
AskGDR,NREL - National Renewable Energy Laboratory (EE),Mission-Enabling (internal agency support) ,"Making data more accessible and user-friendly for the public. 
",Neither,
Topic Modeling for Energy.gov ,PA HQ -  Office of Public Affairs (PA),Mission-Enabling (internal agency support) ,"Minimize time spent through manual effort of reading and tagging 100,000 Energy.gov webpages.",Neither,
In-Situ Monitoring of Additively Manufactured Parts,SRS - SRNL - Savannah River Site - Savannah River National Laboratory (EM),Science & Space,Identify print defects during the printing process.,Neither,
Boston Dynamics Spot Robotics,Y-12 - Consolidated Nuclear Security Y-12 (NPO),Mission-Enabling (internal agency support) ,Automation of the robots movements,Neither,
Elastic Stack Technology (ELK),Y-12 - Consolidated Nuclear Security Y-12 (NPO),Mission-Enabling (internal agency support) ,Enable intelligent media cataloging to assist with data discovery,Neither,
Raytheon Multimedia Monitoring System (M3S),Y-12 - Consolidated Nuclear Security Y-12 (NPO),Mission-Enabling (internal agency support) ,Enable off-cloud transcription of pre-recorded video media to improve data discoverability,Neither,
Cognitive Prescreen Tool (CPT),Y-12 - Consolidated Nuclear Security Y-12 (NPO),Mission-Enabling (internal agency support) ,"Serve as a recommender to Derivative Classifier to assist with document review to improve process accuracy and efficiency, in that order.",Neither,
Machine Learning for Linac Improved Performance,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,"Daily fluctuations in the Ion Source conditions as well af the effect of environmental changes to RF systems and cavities affect Linac beam. Results include increased beam loss resulting in increased beamline component irradiation, decreased beam intensity to downstream machines affecting Accelerator Complex deliverables, drifts in Linac beam energy directly affecting Booster losses. These drifts are not easily predictable since we do not have environmental control on the RF gallery, not enough instrumentaion in the Ion Source or Linac proper. To counter these effects, we are developing AI-based optimization and modeling, including Bayesian Optimization and surrogate model-based optimization, with the ultimate goal of (near) real-time RF compensation.",Neither,
Next-Generation Beam Cooling and Control with Optical Stochastic Cooling,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,This effort focuses on enhanced real-time control of the structure of circulating particle beams. The additional performance and capabilities provided may enable substantially greater operational flexibility and science reach at current and future DOE accelerator facilities.,Neither,
high level synthesis for machine learning (previously hls4ml),FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,hls4ml is used to implement specialized AI algorithms in embedded hardware.  This is valuable across a wide range of scientific applications for enabling real-time processing capabilitles.  This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,Neither,
Streamining intelligent detectors for sPHENIX/EIC,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,AI tools are developed for embedded inference in real-time processing systems for scientific experiments  such as sPHENIX and upcoming EIC. This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,Neither,
In-pixel AI for future tracking detectors,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,AI algorithms are implemented in on-detector electronics in order to reduce data size and enable processing at high rates.,Neither,
SONIC: AI acceleration as a service,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,SONIC is used to accelerate AI workloads on coprocessors in scientific experiments.  This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,Neither,
READS: Real-time Edge AI for Distributed Systems,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,"READS has two sub-projects. The first project created the means to stream live Main Injector and Recycler accelerator beam loss monitor data. This data is then fed to an AI model deployed on an FPGA so that it can infer, in realtime, the origin of beam loss, either Main Injector or Recycler, for each beam loss monitor in the tunnel enclosure. The second project aimed to improve upon traditional resonant beam extraction regulation techiniques using AI for use in the Fermilab Delivery Ring and Mu2e.",Neither,
Extreme data reduction for the edge,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,AI tools are developed for embedded inference in real-time processing systems for scientific experiments. This can accelerate sientific discovery and time to science thus enabling large cost savings and DOE scientific prestige.,Neither,
Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,FNAL - Fermi National Accelerator (SC43 OIM),Science & Space,"ML models are deployed for the FNAL's Linac.to detect, label andact upon faults.  The usage of ML will jimporve our fault labelingand detection.  This will allow for improved operatioal efficeincy, fault statistics, and preventitive maintenance. To my knowledge this is the first global accelerator operations ML system.",Neither,
Geo Threat Observable for structure cyber threat related to the energy sector,NE INL - NE Idaho National Laboratory (NE),Mission-Enabling (internal agency support) ,"Correlations, recommendations and predictions for improved cyber response.",Neither,
Soil Moisture Modeling,LM HQ - Office of Legacy Management (LM),Science & Space,Predicts soil moisture contents without adding more monitoring wells.,Neither,
