usecaseid,usecasename,flexibleselection13,shorttext14,flexselect16,shorttext161,flexibleselection39,richtext18,richtext19,flexselect110,flexibleselection1101,richtext1102,flexibleselection112,flexselect112,shorttext21,shorttext22,shorttext23,shorttext24,flexibleselection25,shorttext26,flexibleselection27,flexibleselection28,flexibleselection42,flexibleselection29,shorttext210,flexibleselection211,flexibleselection212,FlexibleSelection31,richtext441,richtext32,flexibleselection33,flexibleselection34,richtext13,flexibleselection35,flexibleselection36,publiccodelink361,flexibleselection41,systemname42,flexibleselection43,flexibleselection44,shorttext10,flexibleselection45,richtext5111,flexibleselection46,richtext512,flexibleselection47,flexibleselection48,flexibleselection51,rmflexibleselection52,rmflexibleselection53,rmrichtext54,rmflexibleselection55,rmflexibleselection56,rmflexibleselection57,,flexibleselection58,richtext451,flexibleselection59,richtext510,flexibleselection511,richtext461,flexibleselection512,richtextfallbackother,flexibleselection37,richtext14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110506,CESU project to detect of bird nests using deep learning to support annual colonial bird monitoring,Department of the Interior ,NPS,Mission-Enabling (internal agency support),,None of the Above,"This work is already being accomplished via a cooperative agreement with a university (Florida International University)

The National Park Service (NPS), has been monitoring colonial nesting birds monthly via low level aerial photography from a helicopter platform in Biscayne National Park since 2010. These photographs are processed to determine the number of active nests for specific focal species: Double-crested Cormorants, Great Egrets, Great White Herons, Great Blue Herons, White Ibises, and Roseate Spoonbills. NPS now has 13 years of data which is composed of 64,350 uniquely identified nests and 57,793 birds representing.

This monitoring is time consuming and needs to be accomplished consistently and accurately. Currently, the aerial photos are processed by individuals. Which takes substantial time and effort. We propose to explore the creation of automatic script that would allow the active nest to be identified using software. The goal of this project is to explore software programs and create automatic script that can identify potential bird nests on the photograph and to highlight this area on the photograph. By developing a robust object detection model, researchers can monitor bird colonies and their populations more efficiently, e.g. by consistently identifying nests with software which will allow the tracking of nesting patterns with less person effort needed to accomplish this task. It will also help to control observer detection variation over time.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,No,,,,,,,Yes,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110551,Image Generation and Audio Video Editing,Department of the Interior ,ONRR,Mission-Enabling,,Creating visual representations of data sets for reports and presentations using AI.,"To efficiently create and edit images, audio, and video.",see description ,No,,,Operation and Maintenance ,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110553,Use of AI for developing bioacoustic and remote camera imagery wildlife species classifiers for noni,Department of the Interior ,NPS,Mission-Enabling (internal agency support),,None of the Above,"University of Illinois created a model to predict rainfall on a watershed scale in Great Smoky Mountains National Park. They are now working with IBM to create a system that will use this model to provide forecasts of flooding events with a goal of a 24+ hour lead time. The developers are using AI to improve on the Quantitative Precipitation Forecast of the National Weather Service to thus improve on the accuracy of their tool. The NPS is cooperating as an end-user of the flood forecast tool, but not as a developer or direct user of the AI.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,No,,,,,,,Yes,,Data not reported by submitter and will be updated once additional information is collected,Data not reported by submitter and will be updated once additional information is collected,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,Less than 6 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110563,Machine Learning Model Optimization,Department of the Interior ,ONRR,Mission-Enabling,,None of the Above," Alteryx machine learning model optimization and fitting helps users select which model is optimal to fit to an underlying dataset. It also can help refine the model, recommending variable removal if autocorrelation issues are detected in the dataset.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter ,No,,,Implementation and Assessment,Neither,,,2023-04-13 00:00:00,,Developed in-house.,,No,,,No,,No,,Yes,,"Internal data, subscription sourced data, and publicly available data.",,,,No,No – agency does not have access to source code.,,,,Less than 6 months,Yes,,No,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110038,NPS Acquisition Management Workload Software,Department of the Interior ,NPS,Government Services (includes Benefits and Service Delivery),,Summarizing the key points of a lengthy report using AI.,Provide assistance for employees working on procurment packages by drafting documents and summarizing content. ,,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000110736,Caseguard Studio,Department of the Interior ,NPS,Mission-Enabling,,Creating visual representations of data sets for reports and presentations using AI.," Our office uses CaseGuard Studio to streamline and enhance the accuracy of video and audio redactions for law enforcement and public records. This tool addresses the challenge of protecting sensitive information while ensuring compliance with privacy laws and FOIA requirements, improving efficiency and reducing manual workload.",,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000105957,Azure based Internal Controls Testing App for Award Descriptions,Department of the Interior ,OS - Office of the Secretary of the Interior,Mission-Enabling,,Summarizing the key points of a lengthy report using AI.,PGM will work with Microsoft to develop an application that will live the the secure Azure environment and allow bureaus to conduct their own testing of project descriptions as a learning tool. The application will be locked to the same prompts for review of project descriptions but will allow bureau financial assistance policy personnel to run their own tests to compare to FY 2023 results and look for improvements.,see description ,No,,,Acquisition and/or Development,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000106077,Internal Controls Testing - SAM.gov certifications,Department of the Interior ,OS - Office of the Secretary of the Interior,Mission-Enabling,,None of the Above,"  Federal financial assistance regulation and DOI PGM policy requires awarding officers check SAM.gov, a Federal public website, to ensure that the entity funds are to be award to is eligible to receive Federal funds and that the POCs on the awards are not debarred. The use case involves using a large language AI model to assess and score SAM.gov pdf documents against the date the award was made.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter ,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,No,,,,Yes,,PDF documents,,,,Yes,"Yes – agency has access to source code, but it is not public.",,,,,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000106196,Potential Applications of AI Models to UAS Post-fire Mapping Data Analysis and Image Processing,Department of the Interior ,OS - Office of the Secretary of the Interior,Mission-Enabling,,None of the Above," Evaluating AI Models for UAS Post-Fire Mapping Analysis Focusing on the Following Issues...
Post-Fire Damage Assessment:  Efficiently allocate resources for future rehabilitation efforts.
Vegetation Recovery Prediction:  Assess burn severity to estimate ecosystem regeneration speed.
Soil Erosion Risk Mapping:  Identify vulnerable areas and guide erosion control measures.
Habitat Restoration Planning:  Prioritize areas for reforestation, invasive species removal, and soil stabilization.
Water Quality Monitoring:  Predict sediment runoff, nutrient levels, and contaminants for future water management.
Structural Evolution Analysis and Prediction:  Analyze fire spread and growth to aid risk assessment and response planning.
Environmental Impact Assessment: Aid in planning rehabilitation efforts and assessing ecosystem resilience.
Risk Communication and Public Awareness: Inform communities about rehabilitation efforts and safety precautions.
Ongoing Post-Fire Rehabilitation Treatment Effects:  Assist BAER teams in assessing burned landscapes and monitoring ecological effects.
Cross-Disciplinary Integration:  Bridge communication gaps between experts in various fields for wildfire risk assessment.
Literature Reanalysis:  Assist researchers in developing insights, identifying gaps, and informing future research.
Assessing Damage and Recovery:  Identify fire-damaged objects (e.g., infrastructure, trees) to prioritize rehabilitation.
Monitoring Ecosystem Recovery:  Identify plant species, soil erosion patterns, and ecological indicators for restoration planning.
Identifying Hazards and Safety Risks:  Identify post-fire hazards (e.g., unstable terrain, debris) to ensure safety during rehabilitation.
Identifying Cultural and Archeological Objects: Identify relevant objects (e.g., artifacts, disturbances) for avoidance during rehabilitation.
Customized Rehabilitation Plans:  Detect specific objects (e.g., utility poles, contaminated soil) for tailored rehabilitation plans.",see description ,No,,,Initiated,Neither,,,,,,,No,,,No,,No,No,Yes,,   UAS-derived ,,,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000111250,Proposal for the I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency in E,Department of the Interior ,OS - Office of the Secretary of the Interior,Government Services (includes Benefits and Service Delivery),,Creating visually appealing presentations using AI-driven design suggestions.,"I-NEPA aims to streamline and enhance environmental reviews, foster improved public engagement, and facilitate advanced searching, tracking, and reporting of both past and present NEPA actions throughout the Department of the Interior. I-NEPA will leverage the Retrieval Augmented Generation (RAG) process, combining NEPA and policy documents and user input into a large language model (LLM) prompt to get tailored output for each project.",see description ,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000106351,Public Comment Analysis Tool (PCAT): Leveraging Artificial Intelligence (AI) for Enhanced Efficiency,Department of the Interior ,OS - Office of the Secretary of the Interior,Government Services (includes Benefits and Service Delivery),,Summarizing the key points of a lengthy report using AI.,"Federal agencies struggle with efficiently processing and analyzing public comments, particularly for NEPA actions involving controversial topics with millions of responses. Manual processing is labor-intensive and introduces delays and inconsistencies. PCAT seeks to address these challenges by automating the analysis process steps only to improve accuracy and efficiency.",Streamline environmental reviews and permitting by utilizing AI and ML for efficient and accurate analysis of public comments.,No,,,Implementation and Assessment,Neither,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI-62,Pilot: Using Machine Learning to Harvest Data for Standardized Species Conservation,Department of the Interior ,FWS,Science & Space,,None of the Above,"The U.S. Fish and Wildlife Service is in the process of reimagining and creating a new database to hold, depict, and disseminate information about the species we manage. This effort will greatly expand and standardize the data related to species and their conservation. We have worked with contractors to develop a preliminary tool that explores the possibiliy of using machine learning and large language modelling to harvest species information related to their biological and physical needs into standardized pick-lists. This includes a way to then vet the harvested data. As part of this we are evaluating the infrastructure needed to containerize tool like this in our environment.","we aim to integrate  summmarized data, using some sort of tailored AI and framework or API, into our species workflows in ECOSPhere as it relates to species information.  

fill in worflows for reporting and analytics",No,,,Initiated,Neither,2024-02-14 00:00:00,,,,Developed in-house.,,No,,,No,,No,No,Yes,,Literature provided by field offices related to species information. Evalutaed with sample data taken from published literature in USFWS library Zotero.,,,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,6-12 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI-63,Summarization of documents and output to ECOSphere species workflow,Department of the Interior ,FWS,Science & Space,,None of the Above,"The U.S. Fish and Wildlife Service has a substantial number of documents that we would like to take advantage of NLP or ML process in order to summarize their content.  Afterwards, we aim to integrate that summmarized data, using some sort of tailored AI and framework or API, into our species workflows in ECOSPhere as it relates to species information.  "," we aim to integrate  summmarized data, using some sort of tailored AI and framework or API, into our species workflows in ECOSPhere as it relates to species information.  

fill in worflows for reporting and analytics",No,,,Initiated,Neither,,,,,,,No,,,No,,No,No,Yes,,,,,,Yes,,,,,,,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI-64,Prediction of Suitable Habitat for ESA-listed Species,Department of the Interior ,FWS,Science & Space,,None of the Above,"The U.S. Fish and Wildlife Service currently uses species distribution models (i.e., machine learning algorithms) to predict potential habitat for ESA-listed threatened and endangered species.  These habitat predictions are vetted by USFWS field biologists and, in some cases, are used as ranges in IPaC to inform users of possible impacts on ESA-listed species.  Species distribution model outputs have also been used to identify suitable habitat on the landscape for potential reintroduction efforts or suitable areas for additional surveys, with the potential to locate new, previously undocumented populations.",fill in worflows for reporting and analytics,No,,,Implementation and Assessment,Neither,2019-04-01 00:00:00,2019-04-01 00:00:00,2019-04-01 00:00:00,,Developed in-house.,,No,,,Yes,,No,No,Yes,,Species occurrence data.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes, ECOSphere,Less than 6 months,Yes,,Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOI-65,Computer Vision Model to Rapidly Identify Habitat Change,Department of the Interior ,FWS,Science & Space,,None of the Above,"The U.S. Fish and Wildlife Service is planning to partner with the Chesapeake Conservancy, an NGO, to develop a computer vision model to monitor for early detection of habitat loss across the landscape, a significant threat to biodiversity, including threatened and endangered species.  By using a computer vision model one can rapidly identify and flag areas where habitat loss may be occurring due to natural or human-caused disturbances.  Early detection can facilitate rapid responses, when appropriate, or allow practitioners to accurately calculate habitat loss over time.  More accurate estimates of habitat loss allow for better management decisions and potentially shorter recovery times for threatened and endangered species."," By using a computer vision model one can rapidly identify and flag areas where habitat loss may be occurring due to natural or human-caused disturbances.  Early detection can facilitate rapid responses, when appropriate, or allow practitioners to accurately calculate habitat loss over time.  More accurate estimates of habitat loss allow for better management decisions and potentially shorter recovery times for threatened and endangered species.",No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,No,,No,No,Yes,,Species occurrence data.,,,,,,,,,6-12 months,Yes,,Yes,,Yes,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
