2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Evaluating Customer Feedback and Sentiments with AI,Department of State,STATE,CA/CST,Other; Mission-Enabling (internal agency support),Consular Affairs,N/A,To leverage Natural Language Processing (NLP) and secure Large Language Models (LLM) on unstructured text data to identify actionable insights to drive customer improvement initiatives. ,"Sentiment analysis, categorization, and summarization of unstructured text data.",Initiated,Neither,7/1/2024,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Translation of Consular Content using AI,Department of State,STATE,CA/CST,Other,Consular Affairs,N/A,"To leverage AI translation models to increase CA's capacity to provide consular content in our websites to customers in their preferred language while ensuring accuracy and understanding, and reducing the resources typically needed at post.",Translated text,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travel.State.Gov (TSG) Enhanced Search and Chatbot  ,Department of State,STATE,CA/CST,Other,Consular Affairs,N/A,A new chatbot and enhanced search on the TSG website processing existing FAQs and resources. The chatbot provides predefined responses. ,Improved outcomes.,Acquisition and/or Development,Neither,2/1/2024,2/1/2024,N/A,N/A,Developed with both contracting and in-house resources.,,,N/A,N/A,N/A,N/A,N/A,N/A,,,Data is posted on the site at www.travel.state.gov,The data is public facing and documented in www.travel.state.gov.,,,N/A,N/A,N/A,,,,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CodeGen - AI-assisted IT Application Development,Department of State,STATE,CA/CST,Other; Mission-Enabling (internal agency support),Consular Affairs,None of the above.,"CodeGen is an application designed for seamless integration with Large Language Models (LLMs) that aims to enhance the process that developers follow to build, test, and deploy software. Through use of API, it provides a secure suite of capabilities that fast-tracks developers during code generation, translation, analysis, optimization, and debugging.",Improved outcomes.,Acquisition and/or Development,Neither,6/9/2023,8/22/2023,N/A,N/A,Developed with both contracting and in-house resources.,,,N/A,N/A,N/A,N/A,N/A,N/A,,,Application source code and documentation.,Application source code and documentation. ,,,N/A,N/A,N/A,,,,Yes,,,,,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Violence Against Civilians Model,Department of State,STATE,CSO,Other,Conflict Early Warning,N/A,"A machine learning model that uses open-source political, social, and economic datasets to forecast mass civilian killings for the upcoming quarter and year for each country globally in order to inform conflict prevention. ",Forecasted quarterly and yearly estimates of indicators. ,Implementation and Assessment,Neither,1/23/2023,1/23/2023,1/23/2023,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,No,,,,Documentation is complete,None,,No,,,,,,Yes,,Other,,Other,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Automated Damage Assessments,Department of State,STATE,CSO,Diplomacy & Trade,N/A,N/A,The Conflict Observatory cooperative agreement used AI and machine learning on moderate and high-resolution commercial satellite imagery to create automated damage assessments. This project is retired.,N/A This was retired.,Retired,Neither,5/17/2022,5/17/2022,11/15/2022,8/31/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Automated Burning Detection ,Department of State,STATE,CSO,Diplomacy & Trade,N/A,N/A,Daily scans of moderate resolution commercial satellite imagery to identify anomalies using the near-infrared band. This project is retired.,N/A This was retired.,Retired,Neither,1/31/2021,1/31/2021,2/1/2022,7/31/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Senturion Alpha,Department of State,STATE,CSO,Other,Conflict Early Warning and Negotations,Searching for information using AI.,A stakeholder/influence-driven model that identifies where key decision makers fall on an issue spectrum and who influences whom.  The simulation analyzes the political dynamics within contexts and estimates how the policy positions of competing interests will evolve over time.,A simulation.,Implementation and Assessment,Neither,,,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mass Mobilization Model,Department of State,STATE,CSO,Other,Conflict Early Warning,N/A,"A machine learning forecasting model that uses open-source political, social, and economic datasets to predict mass mobilizations (protests and riots) for each country globally. ",Forecasted yearly estimates.,Implementation and Assessment,Neither,1/1/2023,1/1/2024,1/1/2024,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,No,,,,Documentation is complete,None,,No,,,,,,Yes,,Other,,Other,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Apptio,Department of State,STATE,DT,Mission-Enabling (internal agency support),N/A,None of the above.,Working Capital Fund (IRM/WCF) used Apptio to bill bureaus for consolidated services run from the WCF. Cost models were built in Apptio so bureaus can budget for the service costs in future Fiscal Years (FYs). Apptio had the capability to extrapolate future values using several available formulas. This project is retired.,N/A,Initiated,Neither,3/1/2023,N/A,N/A,9/29/2024,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT Data Analytics and Assessment (DAA) AI Use Case ITCP data harvest,Department of State,STATE,DT,Other,"Enterprise Services Directorate (ES). The Data Analytics Unit (DAU) within Diplomatic Technologies Enterprise Services provides stakeholders across the Agency with access to data, empowering them to make informed decisions. Enhancing our AI/ML capabilities within core data platforms would significan",None of the above.,To allow DT DAA team to parse unstructured text from key DT documents to build structured data indicating compliance to DT data governance and DT FAM related policies.,Plan to have structured data.,Planned,Neither,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ServiceNow AI-Powered Virtual Agent (Chatbot),Department of State,STATE,DT/BMP/ITA/SSM,Mission-Enabling (internal agency support),N/A,Searching for information using AI.,DT (formerly IRM) BMP Systems planned to incorporate ServiceNow's Virtual Agent into existing applications to connect users with support and data requests. The Artificial Intelligence (AI) was provided by ServiceNow as part of their Platform as a Service (PaaS). This project is retired.,N/A This was retired.,Retired,Neither,7/1/2023,10/1/2022,9/30/2023,6/29/2024,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POA&M Orchestration,Department of State,STATE,DT/DCIO/CO/A&A,Mission-Enabling (internal agency support),N/A,Identifying unusual patterns in system logs from a single incident report using AI.,This planned AI Use Case involves the orchestration of automatically opening and closing of Plan of Action and Milestones (POA&Ms) based upon log and vulnerability data specific to each Federal Information Security Modernization Act (FISMA) system.,N/A,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NLP for Foreign Assistance Appropriations Analysis,Department of State,STATE,F,Mission-Enabling (internal agency support),N/A,Summarizing the key points of a lengthy report using AI.,Natural Language Processing (NLP) application for F/RA to streamline the extraction of earmarks and directives from the annual appropriations bill. Before NLP this was an entirely manual process.,Extracted data.,Acquisition and/or Development,Neither,,,,,Developed with both contracting and in-house resources.,,No,No,N/A,N/A,N/A,N/A,N/A,,,,,None,,N/A,N/A,N/A,,,,No,Not required,N/A,,,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ForeignAssistance.gov Processing for Mismatched Data,Department of State,STATE,F,Other,Foreign Assistance financial data,N/A,Created a custom Natural Language Processing (NLP) model to recommend information for tagging and identify mismatched data. ,Potential mismatches and suggested tags.,Acquisition and/or Development,Neither,6/1/2023,7/24/2023,7/6/2023,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,N/A,N/A,N/A,N/A,,,Foreign Assistance Obligations and Disbursements.,Yes,None,,N/A,N/A,N/A,N/A,,,No,Not required,N/A,,,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creating Persistent Virtual Reality Personas for dynamic training,Department of State,STATE,FSI/EX,Education & Workforce,N/A,N/A,"The EdTech Innovation Lab team plans to develop a dynamic integration between multiple AI tools to create stored/persistent ""personas"" that can be interacted with during training-related virtual reality (VR) exercises.",Plan to have persistent personas.,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FSI Enterprise Operations - Gaming and Simulations,Department of State,STATE,FSI/EX,Education & Workforce,N/A,N/A,"In FY 2024, the bureau began a pilot program to better accommodate the need for experiential learning through gaming and simulations.  Simulations can involve complicated scenarios in several different target languages. ",Plan to have simulations.,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FSI Continuous Learning Solutions,Department of State,STATE,FSI/EX,Education & Workforce,N/A,N/A,"FSI plans to sustain our AI action plan approved by the Front Office to promote content generation, analytical tasks, and increased overall efficiency and productivity around content development.",Improved outcomes.,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Enhancing Training Effectiveness in FSILearn Using AI,Department of State,STATE,FSI/EX/EDS,Education & Workforce,N/A,N/A,"Plan to use AI on the Cornerstone Learning Management System to enhance employee learning experiences by analyzing key data related to learning behaviors, such as course completions, quiz scores, and engagement levels. The AI uses this information to tailor learning paths.",Plan to have tailored learning paths.,Planned,Neither,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J Reports Data Collection & Management Tool (DCT),Department of State,STATE,J,Diplomacy & Trade; Mission-Enabling (internal agency support),N/A,N/A,"The DCT is an AI-driven research assistant designed to increase the quality and maintain the integrity of select Congressional reports while reducing the labor hours it takes to generate them. The tool automates the summarization, translation, and categorization of user-submitted content into a searchable database, replacing the manual tracking and organizing of research.  Users can upload materials throughout the year and easily retrieve content during drafting season. ","The DCT provides AI-generated summaries and translations of user-submitted research.  It also suggests categories to organize the research according to instructions. The DCT uses optical character recognition (OCR) to digitize images and documents (e.g., PDFs).",Implementation and Assessment,Neither,4/1/2023,6/20/2023,11/29/2023,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,No,,,"DCT Evaluation Data: An internal research dataset of user-submitted articles, reviewed and labeled by subject matter experts to facilitate model evaluation.",Documentation is widely available,None,,Yes,,,Data.State-SBU,Data.State-SBU,,Yes,,Yes,,Yes,,,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TIP Report Research Translation,Department of State,STATE,J/TIP,Mission-Enabling (internal agency support),N/A,None of the above.,"The TIP Report Translation AI system provides informal, unofficial translations for materials related to the annual Trafficking in Persons report.  This capability saves staff time and allows researchers and drafters to focus on critical report needs, such as identifying and resolving data gaps. ","Informal, unofficial translations of PDFs and Microsoft word documents. Each document includes a watermark denoting that the AI translation is unofficial. Each document must be verified, reviewed, and edited by a human.",Operation and Maintenance,Neither,4/1/2023,6/20/2023,9/1/2023,N/A,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FOIA 360 AI Matching Tool,Department of State,STATE,M/SS/CFA,Other,Government Transparency,N/A,This system aims to make the Department of State's FOIA process better by spotting similar requests and documents to cut down on duplication. It also helps find patterns in both current and new requests to speed up response times for the public.,Improved outcomes.,Implementation and Assessment,Neither,3/2/2023,6/5/2023,4/1/2024,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,No,N/A,No,No,,N/A,FOIA request text from FOIA Express and documents captured from the Department's Virtual FOIA Reading Room are used for training and testing,Documentation is complete,None,N/A,Yes,"Yes – agency has access to source code, but it is not public.",N/A,Yes,ElasticSearch,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
StateChat,Department of State,STATE,M/SS/CFA,Mission-Enabling (internal agency support),N/A,N/A,StateChat is the Department's enterprise Generative AI-powered chatbot.,"StateChat is a chatbot, its outputs are textual in a chat interface.",Implementation and Assessment,Neither,1/1/2024,2/1/2024,3/1/2024,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,No,N/A,Yes,Yes,Yes,N/A,The model is not trained or fine-tuned with agency data; it is provided various types of agency data as context.  ,Documentation is widely available,None,N/A,Yes,,N/A,Yes,StateChat,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crisis Campaign Cable Analytics,Department of State,STATE,M/SS/CFA,Mission-Enabling (internal agency support),N/A,N/A,Used optical character recognition and Natural Language Processing (NLP) on Department cables in order to evaluate gaps and trends in crisis training and bolster post preparedness for crisis events.  This project is retired.,N/A This was retired.,Retired,Neither,1/16/2023,4/3/2023,5/15/2023,5/31/2023,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NLP to pull key information from unstructured text,Department of State,STATE,PM,Mission-Enabling (internal agency support),N/A,N/A,Natural language processing (NLP) to pull key information from unstructured text.  Use NLP to extract information such as country names and agreement dates from dozens of pages of unstructured PDF document.,Dataset with key information from unstructured data.,Implementation and Assessment,Neither,4/1/2022,4/15/2022,9/30/2022,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,No,,,,Documentation is complete,None,,,,,N/A,,Less than 6 months,,,,,Other,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
