slug,agency,bureau,ai_use_case,commercial_product,commercial_examples,band,candidates
ftc-prioritizing-and-categorizing-incoming-emails-using-ai,FTC,,Prioritizing and categorizing incoming emails using AI.,CoPilot,,1001-5000,Upstream Tech HydroForecast
ftc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FTC,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",CoPilot,,1001-5000,
ftc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FTC,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,iPhones,,1001-5000,
ftc-using-ai-assisted-tools-in-word-processors,FTC,,Using AI-assisted tools in word processors.,CoPilot,,1001-5000,Upstream Tech HydroForecast
gsa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,GSA,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face recognition for GFE phones,,"10,000-50,000",
ncua-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NCUA,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,
ncua-editing-images-videos-or-other-public-affairs-materials-using-ai,NCUA,,"Editing images, videos, or other public affairs materials using AI.",Various,,1-100,
ncua-generating-code-using-ai,NCUA,,Generating code using AI.,Various,,1-100,USDA Recreation One Stop AI; Bates White Economic Consulting AI; Invariant Acoustic Signature AI; Google Chrome Generative AI; OpenAI Codex CLI
ncua-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NCUA,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,
ncua-improving-the-quality-of-written-communications-using-ai-tools,NCUA,,Improving the quality of written communications using AI tools.,Various,,1-100,
ncua-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NCUA,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Various,,1-100,
ncua-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NCUA,,Managing and prioritizing internal service or help desk tickets using AI.,Various,,1-100,
ncua-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NCUA,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,1-100,
ncua-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NCUA,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Various,,1-100,
ncua-searching-for-agency-information-using-a-knowledge-retrieval-system,NCUA,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,Aretec SEARCH; EPA Agency Records Management System; ARC Travel Intelligence
ncua-summarizing-the-key-points-of-a-lengthy-report-using-ai,NCUA,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,
ncua-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NCUA,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,
ncua-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NCUA,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,
ncua-using-ai-assisted-tools-in-word-processors,NCUA,,Using AI-assisted tools in word processors.,Various,,1-100,NIAID OSPIDA Scientific Coding Assistance Tool; Everlaw AI Assistant
nea-planning-travel-routes-using-ai-driven-map-applications,NEA,,Planning travel routes using AI-driven map applications.,Googel Maps,,1-100,
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,,Curating news articles and updates based on user preferences using AI.,Law360 (Lexis Nexis),,1-100,LexisNexis
nlrb-searching-for-agency-information-using-a-knowledge-retrieval-system,NLRB,,Searching for agency information using a knowledge retrieval system.,CoPilot,,1-100,Aretec SEARCH; EPA Agency Records Management System
nlrb-using-ai-assisted-tools-in-word-processors,NLRB,,Using AI-assisted tools in word processors.,CoPilot,,1-100,Upstream Tech HydroForecast
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Viva Insights,,1-100,Microsoft Viva
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,,Prioritizing and categorizing incoming emails using AI.,,,101-1000,Upstream Tech HydroForecast
pbgc-planning-travel-routes-using-ai-driven-map-applications,PBGC,,Planning travel routes using AI-driven map applications.,Native map applications on mobile devices,,101-1000,
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,,Curating news articles and updates based on user preferences using AI.,,,101-1000,
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,,Creating visual representations of data sets for reports or presentations using AI.,N/A,,101-1000,
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,,Curating news articles and updates based on user preferences using AI.,N/A,,1001-5000,
treasury-editing-images-videos-or-other-public-affairs-materials-using-ai,Treasury,,"Editing images, videos, or other public affairs materials using AI.",N/A,,1-100,
treasury-generating-code-using-ai,Treasury,,Generating code using AI.,N/A,,1001-5000,USDA Recreation One Stop AI; Gemini; SRNS AI Drafting Assistant; Google Chrome Generative AI; OpenAI Codex CLI
treasury-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,Treasury,,"Generating first drafts of documents, briefing, or communication materials using AI.",N/A,,"5001-10,000",
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,,Improving the quality of written communications using AI tools.,N/A,,"5001-10,000",
treasury-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,Treasury,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N/A,,1-100,
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,,Planning travel routes using AI-driven map applications.,N/A,,"50,000+",NIH Travel Policy AI Chatbot
treasury-prioritizing-and-categorizing-incoming-emails-using-ai,Treasury,,Prioritizing and categorizing incoming emails using AI.,N/A,,101-1000,Upstream Tech HydroForecast
treasury-scheduling-and-managing-social-media-posts-using-ai,Treasury,,Scheduling and managing social media posts using AI.,N/A,,1-100,
treasury-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,Treasury,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N/A,,101-1000,
treasury-searching-for-agency-information-using-a-knowledge-retrieval-system,Treasury,,Searching for agency information using a knowledge retrieval system.,N/A,,1001-5000,Aretec SEARCH; EPA Agency Records Management System
treasury-summarizing-the-key-points-of-a-lengthy-report-using-ai,Treasury,,Summarizing the key points of a lengthy report using AI.,N/A,,"5001-10,000",
treasury-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,Treasury,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N/A,,"10,000-50,000",
treasury-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Treasury,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N/A,,"10,000-50,000",
treasury-using-ai-assisted-tools-in-word-processors,Treasury,,Using AI-assisted tools in word processors.,N/A,,101-1000,NIAID OSPIDA Scientific Coding Assistance Tool
udall-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Udall,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple,,1-100,
