parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DOE,doe-em,Office of Environmental Management,EM,sub_agency,11,Limited/Pilot,GitHub Copilot (Hanford Accreditation Boundary),Hanford developers; deployed,high,db_row_8022,Hanford GitHub Copilot — vendor named
DOE,doe-llnl,Lawrence Livermore National Laboratory,LLNL,sub_agency,9,None reported,—,—,medium,—,LLNL named_tools include ChatGPT/Azure OpenAI/Amazon Q/Claude — generic LLMs. Q is listed but no coding-specific Q Developer deployment is tagged. Generic-LLM rule excludes.
DOE,doe-nr,Naval Reactors,NR,sub_agency,8,None reported,—,—,low,—,Only M365/ServiceNow generic tools.
DOE,doe-ee,Office of Energy Efficiency and Renewable Energy,EE,sub_agency,8,None reported,—,—,low,—,No coding-tool entries.
DOE,doe-slac,SLAC National Accelerator Laboratory,SLAC,sub_agency,7,Limited/Pilot,GitHub Copilot,SLAC developers; pilot stage,high,db_row_8033,Vendor explicitly GitHub/Microsoft; pilot stage. Round-1 confirmed.
DOE,doe-nrel,National Renewable Energy Laboratory,NREL,sub_agency,7,None reported,—,—,low,—,No coding-tool entries despite OpenAI API in named_tools.
DOE,doe-anl,Argonne National Laboratory,ANL,sub_agency,5,None reported,—,—,low,—,No coding-tool entries.
DOE,doe-lm,Office of Legacy Management,LM,sub_agency,5,Limited/Pilot,Gemini (LMGSS scripting),LM HQ; deployed for scripting,medium,db_row_8127,Gemini used specifically for scripting — narrative confirms coding-specific primary use. Borderline (generic LLM) but qualifies under the explicit-coding-purpose carveout.
DOE,doe-nnsa,National Nuclear Security Administration,NNSA,sub_agency,5,None reported,—,—,low,—,Only ArcGIS AI (GIS classifier) — not a coding tool. NNSA's KCNSC Tabnine deployment is filed under KCNSC which isn't in the 96-list — recommend follow-up.
DOI,doi-usgs,U.S. Geological Survey,USGS,sub_agency,187,Limited/Pilot,ChatGPT (code optimization for earthquake/ground-motion code),Single USGS science project; pilot,medium,db_row_8241,Generic-LLM rule applies cautiously — narrative explicitly cites code optimization as primary purpose for this row. One project only despite 187 use cases.
DOI,doi-fws,U.S. Fish and Wildlife Service,FWS,sub_agency,11,None reported,—,—,low,—,No coding-tool entries.
DOI,doi-bor,Bureau of Reclamation,BOR,sub_agency,8,None reported,—,—,low,—,No coding-tool entries.
DOI,doi-blm,Bureau of Land Management,BLM,sub_agency,7,None reported,—,—,low,—,No coding-tool entries.
DOI,doi-onrr,Office of Natural Resources Revenue,ONRR,sub_agency,6,None reported,—,—,low,—,No coding-tool entries.
DOI,doi-bsee,Bureau of Safety and Environmental Enforcement,BSEE,sub_agency,6,None reported,—,—,low,—,No coding-tool entries.
DOJ,doj-fbi,Federal Bureau of Investigation,FBI,sub_agency,50,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,FBI has no own coding-tool entries; DOJ filed 'Code Development' as Department-wide. Inherited rating dropped to low confidence per charter rule 1.
DOJ,doj-dea,Drug Enforcement Administration,DEA,sub_agency,43,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,Same as FBI — no own entries. OpenAI API named tool is generic.
DOJ,doj-atf,"Bureau of Alcohol, Tobacco, Firearms and Explosives",ATF,sub_agency,34,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No ATF-specific coding entries.
DOJ,doj-fbop,Federal Bureau of Prisons,FBOP,sub_agency,32,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No own entries; WellSaid/Photoshop are not coding tools.
DOJ,doj-usms,U.S. Marshals Service,USMS,sub_agency,19,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No own entries.
DOJ,doj-civ,Civil Division,CIV,office,17,Limited/Pilot,AI-assisted Legacy Code Modernization (unspecified vendor),Civil Division attorneys/IT; pre-deployment,medium,db_row_8742,Independent code-modernization workstream beyond DOJ-wide GitHub Copilot.
DOJ,doj-jmd,Justice Management Division,JMD,office,17,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,JMD is the DOJ-wide IT sponsor — actually the sponsor of the Department-wide row; reasonable to keep as Inherited rather than Enterprise since this is rollup-level.
DOJ,doj-tax,Tax Division,TAX,office,14,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No own entries; AWS Transcribe is not coding.
DOJ,doj-jmd-ocdetf,Organized Crime Drug Enforcement Task Forces,OCDETF,office,10,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No own entries.
DOJ,doj-atr,Antitrust Division,ATR,office,10,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,Databricks/Azure OpenAI/OpenAI API are analytics + generic LLM — not coding tools.
DOJ,doj-ojp,Office of Justice Programs,OJP,sub_agency,6,Inherited,—,Covered by DOJ department-wide GitHub Copilot per inventory,low,db_row_8713,No own entries.
DOL,dol-bls,Bureau of Labor Statistics,BLS,sub_agency,13,None reported,—,—,medium,—,All 'code' entries in BLS are SOC/expenditure/SOII autocoders — explicitly excluded by charter.
DOL,dol-eta,Employment and Training Administration,ETA,sub_agency,6,None reported,—,—,low,—,No coding-tool entries.
DOL,dol-osha,Occupational Safety and Health Administration,OSHA,sub_agency,5,None reported,—,—,low,—,No coding-tool entries.
DOT,dot-faa,Federal Aviation Administration,FAA,sub_agency,42,None reported,—,—,medium,—,Surprising absence given FAA IT modernization workload. SDRS JASC code-picker is an autocoder (excluded). No GitHub Copilot or commercial coding tool surfaced.
DOT,dot-caio,Office of the Chief Artificial Intelligence Officer,CAIO,office,15,None reported,—,15 subtree use cases,medium,foundation:dot-caio; deterministic_rule_post_unmapped_integration,no coding-tagged use cases
ED,ed-fsa,Federal Student Aid,FSA,sub_agency,9,Limited/Pilot,Generative AI - Code Generation (OpenAI + Google Distributed Cloud),FSA program office; deployed for Python/R/VBA/DAX/Excel,medium,db_row_8889,One of 11 ED program offices filing the same code-generation template. ED parent is Enterprise/Broad; FSA is a program-office instance.
EPA,epa-ofa,Office of the Administrator,OFA,office,10,None reported,—,10 subtree use cases,medium,foundation:epa-ofa; deterministic_rule_post_unmapped_integration,no coding-tagged use cases
FDIC,fdic-drr,Division of Resolutions and Receiverships,DRR,office,11,Inherited,—,Covered by FDIC consolidated-template GitHub Copilot + Appian (101–1000 users),low,db_consolidated_470,DRR has no own coding-tool narratives. FDIC consolidated entry suggests agency-wide footprint reaches DRR.
FHFA,fhfa-ocio,Office of the Chief Information Officer,OCIO,office,10,None reported,—,—,low,—,No coding-tool entries; ServiceNow Now Assist named tool is non-coding.
FRB,frb-s-r,Division of Supervision and Regulation,S&R,office,21,None reported,—,—,low,—,No coding-tool entries.
FTC,ftc-bcp,Bureau of Consumer Protection,BCP,sub_agency,12,None reported,—,—,low,—,Leidos Sentinel Network is a service contract — round-1 excluded as not a coding assistant.
HHS,hhs-nih,National Institutes of Health,NIH,sub_agency,124,Limited/Pilot,Notebooks Hub (OpenAI)|NIDAP/Foundry Writing-code-using-AI|Coding translation,Multiple NIH ICs; mix of deployed and pre-deployment,high,"db_row_9561,db_row_9563,db_row_9580",NIH has 3 distinct coding-specific use cases — not enterprise but real and broad. Maturity tier 'leading'.
HHS,hhs-cdc,Centers for Disease Control and Prevention,CDC,sub_agency,103,Limited/Pilot,CSB MCP AI (infrastructure code generation),CDC infra admins; pre-deployment,medium,db_row_9307,One pre-deployment infra-code generation tool. Despite 103 use cases and 'leading' maturity tier
HHS,hhs-cms,Centers for Medicare and Medicaid Services,CMS,sub_agency,75,Limited/Pilot,GitHub Copilot (WETG POC)|ServiceNow Now Assist text-to-code|CEDAR AI Workspace,CMS multi-office (OC/CCSQ/OIT); deployed + POC,high,"db_row_9333,db_row_9339,db_row_9355",Three coding-specific deployments across three CMS offices. GitHub Copilot still POC-level (not enterprise).
HHS,hhs-fda,Food and Drug Administration,FDA,sub_agency,65,Limited/Pilot,AI-Generated Data Processing and Visualization Code Development,FDA OCS office; pre-deployment,medium,db_row_9450,FDA has one pre-deployment code-generation use case for Excel/PowerBI/dashboard code. No commercial coding assistant surfaced.
HHS,hhs-fda-cder,Center for Drug Evaluation and Research,CDER,office,40,None reported,—,—,medium,—,CDER has 40 use cases but zero coding-specific. Surprising given size.
HHS,hhs-acf,Administration for Children and Families,ACF,sub_agency,27,None reported,—,—,low,—,No coding-tool entries.
HHS,hhs-cms-cciio,Center for Consumer Information and Insurance Oversight,CCIIO,office,20,None reported,—,—,low,—,No coding-tool entries.
HHS,hhs-cms-oit,Office of Information Technology (CMS),OIT,office,19,Limited/Pilot,CEDAR AI Workspace (Skyward Solutions),CMS IT developers; deployed,medium,db_row_9333,CEDAR is a custom code-assist deployed by Skyward — narrow CMS audience.
HHS,hhs-hrsa,Health Resources and Services Administration,HRSA,sub_agency,18,Limited/Pilot,Code Conversion for PowerBI Migration (unspecified vendor),HRSA IT; pre-deployment,medium,db_row_9472,Single PowerBI code-conversion use case.
HHS,hhs-cms-oc,Office of Communications (CMS),OC,office,12,Limited/Pilot,GitHub Copilot (WETG POC),CMS OC web team; POC,high,db_row_9355,The single GitHub Copilot POC inside CMS is owned by OC.
HHS,hhs-ahrq,Agency for Healthcare Research and Quality,AHRQ,sub_agency,8,Limited/Pilot,Pingwind AI DevOps,AHRQ CFACT; pre-deployment,medium,db_row_9206,Pingwind AI DevOps is the only AHRQ coding-specific entry.
NASA,nasa-gsfc,Goddard Space Flight Center,GSFC,sub_agency,227,Limited/Pilot,Goddard Code Assistant (Custom LLM planned)|IV&V Static Code AI plugin,GSFC center-level pilots; pre-deployment,high,"db_row_10021,db_row_10047",Two pre-deployment center-built coding tools. GSFC has 227 use cases and 'leading' maturity but no commercial coding assistant.
NASA,nasa-msfc,Marshall Space Flight Center,MSFC,sub_agency,44,None reported,—,—,low,—,No coding-tool entries.
NASA,nasa-jpl,Jet Propulsion Laboratory,JPL,sub_agency,43,None reported,—,—,low,—,No coding-tool entries — surprising given JPL's flight-software profile.
NASA,nasa-larc,Langley Research Center,LaRC,sub_agency,38,None reported,—,—,low,—,No coding-tool entries.
NASA,nasa-arc,Ames Research Center,ARC,sub_agency,34,None reported,—,—,low,—,Only ChatGPT generic-LLM access.
NASA,nasa-jsc,Johnson Space Center,JSC,sub_agency,13,None reported,—,—,low,—,No coding-tool entries; Azure OpenAI/Gemini are generic.
NASA,nasa-grc,Glenn Research Center,GRC,sub_agency,7,None reported,—,—,low,—,No coding-tool entries.
SBA,sba-ocio,Office of the Chief Information Officer (SBA),OCIO,office,17,Enterprise/Broad,Amazon Q Developer|GitHub Copilot|AWS Bedrock multi-agent,SBA OCIO developer population; pre-deployment side-by-side pilots,high,"db_row_10140,db_row_10141,db_row_10146",SBA OCIO is running Q Developer + GitHub Copilot in parallel plus a Bedrock multi-agent system for ColdFusion/COBOL refactoring. The richest coding-tool stack at office level.
SEC,sec-oit,Office of Information Technology (SEC),OIT,office,12,None reported,—,—,medium,—,SEC's Semantic Layer NL Query is analyst-facing (round-1 excluded). No developer coding assistant.
SEC,sec-exams,Division of Examinations,EXAMS,office,12,None reported,—,—,low,—,No coding-tool entries.
SEC,sec-ocdo,Office of the Chief Data Officer (SEC),OCDO,office,11,None reported,—,—,low,—,Westlaw AI is legal research; no coding.
SSA,ssa-ocio,Office of the Chief Information Officer (SSA),OCIO,office,20,Enterprise/Broad,Windsurf|AveriSource Platform|IBM watsonx Code Assistant + Broadcom Code for Z,SSA OCIO developers + mainframe modernization,high,"db_row_10228,db_row_10231",SSA's whole coding posture is concentrated in OCIO — the only Windsurf in the dataset plus AveriSource for code modernization plus IBM/Broadcom mainframe code-assist.
State,state-ca,Bureau of Consular Affairs,CA,sub_agency,13,None reported,—,—,medium,db_row_10251,CodeGen was retired per round-1. Counts as no active coding tool.
State,state-dt,Bureau of Diplomatic Technology,DT,office,12,Limited/Pilot,Databricks Code Assistant,State MGT/DT; pre-deployment,medium,db_row_10283,Per round-1 by_agency.md State has Databricks Code Assistant in MGT/DT pre-deployment.
State,state-fsi,Foreign Service Institute,FSI,sub_agency,6,None reported,—,—,low,—,No coding-tool entries.
TVA,tva-it,Information Technology (TVA),IT,office,19,Limited/Pilot,GitHub Copilot|Amazon Q,TVA IT developers,medium,db_row_10330,TVA IT is the locus of TVA's GitHub Copilot deployment.
TVA,tva-po,Power Operations,PO,office,14,None reported,—,14 subtree use cases,medium,foundation:tva-po; deterministic_rule_post_unmapped_integration,no coding-tagged use cases
Treasury,treasury-irs,Internal Revenue Service,IRS,sub_agency,61,Limited/Pilot,Modular Code Assistant|AI-Augmented Software Modernization|Modernization Accelerator (retired),IRS developers + modernization teams; deployed + pilot,high,"db_row_10444,db_row_10449,db_row_10472",IRS has the largest Treasury coding footprint with 3 distinct workstreams. Vendors mostly unspecified ('N/A').
Treasury,treasury-occ,Office of the Comptroller of the Currency,OCC,sub_agency,26,Limited/Pilot,Software Code Generation (unspecified vendor),OCC bureau; pilot,medium,db_row_10373,Single OCC coding pilot; vendor unnamed.
Treasury,treasury-bfs,Bureau of the Fiscal Service,BFS,sub_agency,23,Limited/Pilot,LLM Chatbot for code POC|FRB AI Code Translation POC,BFS; multiple POCs,medium,"db_row_10395,db_row_10399",Two BFS code-specific pilots.
Treasury,treasury-ofr,Office of Financial Research,OFR,sub_agency,7,None reported,—,—,low,—,No coding-tool entries.
Treasury,treasury-bep,Bureau of Engraving and Printing,BEP,sub_agency,5,None reported,—,—,low,—,No coding-tool entries.
USDA,usda-nre,Natural Resources and Environment,NRE,sub_agency,76,None reported,—,—,medium,—,Despite 76 use cases — NRE is dominated by ESRI ArcGIS AI (GIS classifier) — not coding.
USDA,usda-ree,"Research, Education, and Economics",REE,sub_agency,22,None reported,—,—,low,—,No coding-tool entries.
USDA,usda-fpac,Farm Production and Conservation,FPAC,sub_agency,20,None reported,—,—,low,—,No coding-tool entries.
USDA,usda-mrp,Marketing and Regulatory Programs,MRP,sub_agency,16,None reported,—,—,low,—,No coding-tool entries.
USDA,usda-foodsafety,Food Safety,FoodSafety,sub_agency,13,None reported,—,—,low,—,No coding-tool entries.
VA,va-vha,Veterans Health Administration,VHA,sub_agency,253,Inherited,—,Covered by VA OIT-wide GitHub Copilot deal (~7000 OIT staff),medium,"db_row_10742,db_row_10743",VHA has 253 use cases but zero own coding-tool entries. The VA OIT GitHub Copilot rollout is the relevant signal; VHA inherits per charter rule 1.
VA,va-oit,Office of Information & Technology (VA),OIT,office,57,Enterprise/Broad,GitHub Copilot|Ansible Lightspeed|VetsEZ Middleware Development,VA OIT — ~7000 OIT staff,high,"db_row_10742,db_row_10743",va-oit IS the enterprise locus: VA's department-wide GitHub Copilot deal + Ansible Lightspeed + VetsEZ middleware all sit here. Round-1 confirmed VA's enterprise rating originates here.
VA,va-vba,Veterans Benefits Administration,VBA,sub_agency,27,Inherited,—,Covered by VA OIT-wide GitHub Copilot deal,low,db_row_10742,VBA has no own coding-tool entries but VA's OIT-wide GitHub Copilot deal is described as broadly available.
