"use_case_id","entry_kind","agency","use_case_name","current_product_id","current_product_name","vendor_name","system_name","problem_statement","expected_benefits","system_outputs","training_data_description","regex_hint","proposed_action","proposed_product_id","proposed_product_name","confidence","evidence_quote","notes"
"129049","use_case","DOE","Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Automate","19801","Microsoft","Microsoft","R&D User","Automate workflows and processes within Microsoft Power Apps and Power Automate.","By leveraging AI for automation, PNNL can automate routine tasks such as data entry, reporting, and workflow management, freeing up researchers and staff to focus on higher-value activities.","Enhances productivity, reduces human error, and leads to more efficient management of research projects and resources.","No","","relink","19393","Microsoft Power Platform","high","Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Autom",""
"129054","use_case","DOE","Microsoft Copilot for Security","19801","Microsoft","Microsoft","R&D User","Strengthen cybersecurity with AI-driven threat detection, response, and vulnerability management.","Proactively identify, mitigate, and respond to threats. Copilot assists in real-time monitoring, threat detection, incident response automation, and vulnerability management.","The intended outputs of using Microsoft Copilot for Security at PNNL include real-time threat detection, automated incident response, enhanced data protection, compliance reports, security insights, reduced cyber risk, and sustained operational continuity","No","copilot","relink","19033","Microsoft Copilot for Security","high","Microsoft Copilot for Security",""
"129056","use_case","DOE","Lex Natural Language Interface","19801","Microsoft","Microsoft","NREL Stratus System, NREL Azure System","Find insights in a database with a LLM summarizing the results","Create an efficient and user-friendly system that enables users to query project data, such as funding, AUs (allocation units), project focus, and fiscal years, with natural language prompts.","The system executes a query against a postgres database and displays an LLM-generated textual summary of returned query records.  The system also displays the LLM generated queries.","Structured data from a PostgreSQL database containing information about HPC (High-Performance Computing) projects.","azure","relink","19181","Microsoft Azure Platform","high","NREL Stratus System, NREL Azure System",""
"129057","use_case","DOE","Copilot Studio","19801","Microsoft","Microsoft","Cloud Enclave","Enhancing day to day processes.","1) Enhancing employee productivity and efficiency.","Customization                                                                  Low-Code Development                                                   GPT-Based Capabilities                                   Analytics                                                        Entities and Variables","None","gpt","relink","19034","Microsoft Copilot Studio","high","Copilot Studio",""
"129062","use_case","DOE","Copilot for Microsoft 365","19801","Microsoft","Microsoft","Cloud Enclave","Enhancing day to day processes.","1) Enhancing employee productivity and efficiency.","Smart documentation Creation                                   Efficient Meeting Management                                     Data Insights and Analysis                                          Security and Compliance","Microsoft 365 data","365","relink","19031","Microsoft 365 Copilot","high","Copilot for Microsoft 365",""
"129069","use_case","DOE","Hanford Search","19801","Microsoft","","Microsoft Azure OpenAI","","The purpose of the Hanford  Search is to provide similar functionality to our Hanford Search application without needing multiple applications. The benefits of the AI are that there is a single interface with multiple uses and the AI can provide better, more relevant search results.  Additionally, users can ask questions in natural language instead of needing to input specific search criteria.","The system outputs text respones from user prompts requesting information on grounded data related to Hanford Search Index","Our Data does not train the models.","azure;openai","relink","19038","Azure OpenAI","high","Microsoft Azure OpenAI",""
"129071","use_case","DOE","Hanford Popfon Search","19801","Microsoft","","Microsoft Azure OpenAI","","The purpose of the Hanford Popfon Search is to provide similar functionality to our employee look-up application without needing multiple applications. The benefits of the AI are that there is a single interface with multiple uses and the previous application, which is older in architecture, can be retired, providing a safer, more secure, and cost effective alternative. Additionally, users can ask questions in natural language instead of needing to input specific search criteria.","The system outputs text respones from user prompts requesting information on grounded data related to employee contact and organization information","Our Data does not train the models.","azure;openai","relink","19038","Azure OpenAI","high","Microsoft Azure OpenAI",""
"129081","use_case","DOE","Hanford  Service Ticket Lookup","19801","Microsoft","","Microsoft Azure OpenAI","","The purpose of the Hanford Service Ticket Lookup is to provide a single interface with for customers to ask questions and get to service tickets without having to navigate extensive menu's, tool bars, and search functions. Eventually, this will include service tickets from multiple platforms, providing the customer with a single interface to do all things service request related. Additionally, users can ask questions in natural language instead of needing to input specific search criteria.","The system outputs text respones from user prompts requesting information on grounded data related to Service Ticket Requests","Our Data does not train the models.","azure;openai","relink","19038","Azure OpenAI","high","Microsoft Azure OpenAI",""
"129084","use_case","DOE","Hanford Procedure Search","19801","Microsoft","","Microsoft Azure OpenAI","","The purpose of the Hanford  Search is to provide greater service in our customers search for relevant proceedures, which is a main look-up for many of our employees. The benefits of the AI are that there is a single interface with multiple uses and the AI can provide better, more relevant search results.  Additionally, users can ask questions in natural language instead of needing to input specific search criteria.","The system outputs text respones from user prompts requesting information on grounded data related to the Hanford Procedure System","Our Data does not train the models.","azure;openai","relink","19038","Azure OpenAI","high","Microsoft Azure OpenAI",""
"129103","use_case","DOE","Microsoft Bing Service","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19398","Microsoft Search in Bing","high","Microsoft Bing Service",""
"129105","use_case","DOE","Microsoft Azure Quantum Elements","19801","Microsoft","Microsoft Corporation","R&D User","Accelerate chemistry and materials discovery using AI, HPC, and quantum-ready tools.","Speeds discovery of new materials and chemicals for energy solutions.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","relink","19380","Microsoft Azure Quantum Elements","high","Microsoft Azure Quantum Elements",""
"129110","use_case","DOE","Microsoft Co-Pilot","19801","Microsoft","Microsoft","Hanford Accreditation Boundary (HAB)","Better analytics of data in our microsoft applications","Better analytics of data in our microsoft applications","text answers to input questions","Pre-trained from OpenAI and access to employees microsoft data sources","openai","relink","19038","Azure OpenAI","high","Pre-trained from OpenAI and access to employees microsoft data sources","Microsoft vendor + OpenAI → Azure OpenAI (federal/FedRAMP access pattern)"
"129111","use_case","DOE","Visual Studio Enterprise","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19469","Visual Studio Enterprise","high","Visual Studio Enterprise",""
"129117","use_case","DOE","Microsoft OneNote","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19390","Microsoft OneNote","high","Microsoft OneNote",""
"129126","use_case","DOE","AI Builder Document Scraping","19801","Microsoft","Microsoft","NR-NNL-CUI-ITN-PrimeNet_HA","Enhance and automate PDF scraping for large sets of PDF files.","Improved Microsoft PDF scraping model that allows the user to provide a training set for their PDFs.","Text and file output in Microsoft applications.","Microsoft AI Builder has a built in PDF scraping model and learns from a set of PDF files where the location of data exists within the layout of PDF.","","relink","19376","Microsoft AI Builder","high","AI Builder Document Scraping",""
"129127","use_case","DOE","Microsoft Azure Authoring Tools","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19377","Microsoft Azure Authoring Tools","high","Microsoft Azure Authoring Tools",""
"129136","use_case","DOE","Azure Document Intelligence","19801","Microsoft","","","Enhance and automate PDF scraping  for large sets of PDF files.","Improved Microsoft PDF scraping model that allows the user to provide a training set for their PDFs.","Text and file output in Microsoft applications or Azure Synapse Datalake","","azure","relink","19216","Azure AI Document Intelligence","high","Azure Document Intelligence",""
"129141","use_case","DOE","Microsoft ScreenSketch","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","delete_or_inferred","","","high","Visual C++/MSPaint/ScreenSketch is OS bundling, not an AI product","Bundled Windows component, not a distinct AI product"
"129142","use_case","DOE","Microsoft Visual C++ Additional Runtime","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","delete_or_inferred","","","high","Visual C++/MSPaint/ScreenSketch is OS bundling, not an AI product","Bundled Windows component, not a distinct AI product"
"129146","use_case","DOE","Microsoft Project","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19395","Microsoft Project","high","Microsoft Project",""
"129167","use_case","DOE","Microsoft Copilot","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19031","Microsoft 365 Copilot","medium","Microsoft Copilot","Ambiguous Copilot; defaulting to M365 Copilot"
"129172","use_case","DOE","GitHub Copilot","19801","Microsoft","Microsoft","GitHub Enterprise","Enhancement of developer productivity","Cost savings and efficiency","Recommendations for code","No SLAC Data is used to train the model. Only provided prompts for output","","relink","19035","GitHub Copilot","high","GitHub Copilot",""
"129178","use_case","DOE","SpyglassGPT Chat Assistant","19801","Microsoft","Microsoft","NR-NNL-CUI-ITN-PrimeNet_HA","Aid in routine administrative tasks","Increased efficiency for routine tasks","Varies based on user prompts; it is a general purpose chatbot using government instances of popular Open AI models.","OpenAI trained the models on a mix of publicly available, licensed, and open-source data, including text, code, images, and audio, with no proprietary or user data used without explicit permission. They were tested and aligned for safety and quality, using filtered and optimized subsets of data as appropriate for model size and capabilities.","openai","relink","19038","Azure OpenAI","high","neral purpose chatbot using government instances of popular Open AI models.","Microsoft vendor + OpenAI → Azure OpenAI (federal/FedRAMP access pattern)"
"129183","use_case","DOE","Microsoft Visual C++ Redistributable","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","delete_or_inferred","","","high","Visual C++/MSPaint/ScreenSketch is OS bundling, not an AI product","Bundled Windows component, not a distinct AI product"
"129186","use_case","DOE","Microsoft Teams","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19036","Microsoft Teams","high","Microsoft Teams",""
"129190","use_case","DOE","Microsoft Search in Bing","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19398","Microsoft Search in Bing","high","Microsoft Search in Bing",""
"129191","use_case","DOE","Microsoft Copilot (Pilot)","19801","Microsoft","Microsoft","Microsoft Copilot","Improve general office productivity","Content creation and drafting, data analysis and summerization, personalized learning and research","Content review recommendations, content summaries, how to instructions.","No agency content used for training.","copilot;office","relink","19031","Microsoft 365 Copilot","high","Microsoft Copilot","M365 Copilot inferred from productivity context"
"129194","use_case","DOE","Microsoft Teams Classic","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19036","Microsoft Teams","high","Microsoft Teams Classic",""
"129211","use_case","DOE","Microsoft MSPaint","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","delete_or_inferred","","","high","Visual C++/MSPaint/ScreenSketch is OS bundling, not an AI product","Bundled Windows component, not a distinct AI product"
"129220","use_case","DOE","Visual Studio Community","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19468","Visual Studio","high","Visual Studio Community",""
"129223","use_case","DOE","Microsoft OneDrive","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19389","Microsoft OneDrive","high","Microsoft OneDrive",""
"129234","use_case","DOE","Microsoft Discovery","19801","Microsoft","Microsoft","R&D User","Speed up transparent, governed R&D discovery with AI agents and graph knowledge engines.","Accelerates innovation with transparent, AI-driven R&D processes.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","relink","19384","Microsoft Discovery","high","Microsoft Discovery",""
"129239","use_case","DOE","Microsoft 365","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19373","Microsoft 365","high","Microsoft 365",""
"129256","use_case","DOE","Microsoft Visual C++ Minimum Runtime","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","delete_or_inferred","","","high","Visual C++/MSPaint/ScreenSketch is OS bundling, not an AI product","Bundled Windows component, not a distinct AI product"
"129258","use_case","DOE","Microsoft OneDrive MUI","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19389","Microsoft OneDrive","high","Microsoft OneDrive MUI",""
"129271","use_case","DOE","Microsoft AI Builder","19801","Microsoft","Microsoft","","Microsoft AI Builder solves the problem that most businesses want to use AI but lack the technical expertise and resources to build it themselves. It provides easy-to-use, pre-built AI tools that business users can implement without needing data scie","Microsoft AI Builder democratizes AI development by enabling business users to easily create custom AI models and automation solutions without extensive coding. It integrates with the Microsoft Power Platform to add AI capabilities like document processing and predictions directly into workflows, accelerating digital transformation through accessible, low-code AI solutions that enhance business processes and decision-making.","Microsoft AI Builder outputs structured business data and automated actions, including extracted information from documents, data predictions, and workflow automations that integrate directly into existing business processes and applications.","AI Builder models are trained on data that INL provides. This includes: Custom tables created by users; Imported datasets for prediction, form processing, object detection, and classification tasks; Data from Power Apps, Power Automate, and other Power Platform components. Training data remains within our Microsoft environment and tenant.","power platform","relink","19376","Microsoft AI Builder","high","Microsoft AI Builder",""
"129273","use_case","DOE","Microsoft 365 Apps for Enterprise","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19374","Microsoft 365 Apps for Enterprise","high","Microsoft 365 Apps for Enterprise",""
"129277","use_case","DOE","Microsoft Outlook MUI","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19391","Microsoft Outlook","high","Microsoft Outlook MUI",""
"129283","use_case","DOE","Microsoft Edge","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19386","Microsoft Edge","high","Microsoft Edge",""
"129296","use_case","DOE","SQL Server Management Studio","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19447","SQL Server Management Studio","high","SQL Server Management Studio",""
"129297","use_case","DOE","Microsoft Exchange Server","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19387","Microsoft Exchange Server","high","Microsoft Exchange Server",""
"129307","use_case","DOE","Microsoft Skype App","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19400","Microsoft Skype","high","Microsoft Skype App",""
"129320","use_case","DOE","CoPilot","19801","Microsoft","Microsoft","GSS","Communication suggestions","better communication","provides intelligent suggestions, and boosts productivity","NA","","relink","19031","Microsoft 365 Copilot","medium","CoPilot","Ambiguous Copilot; defaulting to M365 Copilot"
"129321","use_case","DOE","Microsoft OneNote MUI","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19390","Microsoft OneNote","high","Microsoft OneNote MUI",""
"129324","use_case","DOE","Microsoft Copilot Studio","19801","Microsoft","Microsoft","R&D User","Build enterprise conversational AI agents that securely connect to data and workflows.","Enables secure, scalable automation of enterprise workflows.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","No","","relink","19034","Microsoft Copilot Studio","high","Microsoft Copilot Studio",""
"129327","use_case","DOE","Microsoft PowerPoint MUI","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19394","Microsoft PowerPoint","high","Microsoft PowerPoint MUI",""
"129331","use_case","DOE","Microsoft Power BI Desktop","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19392","Microsoft Power BI","high","Microsoft Power BI Desktop",""
"129332","use_case","DOE","Microsoft Azure PowerShell","19801","Microsoft","Microsoft","GSS","N/A","AI was automatically integrated into the product without an identified benefit to the organization.","N/A","Proprietary/unknown data set used for model training.","","relink","19379","Microsoft Azure PowerShell","high","Microsoft Azure PowerShell",""
"129365","use_case","DOI","USGS Azure OpenAI ChatGPT [2024 INV#WO0000000154392]","19801","Microsoft","OpenAI, Microsoft","","Various groups within USGS need a generic ChatGPT API to call from IDEs and various applications.","Cost savings, USGS sought to implement its own pay-as-you-go model in the DOI Azure tenant.","TBD","none, we are using the generic GPT 4.0 model from OpenAI","azure;gpt;openai","relink","19038","Azure OpenAI","high","USGS Azure OpenAI ChatGPT [2024 INV#WO0000000154392]",""
"129567","use_case","DOI","Microsoft eDiscovery Attorney-Client Privilege Detection","19801","Microsoft","Microsoft","","Identifying information subject to a FOIA exemption.","Improving speed and accuracy in identifying information that may fall under a FOIA exemption. This tool has recently been activated and we are gathering data to see if it is useful in FOIA operations","The model provides an attorney-client privilege score and indicates if an attorney is a participant in the document.","Resident in Microsoft eDiscovery for all files.","","relink","19396","Microsoft Purview eDiscovery","high","Microsoft eDiscovery Attorney-Client Privilege Detection",""
"129584","use_case","DOI","Non-Generative AI use for Trust Information Analysis and Reporting Tool [2024 INV#WO0000000110516]","19801","Microsoft","Microsoft Azure","","When records are scanned, both front and back pages are captured, even though back pages are generally blank. For Department of Justice litigation or other records research and discovery, this doubles the page count, making manual review unnecessarily time-consuming and resource-intensive. Automating blank page detection with Non-Generative AI (e.g., Azure Computer Vision and Document Intelligence Read) helps streamline this process and reduce burden.","Staff no longer need to inspect and remove every blank page. Fewer pages to review means lower costs for records storage and contract/labor expenses. Enables BTFA to respond more quickly to DOJ litigation requests by streamlining document preparation.","The output provides the final documents with the blank pages removed.","Electronic Documents","azure","relink","19216","Azure AI Document Intelligence","high",", Azure Computer Vision and Document Intelligence Read) helps streamline this process and reduce burden.",""
