id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34640,DOL,OWCP,Automatic Document Processing,Automatic processing of continuation of benefits form to extract pre-defined selection boxes. AI tool will extract data from the forms.,AI tool will extract data from the forms for further processing,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),continued
34641,DOL,ETA,Automatic Data Processing Workflow with Form Recognizer,Automatic processing of current complex workflow to extract required data.,The output of the AI system is a consolidated data for review. The GPT will extract the data and into a spreadsheet and gets reconciled.,None of the above.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling (internal agency support),renamed
34642,DOL,OSHA,Case Recording summarization,Using an open source large language model to summarize publicly available case recording documents which are void of personal identifiable information (PII) or any other sensitive information. This is not hosted in the DOL technical environment and is reviewed by human note takers.,Summarized version of text,None of the above.,,Retired,Mission-Enabling (internal agency support),continued
34643,DOL,BLS,OEWS Occupation Autocoder,The input is state submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,6-digit Standard Occupational Classification (SOC) codes,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34644,DOL,BLS,Scanner Data Product Classification,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review. Benefits: real-time turnaround, productivity improvements, cost saves",Entry Level Item codes,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34645,DOL,BLS,Expenditure Classification Autocoder,"Purpose: assign a reported expense description from Consumer Expenditure Diary Survey respondents to expense classification categories known as item codes. Benefits: improve productivity, cost savings",BLS-internal item codes (expenditure classification categories),None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34646,DOL,OCIO,Generative AI Assistant,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.",The AI system provides recommendations.,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),renamed
34647,DOL,ETA,Occupation Code Suggestion For Job Duties Data,Suggest appropriate occupation code for job duties data using natural language processing  and classification techniques,Automated Occupation code suggestions,None of the above.,,Retired,Mission-Enabling (internal agency support),continued
34648,DOL,ETA,Notice of Deficiency (NOD) Text Generation using Generative AI model,Application of custom Generative AI model to create Notice of Deficiency (NOD) text based on the input data,Natural language text generation,None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34649,DOL,OSHA,PII Redaction,Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.,Input text returned with personal identifying information removed.,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34650,DOL,ODEP,Website Chatbot Assistant,The chatbot helps the end user with basic information about the Workforce Recruitment Program and information on who to contact.,Generate content from the WRP program,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34651,DOL,ETA,Initial Determinations for incoming applications,AI tool to help perform initial analysis of the incoming 9141 and 9089 applications. Make initial determinations regarding whether issuance of a Request for Information is necessary. Create a standard RFI request and either (1) automatically issue the RFI before case assignment and hopefully obtain customer responses by the time the case is assigned OR (2) perform this action at case assignment and allow the assignment analyst to affirm and issue the RFI or not.,Flag cases for RFI,None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34652,DOL,OSHA,AI Course Design Assistant,"AI tool to recommend the structure of a course, titles for modules, descriptions, and images. AI-powered algorithms analyze course content and quickly generate test questions and prompts for authentic assessments. (Blackboard/COTS Product, unmodified)","Generated text and images for Course outlines, descriptions, tests/assessments.",Improving the quality of written communications using AI tools.,,Operation and Maintenance,Education & Workforce,retired_2024
34653,DOL,CEO,Worker PLUS Microsimulation Program,"The Worker PLUS model was developed as an evolutionary iteration of the Paid Family and Medical Leave 
Simulator Model developed by Albelda and Clayton-Matthews (the ACM model)","The model simulates specific leave-taking behavior and outcomes (including number of leaves, leave lengths, benefit levels, and benefit eligibility) with individual workers in a state using data from the five-year American Community Survey (ACS) Public Use Microdata Sample (PUMS)",None of the above.,Developed with contracting resources.,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),continued
34654,DOL,BLS,Computer-Assisted Coding: SOII Autocoder,"The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include worker occupation, nature of the injury, part of body affected, event that resulted in the injury, source and secondary source (if it exists) that caused the injury. The use of SOII autocoder initially began in 2012 for review purposes, then gradually expanded to automatically assign these classification codes. In reference year (RY) 2022, 92% of all SOII elements were automatically coded, which were then subsequently validated by human staff.

The SOII Autocoder is a transformer-based text classification model using millions of SOII cases as the labeled training data and a publicly available, third-party language model as a pre-trained base model. The Autocoder is trained annually in house using a GPU server that is owned and maintained by OCWC. Once trained, the Autocoder is deployed internally via REST API, autocoding batches of SOII and MSHA cases on a routine basis during the production cycle, all within the BLS network.",SOC and OIICS codes,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34655,DOL,BLS,CFOI Record Matching,"The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) Information System (OIS) files, news articles, and Quarterly Census of Employment and Wages (QCEW), to identify missing or inconsistent data in CFOI.

The CFOI Record Matching programs use various aspects of AI in the areas of natural language processing and record matching. The CFOI-OIS matching uses random forest classifier model trained on previously matched CFOI-OIS data. The CFOI-QCEW matching uses TF-IDF vectors and cosine similarity to match establishment names in the CFOI-QCEW data. And the CFOI-CPDMS matching uses a publicly available, third-party question-answering language model to identify relevant CFOI elements from CPDMS data and then uses random forest classifier model to match CPDMS data to CFOI data. These processes are all conducted within the BLS network, and the outputs, in the form of spreadsheets, are provided once or twice a year to the staff in the CFOI program for review. These processes are all run within the BLS network.",Similarity score between records,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34656,DOL,OSHA,OIICS Coding,Auto-code assigning Occupational Injury and Illness Classification (OIICS),"Manual coding would be a time-consuming task, estimated to require around 65,500 labor hours for initial coding, plus additional time for error correction.",None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34657,DOL,OCIO,AI Assisted coding -Microsoft GitHub Copilot,"Automatically generate software code using Microsoft Copilot, this will reduce the time for generating code","Automatically generate software code using Microsoft Copilot, this will reduce the time for generating code",None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34658,DOL,BLS,CPS OTC Prediction,"The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, such as removing paid time off (PTO), adding off-the-clock (OTC) hours, and adding in hours worked by self-employed and unpaid family workers. BLS uses the Current Population Survey (CPS) dataset to identify the amount of hours that are worked off-the-clock (OTC) by workers. There are some workers in the CPS dataset that do not report whether their time off was paid, or whether they get paid hourly or not. This data needs to be imputed to calculate the ratio of total hours worked to paid hours worked. A random forest model is used to predict the responses for workers that did not report this information by training it on characteristics (such as industry, occupation, education level, age, etc.) of respondents that have reported that information. The benefit of this AI use case is increased accuracy.","worker's time off was paid, or whether they get paid hourly or not",None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34659,DOL,BLS,Sample Refinement: Frame API,"BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a significant time-lag between when the sample is drawn for a program and when data collection begins. A critical and time-consuming part of data collection is sample refinement: checking the latest Quarterly Census of Employment and Wages (QCEW) and LDB data to adjust for any changes to the sampled establishment during that time-lag. The QCEW/LDB Frame API allows fast retrieval of the latest QCEW/LDB data for a nationwide sample so that users can perform sample refinement more efficiently. The SOII program uses the Frame API to perform over 20 sample refinement comparison checks, which outputs a report for the data collectors.

The Frame API uses TF-IDF vectors and cosine similarity to compare company names, mailing addresses, and unit descriptions between the survey sample and the latest QCEW/LDB data to determine what components may have changed. The Frame API also has the flexibility for the users to match records using other combinations of variables. These processes are all run within the BLS network.",Similarity score between records,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34660,DOL,BLS,CE Interview Item Code Estimation,"Custom machine learning model to predict an expense classification category (item code) for expenditures with text descriptions from Consumer Expenditure Interview Survey. Item Code Estimation assists with human function by approximating decision-making. It does not assign categories; it only suggests categories that the economist can then apply if correct, to speed up human review and decision-making. Benefits: improved productivity.",Expense Classification Category,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34661,DOL,BLS,CE Interview Imputations,"Custom machine learning statistical models to impute missing expenditure values within the Consumer Expenditure Interview Survey when survey respondents answer ""don't know"" or refuse to provide an answer for an amount. The machine learning models are a more modern statistical method for replacing missing data than previous statistical methods. Benefits: improved statistical quality of imputations.",Imputed expense amounts,None of the above.,Developed in-house.,Operation and Maintenance,Mission-Enabling (internal agency support),continued
34662,DOL,OCIO,Note taking bot,The bot will take the transcript and summarize the meeting notes,The output will be a transcript of the meeting and from the transcript summary and action items,None of the above.,,Initiated,Mission-Enabling (internal agency support),continued
34663,DOL,OSHA,Determine Occupation Codes from Text (NIOCCS),"The Industry and Occupation Computerized Coding System (NIOCCS), a free tool offered by NIOSH, used to code industry and occupation from text descriptions of job titles. (Public Tool)",Occupational codes by analyzing job descriptions.,Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Acquisition and/or Development,Mission-Enabling (internal agency support),continued
34664,DOL,OCIO,Camtasia,Intended for enhancing screen recordings and video tutorials. Helps users created professional videos quickly.,Videos,Creating visually appealing presentations using AI-driven design suggestions.,,Acquisition and/or Development,Education & Workforce,retired_2024
34665,DOL,OCIO,Adobe Premier Pro,"Assists video editors by automating complex tasks such as scene detection, video reframing, and color grading.--- Adobe Premiere Pro incorporates several AI components through its integration with Adobe Sensei, Adobe's artificial intelligence and machine learning platform. These AI-driven features are designed to enhance the video editing process, improve efficiency, and provide creative tools that simplify complex tasks.",Intuitive videos,Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34666,DOL,OCIO,Audiate,"Audiate primarily uses AI for  Speech-to-text transcription, text-based audio and video editing, AI-generated scripts and audio, text-to-speech conversion, and multilingual translation.",Text transcriptions from voice recordings.,Transcribing and summarizing a recorded meeting or interview using AI.,,Acquisition and/or Development,Education & Workforce,retired_2024
34667,DOL,OCIO,SnagIT,"SnagIT provides tools for quickly capturing, editing, and sharing visual content. SnagIt's Optional Character Recognition streamlines the process for extracting and reusing text from images.","Screenshots and screen recordings.  SnagIt AI’s Grab Text
Image Generation
Automatic Captions
Automatic Titles",Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Acquisition and/or Development,Education & Workforce,retired_2024
34668,DOL,OCIO,Facebook Mobile App,"AI is not the primary technology of the use case and is not necessary for the use case, but rather a feature within the application that cannot be turned off. The application use case is for PR needs and external communication to the public coming from the Department.","MetaAI offer search and chatbot assistance with the Facebook application. Ask Meta AI to search topics that matter to you, and get instant results more interactive than just text.",Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34669,DOL,OCIO,Google Authenticator Mobile App,"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone",Large number generation for matching for secure login.,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34670,DOL,OCIO,Google Maps Mobile App,"Get there faster with real-time updates
• Beat traffic with real-time ETAs and traffic conditions
• Catch your bus, train, or ride-share with real-time transit info
• Save time with automatic rerouting based on live traffic, incidents, and road closure
• With Live View in Google Maps, see the way you need to go with arrows and directions placed right on top of your world. There’s no second guessing or missing another turn.","Recommendation systems, real-time traffic and route prediction",Planning travel routes using AI-driven map applications.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34671,DOL,OCIO,Instagram Mobile App,"Keep up with friends on the fly with Stories and Notes that disappear after 24 hours.
Start group chats and share unfiltered moments with your Close Friends.
Share memories from recent events or trips in Feed.
Turn your life into a movie and discover short, entertaining videos on Instagram with Reels.
Customize your posts with exclusive templates, music, stickers and filters.","NLP, Communications",Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34672,DOL,OCIO,Microsoft Authenticator Mobile App,"Use Microsoft Authenticator for easy, secure sign-ins for all your online accounts using multi-factor authentication, passwordless, or password autofill. You also have additional account management options for your Microsoft personal, work or school accounts.","Authentication, random large number generation",Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34673,DOL,OCIO,Periscope Mobile App,"Periscope the place to show what’s happening in your world, creating vibrant communities and making the app what it was. The Periscope mobile app will be discontinued on March 31, 2021, but live video will live on as an important part of the conversation on Twitter.","NLP, Communications",Curating news articles and updates based on user preferences using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34674,DOL,OCIO,X (formerly Twitter) Mobile App,"Post content for the world to see and join public conversations
Stay up to date on breaking news and follow your interests
Stay better informed with extra context from Community Notes
Go live with Spaces for audio or stream live video
Communicate privately with Direct Messages","NLP, Communications",Curating news articles and updates based on user preferences using AI.,,Acquisition and/or Development,Mission-Enabling (internal agency support),retired_2024
34675,DOL,OCIO,Dragon Naturally Speaking,"Nuance Dragon Naturally Speaking is a software used for diction purposes, you can write any document, email, and use it with any applications using your voice.",NLP: text to voice. Audio output from text input,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34676,DOL,OCIO,ZoomText and ZoomText Professional,ZoomText Magnifier/Reader is a fully integrated magnification and reading program tailored for low-vision users.,Text to speech,Improving the quality of written communications using AI tools.,,Operation and Maintenance,Education & Workforce,retired_2024
34677,DOL,OCIO,Visual Studio,"Visual Studio IDE is a creative launching pad that you can use to edit, debug, and build code, and then publish an app.","Content creation. Can vary depending on the specific tasks and goals of the user. Common outputs include executable applications, libraries, or web applications. --- There are multiple version of it. Visual Studio incorporates several AI components to enhance the development experience for programmers and software engineers. These AI features are primarily aimed at improving productivity, code quality, and collaboration.",Collaborating in real-time using AI-assisted tools in word processors.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34678,DOL,OCIO,ABBYY FineReader,"ABBYY FineReader is an optical character recognition (OCR) system. It is used to convert scanned documents, PDF documents, and image files, including digital photos, into editable formats.","The output of ABBYY FineReader is the extracted and recognized text from the input document. It converts the text into editable formats such as Word documents, Excel spreadsheets, searchable PDFs, or plain text files. Text generation, Image to text",Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34679,DOL,OCIO,Google Earth Pro,"Google Earth Pro is a free desktop tool with advanced GIS and mapping features. With this tool, users can create maps, import and export GIS data, and access historical images.","A 3D representation of the Earth's surface, with satellite imagery and aerial photography providing a detailed view of different locations worldwide. --- Create and collaborate on immersive, data-driven maps from anywhere, with the new Google Earth. See the world from above with high-resolution satellite imagery, explore 3D terrain and buildings in hundreds of cities, and dive in to streets and neighborhoods with Street View's 360° perspectives. Image Generation Content creation Graphic Design Automation",Planning travel routes using AI-driven map applications.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34680,DOL,OCIO,Adobe Creative Cloud and Adobe Product Suite,"After Effects - Create cinematic movie titles, intros, and transitions. Remove an object from a clip. Start a fire or make it rain. Animate a logo or character. With After Effects, the industry-standard motion graphics and visual effects software, you can take any idea and make it move.

- > Audition is a comprehensive toolset that includes multitrack, waveform, and spectral display for creating, mixing, editing, and restoring audio content. This powerful audio workstation is designed to accelerate video production workflows and audio finishing — and deliver a polished mix with pristine sound.

- > Bridge is a powerful creative asset manager that lets you preview, organize, edit, and publish multiple creative assets quickly and easily.

- > Captivate is an authoring tool that is used for creating eLearning content such as software demonstrations, software simulations, branched scenarios, and randomized quizzes in HTML5 format.

- > Character Animator uses your expressions and movements to animate characters in real time.

- > Dimension - Create engaging content in 3D faster, with high-quality models, materials, and lighting. Dimension makes it easy to build brand visualizations, illustrations, product mockups, packaging designs, and other creative work.

- >Dreamweaver - Adobe Dreamweaver is a proprietary web development tool from Adobe Inc.

- >  Fuse CC Beta is part of Creative Cloud and comes with Adobe CreativeSync, so your assets are always at your fingertips right when you need them. Save the characters you create in Fuse to your Creative Cloud Libraries and then access them directly within Photoshop to take them further.

- > Illustrator - Edit, composite, and create beautiful images, graphics, and art on desktop and iPad.

- > InCopy - lets copywriters and editors style text, track changes, and make simple layout modifications to a document.

- > InDesign - Design and publish elegant layouts for print and digital.

- > LightRoom - The cloud-based photo service

- > PhotoShop - Edit, composite, and create beautiful images, graphics, and art on desktop and iPad.

- > Premiere Pro is a video editing software for film, TV, the web, creative tools, and integration with other apps and services.

- > XD is a vector-based user experience design tool for web apps and mobile apps.","Various types of creative content such as graphics, videos, websites, and more. --- Adobe Creative Cloud leverages AI through Adobe Sensei to enhance various applications, making creative processes more efficient, accurate, and innovative.",Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34681,DOL,OCIO,Autodesk,Autodesk Civil 3D® design software empowers civil engineers to meet complex infrastructure challenges in a 3D model-based environment.,"Detailed 3D models and visual simulations for civil engineering projects. ---  Autodesk Civil 3D incorporates AI components and features that enhance civil engineering design and drafting processes. These features leverage machine learning and automation to improve productivity, accuracy, and efficiency in tasks related to land development, transportation, and infrastructure projects.",Creating visual representations of data sets for reports and presentations using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34682,DOL,OCIO,AI Course Design Assistant,"AI tool to recommend the structure of a course, titles for modules, descriptions, and images. AI-powered algorithms analyze course content and quickly generate test questions and prompts for authentic assessments. (Blackboard/COTS Product, unmodified)","Generated text and images for Course outlines, descriptions, tests/assessments.",Improving the quality of written communications using AI tools.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34683,DOL,OCIO,Webex Meeting Transcription,"Webex has an internal transcription feature that is used to transcribe webinars, though it is reviewed by someone before the transcript is posted.",Real-time transcriptions of spoken words during meetings.,Transcribing and summarizing a recorded meeting or interview using AI.,,Initiated,Mission-Enabling (internal agency support),retired_2024
34684,DOL,OCIO,Omni Page Ultimate 19,Convert physical documents or image-based text into editable digital text.,"Searchable and editable text from scanned or image-based documents. Object recognition OCR
Document Digitization
Text Recognition",Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34685,DOL,OCIO,Tableau Public 2023,"Allows users to share data visualizations, providing interactive insights.","Interactive visualizations such as charts, graphs, and dashboards that are easy to interpret and share. Data visualization
Data Classification
Predictive Analytics",Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34686,DOL,OCIO,Adobe Acrobat Professional Latest Version,Streamlines document workflows.,"Text-searchable PDFs, form-filled documents, and automatically structured files. Document management
PDF Text Recognition (OCR)
Document Layout Analysis",Improving the quality of written communications using AI tools.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34687,DOL,OCIO,Tableau Creator (Desktop and Prep),"Enable analysts to connect, prepare, and visualize data.","visual data dashboards, reports, and predictive models. Data Analysis
Predictive Analytics
Data Classification",Creating visual representations of data sets for reports and presentations using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34688,DOL,OCIO,Grammarly 14,"Improve writing by correcting grammar, punctuation, and style errors while suggesting tone adjustments. NLP
Grammar Correction
Tone Detection","Grammatically correct, well-structured, and contextually appropriate text.",Improving the quality of written communications using AI tools.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34689,DOL,OCIO,Adobe Creative Cloud with Acrobat Pro Latest Version,"Intended for enhancing creative workflows by automating repetitive tasks, improving accuracy of search functions, and enabling more advanced image manipulation and video editing. Object recognition
Image Generation
NLP","Images, Videos, Content",Creating visual representations of data sets for reports and presentations using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34690,DOL,OCIO,Microsoft Project Office 365,"Assists project managers in planning, scheduling, and managing resources. Project Scheduling
Task automation
Resource Allocation","Optimized project timelines, resource schedules, and predictive alerts.",Scheduling meetings or appointments or setting reminders using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34691,DOL,OCIO,Stata/MP 18,"Provides advanced statistical tools for data scientists and researchers to analyze large datasets and build predictive models. Statistical modeling
Data Analysis
Predictive Analytics","Statistical analysis reports, regression models, and predative insights based on large data sets.",Creating visual representations of data sets for reports and presentations using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34692,DOL,OCIO,Dragon Legal Individual (Speech Recognition),Helps legal professionals transcribe spoken language into text.,Outputs transcriptions of legal dictations and spoken languages.,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34693,DOL,OCIO,Speechify Text to Speech Voice Reader Chrome Extension 9,Converts written text into natural-sounding speech.,Synthesized speech from written text in various voices and languages.,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34694,DOL,OCIO,Adobe Creative Cloud / Adobe Express AI feature,Helps users create visual content quickly through AI-driven automation.,"Graphics, posters, and social media content. Image Generation
Content Creation
Graphic Design Automation",Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34695,DOL,OCIO,Westlaw Precision & CoCounsel,"Helps professionals find relevant case law, statutes, and legal precedents.","Legal documents, case analysis, and predictions for legal outcomes.",Searching for information using AI.,,Operation and Maintenance,Law & Justice,retired_2024
34696,DOL,OCIO,Kurzweil,"Kurzweil 1000 makes printed or electronic text accessible to people with blindness and visual impairments, speaking text aloud in a variety of natural-sounding voices that can be modified to individual preferences.",NLP: text to voice. Audio output from text input,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
34697,DOL,OCIO,Microsoft Office Suite,"Microsoft Office Suite is a collection of productivity software applications developed by Microsoft. It is widely used for various personal, educational, and business tasks","create slideshows combining text, images, and multimedia. creating, editing, and formatting text documents",Improving the quality of written communications using AI tools.,,Operation and Maintenance,Mission-Enabling (internal agency support),retired_2024
36126,ED,CAM,Generative AI Usage,"when prompted with written paragraphs, AI will provide summaries and outlines for projects and presentations",recommendation of text paragraphs,Searching for information using AI.,,Operation and Maintenance,Other,retired_2024
36127,ED,FSA,Generative AI Usage,"When prompted with written paragraphs, AI will provide code snippets in various languages",code snippets,Searching for information using AI.,,Operation and Maintenance,Other,retired_2024
36128,ED,FSA,Generative AI Usage,"When prompted with written paragraphs, AI suggests possible courses of actions for given scenarios",paragraphs outlining potential courses of action,Searching for information using AI.,,Operation and Maintenance,Other,retired_2024
36129,ED,FSA,Generative AI Usage,"When given publicly available documents or articles, AI provides key points, summaries, and action items",Text and Data summaries.,Searching for information using AI.,,Operation and Maintenance,Other,renamed
36130,ED,FSA,Generative AI Usage,"When provided with outlines or ideas, AI provides sample paragraphs that may assist in the writing process",recommendation of text paragraphs,Searching for information using AI.,,Operation and Maintenance,Other,retired_2024
36131,ED,GMPD,Generative AI Usage,"When prompted with written paragraphs, AI will create paragraphs and images to augment visual designs for web design and communication",written paragraphs and images,Creating visually appealing presentations using AI-driven design suggestions.,,Operation and Maintenance,Other,retired_2024
