id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
34711,EPA,Office of Enforcement and Compliance Assurance,Clean Water Act (CWA)Predictive Analytics,Identify high risk National Pollution Discharge Elimination System (NPDES) facilities that don't submit Discharge Monitoring Reports (DMRs),Risk scoring (Ranking from lowest to highest risk) for NPDES facilities that don't submit DMR's,None of the above.,,Initiated,Law & Justice,renamed
34722,GSA,GSA IT (IDT),Enterprise Brain,Enterprise Brain is a document repository by Tanjo (tanjo.ai) that leverages AI to improve document discovery.,N/A,None of the above.,Developed with contracting resources.,Retired,Other,retired_2024
34840,HHS,CMS,"Relationships, Events, Contacts, and Outreach Network (RECON)","RECON AI for Recommender System| Sentiment Analysis

It has the potential to analyze data faster.","This was “native” Salesforce AI capabilities, not anything custom – and that platform-level AI is not being used in RECON at this time.",None of the above.,,Retired,Mission-Enabling (internal agency support),retired_2024
34858,HHS,CMS,OAGM Rate Card,"The business process it will affect involves the analysis of historical price history/trends for labor categories in business proposals for the Office of Acquisition and Grants Management (OAGM).

It will help OAGM make better decisions on future contracts by providing them with a comprehensive and standardized view of historical price data for labor categories.","It will assist in normalizing labor categories, enabling the OAGM team to easily identify the most relevant labor category despite the variations in naming conventions found in business proposals.",None of the above.,Developed with contracting resources.,Implementation and Assessment,Mission-Enabling (internal agency support),retired_2024
35011,HUD,Ginnie Mae,Subledger Data Quality Machine Learning,"Ginnie Mae analyzes Master Sub-Servicer (MSS) transaction data on a monthly cadence. Through its use of machine learning models, Ginnie Mae has enhanced its ability to identify data inconsistencies and exceptions associated with its MSS transaction data. By automating the analysis of a significant number of MSS transactions, the machine learning algorithms enhance the efficiency and accuracy of key reporting processes.",The AI solution identifies data anomalies.,None of the above.,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling,continued
35019,NASA,Jet Propulsion Laboratory,ASPEN Mission Planner,"Based on AI techniques, ASPEN is a modular, reconfigurable application framework which is capable of supporting a wide variety of planning and scheduling applications. ASPEN provides a set of reusable software components that implement the elements commonly found in complex planning/scheduling systems, including: an expressive modeling language, a resource management system, a temporal reasoning system, and a graphical interface.  ASPEN has been used for many space missions including: Modified Antarctic Mapping Mission, Orbital Express, Earth Observing One, and ESA's Rosetta Orbitter.",Plan and schedule recommendations to optimize Science from Scientific Sensors,None of the above.,Developed with both contracting and in-house resources.,In mission,Statistical Methods,continued
35032,NASA,Jet Propulsion Laboratory,Purchase Card Management System (PCMS),Purchase card application uses ML model to suggest if a purchase may be a taggable asset or a chemical.,Metadata tagging recommendation,None of the above.,Developed with both contracting and in-house resources.,In production,NLP,continued
35036,NSF,OLPA,AI voice over,"Commercial-off-the-shelf (COTS) - The AI system was purchased pre-built from a third-party, Wellsaid has been used to generate placeholder voice over, which will be replaced later by real voice over, so it doesnt cause much AI policy concerns.",allowing the agency to skip design and development by federal or contract personnel.,Transcribing and summarizing a recorded meeting or interview using AI.,,Operation and Maintenance,Mission-Enabling,continued
35050,OPM,HRS/HRSES/Federal Classification Center,USA Class,"The purpose of this project is to build an application to help managers and HR specialists (classifiers) improve the quality and speed the development of position descriptions (PDs). Developing a PD can be a lengthy process that requires significant back-and-forth between managers and classifiers. The length of time required to develop a PD is often cited as a major pain point and bottleneck in federal hiring, workforce planning, organizational design, and performance management processes. To address the challenge today, managers will simply copy whole PDs or significant sections of PDs which weakens the accuracy of the new PD. Agencies have also turned to the use of “standard” PDs which tend to be too generic to be effective for use in recruitment and performance.

This project seeks to solve the “blank-page-syndrome” by suggesting draft major duties, factor evaluation statements, and other elements of the PD for managers and classifiers to use to develop PDs that meet classification standards.

This project is expected to significantly decrease the time required to develop PDs, leading to a decrease in time to hire and other related HR processes. A decrease in the time to hire means agencies can be more competitive in attracting top talent to their organizations, enhancing their ability to meet their missions. A decrease in the time required to develop position descriptions is also expected to lead to cost savings for agencies – freeing up manager and HR specialist time for other tasks. Additionally, the streamlined generation of PDs will enable agencies to move away from “standard” PD processes which will allow for better organizational design and workforce planning outcomes. The project is expected to also lead to higher-quality PDs that adhere to classification standards. This will improve position and performance management and talent acquisition in agencies, ensuring organizations are structured and staffed appropriately to meet their missions.","USA Class will provide draft PD content generated through large language models (LLMs) and informed by a PD library curated by OPM experts and user responses to prompt questions about the position’s purpose, regular and recurring work, and knowledge required. The questions are intended to be straightforward and easily answered by the manager in a few minutes. The application will then send this information in a prompt to the LLM and generates suggested major duty titles and work tasks. The user (manager or classifier) can edit the draft content suggested by the system and makes the decision whether to include it in the PD or not. Future iterations will include a certification by a classifier and others that they accept/approve the final content of the full PD.",,Developed with both contracting and in-house resources.,Acquisition and/or Development,Mission-Enabling,continued
35060,SSA,"Office of Analytics, Review, and Oversight",Continuing Disability Review Model,This AI use case identifies disability cases with the greatest likelihood of medical improvement and flag them for a continuing disability review to improve the accuracy of CDRs.,"The system outputs numerical scores for each disability case: the score represents the likelihood of medical improvements. The probabilities are binned according to low, medium, or high.",None of the above.,Developed in-house.,Operation and Maintenance,Government Services (includes Benefits and Service Delivery),continued
35099,STATE,F,ForeignAssistance.gov Processing for Mismatched Data,Created a custom Natural Language Processing (NLP) model to recommend information for tagging and identify mismatched data.,Potential mismatches and suggested tags.,N/A,Developed with both contracting and in-house resources.,Acquisition and/or Development,Other,continued
35141,TREAS,Internal Revenue Service,Advance Child Tax Credit (AdvCTC) Voicebot,"This project developed self-service application that answers common taxpayer questions about the Advance Child Care Tax Credit.
The Intent Engine (using NLP and AI algorithms) classifies taxpayers' utterances (questions) into intents (requests). The answers provided to the taxpayers are not created by Generative AI. The responses of the voicebot and business logic is predetermined by content owners. This AI tool aims to classify/navigate to a correct predetermined response.",The system generates predefined responses that address common taxpayer inquiries about Advance Child Care Tax Credit. It also provides routing to live agents during business hours if the taxpayer's issue cannot be resolved by the voicebot.,None of the above.,Developed with contracting resources.,Operation and Maintenance,Mission-Enabling,retired_2024
35159,TREAS,Internal Revenue Service,Redaction Studio - Redaction Assistant,"Redaction Studio is a Commercial Off The Shelf (COTS) application that allows Criminal Investigation (CI) Special Agents to efficiently and securely redact body worn camera footage. The application provides an ""AI masking"" feature called Redaction Assistant that will attempt to automatically identify and mask (i.e. redact) items like faces. The masks proposed by the feature can be reviewed, adjusted, or removed by the Special Agent using the application. IRS:CI is not training or tuning a model, we are just proposing that Agents be able to use an ""AI""/ML feature.

Efficient redaction of body worn camera footage is needed to comply with Executive Order 14047 which requires the expedited public release of body worn camera footage following incidents involving serious bodily injury or death.

Axon, the creator of Redaction Studio, describes the assistant like this:
""The Redaction Assistant is an advanced AI tool within Redaction Studio that significantly speeds up the redaction process. By scanning through footage, it finds and suggests areas that may need redaction, such as faces or personal information, saving time and enhancing accuracy. Redaction Assistant is an Axon Redaction studio add-on and might not be available in all agencies.""

Some details on using it can be reviewed here:
https://my.axon.com/s/article/Using-Redaction-Assistant?language=en_US","Axon, the creator of Redaction Studio describes the assistant like this:
""The Redaction Assistant is an advanced AI tool within Redaction Studio that significantly speeds up the redaction process. By scanning through footage, it finds and suggests areas that may need redaction, such as faces or personal information, saving time and enhancing accuracy.""",None of the above.,Developed with contracting resources.,Implementation and Assessment,Mission-Enabling,retired_2024
35299,USAID,USAID/Bureau for Humanitarian Assistance,"SMARTplus: digital system for fast, reliable malnutrition data tackling the health-crisis in Somalia","SMARTplus: digital system for fast, reliable malnutrition data tackling the health-crisis in Somalia, Action Against Hunger ACF (Canada): SMARTplus uses 3D scans to streamline nutrition and mortality data collection. It analyzes and verifies data, aggregating it for visualization on a public dashboard. This prevents delays and reliance on potentially false information. Funded through Humanitarian Grand Challenge","Reports, visualizations",None of the above.,Developed with contracting resources.,Implementation and Assessment,Health & Medical,retired_2024
35371,USDA,NRCS: Natural Resources Conservation Service,DS Hub Geo-metadata generation,"The purpose of this AI use case is to generate metadata for Natural Resources Conservation Service (NRCS) datasets, ensuring consistency, accessibility, and compliance through generative AI. Expected benefits include increased data accessibility, reduced manual workload, minimized errors, better dataset understanding, and fast data retrieval for stakeholders.","The model outputs accurate, consistent, and compliant metadata appropriate for the existing geospatial data that it analyzed.",None of the above.,,Initiated,Government Services (includes Benefits and Service Delivery),continued
35391,USDA,FS: Forest Service,BirdNET to detect bird vocalizations for research and species monitoring,"BirdNET quickly scans thousands of hours of forest audio recordings to detect bird calls from species that are important for forest monitoring, like spotted owls, black-backed woodpeckers, and willow flycatchers. This decreases the time and cost associated with manually listening to recordings to identify bird calls.","The model outputs text files of bird calls, which include the bird species and time that the call was recorded.",None of the above.,Developed in-house.,Operation and Maintenance,Science & Space,continued
35410,CFTC,DOD,Anomaly Detection for Data Quality,Anomaly detection model designed to identify potentially erroneous data loads in TCR data. Uses an isolation forest model with and automatically runs daily.,Model provides an anomaly score on the full day of data for a single exchange,None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Mission-Enabling,continued
35414,EAC,OCIO,Microsoft Copilot Integration,Efficiency and improved administrative tasks.,Text-based summaries and AI generated text.,Summarizing the key points of a lengthy report using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35478,FDIC,Legal Division,eDiscovery Organize & Search,"Electronically stored information and records have become so voluminous, it is impossible to review and search without automated assistance. 
The Legal Division's eDiscovery vendors use a commercial off the shelf (COTS) software to perform eDiscovery related tasks. 
The software deploys machine learning capabilities to receive, organize, search, and identify electronically stored information in large data sets.","The AI software identifies to the software user electronically stored information (such as documents, emails, text messages, etc. that have been uploaded into the software) likely to be relevant/responsive to user-entered searches. Human users remain responsible for verifying the AI's predictions of what documents are relevant/responsive to searches.",Searching for information using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35482,FERC,,Support Interconnection Request Responses Use Case,"The AI solution will be designed to address the growing backlog of project interconnection requests and reduce the average three-year wait time. By accelerating the processing of proposals, the AI will help FERC with cost savings and shorting the timelines of requests.",Request analysis of interconnection requests,None of the above.,,,Energy & the Environment,continued
35500,FHFA,OCIO,Mobile Worker Productivity using Apple iOS platform,"The Apple iOS platform provides multiple applications with Natural Language Processing (NLP) capability.  This is a predictive word  technology where the platfom makes an assumption in real time of the word that user is going to type, and allows for a single tap selection.",The Apple iOS platform provides multiple applications with Natural Language Processing (NLP) capability.  This is a predictive word technology where the platform makes an assumption in real time of the word that user is going to type and allows for a single tap selection.,Improving the quality of written communications using AI tools.,,Operation and Maintenance,Mission-Enabling,retired_2024
35507,FRB,Division of Information Technology,Incident Reporting Pattern Detection,Automatic detection of network-based security risks,Problem notifications to administrators,Identifying unusual patterns in system logs from a single incident report using AI.,,Implementation and Assessment,Mission-Enabling,retired_2024
35563,NARA,,Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents,"NARA plans to develop an AI-powered chat interface, similar to ChatGPT, that will allow users to easily explore its digital archives by asking questions in everyday language. This will make historical documents more accessible and engaging, leading to more efficient research and a deeper understanding of history.",This AI will create a chat interface that lets users easily get information from NARA's archives by having a conversation with it.,None of the above.,,Planned,Mission-Enabling,continued
35577,SEC,Division of Investment Management (IM),Forms Filed,Assists staff in evaluating completeness of filed information at scale by automating the identification of failures to file certain forms utilized by investment companies.,In planning phase - TBD,None of the above.,,Initiated,Other,continued
35596,SEC,Division of Examinations (EXAMS),Identification of Potentially Manipulative Trading Activity in Registrant Data,Identifies potentially manipulative trading activity for further review by an examination team.,The system identifies activity of interest.,Searching for information using AI.,Developed with both contracting and in-house resources.,Acquisition and/or Development,Other,continued
35606,USAGM,OCIO,Content Enhancement for Articles,"This project uses AI integrated with our content management system (CMS) and digital platforms to assist journalists in optimizing article quality. AI generates multiple versions of titles, automates the creation of SEO-friendly tags and text, and provides concise summaries for articles. These summaries enhance user engagement by increasing the time spent on pages, particularly when readers arrive via search engines or social media. Journalists can review and adjust AI suggestions to ensure alignment with their goals.",,None of the above.,,Initiated,Mission-Enabling,retired_2024
35812,VA,VHA: Veterans Health Administration,CT CoPilot,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161322.pdf).,None of the above.,Developed with contracting resources.,Operation and Maintenance,Health & Medical,continued
35855,TVA,Generation Projects & Fleet Strategy,GET,"Groundwater evaluation Tool - The GET Tool is designed to provide statistical analysis of groundwater monitoring data required under State regulatory programs and the federal Coal Combustion Residuals (CCR) rule. It uses state-of-the-art statistical and predictive methods to evaluate geochemical and geotechnical data under three phases of groundwater monitoring: Detection, Assessment, and Corrective Action. In “Detection”, background data is used to construct prediction limits for use in identifying statistically significant changes from background levels. In “Assessment” and “Corrective Action”, compliance data is used to compute confidence intervals and confidence bands to assess violations of groundwater protection standards (GWPS) to inform of corrective action needs.",Dashboard and reports of statistical analysis of groundwater data,Creating visual representations of data sets for reports and presentations using AI.,Developed in-house.,Operation and Maintenance,Energy & the Environment,continued
35877,TVA,Riverfleet Management Services,River Forecast,A multi-scale graph neural network-based autoregressive model. It is trained on historical weather data from ECMWF's ERA5 reanalysis archive. The tool generates predictions at 6-hour time steps for a set of surface and atmospheric variables.,Atomospheric variable predictions,None of the above.,,Initiated,Mission-Enabling,continued
35880,TVA,Network,Perimeter Defense,"Using a combination of ruleset definitions specifically designed to detect malicious activity and augmented by a proprietary machine learning algorithm, this tool protects web applications regardless of location. Models trained based on millions of sampled network traffic enables this tool to proactively detect and prevent malicious network activity from reaching and affecting web applications.","Metrics, Alerting, and optional preventative/proactive protections",None of the above.,,Acquisition and/or Development,Mission-Enabling,continued
35891,DOJ,ATF,Azure Data Factory,"Purpose: ATF recently enabled Azure Data Factory subscription in Azure, which included smart and intelligent features like anomaly detection, data quality analysis, completeness and predictive function on data pipeline. ATF does not use these features directly.  These features are embedded within other tools.

Expected benefits: The embedded data analytics and data quality capabilities will increase the efficiency and effectiveness with which ATF is able to locate and analyze our data, and the quality and reliability of the resulting data.",Data extraction transformation/load pipelines used to integrate data from disparate datasets,None of the above.,,Acquisition and/or Development,Other,continued
36013,DOJ,FBI,Audio and Video Recording Management Tool (Procurement ID: 15F06724F0002009),"Purpose: Tool facilitates audio and video recording within FBI custodial interview rooms, consistent with DOJ and FBI policy.

Expected benefits: Prevents loss of required audio and video data within FBI custodial interview rooms",Audio and video recordings,None of the above.,,Implementation and Assessment,Mission-Enabling (internal agency support),renamed
36130,ED,FSA,Generative AI Usage,"When provided with outlines or ideas, AI provides sample paragraphs that may assist in the writing process",recommendation of text paragraphs,Searching for information using AI.,,Operation and Maintenance,Other,retired_2024
36179,ED,FSA,AWS Bedrock- Amazon Bedrock in FSA EDMAPS Assessment for the Department Use,"AWS Bedrock enables organizations to build and scale applications powered by foundation models, supporting use cases such as text generation, summarization, conversational AI, personalization, and content creation, with seamless integration into existing AWS services and infrastructure.",Written text,Searching for information using AI.,,Implementation and Assessment,Other,renamed
36183,DOT,CAIO,Transportation AI-enabled Network (TrAIN),"The TrAIN is the set of shared service environments for operational AI use cases that provides AI developers with a pre-established, secure AI-enabled environments for development, testing and deployment under the Chief AI Officer's compliance and risk ma",The TrAIN shared service accelerates AI-enabled operational use case deployment at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making change,None of the Above,,Ideation,Department-Level AI Capabilities and Capacity,continued
36191,DOT,FAA AJO,Surface Safety Metric (SSM),Automated review of accident narratives..,"Classification of aircraft accidents as a
 - runway collision
 - taxiway collision
 - runway excursion
 - not a surface event",None of the Above,No contract/external resources used in development.,Operation and Maintenance,AI used in Transportation Operations,continued
36218,DOT,"CAIO, OST-R, OCIO",DOT AI Emerging Technology Team,"The AI Emerging Technology Team members are DOT OA and Secretarial Office leaders most knowledgeable in leading-edge AI technology, capacity, and capabilities.","Provides DOT with internal and external coordination and collaboration on establishing and maintaining leading-edge AI technology, capacity, and capabilities.",None of the Above,,Acquisition and/or Development,"Administration of AI Governance, Processes, and Procedures",continued
36219,DOT,NHTSA,FHWA Interim Generative AI (GenAI) Usage Guidance,Guidelines on usage of commercially available Generative Artificial Intelligence (GenAI) Tools and Services.,NHTSA guidelines (do's and don'ts) for using publicly available GenAI services while protecting security and privacy of DOT data.,None of the Above,,Research or  Administrative Action Complete,"Administration of AI Governance, Processes, and Procedures",renamed
36239,DOT,FAA AVS,Flight Standards Inspector Readiness Program (FSIRP),This use case will help automate current manual processes and reduce tasks.,,None of the Above,Developed with a combination of in-house and contract/external resources.,Initiated,AI used in Transportation Operations,continued
36260,NCUA,NCUA,Supervisory Stress Testing,Estimate loan default probability for Supervisory Stress Testing.,Analyzes credit union data to predict cash flows under economic stress scenarios,None of the Above,Developed in-house.,Operation and Maintenance,Mission-Enabling,continued
