id,agency_abbreviation,bureau,use_case_name,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,topic_area,lineage_status
35459,FDIC,Division of Finance,FDIC Staffing Model,"Monitor retention rate, retirement planning, and knowledge retention and succession. Reduced time to receive answers, allowing folks to focus on more critical mission-driven work.",A prediction on future staffing and recommendations on how to meet varied goal points,Creating visual representations of data sets for reports and presentations using AI.,,Initiated,Mission-Enabling,continued
35460,FDIC,Division of Finance,FDIC Financial Audit Report,"Monitor employee transactions ensure regulations and policies are being followed. Reduce time to receive answers, allowing folks to focus on more critical mission-driven work.",An identification of items that all outside policy and a recommendation on if a trend needs to be addressed,Summarizing the key points of a lengthy report using AI.,,Initiated,Mission-Enabling,continued
35461,FDIC,Division of Finance,Risk Identification and Response,Apply a risk model to identified risks and incorporate additional data sets to identify any correlations or possible solutions. Reduce risk to corporation by being able to more quickly and accurately analyze and report out on data.,A recommendation of any correlations among risk data and a report including possible solutions,Creating visual representations of data sets for reports and presentations using AI.,,Initiated,Mission-Enabling,continued
35462,FDIC,Division of Finance,FDIC Narrative Reports Generation,"Analyze quarterly narrative/table data points to generate a narrative report for internal use. Reduced time to receive answers, allowing folks to focus on more critical mission-driven work.",A report or table with a summary of data points for the quarter with visualizations,Summarizing the key points of a lengthy report using AI.,,Implementation and Assessment,Mission-Enabling,retired_2024
35463,FDIC,Division of Finance,FDIC Investment Portfolio Management,"Analyze investment history and provide an additional predictive analysis for investments. Reduced time to receive answers, allowing folks to focus on more critical mission-driven work, act as an additional investment analysis review for staff to compare with.",A prediction of the outcome of possible investment choices and a recommendation of which would do best for the current portfolio,None of the above.,,Initiated,Mission-Enabling,continued
35464,FDIC,Division of Resolutions and Receiverships,Analytics on Loan Data,"This reduces the effort to analyze a portfolio of received failed bank loans and provides data supported strategies for disposition of the portfolio.  This reduces the effort to analyze a portfolio of received failed bank loans which is a time- and labor-intensive process, and provides data supported strategies for dispositioning the portfolio.",Formatted data set with elements extracted from unstructured data files/documents into a readily usable data to support disposition portfolio strategies.,None of the above.,,Initiated,Other,continued
35465,FDIC,Division of Resolutions and Receiverships,Analytics on Securities Data,"This reduces the effort to analyze a portfolio of received failed bank loans and provides data supported strategies for disposition of the portfolio.  This reduces the effort to analyze a portfolio of received failed bank loans which is a time- and labor-intensive process, and provides data supported strategies for dispositioning the portfolio.",Formatted data set with elements extracted from unstructured data files/documents into a readily usable data to support disposition portfolio strategies.,None of the above.,,Initiated,Other,continued
35466,FDIC,Division of Resolutions and Receiverships,Business Data Extraction from Loan Files,"Format data from unstructured documents to a structured format in a timely fashion and at scale, which will reduce cost and effort. This reduces the effort to analyze a portfolio of received failed bank loans and provides data supported strategies for dispositioning the portfolio.",Formatted data set with elements extracted from unstructured data files/documents.,None of the above.,,Initiated,Other,continued
35467,FDIC,Division of Resolutions and Receiverships,Data Extraction from Security Prospectus,"Format data from unstructured documents to a structured format in a timely fashion and at scale, which will reduce cost and effort. This reduces the effort to analyze a portfolio of received failed bank loans and provides data supported strategies for dispositioning the portfolio.",Formatted data set with elements extracted from unstructured data files/documents.,None of the above.,,Initiated,Other,continued
35468,FDIC,Division of Resolutions and Receiverships,Deposit Insurance Determination,"Extract and format data from unstructured documents, which will reduce the cost and effort to release or retain provisional holds placed on accounts for banks exceeding $250M .",Structured data sets that can be analyzed by Claims Specialists.,None of the above.,,Initiated,Other,renamed
35469,FDIC,Division of Resolutions and Receiverships,Initial Deposit File Analysis,Evaluate multiple data files in different formats to extract and normalize the inputs into a rationalized data set with the key elements needed for analysis by other functional areas within FDIC.,List of accounts and assets with key data elements needed for insurance determination and asset valuation.,None of the above.,,Initiated,Other,continued
35470,FDIC,Division of Resolutions and Receiverships,Owned Real Estate (ORE) Property Appraisal,"Validate and enrich loan data by extracting data from Loan Underwriting Documents, Title Documents, and Property Appraisal Documents, which will reduce the time to value a loan portfolio and improve the quality of the valuation.",List of property records with current and historical appraised values and historical sale transaction details.,None of the above.,,Initiated,Other,continued
35471,FDIC,Division of Resolutions and Receiverships,Trust Document Entity Extraction,"Extract key data elements, such as grantor/settler and beneficiaries, from Trust Agreements. This will reduce the time and cost to transpose information from Trust Agreements.","The extracted data, along with the original Trust Agreement, will be presented to users through an application user interface.",None of the above.,Developed in-house.,Acquisition and/or Development,Other,continued
35472,FDIC,Division of Resolutions and Receiverships,Trust Document Entity Extraction - LLM,"DRR’s objective is to minimize the current processing time for monetary claims related to Trust Accounts following any bank closure. The current process involves claim specialists manually reviewing trust agreements to match and verify customer form inputs. The review process is labor intensive and may require further reviews by legal experts, hence, prolonging the processing time. This use case is to automate this process using a Gen AI powered function that can extract text from Trust Documents to match/validate customer inputs.","The extracted data, along with the original Trust Agreement, will be presented to users through an application user interface.",None of the above.,,Initiated,Other,continued
35473,FDIC,Office of the Ombudsman,Post Examination Survey Comment Analysis,"(1) Numerous comments written by different people that are challenging to group in a meaningful way.
(2) Categorize the various comments to enhance analysis and understanding of the asks.","To be determined, but potentially slotting whole or parts of comments in various categories. Potentially a table with a column of comments and rows of labels.",Summarizing the key points of a lengthy report using AI.,,Initiated,Other,retired_2024
35474,FDIC,Division of Risk Management Supervision,Extracting IT information,"Algorithm, Language Processing Horizontal Analysis - Risk Examination (AlphaREx) analyzes unstructured narrative content in Information Technology (IT) examination workpapers and Reports of Examination (ROE) to provide meaningful, actionable insights into information. AlphaREx capabilities contribute to the FDIC’s Modernization initiative for the Supervision Modernization Business Drivers and supports the mission of the RMS Information Technology Section. 
Additionally, AlphaREx was developed to enable the automation, ingestion, analysis, and visualization of the information technology and operational unstructured and structured data gathered per the supervised financial institution.","Information collected across the IT Profile, FDIC Review of Examinations (ROEs), and multiple other sources (both unstructured/structured data) is a critical business need and is used by FDIC to promptly identify and address IT risks and Cyber risks for the FDIC Insured Deposit Institutions (IDIs).  In addition, this information is used to effectively identify trends, patterns and areas of improvement for the InTREx program; including training and changes to the FDIC IT Examination processes.",Searching for information using AI.,,Operation and Maintenance,Other,continued
35475,FDIC,Division of Risk Management Supervision,Transcribing Structured Interviews,"Risk Management Supervision (RMS) Atlanta wants to pilot the use of transcription  to record structured interviews. This would allow RMS interview panels to engage with the applicant without needing to focus on taking detailed notes but would allow them to refer back to structured answers as needed. 
Today, panel members must transcribe every word themselves, and must split their attention between the candidate and the transcription. The use of AI is meant to supplement (not replace) human note taking during the interview.",The output will be the  transcription of the audio of the interview.,Transcribing and summarizing a recorded meeting or interview using AI.,,Acquisition and/or Development,Other,continued
35476,FDIC,Division of Risk Management Supervision,New Offsite Models,This machine learning (ML) model is intended to predict 1- and 2-rated banks most likely to be downgraded to 3-rated or worse. The expected benefit is to improve bank downgrade prediction using a ML technique.,Ranking of banks based on composite rating downgrade probability.,None of the above.,,Initiated,Other,continued
35477,FDIC,Division of Risk Management Supervision,Document Indexing,"The Regional Automated Document  Distribution and Imaging System (RADD) is an electronic document management system that manages all supervisory related correspondence between the FDIC, financial Institutions, and other regulators.  When documents are received from banks, other regulators, and FDIC staff they are manually indexed using a table-driven schema.  The schema includes business line, date, source, document name, and folder.  All indexing, except date, is table driven and every document must be fully indexed.  Currently, RMS has roughly 24 individuals that index RADD documents.  RADD has close to two million documents that are accuracy indexed.  These documents have unique characteristics, such cover sheets, key words, etc.  The hope is we can use AI/ML to replace, or at least supplement, the manual indexing process thus reducing labor costs and improving accuracy.",The system would output the recommended indexing data for documents received from banks and other agencies,Digitizing text from scanned documents or smart forms for archival purposes using AI.,,Initiated,Other,retired_2024
35478,FDIC,Legal Division,eDiscovery Organize & Search,"Electronically stored information and records have become so voluminous, it is impossible to review and search without automated assistance. 
The Legal Division's eDiscovery vendors use a commercial off the shelf (COTS) software to perform eDiscovery related tasks. 
The software deploys machine learning capabilities to receive, organize, search, and identify electronically stored information in large data sets.","The AI software identifies to the software user electronically stored information (such as documents, emails, text messages, etc. that have been uploaded into the software) likely to be relevant/responsive to user-entered searches. Human users remain responsible for verifying the AI's predictions of what documents are relevant/responsive to searches.",Searching for information using AI.,,Operation and Maintenance,Mission-Enabling,retired_2024
35479,FERC,,Leverage AI in the Rulemaking Process Use Case,"The AI solution will be designed to streamline the manual review of public feedback, providing insights on sentiment and key themes for FERC’s rulemaking process. Enabling FERC analysts to complete their work more efficiently and accurately saving costs, shorten the regulatory timelines, and ensure timely implementation of policies that benefit the energy industry and the public.",Initial Comment Sentiment Analysis,None of the above.,Developed with both contracting and in-house resources.,,Mission-Enabling,renamed
35480,FERC,,Improve Safety Inspections Use Case,"The AI solution is intended to enhance the efficiency and accuracy of dam and LNG pipeline structure inspections by FERCs Dam inspectors. It will analyze historical and real-time images, videos, and notes to identify potential safety defects and trends. This approach reduces the manual workload of safety inspectors and improve inspection timelines.",Digital Images for Review,None of the above.,,,Energy & the Environment,continued
35481,FERC,,Enhance Market Surveillance and Fraud Detection Use Case,"The AI solution aims to assist staff in analyzing large and complex market datasets for market integrity and compliance purposes. It will process and interpret vast amounts of trading data at high speed, identifying anomalies, trends, and potential regulatory violations. This capability will help maintain fair and transparent markets, enabling staff to focus on strategic decision-making. The AI’s efficiency and precision will save time, improve compliance, and uphold public trust in market operations.",Initial Analysis of market data,None of the above.,,,Mission-Enabling,continued
35482,FERC,,Support Interconnection Request Responses Use Case,"The AI solution will be designed to address the growing backlog of project interconnection requests and reduce the average three-year wait time. By accelerating the processing of proposals, the AI will help FERC with cost savings and shorting the timelines of requests.",Request analysis of interconnection requests,None of the above.,,,Energy & the Environment,continued
35483,FHFA,OGC,LexisNexis,Generative AI-assisted legal research tool,"LexisNexis uses generative AI to search for and summarize legal information, resulting in more efficient legal work for FHFA.",Generative AI-assisted legal research tool,,Initiated,Mission-Enabling,continued
35484,FHFA,DHMG,Neural Networks for FHFA Modeling Analytics Platform (FMAP),Help researchers optimize the framework and specifications of the production of the Single-Family FHFA Modeling Analytics Platform (FMAP).,"This tool uses neural networks to identify nonlinearities, anomalies, and important variables in loan-level mortgage data, which helps FHFA staff improve forecasts from the Single-Family Modeling Analytics Platform.",None of the above.,Developed in-house.,Acquisition and/or Development,Mission-Enabling,continued
35485,FHFA,OCOO,Phishing Email Identification,"Knowbe4 PhishER is a tool to report and manage suspicious emails. This tool use ML and AI to analyze suspicious emails to identify if the email is spam, phishing, or malicious. The primary benefit of this tool is to automate responses without requiring human intervention to analyze each email that end users identify as suspicious.",Output is a response to suspicious emails without requiring a cybersecurity specialist to analyze hundreds of emails. This tool reduces time to respond to end user requests concerning suspicious activity.,Prioritizing and categorizing incoming emails using AI.,,Implementation and Assessment,Mission-Enabling,continued
35486,FHFA,OGC,WestLaw,Generative AI-assisted legal research tool,"WestLaw uses generative AI to search for and summarize legal information, resulting in more efficient legal work for FHFA.",Generative AI-assisted legal research tool,,Initiated,Mission-Enabling,continued
