agency,use_case_name,verdict,final_is_general_llm_access,confidence,reasoning
DOC,APIgee with Gemini Code Assist for OpenAPI Development,confirm_proposed,0,high,Gemini Code Assist for OpenAPI development is a coding-only tool inside an API-management workflow.
DOC,Grants Program Administration - Inquiry management Chatbot Pilot,confirm_proposed,0,medium,"Narrative empty; name scopes the chatbot to grants-program inquiry management — a narrow customer-service bot, not staff-wide LLM access."
DOC,Grants Program Administration - Tiered Environmental Assessment AI Pilot,confirm_proposed,0,high,"Pilot ""streamline[s] the initial drafting of the Affected Environment section"" in EA templates — a fixed document-drafting workflow, not arbitrary prompts."
DOC,"NTIA Grants Portal (NGP) - AI Summarization, Analytics, and Automations",confirm_proposed,0,high,"""Supporting reviews of post award technical/progress/performance/financial reports"" — grants-administration analytics/automation, not chat-style general access."
DOE,PARSGPT,confirm_proposed,0,medium,"System is PARS itself; DOE AI Strategy describes the PARS AI Assistant as project-management insights/document management embedded in one business app (https://www.energy.gov/sites/default/files/2025-09/EXEC-2025-010630%20-%20250923_%20DOE%20AI%20Strategy%20VFinal.pdf), despite the ""safely interact with LLM technology"" phrasing."
DOE,Argonne Resilience AI Assistant ARAIA (nee CALLM),confirm_proposed,0,high,"ARAIA ""addresses the problem of communicating complex climate projections...to electric sector stakeholders"" — a domain-scoped synthesis assistant, not broad staff LLM access."
DOE,LLM EV,confirm_proposed,0,high,"""Large-scale policy analysis to understand permitting barriers to...EV charging infrastructure"" — a single research workflow; NREL's general chatbot (Energy Wizard) is a separate system."
DOE,Merlin - KCNSC Generative AI with RAG,keep_current,1,high,"""General productivity enhancer - not driven by a specific problem...leverage industry investment in generative AI broadly"" via an OpenWebUI front end on GPT-OSS-120b — arbitrary prompts, broadly available at the KCNSC site; lab-level general chatbot counts as 1."
DOE,Custom GenAI for eVinci Microreactor Engineering (MauroGPT),confirm_proposed,0,high,"RAG scoped to one project corpus: ""engineers...quickly find answers and relevant source documents"" for eVinci reactor design — single-workflow, single user group."
DOE,HR Job Postings,confirm_proposed,0,high,"Fixed workflow producing ""improved job postings"" — not chat-style access."
DOE,MOOSE-LLM,confirm_proposed,0,high,"Assistant embedded ""within the MOOSE simulation framework"" (input-file completion, convergence analysis) — a domain/coding tool, not general access."
DOE,AI for Vendor Compliance,confirm_proposed,0,high,"""Making sure vendors are in compliance with regulations"" — one compliance workflow."
DOE,Amazon Q Chatbot Pilot,confirm_proposed,0,medium,"Chatbot scoped to one knowledge domain: ""quick access to AWS cloud engineering reference architectures and general AWS services information"" — not LLNL's general staff assistant (that is LivChat)."
DOE,Ask HR,confirm_proposed,0,high,"""GenAI-RAG on HR content"" — a chatbot over one dataset (HR), explicitly excluded as narrow."
DOE,Custom GenAI for ATR Fuel Conversion Project (FuelGPT),confirm_proposed,0,high,"RAG scoped to the ATR fuel conversion project: ""find answers and relevant source documents"" for one engineering project."
NASA,Coupled Loads Analysis Research Assistant (CLARA),confirm_proposed,0,high,"""Chat assistant to support loads analysts during computation...RAG based on loads documents"" — one workflow, one user group; also retired."
NASA,Advanced Air Mobility Digital Assistant,confirm_proposed,0,high,"RAG assistant ""to assist Systems Engineers with navigating...Urban Air Mobility"" requirements — scoped to one domain and user group."
NASA,Software Issue Classification with LLM,confirm_proposed,0,high,"Classification pipeline (""Predictions"" output) — a single-workflow LLM integration, not chat access."
NASA,Using LLMS for Documents and Requirements Analysis,confirm_proposed,0,high,"""Use GenAI to analyze documents and improve the requirements development process"" — one engineering workflow."
NASA,Cache-Augmented Generation Document Search (converted to collective),confirm_proposed,0,medium,"Thin narrative, but ""Cache-Augmented Generation Document Search"" is per-corpus document search (excluded); retired use case."
NASA,JSC SMA NT Paper WAD Data Extraction,confirm_proposed,0,high,"Data-extraction pipeline over ""scanned PDF versions of original paper Work Authorization Documents"" — document processing, not arbitrary-prompt access."
NASA,RAG Chatbots: Enhancing User and Internal Support Through Dual Knowledge Systems,confirm_proposed,0,high,"Two RAG chatbots scoped to CCMC: a public-facing bot for ""CCMC tools, services, and general heliophysics"" and an internal team-support bot — narrow domain/user group, partly public."
NASA,Using ChatGSFC to Streamline Analysis and Reporting,keep_current,1,medium,"The system is ChatGSFC, Goddard's center-level general-purpose LLM (""90+ examples of how ChatGSFC...can be utilized""); staff submit arbitrary prompts across EVM/Risk/Schedule functions — center-level general chatbot counts as 1, scope is a separate tag."
NASA,IV&V AI Assistant,confirm_proposed,0,medium,"LibreChat+RAG ""for NASA IV&V engineers"" to ""interact directly with NASA program documents"" for software assurance — conversational but scoped to one user group and document domain."
NASA,IV&V Process Accelerators through Generative AI Capabilities,confirm_proposed,0,high,"""Collection of utility tools...automating common, high-effort tasks"" (TIM generation, review summaries) — workflow accelerators, not chat access."
NASA,BoundState (Compliance & Risk Engine),confirm_proposed,0,high,"""Validates engineering parts, materials, and BOMs against NASA, ASTM, and program standards"" — a fixed compliance engine."
Treasury,AskBEP AI ChatBot,confirm_proposed,0,medium,"Internal chatbot but scoped to one corpus: ""retrieves and explains relevant policy guidance"" for BEP policy questions — per-policy document search is excluded from general LLM access."
Treasury,Large Language Model (LLM) Chatbot for Proof of Concept,confirm_proposed,0,high,"""Code Assistance - Generating, debugging, and documenting code"" — coding-only tool."
Treasury,Large Language Model (LLM) Coding for Proof of Concept,confirm_proposed,0,medium,"Despite the name, narrative is a knowledge-retrieval bot ""trained...using documentation such as PDF files and web pages"" for ""FAQ handling and Case Deflection"" — one-dataset customer-service bot."
Treasury,Knowledge Retrieval Chatbot POC,confirm_proposed,0,high,"Chatbot over one dataset: ""access all of their relocation policies (FTR, DSSR, FAM, JTR...)"" — per-policy document search."
Treasury,Research / Discovery on GenAI Product for HR,confirm_proposed,0,medium,"""Conducting initial research/discovery on AI product"" for HR — product evaluation for one HR function, no staff prompt access described."
Treasury,Local LLMs Evaluation,keep_current,1,medium,"""Run large language models (LLMs) locally...run and experiment with various LLMs"" — arbitrary-prompt general-purpose LLM access in an evaluation sandbox; per the edge rule, an evaluation pilot of general LLMs is still 1 (kind, not scale)."
Treasury,Establish localized Large Language Model (LLM),keep_current,1,medium,"""Enterprise LLM that will be trained on approved internal documentation to provide accurate, consistent, and rapid responses to employee inquiries"" — bureau-level, broadly available internal assistant (consolidating multiple initiatives), which counts as 1."
Treasury,Public Chatbot,confirm_proposed,0,high,"Explicitly public-facing: chatbot ""of public OFAC information...for users of the public-facing OFAC website"" — public chatbots are excluded."
Treasury,SBSE - Payments Topics Chatbot,confirm_proposed,0,high,"Taxpayer-facing topic classifier: ""Only responses associated with these pre-established topics are provided"" — narrow public chatbot, not staff LLM access."
Treasury,Volunteer Income Tax Assistance (VITA) Generative AI Chatbot Proof of Concept,confirm_proposed,0,medium,"Narrative N/A (retired); name scopes it to the VITA program — a domain-specific assistance chatbot POC, not general staff access."
Treasury,Digital Forensics Chatbot for IRS Employees,confirm_proposed,0,medium,"Narrative N/A (retired); name scopes the chatbot to the digital-forensics workflow/user group, not broad staff access."
Treasury,Generative AI for Form 1040X: Support Tool for Amended Returns (STAR),confirm_proposed,0,high,Name is decisive: support tool for one workflow (Form 1040X amended returns); retired.
Treasury,Winnie Chatbot for Employee IT FAQs,confirm_proposed,0,high,Name is decisive: FAQ chatbot over one dataset (employee IT FAQs) — narrow per the rule; retired.
Treasury,Modular Code Assistant (Explain & Refactor Small Methods) for Automation Test Application Development,confirm_proposed,0,high,"""Explaining or suggesting improvements to individual Java methods"" for the test automation team — coding-only tool."
Treasury,Modernization Accelerator - Legacy Applications Chatbot & Code Conversion,confirm_proposed,0,high,"Legacy-application code conversion / modernization tooling — coding workflow, not general access; retired."
Treasury,Ticket Management Generative AI Pilot,confirm_proposed,0,high,"Embedded service-desk copilot: ""Incident Summarization...Resolution Notes generation...Knowledge Article Generation"" inside the ticketing workflow — analogous to Now Assist, excluded."
Treasury,Enterprise Systems Testing Generative Pre-Trained Transformer (EST Knowledge Source and Documentation AI Tool),confirm_proposed,0,medium,"""Centralized, AI-powered repository for documentation, manuals, and legacy data"" for the Enterprise Systems Testing org — knowledge retrieval over one corpus/user group, not arbitrary-purpose access."
USDA,FSA FLP Chatbot,confirm_proposed,0,high,"""Researching program handbooks and generating...responses from highly technical Farm Loan Program information"" — chatbot over one program corpus."
USDA,Use of LLMs for data extraction,confirm_proposed,0,high,"""Extracts requested information from scientific papers"" to track plant disease — a data-extraction pipeline, not chat access."
USDA,ESRI Support Chat Bot,confirm_proposed,0,high,"Chatbot ""to help handle requests for support with geospatial software"" with the vendor (ESRI) — one narrow support workflow."
USDA,Conservation Management Benefits Navigator (CMBN),confirm_proposed,0,high,"LLM for literature review to update ""conservation practice standards"" — a fixed document-review workflow."
USDA,Chatbot for Meat and Poultry Hotline & OPACE Efficiency,confirm_proposed,0,high,"Public-facing: ""Improves public access to accurate, real-time food safety information 24/7"" — public customer-service chatbot, excluded."
USDA,Incident Detection and Response Acceleration,confirm_proposed,0,high,"Security operations tool producing ""text-based detection alerts"" via ""continuous monitoring and real-time detection"" — not prompt-based staff access."
USDA,GIS Help Desk Chat Bot,confirm_proposed,0,high,"Help-desk bot answering ""GIS help desk questions based on published Knowledge Based Articles"" — narrow chatbot over one dataset."
USDA,Recreation site chatbot,confirm_proposed,0,high,"Not even an assistant: ""Estimating recreation use at recreation sites"" outputting ""a dataset of text provided by recreation visitors"" — NLP data collection/analysis."
USDA,Forest Vegetation Simulator (FVS) Helpdesk Chatbot RAG,confirm_proposed,0,high,"Helpdesk chatbot scoped to one model's users (""respond to questions from users of the [FVS] model (for both public and federal users)"") — narrow and partly public."
USDA,PHIS Export Library Assistant,confirm_proposed,0,high,"Assistant scoped to one workflow: ""aid PHIS users in finding foreign country requirements applicable to a particular export"" — single-dataset lookup."
USDA,Chatbot for IT Customer Help Desk,confirm_proposed,0,high,"IT helpdesk bot: ""assists USDA staff with IT issues by answering common questions and initiating a support request"" — narrow service-desk chatbot, excluded."
