agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
VA,AI + Digital Process Automation (DPA) Business Process Flow Improvement Solution for Contract Closeout Modernization – Pilot Project,keep,agentic,medium,"OMB self-classifies Agentic AI; the solution chains 'AI-driven financial reviews,' drafts 'de-obligation modifications,' generates compliance reports and 'real-time notifications for necessary actions' — multi-step orchestration across the closeout process, though the DPA framing is partly RPA."
VA,Enterprise Precision Scanning and Indexing (EPSI) NEXT,reclassify,general_llm,high,'AI generates concise summaries of medical records' and categorizes incoming PDFs — generative document summarization/handling; OMB classifies it Generative AI.
VA,Automated Incident Analysis,keep,agentic,high,"'Develop an AI Agent' that 'will gather insights from the Major Incident bridge transcription, ServiceNow Incidents, and Observability telemetry to assist in isolating the cause' — multi-source tool use and reasoning; OMB self-classifies Agentic AI."
VA,Ask VA Inquiry Automated Category Classification System,reclassify,classical_ml,high,System 'produces a ranked list of the top 3 category predictions with their corresponding confidence scores' — straightforward text classification; OMB classifies it Classical/Predictive ML.
VA,Report Anomalous VIEWS CCM User Behavior,reclassify,classical_ml,high,"'AI scans a CRM Analytics database... to locate patterns of unusual end-user behavior' and sends 'automated alerts via email' — anomaly detection with alerting, not agentic planning, despite OMB's Agentic label."
VA,Redseal AI Usage,reclassify,predictive_analytics,medium,"Outputs are 'a dynamic network map model,' 'attack path visualizations,' and segmentation validation reports — RedSeal's risk-prioritization analytics; 'AI orchestrated workflows' is vendor phrasing, no model-driven multi-step planning evidenced despite OMB's Agentic label."
VA,GenAI for KM,reclassify,general_llm,high,"GenAI providing 'content insight capabilities beyond simple keyword search' with outputs of 'synthesis, summarization, type/topic identification' — LLM knowledge-management assistance; OMB classifies it Generative AI."
VA,Clinical Pathways for Cancer Patients,reclassify,nlp_specific,high,"AI 'to assess the degree of adoption of various pathways' from records, outputting 'whether a patient is on a clinical pathway' — clinical-text concordance classification; OMB classifies it NLP."
VA,Internal QMS Processes Revamp,reclassify,general_llm,high,"'Utilize GPT-4x... to analyze current QMS structures... generate actionable restructuring plans,' classify documents, and assist code generation — general-purpose LLM assistance; OMB classifies it Generative AI."
VA,VA.gov Chatbot: Summative Content,reclassify,general_llm,medium,"A virtual agent that lets veterans 'self-serve, ask questions at their own pace... and find answers' from VA.gov content — a Q&A chatbot with no multi-step tool use; OMB classifies it Classical/Predictive ML."
VA,Evolv WDS - OSLE,reclassify,computer_vision,high,'AI is used to conduct scans of objects in the shapes of weapons then develops maps of the body' — concealed-weapon detection imaging; OMB's Agentic label is a misclassification of a CV screening system.
VA,AGFA DR 800 with MUSICA Dynamic,reclassify,computer_vision,high,X-ray device whose AI provides 'recommendations for image processing settings' — embedded medical image processing; OMB classifies it Computer Vision.
VA,Siemens YSIO Max,reclassify,computer_vision,medium,"'AIM (Artificial Intelligence Mapping)... designed to calculate the shortest, fastest and safest path' for positioning radiographic equipment — embedded device automation, classical autonomy not agentic AI; OMB classifies it Computer Vision."
VA,3M/Solventum 360 Encompass Computer Assisted Coding - Auto Suggestion,reclassify,nlp_specific,high,"Outputs 'suggested ICD-10 CM, CPT, and HCPCS codes for a medical coder to select based on associated clinical documentation' — NLP computer-assisted coding suggestions, human selects; no autonomy."
VA,Workflow Box,reclassify,computer_vision,high,'A data routing and image processing tool which automatically applies contours' (atlas and ML-based contouring) for radiation therapy planning — medical image processing; OMB classifies it Computer Vision.
VA,EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System,reclassify,computer_vision,high,'R-Trigger algorithm... intended to support detection of R-wave peak' and 'automating some of the measurements' in echo exams — embedded ultrasound measurement automation; OMB classifies it Computer Vision.
VA,Nediser Reports QA,reclassify,computer_vision,high,"An AI 'radiology resident' that 'fills in the comparison date, identifies the joint... performs measurements, and grades arthritis' into a draft report — image analysis with mandatory human review; OMB classifies it Computer Vision."
VA,AI Microlearning (OttoLearn),reclassify,predictive_analytics,medium,"Adaptive microlearning whose only outputs are 'training use outputs (usage rates, mastery levels, knowledge gaps)' — personalization/mastery modeling, not model-driven multi-step planning, despite OMB's Agentic label."
VA,GE Logiq E10,reclassify,computer_vision,high,'Accelerate ultrasound workflow with AI assistant tools' that 'detects kidney dimensions' — embedded imaging measurement; OMB classifies it Computer Vision.
VA,"Human-Centered Design (HCD) User Feedback Summary, Analysis, and Design",reclassify,general_llm,medium,"'LLMs and custom agents' used for 'analyzing user feedback, generating user stories, summarizing workshop outcomes' into a Power BI dashboard — LLM summarization/analysis ('custom agents' = assistants, no autonomous tool execution); OMB classifies it NLP."
VA,Avicenna CINA,reclassify,computer_vision,high,Device 'intended to assist... workflow triage by flagging and communicating suspected positive findings of head CT images for Intracranial Hemorrhage' — FDA triage CV; OMB classifies it Computer Vision.
VA,Scriptpro Ticket Report,reclassify,classical_ml,high,'Power automate AI builder reads a report from scriptpro... and tabulates the results in Sharepoint List' — deterministic RPA report tabulation with form extraction; OMB's Agentic label is a clear misfire.
VA,ValidateNow,reclassify,general_llm,medium,"GenAI that helps agents 'locate the right products from the MSPV catalog that can be substituted' with 'text-based... justification' and match confidence — generative matching/recommendation decision support, human decides; OMB classifies it Generative AI."
VA,VX Insights Hub Agent,reclassify,general_llm,low,"Retired use case with empty narrative and no OMB classification; per rule, 'Agent' in the name alone (no agent-framework vendor evidence) is insufficient to keep, so reclassified to the most plausible alternative."
