agency,use_case_name,bureau,current_ai_sophistication,omb_ai_classification,stage_of_development,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DHS,Unmanned Aircraft Collision Avoidance,CBP,agentic,Computer Vision,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Skydio X2D,Skydio and Xtender,"The use case solves the problem of navigating complex environments autonomously while ensuring obstacle avoidance in real time. By relying on AI-based 3D scanning functions instead of GPS, the system enhances safety and precision in drone operations, reducing the risk of collisions and enabling efficient, reliable use in diverse mission scenarios. It addresses the challenge of maintaining situational awareness and operational accuracy during unmanned aircraft missions, providing pilots with visual alerts to prevent potential collisions.",The platform operates on video feed only which in turn activates the obstacle avoidance on the aircraft where the AI capabilities are housed.  The system supports the streamlined intake process while maintaining the accuracy and reliability of identity verification.,"The pilot of the sUAS will receive a visual alert on the hand controller, indicating a possible collision."
DHS,Autonomous Surveillance Tower,CBP,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Autonomous Surveillance Towers,Anduril,"CBP's limited manpower constrains its ability to manually monitor all areas of the border at all times. To account for this limitation, surveillance and sensor systems assist in monitoring the border.","AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identi"
DHS,Automated Item of Interest Detection,CBP,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,I4 Viewer,Matroid,"The software is designed to analyze photographs and video feeds captured by field imaging equipment for review by U.S. Border Patrol (USBP) agents and personnel. Using proprietary software, the system processes and annotates images to identify whether they contain human subjects, animals, or vehicles. The system is designed to incorporate future enhancements that expand its detection capabilities and to improve accuracy based on user feedback.","The software analyzes images and video that are taken by operationally deployed equipment, which are then fed into CBP systems for review by USBP agents, Office of Field Operations (OFO) officers, and other CBP users. It provides quick identification of people either crossing into the U.S. at a time and place other than designated for entry, circumventing security at a port of entry, or those already inside the U.S. trying to elude capture, as well as the ability for human operators to quickly determine if subjects in an image are, in fact, human.",The system creates a layer which is overlaid over the image to produce a box around items of interest it has determined to be likely human beings.
DHS,Vessel Detection,CBP,agentic,Computer Vision,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,,JHU APL,"The system uses AI-enhanced technologies and analytics to improve maritime detection and tracking in areas with significant trade and recreational water vessel activity. The system increases situational awareness and responsiveness to potential threats, assisting human operators in identifying and classifying vessels of interest. Agents can define a search area with specific criteria, which is transmitted to sensors. Detected images are analyzed by AI algorithms that filter, detect, and categorize objects into Items of Interest (IoI) or other objects. IoIs are shared across detection systems and tracked seamlessly across multiple sensors, while non-relevant objects are excluded. This approach enhances efficiency in detecting and addressing IoIs, particularly during high-traffic periods, by providing alerts and tracking information to human operators.","Current surveillance technology does not have machine assisted classification of targets on screen, making it harder for human operators to decipher legitimate from illegitimate traffic in times of high volumes of legitimate traffic.  Project intends to support human operator identification and classification of potential illicit vessels.  Benefits would be more efficient detection and resolution of IOIs, especially during times of high-volume traffic.",Alerts and tracks of detected Items of Interest (IOI)s to human operator workstations.
DHS,CISAChat,CISA,agentic,Generative AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,,Microsoft,"Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.","Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.",LLM generated response to the questions posed on uploaded content.
DHS,DHS-Chat,MGMT,agentic,Generative AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,DHSChat,,"DHS personnel need a reliable solution to quickly access accurate information, process documents, and support work tasks within the DHS Workspace. Existing workflows are often time-consuming and inefficient, and there is a need to streamline operations while maintaining compliance with security requirements.","This is a chatbot based on a Large Language Models (LLM) for internal DHS employee use - It's like chat-GPT for DHS but approved for use with non-classified but internal information (this includes FOUO (For Official Use Only) CUI (Controlled Unclassified Information) due to its improved security compared to publicly available chatbots. 

This tool is able to dynamically create written content through text prompts submitted by the user. Approved applications of this tool to DHS business include generating first drafts of documents that a human would subsequently review, conducting and synthesiz",The internally available generative AI tool outputs text based on the users input.
DHS,idiCORE Subscriptions,TSA,agentic,Natural Language Processing (NLP),c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,,idiCORE,"This allows agents and analysts to quickly determine interrelationships and connections, facilitating faster and more accurate investigations.","Significantly enhances efficiency by saving analysts time in forming relative and associate interrelationships. It eliminates much of the guesswork, enabling analysts to focus on critical decisions and actions.",Analysts set up geographic boundaries for reporting alerts and make selections of topical areas for interest and the tool delivers information that meet the conditions set by the analyst.
DHS,AskTSA,TSA,agentic,Generative AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,,Sprinklr,"The AI is intended to address several challenges within the AskTSA customer service process. These include reducing the time it takes for agents to respond to inquiries, improving the accuracy and consistency of responses, and streamlining the categorization of incoming inquiries. Additionally, the AI would help identify areas for improvement in the virtual assistant’s performance and provide actionable insights to enhance its effectiveness. By automating repetitive tasks like categorizing inquiries, the AI would allow human agents to focus on more complex issues, ultimately improving efficiency and customer satisfaction.","The AI’s intended purpose is to enhance the efficiency, accuracy, and overall effectiveness of the AskTSA customer service process. It would assist human agents by automating routine tasks such as categorizing inquiries and summarizing customer concerns, enabling faster and more consistent communication with the public. Additionally, the AI would analyze interactions with the virtual assistant to identify areas for improvement and recommend adjustments to ensure it provides accurate and helpful responses. By streamlining workflows and providing actionable insights, the AI would support TSA’s g","Summarized Inquiries: Condensed explanations of why a customer is reaching out; Recommended Responses: Suggested replies tailored to the summarized inquiries; Categorized Inquiries: Labels or classifications of inquiries based on their content to streamline workflow; Performance Reports: Analytical insights on the virtual assistant’s interactions, highlighting areas for improvement."
DHS,AI for Autonomous Situational Awareness,CBP,agentic,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,,,,
DOC,Generative AI Tools Pilot - Global Markets,ITA,agentic,,,,,"ITA developed the Generative AI Tools Pilot – Global Markets use case to enhance the efficiency and quality of market research analysis. The tool enables analysts to generate initial drafts of market research reports using public data sources, produce data-driven insights to identify top markets and recommend strategic directions, and integrate seamlessly with existing workflows. This support allows analysts to refine and finalize comprehensive, actionable reports more effectively.",,
DOC,Google AgentSpace,ITA,agentic,,,,,,,
DOC,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment,NOAA,agentic,,,,,,,
DOC,Integrating AI into AUV image analysis workflow,NOAA,agentic,,,,,,,
DOC,"Detection of hardware issues in complex, wide-area computing systems based on non-intrusive workflow performance data gathered via the GFDL EPMT",NOAA,agentic,,,,,,,
DOC,Optimization of highly-concurrent workflow task management systems based on anomaly detection using non-intrusive workflow performance data gathered via the GFDL EPMT,NOAA,agentic,,,,,,,
DOC,Grants Program Administration - BEAD Monitoring Plan Agent Pilot,NTIA,agentic,,,,,"The AI system—referred to as the BEAD Monitoring Agent—is designed to enhance the ability of Federal Program Officers (FPOs) to support Eligible Entities (EEs) in monitoring their subrecipients after a Final Proposal (FP) is approved. The motivation for deploying this AI is grounded in NTIA’s need to rapidly and effectively understand the contents of each EE’s FP to support post-award monitoring.
Benefits:
1. Faster, More Thorough Review: The AI agent quickly reviews EE subgrantee monitoring plans by comparing them against a “gold standard,” helping FPOs identify best practices, inconsistencies, and gaps
2. Enhanced Risk Mitigation: By providing recommendations on oversight and potential mitigation actions, the AI helps identify areas where closer monitoring or NTIA support may be needed
3. Standardization and Transparency: The AI outputs enable more standardized and data-driven oversigh",,
DOE,ORNL: AI for Experimental Facilities Operations,ORNL - Oak Ridge National Laboratory (SC43 OIM),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,,,accelerate scientific discovery,accelerate scientific discovery,prediction and classification
DOE,ORNL: AI for the Smart Laboratory,ORNL - Oak Ridge National Laboratory (SC43 OIM),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,,,accelerate scientific discovery,accelerate scientific discovery,prediction and classification
DOE,AI Incubator Sandbox,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Agentic AI,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,R&D User,,"Provide a secure, multimodal AI chatbot sandbox for experimentation without internet access.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,Microsoft Power Platform capability that provides AI to automate processes in Power Apps and Power Automate,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Generative AI,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,R&D User,Microsoft,Automate workflows and processes within Microsoft Power Apps and Power Automate.,"By leveraging AI for automation, PNNL can automate routine tasks such as data entry, reporting, and workflow management, freeing up researchers and staff to focus on higher-value activities.","Enhances productivity, reduces human error, and leads to more efficient management of research projects and resources."
DOE,ServiceNow Virtual Agent,LANL - Los Alamos National Lab (LAFO),agentic,Natural Language Processing,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,ServiceNow ATO,ServiceNow,Provide chatbot services to help customers resolve issues or open service requests that do not require human intervention,Improved automation,Recommendation
DOE,ServiceNow Virtual Agent Natural Language Understanding,NR HQ - Naval Reactors (NR),agentic,Natural Language Processing,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,NR-NNL-CUI-ITN-PrimeNet_HA,ServiceNow,Aid in users receiving better IT support for incident reporting and service delivery.,Quicker and easier access for users to access pre-built IT Service Management incident and request templates.,"Pre-built IT Service Management incident and request templates. The Virtual Agent NLU is only used to understand the users intent and entity, where it then performs a search of the service catalog to return the most relevant result."
DOE,ACORN (Autonomous Operation for Reactor Technologies),NE INL - NE Idaho National Laboratory (NE),agentic,Classical/Predictive Machine Learning,Pilot – The use case has been deployed in a limited test or pilot capacity.,Not available,Open source development,"AI automatically identifies process models from simulation and operational data, solves for optimal control actions that can achieve user-defined objectives, executes actions and observes system responses",reduce labor and costs to performance operation tasks in advanced reactors and microreactors,optimal control actions
DOE,CrewAI,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Agentic AI,Pilot – The use case has been deployed in a limited test or pilot capacity.,R&D User,CrewAI,Automate and orchestrate workflows across LLMs and cloud platforms.,Boosts efficiency by automating complex workflows across platforms.,"Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI-Assisted Strategies and Solutions for Environmental Technology (AI-ASSET),SRS - SRNL - Savannah River Site - Savannah River National Laboratory (EM),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,,,Enable rapid technology transfer of the ALTEMIS AI approaches to new sites and new systems through an automated data analysis and knowledge management toolkit,"AI-assisted monitoring system design, generalized AIML contaminant forecasting framework, development of end state recommendations that account for site-specific environmental/technological/regulatory constraints, EM knowledge management","Knowledge graphs, analysis output"
DOE,Objective-Driven Data Reduction for Scientific Workflows,BNL - Brookhaven National Laboratory (SC43 OIM),agentic,Classical/Predictive Machine Learning,Pre-deployment – The use case is in a development or acquisition status.,,,"This project aims to develop theories and algorithms for objective-driven reduction of scientific data in workflows that are composed of various models, including data-driven AI models","This project aims to develop theories and algorithms for objective-driven reduction of scientific data in workflows that are composed of various models, including data-driven AI models","This project aims to develop theories and algorithms for objective-driven reduction of scientific data in workflows that are composed of various models, including data-driven AI models"
DOE,"Autonomous, real-time guiding of BCP film synthesis",BNL - Brookhaven National Laboratory (SC43 OIM),agentic,Classical/Predictive Machine Learning,Pre-deployment – The use case is in a development or acquisition status.,,,Adaptive synthesis and manufacturing processes will be realized by combining AI/ML methods for autonomous on-the-fly control of the deposition and processing of self-assembling polymer films.,Adaptive synthesis and manufacturing processes will be realized by combining AI/ML methods for autonomous on-the-fly control of the deposition and processing of self-assembling polymer films.,Adaptive synthesis and manufacturing processes will be realized by combining AI/ML methods for autonomous on-the-fly control of the deposition and processing of self-assembling polymer films.
DOE,ServiceNow Cluster Analysis,LANL - Los Alamos National Lab (LAFO),agentic,Classical/Predictive Machine Learning,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,ServiceNow,ServiceNow,Identify patterns of tickets created to determine workflow and automated solutions,Improved automation,Recommendation
DOE,Knowledge Capture Agent (KCA),ORNL - Oak Ridge National Laboratory (SC43 OIM),agentic,Generative AI,Pre-deployment – The use case is in a development or acquisition status.,,,Capturing tenured employees experience based knowledge.,To pass down this experience and make it into a database,Feeding a database that can later be querired by newcomers.
DOE,AI Support Agent Chatbot,EE HQ - EE Headquarters (EE),agentic,Generative AI,Pre-deployment – The use case is in a development or acquisition status.,,,Manual helpdesk tickets consume staff time and delay issue resolution.,"Reduce Tier-1 support time, improve satisfaction with 24/7 responses, free staff for complex issues.","Conversational responses, step-by-step guidance, and links to support documentation."
DOE,ServiceNow Similarity Analysis,LANL - Los Alamos National Lab (LAFO),agentic,Classical/Predictive Machine Learning,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,ServiceNow,ServiceNow,Identify patterns of tickets created to determine workflow and automated solutions,Improved automation,Recommendation
DOE,Microsoft Discovery,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Generative AI,Pre-deployment – The use case is in a development or acquisition status.,R&D User,Microsoft,"Speed up transparent, governed R&D discovery with AI agents and graph knowledge engines.","Accelerates innovation with transparent, AI-driven R&D processes.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,ServiceNow Now Assist,LANL - Los Alamos National Lab (LAFO),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,ServiceNow,ServiceNow,Provide Agentic AI capabilities for use in multiple use cases for the IT divisions at LANL,Improved automation,Recommendation
DOE,Machine Learning for Autonomous Control of Scientific User Facilities,BNL - Brookhaven National Laboratory (SC43 OIM),agentic,Classical/Predictive Machine Learning,Pre-deployment – The use case is in a development or acquisition status.,,,"BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of pre","BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of previous fault causes (to connect to data-symptoms) and stored beam current.","BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of previous fault causes (to connect to data-symptoms) and stored beam current."
DOE,PermitAI,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Agentic AI,Pilot – The use case has been deployed in a limited test or pilot capacity.,R& D User,,Streamline permitting processes with AI-powered environmental review tools.,Speeds up Federal permitting while improving transparency.,"Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,Microsoft AI Builder,NE INL - NE Idaho National Laboratory (NE),agentic,Agentic AI,Pilot – The use case has been deployed in a limited test or pilot capacity.,,Microsoft,"Microsoft AI Builder solves the problem that most businesses want to use AI but lack the technical expertise and resources to build it themselves. It provides easy-to-use, pre-built AI tools that business users can implement without needing data scie","Microsoft AI Builder democratizes AI development by enabling business users to easily create custom AI models and automation solutions without extensive coding. It integrates with the Microsoft Power Platform to add AI capabilities like document processing and predictions directly into workflows, accelerating digital transformation through accessible, low-code AI solutions that enhance business processes and decision-making.","Microsoft AI Builder outputs structured business data and automated actions, including extracted information from documents, data predictions, and workflow automations that integrate directly into existing business processes and applications."
DOE,Software Implementation Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,,Purchased from a Vendor - Tabnine,"This AI solution is designed to streamline the process of software implementation by automating crucial planning tasks, technical documentation, and risk assessments, which typically demand significant time and effort. The solution aims to support ju","The AI solution is expected to enhance the agency's mission by reducing the time, effort, and complexity involved in software implementation efforts, leading to significant cost savings. It will improve project planning, standardize technical documentation, aid junior resources, and allow subject matter experts to focus on critical tasks, ultimately improving project outcomes and resource utilization for the public's benefit.","The AI system outputs detailed project plans, organized tasks, technical documents, use cases, test scripts, and risk assessments specific to the software implementation project and application."
DOE,Sindri,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,Azure GOV,,Automate code assignment at requisition generation time,Maxmize use of Strategic Agreements and facilitate SCM reporting,Decision
DOE,Agentic AI for cybersecurity change request reviews,NR HQ - Naval Reactors (NR),agentic,Agentic AI,Pre-deployment – The use case is in a development or acquisition status.,,,Use AI Agents for cybersecurity review of documents and structured data to improve processes and to help identify areas of risk.,"AI agents automate routine tasks, enhance decision-making, and improve operational efficiency.  In addition, the AI Agent for cybersecurity will allow for a customized approach to tie specific requirement documents with structured data from a database.","Depending on how the final product is designed, outputs can represent recommendations (e.g., suggesting a action), captured user inputs (like dates, names, or preferences), or contextual responses generated using AI."
DOE,AI-Enabled Tech Desk Agent,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Agentic AI,Pilot – The use case has been deployed in a limited test or pilot capacity.,R&D User,,Allow staff to resolve tech issues through an AI-enabled self-service chat agent.,"Improves staff support with faster, AI-driven issue resolution.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI workflow to process voicemail user service requests and translate them into actionable IT service tickets,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),agentic,Natural Language Processing,Pre-deployment – The use case is in a development or acquisition status.,,,Faster user support and an additional chain of communication for users to report issues. More organized and consistent information extraction from a message.,Faster user support and an additional chain of communication for users to report issues. More organized and consistent information extraction from a message.,AI workflow to process voicemail user service requests and translate them into actionable IT service tickets
DOE,Microsoft Copilot Studio,PNNL - Pacific Northwest National Laboratory (SC43 OIM),agentic,Generative AI,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,R&D User,Microsoft,Build enterprise conversational AI agents that securely connect to data and workflows.,"Enables secure, scalable automation of enterprise workflows.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOI,Autonomous Drone Inspections,BSEE,agentic,Other,Pre-deployment  The use case is in a development or acquisition status.,,,"The Bureau of Safety and Environmental Enforcement within the Department Of Interior, is requesting a trade study of the feasibility of autonomously inspecting off-shore facilities that are non-boardable due to various hazards. These inspections are currently performed by inspectors at a stand off distance from the non-boardable facility on board boats, helicopters, or from land. The distance between the personnel and the facility reduces the quality of inspections that are possible for non-boardable facilities.",Increase the inspection capabilities and efficiency of inspections through the use of small autonomous uncrewed aerial systems (sUAS).,"Multiple outputs for inspections, including decisions on corrosion levels, if a platform is boardable, does it have methane leaks."
DOI,VoiceAtlas no-code chatbot framework,USGS,agentic,Agentic AI,Pilot  The use case has been deployed in a limited test or pilot capacity.,,Navteca,"Many business areas in USGS could benefit from AI tools, however do not have technical expertise on staff.",VoiceAtlas is an out of the box no code solution for non-technical employees.,Chatbots with guardrails and knowledge bases that can be created and maintained by non-technical employees.
DOI,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resource Program Workflows [2024 INV#WO0000000109216],USGS,agentic,Classical/Predictive Machine Learning,Pre-deployment  The use case is in a development or acquisition status.,,,development of a strategic framework for integrating Energy Resources Program science with traditional information technology related platforms,position the ERP to more effectively deliver its unique data-driven information products,"(1) adoption of ML pipelines/models in ERP project workflows; (2) modernization of key ERP data assets through API extension ; and (3) technology transfer, targeted training, and multi-disciplinary career development for existing geospatial ERP workforce"
DOI,Predicting Sparse (Geothermal) Resources Availability by using Machine Learning [2024 INV#WO0000000109195],USGS,agentic,Classical/Predictive Machine Learning,Pre-deployment  The use case is in a development or acquisition status.,,,"developing new ML metrics for evaluating model performance that work with sparse natural resources, addressing the extreme mathematical sparsity of these resources at the regional scale, and engineering new evidence layers to inform modeling workflows","increasing the explainability, reproducibility, and accessibility of the assessment modeling process",new ML metrics for evaluating model performance
