agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
Treasury,AI Use Case Review and Evaluation Workflow,keep,agentic,medium,"OMB classifies the pilot as 'Agentic AI'; it produces 'structured, domain-specific analyses across Bias, Ethics, Business Value, Risk, and Technical Excellence' — a multi-perspective evaluation pipeline consistent with multi-agent orchestration."
Treasury,GenAI Productivity Tool Pilot,reclassify,general_llm,high,"Productivity pilot for 'Meeting Summarization... Content Generation & Refinement... Code Assistance' — general-purpose GenAI assistant use, no agentic planning."
Treasury,AI Application and Agent Management POC,keep,agentic,medium,"A platform 'designed to help developers and IT administrators design, customize, and manage AI applications and agents' with SDK and APIs — an agent-framework enabler; agent management is the explicit subject of the POC."
Treasury,Answering Employee Questions with Natural Language Processing in IRWorks,reclassify,nlp_specific,high,"OMB classifies this as NLP; it uses 'natural language to respond to common user questions about IRWorks knowledge base (KB) articles' — Tier-1 Q&A retrieval, not agentic."
Treasury,Ask-CFO Research Aide,reclassify,general_llm,medium,"The core system is 'a Retrieval Augmented Generation (RAG) search' over CFO documents; 'AI Agents' are only planned extensions for summary comparison and table extraction, and OMB classifies the case as Generative AI."
Treasury,IRS IaaP Accelerator ( AI-Powered Infrastructure as a Product Accelerator),keep,agentic,high,"OMB classifies it Agentic AI; AI personas where 'AI validates IaC pull requests, explains security findings, updates backlogs, and posts PR comments' and 'drift detection triggers cloud-based AI' proposing Terraform diffs — clear multi-step, tool-using autonomy."
Treasury,Zero Paper AI Routing for Digitalization,reclassify,classical_ml,medium,"Although OMB labels it Agentic AI, the only output 'is the respective route or downstream system each digital package should be routed to' via trained pattern recognition — a document classification/routing model, not multi-step planning."
Treasury,Digitalization AI Agent,reclassify,general_llm,medium,"Despite the 'Agent' name, OMB classifies it Generative AI and functions are 'document organization, recall, and sorting,' AI-powered search, summaries and suggestions — assistant features without autonomous multi-step execution."
Treasury,Ticket Management Generative AI Pilot,reclassify,general_llm,high,GenAI pilot for 'Incident Summarization... Resolution Notes generation... and Knowledge Article Generation' — text-generation assistance for service-desk agents.
Treasury,GenAI for Low Code Platform,reclassify,general_llm,medium,"GenAI in a low-code platform 'automating repetitive tasks and providing intelligent suggestions' for app building and workforce-planning insights — copilot-style suggestions, not agentic orchestration."
Treasury,AI-Powered Enterprise Standard Portfolio (ESP) for End-to-End Technology Lifecycle,reclassify,general_llm,medium,"Delivers 'plain-language guidance about processes,' recommendations, and 'risk and readiness scores' for technology requests — conversational assistant plus analytics, no model-driven multi-step action."
Treasury,Form 4546 IDR Question-Answering Automation,reclassify,nlp_specific,medium,LLMs 'automatically assess whether taxpayers have addressed the questions raised... in Information Document Requests (IDRs) responses' and generate a summary — a targeted single-step document-assessment NLP task.
Treasury,GenAI Procurement Tool,reclassify,predictive_analytics,medium,"OMB classifies it Classical/Predictive ML; outputs are 'bid evaluation matrices, acquisition performance dashboards... and compliance validation reports' with vendor recommendations from historical data — procurement analytics, not agentic."
Treasury,Programmatic Access to LLMs via API,reclassify,general_llm,high,"Secure API endpoints where 'researchers submit prompts and receive model output directly within analytical workflows' — raw LLM access, no agency or planning."
USDA,NASSportal Intranet Agent,reclassify,general_llm,medium,"Although OMB tags it Agentic AI, the O365 system simply 'identifies and returns approved policies and procedures for program execution' — single-step retrieval Q&A with no tool-use planning."
USDA,ARGUS AI Supply Chain Interference,keep,agentic,medium,"OMB classifies it Agentic AI; Accrete's ARGUS autonomously 'collect[s], organize[s], and summarize[s] open-source information relating to suppliers' into knowledge graphs and relationship maps — a vendor-marketed autonomous analyst agent."
USDA,Chatbot for Meat and Poultry Hotline & OPACE Efficiency,reclassify,general_llm,high,"FAQ chatbot 'handling common food safety questions automatically' to relieve live agents — Q&A only, no multi-step tool use."
USDA,NETS automated waterway design,reclassify,classical_ml,medium,"Despite OMB's Agentic label, the output is 'auto-generated design for grassed waterways, lined waterways, and outlets' inside an engineering tool suite — automated engineering design computation (classical autonomy), not model-driven planning."
USDA,NASS Data Dissemination Agent,reclassify,general_llm,medium,OMB classifies it Generative AI; the 'agent' just 'outputs information regarding... Agricultural Statistics' to make NASS data more accessible — a retrieval Q&A interface over published data.
