agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
HHS,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,reclassify,general_llm,high,"OMB says Generative AI; ""converts natural language lab protocols into precise XML workflows"" plus interactive knowledge base - NL-to-config generation + RAG, not agentic."
HHS,Automating the distribution of CDC-State Department cables using AI models in the Global Health Center,reclassify,nlp_specific,medium,"""automated and timely distribution of CDC-State Department cables ... delivers ... messages directly to the intended recipients"" - content-based message routing/distribution, not multi-step agentic planning."
HHS,AI-Powered web scanner for digital surveillance of rabies-related news articles,reclassify,nlp_specific,medium,"""AI-Powered web scanner ... scanning media for evidence of rabies outbreaks"" producing ""Daily automated compilation of news reports"" - a detection/classification pipeline, which the instructions flag as a misfire."
HHS,Agentic RAG Chatbot,keep,agentic,high,"Explicitly multi-agent: ""a small team of agents to refine the inquiries, decide what source data to use for grounding, and generate higher-quality draft responses"" - genuine multi-step agent orchestration."
HHS,Data Standardization with LLM,reclassify,general_llm,medium,"""leveraging large language models ... to improve data cleaning and standardization"" (e.g. ""ATL vs Atlanta"") - single-purpose LLM normalization, not agentic."
HHS,PPE Concerns Copilot,reclassify,general_llm,medium,"Copilot that will ""analyze incoming questions, search the existing dataset ... and generate draft replies for human review"" - RAG drafting assistant with gated send/update; OMB itself says NLP."
HHS,CSB MCP AI,keep,agentic,medium,"""CSB MCP AI"" with outputs of ""Reports, infrastructure code generation, and task execution"" - MCP integration plus autonomous task execution is genuinely agentic."
HHS,Support for MCP and AI APIs in Digital Gateway,keep,agentic,low,"MCP infrastructure: ""managing interactions between AI agents and MCP servers"" and standing up a ""Model Context protocol"" server - agentic-ecosystem enablement; low confidence as it is platform plumbing rather than an agent itself."
HHS,OFR Robotics and Process Automation (ORPA),reclassify,classical_ml,high,"Explicit RPA: ""Multiple Robotics and Process Automation (RPA) bots ... simple automations of basic tasks"" (invoice sorting, PCARD validation) - deterministic bots, not model-driven planning."
HHS,FERRET,reclassify,nlp_specific,medium,"""automate identification, extraction, and re-structuring of data"" from unstructured documents into a ""SQL database"" - information-extraction pipeline, not agentic."
HHS,Federal Select Agents Program (FSAP) Customer Agent,reclassify,general_llm,medium,"""provide answers to questions as users navigate the FSAP process ... output is text via an LLM ... chat window or copilot"" - Q&A chatbot; OMB itself classifies NLP. ""Agent"" = customer-support chatbot."
HHS,CDC Vault and Stacks Metadata Extraction,reclassify,nlp_specific,medium,"""AI will return up to 41 metadata elements (eg Title, Author, Subject ...)"" - metadata extraction from documents, not multi-step agentic planning despite OMB=Agentic."
HHS,Agent/Broker Fraud Analysis (ABCQI),reclassify,classical_ml,high,"""Implement Machine Learning (ML) to identify potential fraud/waste/abuse"" - fraud scoring; ""Agent/Broker"" refers to insurance brokers, not AI agents. OMB says Classical/Predictive ML."
HHS,Chatbot within Hub,reclassify,general_llm,medium,"""Build a chatbot ... Including retrieval augmented generation (RAG) ... Personalized FAQs"" - RAG chatbot; ""Talk to Agent""/""Live Agent"" means a human, not an AI agent."
HHS,CCSQ Now Assist for CSM,reclassify,general_llm,high,"ServiceNow Now Assist: ""case summarization ... auto-generated resolution notes"" via Now LLM - generative summarization assistant; ""agents"" are human service reps. OMB says Generative AI."
HHS,Independent Dispute Resolution (IDR) Eligibility Rules Engine,reclassify,classical_ml,medium,"""rules engine"" where ""AI models ... identify the presence or absence of necessary data points"" in documentation - rules engine + data-point detection; OMB says Classical/Predictive ML."
HHS,AI-Powered Meeting Notes for MAG Hearings and AIRC Sessions,reclassify,general_llm,high,"""reduce manual note-taking"" producing ""consolidated reports"" - meeting-notes summarization; OMB says Generative AI, no agentic planning."
HHS,Knowledge Management Solution for Appeal Case Workers,reclassify,general_llm,medium,"""centralized, AI-enhanced Knowledge Management system ... quick access to relevant SOPs"" with ""automated case data summaries"" - RAG knowledge base + summarization, OMB says NLP."
HHS,T-MSIS Prima,keep,agentic,low,"Thin narrative (""High-level Task Automation"", outputs ""Code, Documentation, Communications, Analysis/Research"") but OMB self-classifies Agentic AI; leaning on the agency classification per decision rule."
HHS,AI Agent Orchestrator POC,keep,agentic,high,"""orchestrate complex, multi-step analytical workflows that require calling external data science notebooks and tools in the correct sequence"" - explicit multi-step tool orchestration; genuine agent despite OMB=NLP."
HHS,MCP Server Registry and Integration Platform,keep,agentic,low,"""centralized ... platform to develop, share, and integrate specialized AI tools"" via ""standardized MCP servers"" supporting ""agentic AI tool development"" - MCP/agent-framework infrastructure; low confidence as it is platform enablement."
HHS,Agentic Web Search,keep,agentic,low,"""AI-powered web search agent"" that autonomously ""pull[s] real-time web search results into CMS Chat context"" - tool-using search agent; confidence low as it is a single-tool retrieval step."
HHS,Deep Research Multi-Agent System,keep,agentic,high,"""Deep Research multi-agent system ... automatically decomposing complex queries into targeted subqueries, searching across web and internal data sources simultaneously"" - multi-agent decomposition and tool use."
HHS,PubMed Literature Review MCP Server,keep,agentic,medium,"""PubMed Literature Review MCP server"" that ""automates PubMed data analysis and synthesis"" - MCP-server tool integration for autonomous literature review."
HHS,Case Management Tool Case Creation & Automation,reclassify,classical_ml,medium,"""Creates a case in the system based on a scanned document ... automates simple functions"" - document-triggered case-creation automation (OCR + RPA), not model-driven planning despite OMB=Agentic."
HHS,AI for Regulatory Review (AIRR) Pilot,reclassify,general_llm,high,"""AI-powered prompt engineering for streamlined workflows, real-time regulatory data retrieval ... automated document formatting"" producing review summaries - GenAI review assistant with human oversight; OMB says Generative AI."
HHS,"Renamed: Document Room Submission AI-Assisted Categorization
Previously: Document Room Submission Auto-categorization",reclassify,nlp_specific,high,"Outputs ""Submission category and subcategory as well as ... metadata"" - document classification/categorization, not agentic."
HHS,AI-Powered Assistant for Pathogen Detection (AIPD),reclassify,general_llm,medium,"""AI-assisted data reports"" addressing ""accessibility barriers ... manual workflow overhead, knowledge gaps in tool selection"" - GenAI analysis assistant; OMB says Generative AI, no autonomous orchestration described."
HHS,Electronic translational services for regulatory documents for articles offered for import,reclassify,nlp_specific,high,"""automated the electronic translation of ... import documents"" via Google Translate API - machine translation; OMB says NLP."
HHS,AI Audit Resolution Assistant (AIARA),reclassify,general_llm,medium,"""RPA to extract data ... creates a retrieval augmented generation which integrates with a large language model to intelligently summarize audit findings ... chatbot capability"" - RPA + RAG summarization, not multi-step agentic planning despite OMB=Agentic."
HHS,FOIA Exemption-Aligned Redaction,keep,agentic,medium,"Multi-step with tool use: ""review records ... search the internet for publicly available information ... identify ... PII ... Proposing the redaction markings""; narrative explicitly ""HRSA uses agentic AI to propose redactions"" with web-sourced citations."
HHS,MirBot,reclassify,nlp_specific,medium,"""indexed and preprocessed version of each ... PDF, enabling context-aware question-answering ... predefined set of questions ... automatically asked to extract relevant information"" - document extraction/QA, OMB says NLP."
HHS,Software Approval Agent,keep,agentic,medium,"""route software requests directly to the correct parties based on the approval status"" then ""generates a IT service request routed to the correct recipient(s)"" - looks up status and takes routing/ticketing actions; multi-step tool use."
HHS,Ethics AI Agent,keep,agentic,low,"RAG recommendations ""with links to source references"" plus an action: ""it sends a request to the Ethics team with the conversation history included"" - light tool use/routing; confidence low as it is mostly Q&A."
HHS,Help Desk AI Assistant,reclassify,general_llm,high,"""provides responses to IT service desk tickets that staff can copy & paste into ServiceNow"" - drafting assistant with no autonomous action or tool use despite OMB=Agentic and ""Agent"" in name."
HHS,BioData  Catalyst Harmonized Data Model,reclassify,nlp_specific,low,"""Harmonizing complex scientific concepts in retrospectively collected data"" into ""Harmonized, AI-ready data"" - semantic concept mapping; thin narrative, no agentic behavior described."
HHS,NHLBI Chat Workflow - Data Management and Sharing Plan,reclassify,general_llm,high,"""Assists program officers in reviewing grant applications for a specific query in the checklist (DMSP)"" outputting ""Recommendations"" - single-query GenAI review assistant; OMB says Generative AI."
HHS,NHLBI Chat Workflow - Foreign Component,reclassify,general_llm,high,"""Assists program officers in reviewing grant applications for a specific query in the checklist (Foreign Component)"" outputting ""Recommendation"" - single-query GenAI review assistant; OMB says Generative AI."
HHS,Virtual Assistant for the NIAMS Grant Management Applications,reclassify,general_llm,high,"""AI-powered virtual assistant can handle user questions"" returning ""Responses to end user questions with citation from user guides"" - RAG Q&A assistant; OMB says Generative AI."
HHS,Transformer-Based Metadata Alignment Workflow,reclassify,nlp_specific,high,"""Ranked variable pairs using semantic similarity scores generated by transformer-based embeddings (MiniLM, MPNet)"" - embedding-based semantic matching, not agentic."
HHS,ABE (AI-driven. Beneficial. Efficient.),reclassify,general_llm,high,"""quickly access, summarize, analyze, and create resources"" from a Knowledge Base producing ""generative AI content, images, summarizations, and analysis"" - RAG + generative content; OMB says Generative AI."
HHS,Federal Assistant AI Agent,reclassify,general_llm,medium,"""single point of entry and plain language to find information across all HHS ... websites"" returning ""Plain language, conversational responses ... providing sources"" - a RAG Q&A chatbot; OMB/name say Agentic but behavior is question-answering with no multi-step tool use."
HHS,GrantSolutions Non?Competing Continuation Approval Tool,reclassify,classical_ml,high,"""identify and analyze differences in non-competing continuation budgets and narratives"" producing ""eligibility recommendations"" - diff analysis/scoring; OMB says Classical/Predictive ML."
HHS,GrantSolutions Helpdesk Agent,reclassify,general_llm,high,"""answers to their login and access-related questions"" providing ""guidance to resolve common account related questions"" - helpdesk Q&A chatbot; ""Agent"" in name but OMB says Generative AI with no tool use."
HHS,GrantSolutions Non?Competing Continuation Review Tool,reclassify,general_llm,medium,"""identify and analyze differences in ... budgets and narratives"" and ""Flags potential compliance risks and delivers a structured summary"" - GenAI document comparison/compliance review; OMB says Generative AI."
