agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
NASA,Agile Science,reclassify,classical_ml,high,"Onboard ""planning, scheduling, and execution"" and ""geometric reasoning"" for autonomous spacecraft science - classical aerospace autonomy; OMB says Classical/Predictive ML."
NASA,ASPEN Mission Planner,reclassify,classical_ml,high,"ASPEN is a classical ""planning and scheduling"" framework with ""a temporal reasoning system"" and ""a resource management system"" - a mission planner, not an LLM agent, despite OMB ""Agentic AI""."
NASA,Dynamic Targeting,reclassify,computer_vision,medium,"Onboard instruments ""autonomously identify critical areas of interest (e.g. plumes, thermal anomalies) or avoidance (e.g. clouds)"" and retarget - perception-driven classical autonomy despite OMB ""Agentic AI""."
NASA,Enhanced AutoNav for Perseverance Rover on Mars,reclassify,classical_ml,high,"AutoNav uses ""a tree search for decision making, Dijkstra algorithm for global path planning, stereo processing"" - classical path-planning autonomy; OMB says Classical/Predictive ML."
NASA,Groundwater data interpolation in California’s Central Valley using multimodal data fusion and multivariate sequence-to-sequence transformation models,reclassify,classical_ml,high,"""Distributed Artificial Intelligence/Multi Agent algorithms to allocate observations in a constellation"" - classical multi-agent optimization, not LLM agents; OMB says Classical/Predictive ML."
NASA,Hybrid On-Board and Ground-Based Processing of Massive Sensor Data (HyspIRI IPM),reclassify,classical_ml,high,"""Automated mission-planning tools determine which onboard-processing mode the spacecraft should use"" based on projected orbit - deterministic mission planning despite OMB ""Agentic AI""."
NASA,Mars2020 Rover (Perseverance),reclassify,classical_ml,high,"Rover ""onboard autonomy; planning, scheduling & execution"" tuned by ""monte carlo based stochastic analysis"" - classical aerospace autonomy despite OMB ""Agentic AI""."
NASA,Machine Learning for RFID (Radio Frequency Identification) tag localization to support logistics,reclassify,classical_ml,high,"""Random forest classifier"" and ""neural network with a ResNet50 backbone"" for RFID tag localization; OMB says Classical/Predictive ML."
NASA,Intelligent Contingency Management,reclassify,classical_ml,high,"Vehicle contingency manager ""maintaining nominal performance via reinforcement learning"" - RL flight control, classical autonomy, despite OMB ""Agentic AI""."
NASA,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,reclassify,nlp_specific,high,"""Assignment of these standard variable names based on Natural Language Processing (NLP)"" - an NLP mapping/standardization task; OMB says NLP."
NASA,INtelligent StennIs Gas House Technology (INSIGHT),reclassify,classical_ml,high,"""Autonomous Integrated System Health Management ... and autonomous operations of the Nitrogen System"" built on the rule-based NPAS platform - classical control autonomy despite OMB ""Agentic AI""."
NASA,NASA Platform for Autonomous Systems (NPAS),reclassify,classical_ml,high,"NPAS behavior models are ""physics-based, heuristic, rule-based"" with FMEA libraries - a knowledge/rule-based autonomy platform, not LLM agents, despite OMB ""Agentic AI""."
NASA,Autonomous WAiting Room Evaluation (AWARE),reclassify,computer_vision,high,"""YOLO Machine Learning model to detect and count number of people"" with threshold-triggered alerts - CV detection; OMB says Computer Vision."
NASA,Troupe Rover Demonstration,reclassify,classical_ml,high,"SafeMAP ""Safe Multi-Agent Planner"" to plan actions of collaborating rovers/UAVs - a classical multi-agent planning algorithm despite OMB ""Agentic AI""."
NASA,Onboard Planner for Mars2020 Rover (Perseverance),reclassify,classical_ml,high,"""Onboard scheduler incrementally constructs a feasible schedule ... non backtracking"" - a deterministic spacecraft scheduler, canonical classical autonomy, despite OMB ""Agentic AI""."
NASA,"SensorWeb: Volcano, Flood, Wildfire, and others.",reclassify,classical_ml,high,"""Network of sensors linked by software ... to an autonomous satellite observation response capability"" with customizable ""trigger conditions"" - rule-triggered observation tasking; OMB says Classical/Predictive ML."
NASA,Friction Stir Weld Control,reclassify,classical_ml,high,"""Monitors the telemetry ... sending updated trim commands to fine tune the weld parameters"" - closed-loop process control, not an LLM agent, despite OMB ""Agentic AI""."
NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",keep,agentic,low,"OMB self-classifies ""Agentic AI"" and describes ""a software agent that can perform tasks or services for an individual based on commands"" in a crew medical-ops pilot; generic digital-assistant language keeps confidence low."
NASA,AIML for Code Review and Workforce Augmentation (converted to collective),reclassify,coding_assistant,medium,"""AI Studio API to GIT type Repositories for Code Review, Debating Agent implementation"" - code-review assistance (now retired); OMB says NLP and there is no evidence of LLM tool-use orchestration."
NASA,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,reclassify,classical_ml,medium,"Title-only narrative on distributed-space-mission autonomy with outputs ""Predictions"" - squarely in the classical spacecraft-autonomy domain despite OMB ""Agentic AI""."
NASA,AI Prediction Algorithms for Autonomous Science and Operations,reclassify,predictive_analytics,medium,"""AI Prediction Algorithms for Autonomous Science and Operations"" outputting ""Predictions"" - prediction algorithms; OMB says Classical/Predictive ML."
NASA,Autonomous Network Security,reclassify,classical_ml,medium,"""Autonomous Network Security"" with outputs ""Predictions"" - anomaly-detection-style ML; OMB says Classical/Predictive ML; ""autonomous"" alone is not agentic."
NASA,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,reclassify,classical_ml,high,"""Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning"" - RL control policy; OMB says Classical/Predictive ML."
NASA,Safe Autonomous Taxiing with Vision-Based Navigation,reclassify,computer_vision,high,"TaxiNet is ""a vision-based deep learning model"" for line-following during aircraft taxiing; OMB says Computer Vision."
NASA,GenAI Agent for Interacting with Robots (https://github.com/nasa-jpl/rosa),keep,agentic,high,"ROSA is ""an AI agent that integrates with the ROS ecosystem"" and is ""able to read live telemetry data from robotics systems and formulate answers"" - a genuine LLM agent with tool access to robot systems, even though OMB filed it as Generative AI."
NASA,Module for Event Driven Operations on Spacecraft (MEDOS),reclassify,classical_ml,medium,"MEDOS is a ""flight-tested onboard decision engine"" ""requiring little to no training data"" built on ""existing subject matter expertise"" - rule/knowledge-based onboard autonomy, not an LLM agent, despite OMB ""Agentic AI"" and the ""agentic-focused"" wording."
NASA,"Remote Coordination, Actuation, and Planning (ReCAP) Cooperative MultiAgent Architecture",reclassify,classical_ml,high,"Auction-based multi-agent coordination with ""behavior tree"" control that ""requires no training data, before or during operations"" - classical multi-agent robotics, not foundation-model agents, despite OMB ""Agentic AI""."
NASA,Science Autonomy for NEAScout,reclassify,classical_ml,medium,"""Autonomy software to support on board AI science capabilities"" for the NEAScout asteroid mission - classical spacecraft science autonomy despite OMB ""Agentic AI""; narrative thin."
NASA,"System for Uncertainty, Risk, and Feature Assessment of Surfaces (SURFAS) Holistic Scene Analysis",reclassify,computer_vision,medium,"Fuses LiDAR/GPR/hyperspectral data ""to create a holistic map of the scene"" feeding a costmap for path planning - sensor-fusion perception for classical robotic autonomy despite OMB ""Agentic AI""."
NASA,Using ChatGSFC to Streamline Analysis and Reporting,reclassify,general_llm,high,"""90+ examples of how ChatGSFC or a NASA-focused LLM can be utilized to enhance project planning and controls (PP&C) analysis"" - chat-based LLM productivity use with no tool-using orchestration, despite OMB ""Agentic AI""."
NASA,Autonomous Science and Technology for Responsive Adaptation (ASTRA),reclassify,classical_ml,high,"Onboard science autonomy whose outputs are ""classification, prediction, confidence in prediction, anomalies"" - classical/predictive models; OMB says Classical/Predictive ML."
NASA,Multimodal Earth Observation Workflow for Machine Learning (MEOW-ML):  A Case Study in Canopy Height Model and Canopy Height Change Prediction,reclassify,classical_ml,high,"""End-to-end data fusion and ... ML framework"" for canopy-height-change prediction - an ML training/evaluation pipeline; OMB says Classical/Predictive ML."
NASA,"Strategic Text Augmentation & Research Synthesis for Physics Innovation Narratives & Evaluations""",reclassify,general_llm,high,"ChatGSFC workflow to ""transform ... research notes, experimental data, and scientific observations into polished monthly reports, publication drafts"" - LLM text generation, not agentic; general_llm is the concrete fit."
NASA,Text-to-Spaceship,keep,agentic,medium,"""Engineers guide intent and AI rapidly handles requirements generation, design creation, and manufacturability assessment"" in an ""integrated computational pipeline"" - multi-step AI-driven engineering workflow; OMB says ""Agentic AI""."
NASA,Hydrology Copilot,keep,agentic,high,"A ""multi-agent AI copilot"" built on ""an agentic Retrieval-Augmented Generation (RAG) stack"" that ""retrieves relevant data and workflows, and guides users from question to analysis""; OMB says ""Agentic AI""."
NASA,Adaptive State-Space Control via Neuromorphic Computing,reclassify,classical_ml,high,"""Adaptive state-space model on neuromorphic hardware"" using ""spiking neurons and plastic synapses"" for control-logic adaptation - an adaptive control system, not an LLM agent, despite OMB ""Agentic AI""."
NASA,Autonomous Navigation Decision Making for Lunar/Martian Rovers,reclassify,computer_vision,high,"Rover construction tasks ""using AI for perception, mapping, planning, control"" - robotics perception/autonomy; OMB itself says Computer Vision."
NASA,Autonomous Object Manipulation Decision Making for Lunar/Martian Rovers,reclassify,computer_vision,high,"Robotic arm to ""autonomously identify, retrieve, and swap between different tools and payloads"" - perception-driven manipulation; OMB says Computer Vision."
NASA,Data analysis and pattern recognition,keep,agentic,low,"OMB self-classifies ""Agentic AI"" and the narrative describes ""creating an agent"" on ChatGSFC that can ""recommend test data and perform evaluations of the raw data"" over a curated knowledge base - an LLM agent, though tool use is only implicit."
