slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning,audit_verdict,audit_reasoning
csosa-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,CSOSA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeding CSOSA's ~522-person headcount; scheduling/reminders is general Copilot functionality.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-searching-for-agency-information-using-a-knowledge-retrieval-system,CSOSA,Searching for agency information using a knowledge retrieval system.,unknown,unknown,unknown,general,low,"Band (1,001-5,000) exceeds CSOSA's ~522 headcount; ChatGPT/Copilot knowledge search treated as general, unit unknown per plausibility discipline.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-summarizing-the-key-points-of-a-lengthy-report-using-ai,CSOSA,Summarizing the key points of a lengthy report using AI.,unknown,unknown,unknown,general,low,"Same reused band exceeding actual CSOSA headcount (~522); general summarization task, unit left unknown.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,CSOSA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",unknown,unknown,unknown,general,low,Same reused band exceeding CSOSA's ~522 headcount; general meeting-accessibility feature via Copilot.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
csosa-using-ai-assisted-tools-in-word-processors,CSOSA,Using AI-assisted tools in word processors.,unknown,unknown,unknown,general,low,"Reused 1,001-5,000 band exceeding CSOSA's actual ~522 headcount; word-processing assist task kept general stratum, unit left unknown.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DHS,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Bundle of component chat tools (OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot) spanning multiple DHS components suggests a broad but not literally all-staff drafting rollout; band 10,000-50,000 is 4-19% of the 260,000 headcount.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-improving-the-quality-of-written-communications-using-ai-tools,DHS,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,Identical product bundle and band to the drafting-documents row; same cross-component general chat rollout.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DHS,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,comms,low,"Sprinklr is a social-engagement/listening platform, not a typical IT help-desk tool -- likely a comms team handling public social-media 'tickets' rather than internal IT support; band 1-100 fits one team, but the narrative/product mismatch keeps confidence low.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DHS,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",employees,occupation:agents_investigators,component,investigative,low,"Unlike the pure endpoint-agent CrowdStrike rows, Microsoft Security Copilot and Andesite are analyst-facing copilots for SOC/cyber staff -- a real human seat; closest closed occupation is agents_investigators (cyber forensics), though 'technical' is a plausible alternative, hence low confidence. Band 101-1000 of 260,000 fits one security-operations component.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-prioritizing-and-categorizing-incoming-emails-using-ai,DHS,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,component,general,medium,"Microsoft 365 Copilot email triage; band 101-1000 is under 1% of the 260,000 headcount, so a single-component pilot, not agency-wide.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-searching-for-agency-information-using-a-knowledge-retrieval-system,DHS,Searching for agency information using a knowledge retrieval system.,employees,office_staff,enterprise,general,low,"Mixed bundle (RelativityOne, ServiceNow, Einstein, Vertex AI, Copilot) makes the population imprecise; band 50,000+ (19%+ of 260,000 headcount) suggests a broad cross-component search rollout via the dominant linked product, ServiceNow Now Assist, rather than a true all-staff deployment.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,DHS,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,"Same cross-component chat bundle and 10,000-50,000 band as the drafting/quality rows.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DHS,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,low,"Dragon Professional dictation for meeting/interview accessibility; narrative doesn't name a specific occupation (e.g., investigators), so treated as general office use; band 101-1000 of 260,000 is a small component-level deployment.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-using-ai-assisted-tools-in-word-processors,DHS,Using AI-assisted tools in word processors.,employees,office_staff,component,general,low,"Adobe Premiere Speech-to-Text is a video-editing tool, a poor match for 'word processors'; Copilot is the more plausible driver of this use case, so classified as general employee drafting, low confidence due to the product mismatch. Band 5,001-10,000 is ~2-4% of the 260,000 headcount.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doc-improving-the-quality-of-written-communications-using-ai-tools,DOC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,"Band of 50,000+ matches DOC's total headcount of 50,000 almost exactly, indicating an enterprise-wide deployment; OpenAI plus Salesforce Agentforce (linked as ml_platform) is a mixed signal, but the narrative ""improving the quality of written communications"" is generic enough to read as general rather than a case-management-specific stratum.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doc-using-ai-assisted-tools-in-word-processors,DOC,Using AI-assisted tools in word processors.,employees,occupation:attorneys,component,legal,medium,"Litera Compare is a document-comparison/redlining tool predominantly used by attorneys and paralegals for contract and legal-document review; population/stratum follow that known product use rather than the generic ""word processors"" narrative, per the population-overrides-product rule.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,Finding and booking travel accommodations using AI-powered platforms.,employees,office_staff,enterprise,excluded_not_seats,medium,Consistency: AI features embedded in travel-booking systems (ETS/Concur class) are excluded per the EPA SAP Concur precedent.,override,Fable audit 2026-07-05: Consistency: AI features embedded in travel-booking systems (ETS/Concur class) are excluded per the EPA SAP Concur precedent.
doe-generating-code-using-ai,DOE,Generating code using AI.,employees_and_contractors,occupation:developers,enterprise,technical,medium,"GitHub Enterprise band 10,000-50,000 far exceeds any plausible count of DOE federal developers among 16,000 employees, so it must include the large lab contractor workforce (NNSA/national labs), consistent with worked example 5's contractor read.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOE,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Matches worked example 1 exactly: ChatGPT/Copilot/Gemini/Claude band 10,000-50,000 against 16,000 headcount is a whole-workforce general drafting rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-improving-the-quality-of-written-communications-using-ai-tools,DOE,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Identical product set and band to the drafting-documents row; same enterprise-wide Copilot/ChatGPT/Claude/Gemini rollout across DOE's 16,000 staff.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,DOE,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,single_component,component,technical,low,"Splunk is a log-analytics/security platform, an odd fit for 'time management'; tiny 1-100 band implies one IT/ops team rather than a real time-tracking seat population, so confidence is low given the narrative/product mismatch.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOE,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Matches worked example 2 exactly: CrowdStrike/Defender/Vectra/Splunk endpoint agents on band 10,000-50,000 are device counts, not people.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-planning-travel-routes-using-ai-driven-map-applications,DOE,Planning travel routes using AI-driven map applications.,public_users,unknown,unknown,excluded_not_seats,medium,"Matches worked example 3: Google/Apple Maps band 50,000+ vastly exceeds the 16,000 headcount, confirming device/app-install counts rather than staff seats.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-prioritizing-and-categorizing-incoming-emails-using-ai,DOE,Prioritizing and categorizing incoming emails using AI.,employees,single_component,component,general,low,"CBSA is an internal business-app suite; email triage is a productivity feature for its user base. Original stratum ""unknown"" not in vocabulary.",override,"Fable audit 2026-07-05: CBSA is an internal business-app suite; email triage is a productivity feature for its user base. Original stratum ""unknown"" not in vocabulary."
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,unknown,component,excluded_not_seats,low,"Scheduling features embedded in docket/energy business systems (WebApps, OGC Docket, MCG) are not a person AI seat. Original stratum ""unknown"" not in vocabulary.",override,"Fable audit 2026-07-05: Scheduling features embedded in docket/energy business systems (WebApps, OGC Docket, MCG) are not a person AI seat. Original stratum ""unknown"" not in vocabulary."
doe-searching-for-agency-information-using-a-knowledge-retrieval-system,DOE,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,"Same ChatGPT/Copilot/Gemini/Claude (+OpenText) bundle and 10,000-50,000-vs-16,000-headcount ratio as the enterprise drafting rollout; knowledge-retrieval chat available department-wide.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOE,Summarizing the key points of a lengthy report using AI.,unknown,unknown,unknown,technical,low,"Doble Test Assistant is transformer/relay test-equipment software for utility engineers; a 10-50k band cannot be verified as seats and the population is engineering staff, not general office. Original stratum ""unknown"" is not in vocabulary.",override,"Fable audit 2026-07-05: Doble Test Assistant is transformer/relay test-equipment software for utility engineers; a 10-50k band cannot be verified as seats and the population is engineering staff, not general office. Original stratum ""unknown"" is not in vocabulary."
doe-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOE,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees_and_contractors,all_staff,enterprise,general,high,"Matches worked example 5 exactly: 'NNSS-Microsoft 365' (Nevada National Security Site) plus band 10,000-50,000 against 16,000 federal headcount signals the large lab/site contractor workforce is included.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOE,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,unknown,excluded_not_seats,high,"Face ID/device unlock on iPhone and Pixel; band 50,000+ vs. 16,000 headcount confirms this counts devices, not employees.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doe-using-ai-assisted-tools-in-word-processors,DOE,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,"Same Microsoft 365 rollout pattern as the other 10,000-50,000-band DOE Copilot rows against 16,000 headcount; no explicit contractor language here so treated as the federal workforce.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doi-generating-code-using-ai,DOI,Generating code using AI.,employees,occupation:developers,component,technical,high,"Linked tools (GitHub Copilot, Claude Code, Splunk AI Assistant for SPL, Visual Studio) are all developer/IT tooling; band 101-1000 of 70,000 fits a specific bureau OCIO/dev shop.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
doi-improving-the-quality-of-written-communications-using-ai-tools,DOI,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Band 50,000+ (lower bound below the 70,000 headcount) matches a department-wide Microsoft Copilot/Copilot Chat rollout; Synthesia is a secondary video tool, general writing-assist is the dominant use.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dot-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOT,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Palo Alto/Elastic security tooling for cybersecurity controls counts devices/endpoints, not people using an AI tool.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dot-planning-travel-routes-using-ai-driven-map-applications,DOT,Planning travel routes using AI-driven map applications.,public_users,unknown,enterprise,excluded_not_seats,medium,Matches the DOE Google Maps/Apple Maps worked example precisely: consumer navigation AI is excluded_not_seats regardless of staff-vs-public reading.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,"Sprout is a social-media management tool for comms staff; band 1-100 of 55,000 fits a single office even though product linkage is missing in this extract.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dot-searching-for-agency-information-using-a-knowledge-retrieval-system,DOT,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,low,"Databricks/Bedrock/Foundry suggest a custom-built internal search/RAG system rather than an off-the-shelf chat tool; unclear whether the 101-1,000 band (of 55,000) counts general end users of the search UI or the technical team that built it -- kept general/office_staff but genuinely ambiguous.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dot-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOT,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,excluded_not_seats,low,"Google Calendar is an embedded scheduling feature, not a transcription AI seat; agency filing appears miscategorized.",override,"Fable audit 2026-07-05: Google Calendar is an embedded scheduling feature, not a transcription AI seat; agency filing appears miscategorized."
dot-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOT,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, consistent with the pattern across all agencies in this batch.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
eac-generating-code-using-ai,EAC,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicitly code generation, so population/stratum follow the developer occupation per the population-overrides-product rule; EAC is tiny with likely few dedicated developers, so confidence is low that this band cleanly isolates a distinct coder population versus reflecting the same shared chat-tool license count as other EAC rows.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
eac-improving-the-quality-of-written-communications-using-ai-tools,EAC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,Same shared general_llm toolset/band as EAC's other office-productivity rows; writing-quality assistance is a general arbitrary-prompt use.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
eac-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EAC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID biometric unlock is a device feature, not a person-facing generative AI seat, matching the instructions' device/biometric exclusion guidance.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EPA,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,high,"Azure OpenAI/Microsoft365 Copilot at the 10,000-50,000 band (lower bound within EPA's 16,000 headcount) mirrors the instructions' worked example 1 almost exactly — an enterprise-wide general drafting/visualization deployment.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EPA,Finding and booking travel accommodations using AI-powered platforms.,employees,all_staff,enterprise,excluded_not_seats,medium,"SAP Concur's travel AI is an embedded backend feature of an enterprise-wide expense system (band matches EPA's all-staff rows), not a generative person-facing seat.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-generating-code-using-ai,EPA,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicit code generation (GitHub Copilot present), so population/stratum follow developers per the population-overrides-product rule; but the 10,000-50,000 band is identical to EPA's unrelated drafting/summarizing rows, suggesting it may just reflect the same enterprise Microsoft365 Copilot/Azure OpenAI seat count rather than a true developer headcount — 16,000 total staff makes 10,000+ actual coders implausible.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EPA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"This is the instructions' worked example 1 verbatim: ""Generating first drafts of documents…"" / Azure OpenAI, Microsoft365 Copilot / 10,000-50,000 band at 16,000 headcount — the band spans the whole workforce; a general chat/drafting deployment.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-improving-the-quality-of-written-communications-using-ai-tools,EPA,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Same Azure OpenAI/Microsoft365 Copilot enterprise deployment and 10,000-50,000 band as the worked-example drafting row; general writing-quality assistance available agency-wide.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EPA,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,all_staff,enterprise,excluded_not_seats,medium,"Microsoft Viva is an automated analytics/insights feature applied passively across the tenant, not a person-driven generative seat, despite the enterprise-wide 10,000-50,000 band.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,EPA,Managing and prioritizing internal service or help desk tickets using AI.,unknown,unknown,enterprise,excluded_not_seats,low,"ServiceNow Virtual Agent's 10,000-50,000 band could reflect either all EPA staff who can file tickets or ticket volume rather than people with access; ambiguous which, so unit_counted is left unknown, but either reading is a narrow support-bot function excluded from the core seat strata.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-planning-travel-routes-using-ai-driven-map-applications,EPA,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Google Maps/Apple Maps matches the instructions' worked example 3 directly (consumer ambient AI via staff phones, not an AI seat) at the enterprise-wide band.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-searching-for-agency-information-using-a-knowledge-retrieval-system,EPA,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,"Narrative describes broad internal knowledge search (not litigation review) even though Relativity/ediscovery is among the linked products; treated as general per the population-overrides-product rule since the task itself is agency-wide information search, not a legal workflow.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-summarizing-the-key-points-of-a-lengthy-report-using-ai,EPA,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,"Same Azure OpenAI/Microsoft365 Copilot enterprise deployment and 10,000-50,000 band as the worked-example drafting row.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
epa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EPA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Same Microsoft365 Copilot/Azure OpenAI enterprise deployment and 10,000-50,000 band as EPA's other general rows; meeting transcription/accessibility is general-purpose use.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
exim-generating-code-using-ai,EXIM,Generating code using AI.,employees,occupation:developers,component,technical,medium,"'Generating code using AI' is a developer task; population overrides the generically-tagged M365 Copilot product per instructions, so tagged technical/developers.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
exim-scheduling-and-managing-social-media-posts-using-ai,EXIM,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,medium,'Scheduling and managing social media posts' is a public-affairs/comms function; population overrides the generic M365 Copilot product tag.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,unknown,general,low,"Product listed only as ""Various"" and agency headcount isn't reported, so plausibility can't be checked; generic reporting/visualization task read as ordinary office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic drafting task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,Improving the quality of written communications using AI tools.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic writing-assistance task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Wording matches the worked-example security-controls/cybersecurity row seen at Treasury, DOE, and SEC, which is consistently endpoint-security tooling rather than a person seat, even though FCA's headcount isn't reported here.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,Searching for agency information using a knowledge retrieval system.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic internal-search task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,Summarizing the key points of a lengthy report using AI.,employees,office_staff,unknown,general,low,"""Various"" tool, headcount not reported; generic summarization task defaults to general office productivity.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
