slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
ntsb-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NTSB,National Transportation Safety Board,,Curating news articles and updates based on user preferences using AI.,"Meltwater, Google News",,1-100,100,Meltwater; Google,productivity,
ntsb-editing-images-videos-or-other-public-affairs-materials-using-ai,NTSB,National Transportation Safety Board,,"Editing images, videos, or other public affairs materials using AI.",Adobe Suite,,1-100,100,Adobe Creative Cloud Suite,productivity,
ntsb-generating-code-using-ai,NTSB,National Transportation Safety Board,,Generating code using AI.,"GitHub Copilot, Power Automate",,101-1000,1000,GitHub Copilot,coding_assistant,
ntsb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NTSB,National Transportation Safety Board,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-improving-the-quality-of-written-communications-using-ai-tools,NTSB,National Transportation Safety Board,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,National Transportation Safety Board,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Viva Insights,,1-100,100,,,
ntsb-planning-travel-routes-using-ai-driven-map-applications,NTSB,National Transportation Safety Board,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps, Waze",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,National Transportation Safety Board,,Prioritizing and categorizing incoming emails using AI.,,,101-1000,1000,,,
ntsb-scheduling-and-managing-social-media-posts-using-ai,NTSB,National Transportation Safety Board,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,
ntsb-searching-for-agency-information-using-a-knowledge-retrieval-system,NTSB,National Transportation Safety Board,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-summarizing-the-key-points-of-a-lengthy-report-using-ai,NTSB,National Transportation Safety Board,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NTSB,National Transportation Safety Board,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Microsoft Copilot, Zoom",,101-1000,1000,Microsoft 365 Copilot; Microsoft Teams; Zoom,"general_llm,productivity",
ntsb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NTSB,National Transportation Safety Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
ntsb-using-ai-assisted-tools-in-word-processors,NTSB,National Transportation Safety Board,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
flra-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FLRA,Federal Labor Relations Authority,,Creating visual representations of data sets for reports or presentations using AI.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-curating-news-articles-and-updates-based-on-user-preferences-using-ai,FLRA,Federal Labor Relations Authority,,Curating news articles and updates based on user preferences using AI.,Google News Brief,,1-100,100,Google News Brief,consumer_feature,
flra-editing-images-videos-or-other-public-affairs-materials-using-ai,FLRA,Federal Labor Relations Authority,,"Editing images, videos, or other public affairs materials using AI.",Vyond,,1-100,100,Vyond,media_analysis,
flra-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FLRA,Federal Labor Relations Authority,,"Generating first drafts of documents, briefing, or communication materials using AI.",ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-improving-the-quality-of-written-communications-using-ai-tools,FLRA,Federal Labor Relations Authority,,Improving the quality of written communications using AI tools.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FLRA,Federal Labor Relations Authority,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",,101-1000,1000,Microsoft Defender; Crowdstrike Falcon,security_tool,
flra-searching-for-agency-information-using-a-knowledge-retrieval-system,FLRA,Federal Labor Relations Authority,,Searching for agency information using a knowledge retrieval system.,"ChatGPT, Notebook LLM, Gemini",,1-100,100,ChatGPT; Gemini,general_llm,
flra-summarizing-the-key-points-of-a-lengthy-report-using-ai,FLRA,Federal Labor Relations Authority,,Summarizing the key points of a lengthy report using AI.,ChatGPT,,1-100,100,ChatGPT,general_llm,
flra-using-ai-assisted-tools-in-word-processors,FLRA,Federal Labor Relations Authority,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
va-generating-code-using-ai,VA,Department of Veterans Affairs,,Generating code using AI.,GitHub Copilot,,1001-5000,5000,GitHub Copilot,coding_assistant,482000
va-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,VA,Department of Veterans Affairs,,"Generating first drafts of documents, briefing, or communication materials using AI.","Power Automate AI Builder, Microsoft Dynamics D365 CoPilot, Microsoft Copilot Chat",,"50,000+",100000,Microsoft 365 Copilot Chat,general_llm,482000
va-improving-the-quality-of-written-communications-using-ai-tools,VA,Department of Veterans Affairs,,Improving the quality of written communications using AI tools.,Grammarly,,1-100,100,Grammarly,productivity,482000
va-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,VA,Department of Veterans Affairs,,Managing and prioritizing internal service or help desk tickets using AI.,Genesys Cloud CX,,"5001-10,000",10000,Genesys Cloud CX,itsm,482000
va-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,VA,Department of Veterans Affairs,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",IT Service Intelligence (Splunk),,"10,000-50,000",50000,Splunk,security_tool,482000
va-searching-for-agency-information-using-a-knowledge-retrieval-system,VA,Department of Veterans Affairs,,Searching for agency information using a knowledge retrieval system.,"Westlaw, VA Box",,1001-5000,5000,Westlaw AI,legal_research,482000
va-summarizing-the-key-points-of-a-lengthy-report-using-ai,VA,Department of Veterans Affairs,,Summarizing the key points of a lengthy report using AI.,"Casepoint AI, Medallia",,"50,000+",100000,Medallia,social_listening,482000
va-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,VA,Department of Veterans Affairs,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium,,"5001-10,000",10000,Microsoft Teams,productivity,482000
va-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,VA,Department of Veterans Affairs,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face ID,,"50,000+",100000,Apple Face ID,consumer_feature,482000
tva-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,TVA,Tennessee Valley Authority,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-improving-the-quality-of-written-communications-using-ai-tools,TVA,Tennessee Valley Authority,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-prioritizing-and-categorizing-incoming-emails-using-ai,TVA,Tennessee Valley Authority,,Prioritizing and categorizing incoming emails using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-summarizing-the-key-points-of-a-lengthy-report-using-ai,TVA,Tennessee Valley Authority,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,TVA,Tennessee Valley Authority,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
tva-using-ai-assisted-tools-in-word-processors,TVA,Tennessee Valley Authority,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,10000
