slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
nasa-generating-code-using-ai,NASA,National Aeronautics and Space Administration,,Generating code using AI.,"Azure, Alteryx, Microsoft Power Suite, Windsurf",,1001-5000,5000,Alteryx; Microsoft Azure Platform; Windsurf,"ml_platform,cloud_platform,coding_assistant",18000
nasa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NASA,National Aeronautics and Space Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot, Gemini, Azure",,1001-5000,5000,Microsoft 365 Copilot; Gemini,general_llm,18000
nasa-improving-the-quality-of-written-communications-using-ai-tools,NASA,National Aeronautics and Space Administration,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,18000
nasa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NASA,National Aeronautics and Space Administration,,Managing and prioritizing internal service or help desk tickets using AI.,"Alteryx, Microsoft Power BI",,"5001-10,000",10000,Alteryx; Microsoft Power BI,"ml_platform,data_analytics",18000
nasa-searching-for-agency-information-using-a-knowledge-retrieval-system,NASA,National Aeronautics and Space Administration,,Searching for agency information using a knowledge retrieval system.,Gemini,,1-100,100,Gemini,general_llm,18000
nasa-summarizing-the-key-points-of-a-lengthy-report-using-ai,NASA,National Aeronautics and Space Administration,,Summarizing the key points of a lengthy report using AI.,"Microsoft Copilot, Gemini, Azure, OpenAI, Box",,1001-5000,5000,Microsoft 365 Copilot; OpenAI API; Gemini,general_llm,18000
nasa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NASA,National Aeronautics and Space Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Teams,,1001-5000,5000,Microsoft Teams,productivity,18000
nasa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NASA,National Aeronautics and Space Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"5001-10,000",10000,Apple Face ID,consumer_feature,18000
nasa-using-ai-assisted-tools-in-word-processors,NASA,National Aeronautics and Space Administration,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1001-5000,5000,Microsoft 365 Copilot,general_llm,18000
usitc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,USITC,U.S. International Trade Commission,,Creating visual representations of data sets for reports or presentations using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,USITC,U.S. International Trade Commission,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,400
usitc-editing-images-videos-or-other-public-affairs-materials-using-ai,USITC,U.S. International Trade Commission,,"Editing images, videos, or other public affairs materials using AI.",M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,USITC,U.S. International Trade Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,400
usitc-generating-code-using-ai,USITC,U.S. International Trade Commission,,Generating code using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USITC,U.S. International Trade Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-improving-the-quality-of-written-communications-using-ai-tools,USITC,U.S. International Trade Commission,,Improving the quality of written communications using AI tools.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-prioritizing-and-categorizing-incoming-emails-using-ai,USITC,U.S. International Trade Commission,,Prioritizing and categorizing incoming emails using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-searching-for-agency-information-using-a-knowledge-retrieval-system,USITC,U.S. International Trade Commission,,Searching for agency information using a knowledge retrieval system.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-summarizing-the-key-points-of-a-lengthy-report-using-ai,USITC,U.S. International Trade Commission,,Summarizing the key points of a lengthy report using AI.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
usitc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USITC,U.S. International Trade Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","M365 Copilot, Teams",,1-100,100,Microsoft 365 Copilot; Microsoft Teams,"general_llm,productivity",400
usitc-using-ai-assisted-tools-in-word-processors,USITC,U.S. International Trade Commission,,Using AI-assisted tools in word processors.,M365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,400
neh-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEH,National Endowment for the Humanities,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-improving-the-quality-of-written-communications-using-ai-tools,NEH,National Endowment for the Humanities,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-prioritizing-and-categorizing-incoming-emails-using-ai,NEH,National Endowment for the Humanities,,Prioritizing and categorizing incoming emails using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEH,National Endowment for the Humanities,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-searching-for-agency-information-using-a-knowledge-retrieval-system,NEH,National Endowment for the Humanities,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEH,National Endowment for the Humanities,,Summarizing the key points of a lengthy report using AI.,"Microsoft Copilot, Azure OpenAI",,1-100,100,Microsoft 365 Copilot; Azure OpenAI,general_llm,
neh-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NEH,National Endowment for the Humanities,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-using-ai-assisted-tools-in-word-processors,NEH,National Endowment for the Humanities,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,National Indian Gaming Commission,,Curating news articles and updates based on user preferences using AI.,Law360 (Lexis Nexis),,1-100,100,,,130
nigc-editing-images-videos-or-other-public-affairs-materials-using-ai,NIGC,National Indian Gaming Commission,,"Editing images, videos, or other public affairs materials using AI.",Adobe Photoshop AI (AI Plugin) Artic,,1-100,100,Adobe Photoshop,computer_vision,130
nigc-using-ai-assisted-tools-in-word-processors,NIGC,National Indian Gaming Commission,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,130
ustda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USTDA,U.S. Trade and Development Agency,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon Threat Detection and Response, Qualys Cloud Detection and Response",,101-1000,1000,Crowdstrike Falcon,security_tool,
ustda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USTDA,U.S. Trade and Development Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Lookout for mobile security",,1-100,100,Apple Face ID; Lookout,"consumer_feature,security_tool",
ustda-using-ai-assisted-tools-in-word-processors,USTDA,U.S. Trade and Development Agency,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
