slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
nea-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEA,National Endowment for the Arts,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-searching-for-agency-information-using-a-knowledge-retrieval-system,NEA,National Endowment for the Arts,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEA,National Endowment for the Arts,,Summarizing the key points of a lengthy report using AI.,"Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NEA,National Endowment for the Arts,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-using-ai-assisted-tools-in-word-processors,NEA,National Endowment for the Arts,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ncua-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NCUA,National Credit Union Administration,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,100,,,
ncua-editing-images-videos-or-other-public-affairs-materials-using-ai,NCUA,National Credit Union Administration,,"Editing images, videos, or other public affairs materials using AI.",Various,,1-100,100,,,
ncua-generating-code-using-ai,NCUA,National Credit Union Administration,,Generating code using AI.,Various,,1-100,100,,,
ncua-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NCUA,National Credit Union Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,100,,,
ncua-improving-the-quality-of-written-communications-using-ai-tools,NCUA,National Credit Union Administration,,Improving the quality of written communications using AI tools.,Various,,1-100,100,,,
ncua-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NCUA,National Credit Union Administration,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Various,,1-100,100,,,
ncua-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NCUA,National Credit Union Administration,,Managing and prioritizing internal service or help desk tickets using AI.,Various,,1-100,100,,,
ncua-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NCUA,National Credit Union Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,1-100,100,,,
ncua-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NCUA,National Credit Union Administration,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Various,,1-100,100,,,
ncua-searching-for-agency-information-using-a-knowledge-retrieval-system,NCUA,National Credit Union Administration,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,100,,,
ncua-summarizing-the-key-points-of-a-lengthy-report-using-ai,NCUA,National Credit Union Administration,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,100,,,
ncua-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NCUA,National Credit Union Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,100,,,
ncua-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NCUA,National Credit Union Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,1000,,,
ncua-using-ai-assisted-tools-in-word-processors,NCUA,National Credit Union Administration,,Using AI-assisted tools in word processors.,Various,,1-100,100,,,
gsa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,GSA,General Services Administration,,Creating visual representations of data sets for reports or presentations using AI.,Genie in Databricks,,101-1000,1000,Databricks,ml_platform,12500
gsa-editing-images-videos-or-other-public-affairs-materials-using-ai,GSA,General Services Administration,,"Editing images, videos, or other public affairs materials using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-generating-code-using-ai,GSA,General Services Administration,,Generating code using AI.,Github Copilot,,101-1000,1000,GitHub Copilot,coding_assistant,12500
gsa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,GSA,General Services Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-planning-travel-routes-using-ai-driven-map-applications,GSA,General Services Administration,,Planning travel routes using AI-driven map applications.,Google Maps on GFE by individual users,,"10,000-50,000",50000,Google Maps,consumer_feature,12500
gsa-searching-for-agency-information-using-a-knowledge-retrieval-system,GSA,General Services Administration,,Searching for agency information using a knowledge retrieval system.,"Claude, Meta and Gemini LLM models through USAi",,"5001-10,000",10000,Claude; Gemini; USAi (GSA),general_llm,12500
gsa-summarizing-the-key-points-of-a-lengthy-report-using-ai,GSA,General Services Administration,,Summarizing the key points of a lengthy report using AI.,Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,GSA,General Services Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
gsa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,GSA,General Services Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Face recognition for GFE phones,,"10,000-50,000",50000,,,12500
gsa-using-ai-assisted-tools-in-word-processors,GSA,General Services Administration,,Using AI-assisted tools in word processors.,Gemini for Google Workspace,,"10,000-50,000",50000,Gemini,general_llm,12500
fcc-generating-code-using-ai,FCC,Federal Communications Commission,,Generating code using AI.,"Microsoft Copilot, 
AWS Q Developer, 
Microsoft Azure Open AI",,101-1000,1000,Microsoft 365 Copilot; Azure OpenAI; Amazon Q,general_llm,1500
fcc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCC,Federal Communications Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-improving-the-quality-of-written-communications-using-ai-tools,FCC,Federal Communications Commission,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,FCC,Federal Communications Commission,,Logging and analyzing time spent on tasks using AI-powered time management tools.,"AWS Q Developer 
(Gen AI-powered assistant)",,1-100,100,Amazon Q,general_llm,1500
fcc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCC,Federal Communications Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft Defender XDR,,1001-5000,5000,Microsoft Defender,security_tool,1500
fcc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCC,Federal Communications Commission,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
fcc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCC,Federal Communications Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams
integrated with 
Microsoft Copilot",,1001-5000,5000,Microsoft 365 Copilot; Microsoft Teams,"general_llm,productivity",1500
fcc-using-ai-assisted-tools-in-word-processors,FCC,Federal Communications Commission,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
nlrb-generating-code-using-ai,NLRB,National Labor Relations Board,,Generating code using AI.,GitHub CoPilot,,1-100,100,GitHub Copilot,coding_assistant,1200
nlrb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NLRB,National Labor Relations Board,,"Generating first drafts of documents, briefing, or communication materials using AI.","CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-improving-the-quality-of-written-communications-using-ai-tools,NLRB,National Labor Relations Board,,Improving the quality of written communications using AI tools.,"CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NLRB,National Labor Relations Board,,Managing and prioritizing internal service or help desk tickets using AI.,"CoPilot, ServiceNow",,1-100,100,ServiceNow Now Assist,productivity,1200
nlrb-searching-for-agency-information-using-a-knowledge-retrieval-system,NLRB,National Labor Relations Board,,Searching for agency information using a knowledge retrieval system.,CoPilot,,1-100,100,,,1200
nlrb-summarizing-the-key-points-of-a-lengthy-report-using-ai,NLRB,National Labor Relations Board,,Summarizing the key points of a lengthy report using AI.,"CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-using-ai-assisted-tools-in-word-processors,NLRB,National Labor Relations Board,,Using AI-assisted tools in word processors.,CoPilot,,1-100,100,,,1200
