slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
doe-prioritizing-and-categorizing-incoming-emails-using-ai,DOE,"Prioritizing and categorizing incoming emails using AI.",unknown,unknown,unknown,unknown,low,"Product list (CBSA business app, Konica Minolta print dispatcher, KCNSC-Intune MDM enrollment) doesn't plausibly describe an email-triage AI tool; too mismatched to assign a unit with confidence."
doe-scheduling-and-managing-social-media-posts-using-ai,DOE,"Scheduling and managing social media posts using AI.",employees,occupation:comms,component,comms,high,"Sprout Social is a social-media management platform used by comms/PR staff; band 1-100 is one comms shop."
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,"Scheduling internal-to-government meetings or appointments or setting reminders using AI.",unknown,unknown,unknown,unknown,low,"Named systems (an OGC legal docket database, an asset-management tool, and a grid transmission-scheduling system) don't match a meeting-scheduling assistant; the product list looks like a filing mismatch, so unit/population/scope can't be determined."
doe-searching-for-agency-information-using-a-knowledge-retrieval-system,DOE,"Searching for agency information using a knowledge retrieval system.",employees,all_staff,enterprise,general,high,"Same ChatGPT/Copilot/Gemini/Claude (+OpenText) bundle and 10,000-50,000-vs-16,000-headcount ratio as the enterprise drafting rollout; knowledge-retrieval chat available department-wide."
doe-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOE,"Summarizing the key points of a lengthy report using AI.",unknown,unknown,unknown,unknown,low,"Doble Test Assistant (DTA/FRANK) is specialized diagnostic software for analyzing electrical-equipment test results on Doble M-Series instruments (doble.com/product/dta-software/), not a document-summarization tool; a 10,000-50,000 band for that niche engineering audience at a 16,000-employee agency is implausible, so this looks like a product/use-case mapping error rather than a real seat count."
doe-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOE,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees_and_contractors,all_staff,enterprise,general,high,"Matches worked example 5 exactly: 'NNSS-Microsoft 365' (Nevada National Security Site) plus band 10,000-50,000 against 16,000 federal headcount signals the large lab/site contractor workforce is included."
doe-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOE,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,unknown,excluded_not_seats,high,"Face ID/device unlock on iPhone and Pixel; band 50,000+ vs. 16,000 headcount confirms this counts devices, not employees."
doe-using-ai-assisted-tools-in-word-processors,DOE,"Using AI-assisted tools in word processors.",employees,all_staff,enterprise,general,medium,"Same Microsoft 365 rollout pattern as the other 10,000-50,000-band DOE Copilot rows against 16,000 headcount; no explicit contractor language here so treated as the federal workforce."
dhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DHS,"Creating visual representations of data sets for reports or presentations using AI.",employees,occupation:data_scientists,component,technical,medium,"Azure Synapse Analytics for reporting/dashboards; band 5,001-10,000 is roughly 2-4% of DHS's 260,000 headcount, consistent with an analytics team rather than enterprise-wide."
dhs-editing-images-videos-or-other-public-affairs-materials-using-ai,DHS,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Narrative explicitly says 'public affairs materials'; Adobe Firefly/Veo for a comms shop, band 101-1000 of 260,000 is one office."
dhs-generating-code-using-ai,DHS,"Generating code using AI.",employees,occupation:developers,component,technical,medium,"GitHub Copilot/Poolside plus several component-specific coding assistants (Ask Hamilton, CamoGPT, NIPRGPT) read as a rollup of separate component developer tools rather than one enterprise deployment; band 1001-5000 of 260,000 fits a developer subpopulation."
dhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DHS,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Bundle of component chat tools (OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot) spanning multiple DHS components suggests a broad but not literally all-staff drafting rollout; band 10,000-50,000 is 4-19% of the 260,000 headcount."
dhs-improving-the-quality-of-written-communications-using-ai-tools,DHS,"Improving the quality of written communications using AI tools.",employees,office_staff,enterprise,general,medium,"Identical product bundle and band to the drafting-documents row; same cross-component general chat rollout."
dhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DHS,"Managing and prioritizing internal service or help desk tickets using AI.",employees,single_component,component,comms,low,"Sprinklr is a social-engagement/listening platform, not a typical IT help-desk tool -- likely a comms team handling public social-media 'tickets' rather than internal IT support; band 1-100 fits one team, but the narrative/product mismatch keeps confidence low."
dhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DHS,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",employees,occupation:agents_investigators,component,investigative,low,"Unlike the pure endpoint-agent CrowdStrike rows, Microsoft Security Copilot and Andesite are analyst-facing copilots for SOC/cyber staff -- a real human seat; closest closed occupation is agents_investigators (cyber forensics), though 'technical' is a plausible alternative, hence low confidence. Band 101-1000 of 260,000 fits one security-operations component."
dhs-prioritizing-and-categorizing-incoming-emails-using-ai,DHS,"Prioritizing and categorizing incoming emails using AI.",employees,office_staff,component,general,medium,"Microsoft 365 Copilot email triage; band 101-1000 is under 1% of the 260,000 headcount, so a single-component pilot, not agency-wide."
dhs-searching-for-agency-information-using-a-knowledge-retrieval-system,DHS,"Searching for agency information using a knowledge retrieval system.",employees,office_staff,enterprise,general,low,"Mixed bundle (RelativityOne, ServiceNow, Einstein, Vertex AI, Copilot) makes the population imprecise; band 50,000+ (19%+ of 260,000 headcount) suggests a broad cross-component search rollout via the dominant linked product, ServiceNow Now Assist, rather than a true all-staff deployment."
dhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,DHS,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,enterprise,general,medium,"Same cross-component chat bundle and 10,000-50,000 band as the drafting/quality rows."
dhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DHS,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,low,"Dragon Professional dictation for meeting/interview accessibility; narrative doesn't name a specific occupation (e.g., investigators), so treated as general office use; band 101-1000 of 260,000 is a small component-level deployment."
dhs-using-ai-assisted-tools-in-word-processors,DHS,"Using AI-assisted tools in word processors.",employees,office_staff,component,general,low,"Adobe Premiere Speech-to-Text is a video-editing tool, a poor match for 'word processors'; Copilot is the more plausible driver of this use case, so classified as general employee drafting, low confidence due to the product mismatch. Band 5,001-10,000 is ~2-4% of the 260,000 headcount."
ftc-generating-code-using-ai,FTC,"Generating code using AI.",employees,occupation:developers,component,technical,high,"Azure Databricks for a small 1-100-person band at a 1,200-employee agency is a developer/data-engineering team tool."
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Copilot band 1001-5000 is filed identically against every FTC task row despite FTC's headcount being only 1,200; the lower bound (1,001) is still below headcount, consistent with reporting the full agency-wide M365 Copilot seat count once per task rather than distinct per-task usage -- treated as an all-staff enterprise rollout."
ftc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FTC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"CrowdStrike/Dtex/KnowBe4 endpoint/security-agent tools; band upper bound (5,000) is over 4x FTC's 1,200 headcount, confirming a device count."
ftc-planning-travel-routes-using-ai-driven-map-applications,FTC,"Planning travel routes using AI-driven map applications.",public_users,unknown,unknown,excluded_not_seats,medium,"Google/Apple Maps band 1001-5000 exceeds FTC's 1,200 headcount, so this is a device/app-install count, not an employee seat -- same consumer-ambient-AI exclusion as worked example 3."
ftc-prioritizing-and-categorizing-incoming-emails-using-ai,FTC,"Prioritizing and categorizing incoming emails using AI.",employees,all_staff,enterprise,general,medium,"Same repeated 1001-5000 Copilot band pattern as the other undifferentiated FTC Copilot rows; treated as the agency-wide M365 Copilot deployment."
ftc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FTC,"Summarizing the key points of a lengthy report using AI.",employees,occupation:attorneys,component,legal,medium,"Relativity Technology Assisted Review is an eDiscovery/legal-review tool (alongside Copilot); per the population-overrides-product rule this is legal/attorneys work, similar to worked example 4."
ftc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FTC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,"Same repeated Copilot 1001-5000 band pattern as the other generic FTC Copilot rows."
ftc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FTC,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"iPhone Face ID; band upper bound (5,000) is over 4x FTC's 1,200 headcount, confirming a device count, not employees."
ftc-using-ai-assisted-tools-in-word-processors,FTC,"Using AI-assisted tools in word processors.",employees,all_staff,enterprise,general,medium,"Same repeated Copilot 1001-5000 band pattern as the other generic FTC Copilot rows."
ferc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FERC,"Finding and booking travel accommodations using AI-powered platforms.",employees,office_staff,component,general,low,"SAP Concur travel booking for staff who travel; band 101-1000 of FERC's 1,500 headcount is a large fraction but not clearly all-staff; low confidence since Concur's AI role here is thin."
ferc-generating-code-using-ai,FERC,"Generating code using AI.",employees,occupation:developers,component,technical,high,"GitHub Copilot band 1-100 at a 1,500-employee agency is a small developer team."
ferc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FERC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Microsoft 365 Copilot/Azure OpenAI band 101-1000 is roughly two-thirds of FERC's 1,500 headcount, consistent with a near-agency-wide drafting rollout."
ferc-planning-travel-routes-using-ai-driven-map-applications,FERC,"Planning travel routes using AI-driven map applications.",employees,unknown,unknown,excluded_not_seats,medium,"Google/Apple Maps band 1-100 is small relative to FERC's 1,500 headcount, plausibly staff travelers' own phones rather than a public/device count, but still consumer ambient AI excluded from the seat model per worked example 3."
ferc-searching-for-agency-information-using-a-knowledge-retrieval-system,FERC,"Searching for agency information using a knowledge retrieval system.",employees,all_staff,enterprise,general,medium,"Same Microsoft 365 Copilot band (101-1000 of 1,500 headcount) as the drafting row, consistent with a near-agency-wide rollout."
ferc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FERC,"Summarizing the key points of a lengthy report using AI.",employees,all_staff,enterprise,general,medium,"Same Microsoft 365 Copilot/Azure OpenAI 101-1000 band as the other FERC Copilot rows."
ferc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FERC,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,unknown,excluded_not_seats,high,"Apple Face ID device unlock; excluded_not_seats regardless of the 101-1000 band size, per worked example 2's device-feature logic."
ferc-using-ai-assisted-tools-in-word-processors,FERC,"Using AI-assisted tools in word processors.",employees,all_staff,enterprise,general,medium,"Same Microsoft 365 Copilot 101-1000 band as the other FERC Copilot rows."
osc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,OSC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Headcount is blank in the source data, but OSC's actual FTE count is only ~120-140 (osc.gov FY2025 lapse plan / budget justification); a 101-1000 band comfortably covers the whole agency, so this reads as an all-staff Microsoft Copilot rollout like worked example 1."
osc-improving-the-quality-of-written-communications-using-ai-tools,OSC,"Improving the quality of written communications using AI tools.",employees,all_staff,enterprise,general,medium,"Same Microsoft Copilot 101-1000 band; OSC's real headcount (~120-140) fits comfortably inside that band, consistent with an agency-wide rollout."
osc-summarizing-the-key-points-of-a-lengthy-report-using-ai,OSC,"Summarizing the key points of a lengthy report using AI.",employees,all_staff,enterprise,general,medium,"Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows."
osc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,OSC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,"Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows."
osc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,OSC,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,unknown,excluded_not_seats,high,"Apple Face ID device unlock, band 1-100; device feature excluded from the seat model regardless of scale."
osc-using-ai-assisted-tools-in-word-processors,OSC,"Using AI-assisted tools in word processors.",employees,all_staff,enterprise,general,medium,"Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows."
