slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
hhs-prioritizing-and-categorizing-incoming-emails-using-ai,HHS,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,component,general,medium,"Outlook/M365 Copilot email triage is a productivity feature; band is only ~6-12% of HHS's 80,000 headcount, suggesting a licensed subset rather than enterprise-wide."
hhs-scheduling-and-managing-social-media-posts-using-ai,HHS,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,Sprout Social scheduling is squarely a public-affairs/social-media tool used by the comms shop.
hhs-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,HHS,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,component,general,medium,"Outlook/Teams/M365 Copilot scheduling assistant; band (~6-12% of 80,000) points to a licensed office-staff subset rather than the full agency."
hhs-searching-for-agency-information-using-a-knowledge-retrieval-system,HHS,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,"Enterprise knowledge search via M365 Copilot Chat/ChatGPT/ServiceNow at up to 50,000 of 80,000 staff is a broad general chat/search rollout, matching the EPA-style pattern."
hhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,HHS,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,"Broad band (up to 50,000 of 80,000) dominated by general chat tools (M365 Copilot, ChatGPT, Claude) makes this an enterprise-wide general AI deployment despite a few specialized literature tools (Cortellis, scite.AI) mixed in."
hhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HHS,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Teams/M365 Copilot/Otter.ai meeting transcription at a 10,000-50,000 band is an enterprise-wide productivity feature."
hhs-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HHS,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face/biometric device unlock (Apple Face ID, Windows Hello) counts phones/devices, not AI work seats."
hhs-using-ai-assisted-tools-in-word-processors,HHS,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,"Word/M365 Copilot/Grammarly at a band up to 50,000 of 80,000 staff is a broad general-purpose drafting rollout."
fdic-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FDIC,Creating visual representations of data sets for reports or presentations using AI.,employees,unknown,enterprise,technical,low,"Tableau/Power BI default to the technical/data-analytics stratum, but the band's upper bound (10,000) exceeds FDIC's ~6,300 headcount with no contractor-heavy-agency signal, so the count is implausible as pure employees."
fdic-editing-images-videos-or-other-public-affairs-materials-using-ai,FDIC,"Editing images, videos, or other public affairs materials using AI.",employees,unknown,enterprise,comms,low,"Narrative says ""public affairs materials"" (comms-specific), but the band (5,001-10,000) is close to or exceeds FDIC's entire ~6,300 headcount -- implausible for a narrow comms team, suggesting the band reflects a broader Adobe/Copilot license pool."
fdic-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FDIC,Finding and booking travel accommodations using AI-powered platforms.,employees,office_staff,enterprise,excluded_not_seats,medium,"CWTSatoTravel booking assistant is a narrow embedded feature; band (1,001-5,000 of 6,300) covers a large share of staff who occasionally travel, but is not a general/technical AI seat."
fdic-generating-code-using-ai,FDIC,Generating code using AI.,employees,occupation:developers,component,technical,high,"GitHub Copilot code generation is developer tooling; band (101-1,000 of 6,300) fits FDIC's IT/developer headcount."
fdic-improving-the-quality-of-written-communications-using-ai-tools,FDIC,Improving the quality of written communications using AI tools.,employees,occupation:attorneys,component,legal,high,"""Thomas Reuters/Westlaw Drafting Assistant"" is a legal-research/drafting tool for attorneys -- population overrides the generic task title, giving stratum legal per the Westlaw-AI product mapping."
fdic-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FDIC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Falcon EDR/Splunk/Tenable are endpoint/security-monitoring tools counted per device, matching the DOE CrowdStrike worked example."
fdic-planning-travel-routes-using-ai-driven-map-applications,FDIC,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Direct match to the Google/Apple Maps worked example -- ambient consumer map AI, excluded from seat strata regardless of employee/public read."
fdic-scheduling-and-managing-social-media-posts-using-ai,FDIC,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,Sprout Social is a comms/social-media scheduling tool for the public-affairs office.
fdic-searching-for-agency-information-using-a-knowledge-retrieval-system,FDIC,Searching for agency information using a knowledge retrieval system.,employees,occupation:attorneys,component,legal,medium,"Linked products (Relativity, Microsoft Purview) are eDiscovery/compliance search tools despite the generic ""searching for agency information"" task title -- population/product point to legal-office use, so stratum is legal per the population-overrides-product rule."
fdic-summarizing-the-key-points-of-a-lengthy-report-using-ai,FDIC,Summarizing the key points of a lengthy report using AI.,employees,unknown,enterprise,technical,low,"Power BI defaults to the technical/data-analytics stratum, but the band's upper bound (10,000) exceeds FDIC's ~6,300 headcount, implausible for a BI reporting tool."
fdic-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FDIC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,medium,"""Microsoft teams (Recording)"" meeting transcription is a general productivity feature; the modest band (101-1,000 of 6,300) suggests a subset of office staff rather than enterprise-wide."
fdic-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FDIC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID device unlock counts phones, not AI work seats."
stb-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,STB,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,medium,"STB is a small independent agency (no headcount reported here, but publicly on the order of ~150 staff); ""Copilot for MS 365"" at 101-1,000 reads as an agency-wide rollout rather than a component slice."
stb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,STB,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Same ""Copilot for MS 365"" enterprise deployment pattern as STB's other rows; band spans STB's small full workforce."
stb-improving-the-quality-of-written-communications-using-ai-tools,STB,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern as STB's other general-productivity rows.
stb-planning-travel-routes-using-ai-driven-map-applications,STB,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,low,"Commercial product listed is ""Apple iPhone"" (linked to Apple Face ID) for a task about map-based route planning -- the linked product looks mismatched to the narrative; either a device- or ambient-map read lands in excluded_not_seats."
stb-prioritizing-and-categorizing-incoming-emails-using-ai,STB,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern as STB's other general-productivity rows.
stb-searching-for-agency-information-using-a-knowledge-retrieval-system,STB,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern.
stb-summarizing-the-key-points-of-a-lengthy-report-using-ai,STB,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern.
stb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,STB,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID device unlock counts phones, not AI seats."
stb-using-ai-assisted-tools-in-word-processors,STB,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern.
hud-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HUD,Creating visual representations of data sets for reports or presentations using AI.,employees,single_component,component,general,medium,"""Microsoft Copilot"" at a 1-100 band out of 8,400 HUD staff is a narrow pilot deployment, not enterprise-wide."
hud-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HUD,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,single_component,component,general,medium,"Same narrow Copilot pilot pattern as HUD's other 1-100 rows (1-100 of 8,400 headcount)."
hud-improving-the-quality-of-written-communications-using-ai-tools,HUD,Improving the quality of written communications using AI tools.,employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.
hud-searching-for-agency-information-using-a-knowledge-retrieval-system,HUD,Searching for agency information using a knowledge retrieval system.,employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.
hud-summarizing-the-key-points-of-a-lengthy-report-using-ai,HUD,Summarizing the key points of a lengthy report using AI.,employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.
hud-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HUD,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.
hud-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HUD,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID device unlock counts phones, not AI work seats; the much larger band (1,001-5,000 vs. the 1-100 Copilot pilot rows) confirms agency-wide device coverage, not the same small pilot group."
hud-using-ai-assisted-tools-in-word-processors,HUD,Using AI-assisted tools in word processors.,employees,single_component,component,general,medium,Same narrow Copilot pilot pattern.
oshrc-editing-images-videos-or-other-public-affairs-materials-using-ai,OSHRC,"Editing images, videos, or other public affairs materials using AI.",employees,all_staff,enterprise,comms,medium,"OSHRC is a very small agency (no headcount given here, but publicly on the order of dozens of staff), so a 1-100 band for ""Microsoft 365 apps"" editing public affairs materials plausibly covers the whole small comms-adjacent staff."
oshrc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,OSHRC,Finding and booking travel accommodations using AI-powered platforms.,employees,unknown,enterprise,excluded_not_seats,medium,"SAP Concur travel booking is a narrow embedded feature, not a general/technical AI seat."
oshrc-improving-the-quality-of-written-communications-using-ai-tools,OSHRC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,"""Microsoft 365 apps"" writing assistance at a 1-100 band plausibly covers OSHRC's whole small staff (agency is a very small commission, headcount not reported here)."
oshrc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,OSHRC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Microsoft Defender/CrowdStrike Falcon are endpoint security agents, matching the DOE worked example."
oshrc-using-ai-assisted-tools-in-word-processors,OSHRC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,"Same small-agency, whole-staff Microsoft 365 rollout pattern."
udall-improving-the-quality-of-written-communications-using-ai-tools,Udall,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Udall Foundation's total headcount is only 25, so a 1-100 band for ""Microsoft CoPilot"" writing assistance clearly covers the entire tiny agency."
udall-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Udall,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Facial-recognition phone unlock (""Apple"") counts devices, not AI work seats, even though no linked_products/types were resolved for this row."
udall-using-ai-assisted-tools-in-word-processors,Udall,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,Same whole-agency Microsoft CoPilot rollout given Udall's 25-person headcount.
