slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
epa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,EPA,Managing and prioritizing internal service or help desk tickets using AI.,unknown,unknown,enterprise,excluded_not_seats,low,"ServiceNow Virtual Agent's 10,000-50,000 band could reflect either all EPA staff who can file tickets or ticket volume rather than people with access; ambiguous which, so unit_counted is left unknown, but either reading is a narrow support-bot function excluded from the core seat strata."
epa-planning-travel-routes-using-ai-driven-map-applications,EPA,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Google Maps/Apple Maps matches the instructions' worked example 3 directly (consumer ambient AI via staff phones, not an AI seat) at the enterprise-wide band."
epa-prioritizing-and-categorizing-incoming-emails-using-ai,EPA,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,component,general,medium,"Band drops to 1-100 here versus 10,000-50,000 for EPA's other Microsoft365 Copilot rows, indicating this specific email-triage feature is a narrow pilot group rather than the enterprise-wide rollout."
epa-searching-for-agency-information-using-a-knowledge-retrieval-system,EPA,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,"Narrative describes broad internal knowledge search (not litigation review) even though Relativity/ediscovery is among the linked products; treated as general per the population-overrides-product rule since the task itself is agency-wide information search, not a legal workflow."
epa-summarizing-the-key-points-of-a-lengthy-report-using-ai,EPA,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,"Same Azure OpenAI/Microsoft365 Copilot enterprise deployment and 10,000-50,000 band as the worked-example drafting row."
epa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EPA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Same Microsoft365 Copilot/Azure OpenAI enterprise deployment and 10,000-50,000 band as EPA's other general rows; meeting transcription/accessibility is general-purpose use."
epa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EPA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID biometric unlock matches the instructions' device-exclusion guidance; band drops to 1001-5000, consistent with a device count rather than the full 16,000-person workforce."
epa-using-ai-assisted-tools-in-word-processors,EPA,Using AI-assisted tools in word processors.,employees,office_staff,component,general,medium,"Band is 1-100, far below EPA's 16,000 headcount and far smaller than the agency's other Microsoft365 Copilot rows, indicating a narrow pilot group for this specific word-processor feature rather than the enterprise rollout."
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative explicitly names ""public affairs materials,"" a comms-shop function; small 1-100 band at a 3,000-employee agency is consistent with a single PA team rather than enterprise-wide access."
frb-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FRB,Finding and booking travel accommodations using AI-powered platforms.,employees,all_staff,enterprise,excluded_not_seats,medium,"""External- Government Travel System"" AI feature is an embedded backend assistant within an enterprise-wide travel tool, not a generative person-facing seat."
frb-generating-code-using-ai,FRB,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicit code generation and lists a ""Generative Coding Assistant"" distinct from the chatbot products, so developers/technical follows the population-overrides-product rule; but the 1001-5000 band is identical to FRB's unrelated drafting/summarizing/search rows built on the same ""Chatbots"" license pool, so it likely overstates true developer headcount at a 3,000-employee agency."
frb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FRB,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"""External-/Internal Gov Cloud-Chatbots"" at the 1001-5000 band recurs across several FRB general-purpose rows, indicating a broad enterprise chatbot deployment covering most of the 3,000-person workforce for general drafting."
frb-improving-the-quality-of-written-communications-using-ai-tools,FRB,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,Same shared chatbot deployment and 1001-5000 band as FRB's other general-purpose rows.
frb-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FRB,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"""External- Cybersecurity Suites"" for security-control management matches the instructions' CrowdStrike/Defender worked example (endpoint security agents, not person seats), regardless of the smaller 1-100 band."
frb-planning-travel-routes-using-ai-driven-map-applications,FRB,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"""External- Smartphone OS"" map/routing feature matches the instructions' worked example 3 (consumer ambient AI via staff phones, not an AI seat)."
frb-searching-for-agency-information-using-a-knowledge-retrieval-system,FRB,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,"""Internal Gov Cloud-Chatbots"" at the same 1001-5000 band as FRB's other general-purpose rows; broad internal knowledge search via the shared chat platform."
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same shared chatbot deployment and 1001-5000 band as FRB's other general-purpose rows.
frb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FRB,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"""External- Smartphone OS"" facial-recognition unlock matches the instructions' device-exclusion guidance for biometric unlock features."
doc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOC,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,component,general,medium,"Band of 1-100 is far below DOC's 50,000 headcount, indicating a narrow pilot team using MS Copilot/ChatGPT for report visualization rather than an enterprise rollout."
doc-generating-code-using-ai,DOC,Generating code using AI.,employees,occupation:developers,component,technical,medium,"GitLab Duo is a coding-specific assistant and the narrative is explicit code generation, so developers/technical is a direct read; the 101-1000 band is plausible for a developer population at a 50,000-employee department."
doc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,component,general,medium,"Small 1-100 band (well below DOC's 50,000 headcount) points to a narrow team; PRISM/Bidscale (Unison PRISM, a contract-writing system) alongside MS 365 Copilot hints some procurement-office usage, but the narrative itself is generic document drafting so general/office_staff is used with that caveat noted."
doc-improving-the-quality-of-written-communications-using-ai-tools,DOC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,"Band of 50,000+ matches DOC's total headcount of 50,000 almost exactly, indicating an enterprise-wide deployment; OpenAI plus Salesforce Agentforce (linked as ml_platform) is a mixed signal, but the narrative ""improving the quality of written communications"" is generic enough to read as general rather than a case-management-specific stratum."
doc-searching-for-agency-information-using-a-knowledge-retrieval-system,DOC,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,medium,"1001-5000 band (well below DOC's 50,000 headcount) suggests a subset of staff using AWS Bedrock/Azure OpenAI/Salesforce Agentforce for internal knowledge search, not an enterprise-wide rollout."
doc-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOC,Summarizing the key points of a lengthy report using AI.,employees,office_staff,component,general,medium,"Palantir (linked here as general_llm, likely its AIP chat/summarization interface) at a 1-100 band well below DOC's 50,000 headcount indicates a narrow analytics-adjacent team rather than agency-wide access."
doc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,component,general,medium,"MS Teams transcription at a 1-100 band, far below DOC's 50,000 headcount, indicating a narrow pilot rather than enterprise-wide meeting-transcription access."
doc-using-ai-assisted-tools-in-word-processors,DOC,Using AI-assisted tools in word processors.,employees,occupation:attorneys,component,legal,medium,"Litera Compare is a document-comparison/redlining tool predominantly used by attorneys and paralegals for contract and legal-document review; population/stratum follow that known product use rather than the generic ""word processors"" narrative, per the population-overrides-product rule."
fhfa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FHFA,Finding and booking travel accommodations using AI-powered platforms.,employees,all_staff,enterprise,excluded_not_seats,medium,"SAP Concur's travel-booking AI is an embedded backend feature of an enterprise-wide travel system, not a generative person-facing seat; band (101-1000) roughly spans FHFA's 800-person headcount."
fhfa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FHFA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Band of 101-1000 closely tracks FHFA's total headcount of 800, indicating an agency-wide Microsoft Copilot/M365 rollout for general document drafting."
fhfa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,FHFA,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,excluded_not_seats,medium,"""Managing and prioritizing"" tickets describes an active IT/help-desk function rather than the general employee population filing tickets; small 1-100 band fits a single help-desk team, and ServiceNow Now Assist here is a narrow ops tool, not a general-purpose prompting seat."
fhfa-planning-travel-routes-using-ai-driven-map-applications,FHFA,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Apple Maps/Google Maps matches the instructions' worked example 3 (consumer ambient AI via staff phones, not an AI seat)."
fhfa-searching-for-agency-information-using-a-knowledge-retrieval-system,FHFA,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,medium,"Band of 1-100 is well below FHFA's 800 headcount, indicating a narrower pilot group for Microsoft Copilot knowledge search rather than the agency-wide rollout seen in the drafting row."
fhfa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FHFA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,Apple Face ID biometric unlock matches the instructions' device-exclusion guidance.
fhfa-using-ai-assisted-tools-in-word-processors,FHFA,Using AI-assisted tools in word processors.,employees,office_staff,component,general,medium,"Band of 1-100 is well below FHFA's 800 headcount, indicating a narrower pilot group for this Microsoft Copilot word-processing feature."
