slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
hhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,HHS,Department of Health and Human Services,,Summarizing the key points of a lengthy report using AI.,"Microsoft 365 Copilot Chat, Consensus, Adobe AI Assistant, ChatGPT, Perplexity, Claude, Cortellis, OFF-X, Gemini, Gemma (open LLM, Google Deep Mind), Microsoft 365 Copilot, scite.AI",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; Perplexity; Adobe,"general_llm,productivity",80000
hhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HHS,Department of Health and Human Services,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Microsoft 365 Copilot, ChatGPT, CHIRP, Otter AI, Slack",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft Teams; ChatGPT; Otter.ai; Slack,"general_llm,productivity",80000
hhs-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HHS,Department of Health and Human Services,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Windows Hello, Google Pixel",,"10,000-50,000",50000,Apple Face ID; Google Pixel,consumer_feature,80000
hhs-using-ai-assisted-tools-in-word-processors,HHS,Department of Health and Human Services,,Using AI-assisted tools in word processors.,"Microsoft Word, Microsoft 365 Copilot, Grammarly, ChatGPT, Gemini, Signals ELN",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Gemini; Grammarly,"general_llm,productivity",80000
fdic-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FDIC,Federal Deposit Insurance Corporation,,Creating visual representations of data sets for reports or presentations using AI.,"Microsoft Power BI, Tableau",,"5001-10,000",10000,Tableau; Microsoft Power BI,"ml_platform,data_analytics",6300
fdic-editing-images-videos-or-other-public-affairs-materials-using-ai,FDIC,Federal Deposit Insurance Corporation,,"Editing images, videos, or other public affairs materials using AI.","Photoshop, Adobe Premier, Microsoft Paint Limited Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Adobe Photoshop,"general_llm,computer_vision",6300
fdic-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FDIC,Federal Deposit Insurance Corporation,,Finding and booking travel accommodations using AI-powered platforms.,CWTSatoTravel,,1001-5000,5000,CWTSatoTravel,productivity,6300
fdic-generating-code-using-ai,FDIC,Federal Deposit Insurance Corporation,,Generating code using AI.,"GitHub Copilot, Appian",,101-1000,1000,GitHub Copilot,coding_assistant,6300
fdic-improving-the-quality-of-written-communications-using-ai-tools,FDIC,Federal Deposit Insurance Corporation,,Improving the quality of written communications using AI tools.,Thomas Reuters/Westlaw Drafting Assistant,,101-1000,1000,Westlaw AI,legal_research,6300
fdic-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FDIC,Federal Deposit Insurance Corporation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Falcon EDR, Splunk Clowd, Tenable, Opentext, ServiceNow",,"5001-10,000",10000,ServiceNow Now Assist; Crowdstrike Falcon; Splunk; Tenable,"productivity,security_tool",6300
fdic-planning-travel-routes-using-ai-driven-map-applications,FDIC,Federal Deposit Insurance Corporation,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"5001-10,000",10000,Apple Maps; Google Maps,consumer_feature,6300
fdic-scheduling-and-managing-social-media-posts-using-ai,FDIC,Federal Deposit Insurance Corporation,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,6300
fdic-searching-for-agency-information-using-a-knowledge-retrieval-system,FDIC,Federal Deposit Insurance Corporation,,Searching for agency information using a knowledge retrieval system.,"Relativity Server, Relativity One, Cloudlocker, Microsoft Purview, Rasa",,1001-5000,5000,Microsoft Purview; Relativity,"security_tool,ediscovery",6300
fdic-summarizing-the-key-points-of-a-lengthy-report-using-ai,FDIC,Federal Deposit Insurance Corporation,,Summarizing the key points of a lengthy report using AI.,Microsoft Power BI,,"5001-10,000",10000,Microsoft Power BI,data_analytics,6300
fdic-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FDIC,Federal Deposit Insurance Corporation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft teams (Recording),,101-1000,1000,Microsoft Teams,productivity,6300
fdic-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FDIC,Federal Deposit Insurance Corporation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Apple iPad",,"5001-10,000",10000,Apple Face ID,consumer_feature,6300
stb-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,STB,Surface Transportation Board,,Creating visual representations of data sets for reports or presentations using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,STB,Surface Transportation Board,,"Generating first drafts of documents, briefing, or communication materials using AI.",Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-improving-the-quality-of-written-communications-using-ai-tools,STB,Surface Transportation Board,,Improving the quality of written communications using AI tools.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-planning-travel-routes-using-ai-driven-map-applications,STB,Surface Transportation Board,,Planning travel routes using AI-driven map applications.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
stb-prioritizing-and-categorizing-incoming-emails-using-ai,STB,Surface Transportation Board,,Prioritizing and categorizing incoming emails using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-searching-for-agency-information-using-a-knowledge-retrieval-system,STB,Surface Transportation Board,,Searching for agency information using a knowledge retrieval system.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-summarizing-the-key-points-of-a-lengthy-report-using-ai,STB,Surface Transportation Board,,Summarizing the key points of a lengthy report using AI.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
stb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,STB,Surface Transportation Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
stb-using-ai-assisted-tools-in-word-processors,STB,Surface Transportation Board,,Using AI-assisted tools in word processors.,Copilot for MS 365,,101-1000,1000,Microsoft 365 Copilot,general_llm,
hud-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HUD,Department of Housing and Urban Development,,Creating visual representations of data sets for reports or presentations using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HUD,Department of Housing and Urban Development,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-improving-the-quality-of-written-communications-using-ai-tools,HUD,Department of Housing and Urban Development,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-searching-for-agency-information-using-a-knowledge-retrieval-system,HUD,Department of Housing and Urban Development,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-summarizing-the-key-points-of-a-lengthy-report-using-ai,HUD,Department of Housing and Urban Development,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HUD,Department of Housing and Urban Development,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HUD,Department of Housing and Urban Development,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,8400
hud-using-ai-assisted-tools-in-word-processors,HUD,Department of Housing and Urban Development,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
oshrc-editing-images-videos-or-other-public-affairs-materials-using-ai,OSHRC,Occupational Safety and Health Review Commission,,"Editing images, videos, or other public affairs materials using AI.",Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
oshrc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,OSHRC,Occupational Safety and Health Review Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,
oshrc-improving-the-quality-of-written-communications-using-ai-tools,OSHRC,Occupational Safety and Health Review Commission,,Improving the quality of written communications using AI tools.,Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
oshrc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,OSHRC,Occupational Safety and Health Review Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender
Crowdstrike Falcon",,1-100,100,Microsoft Defender; Crowdstrike Falcon,security_tool,
oshrc-using-ai-assisted-tools-in-word-processors,OSHRC,Occupational Safety and Health Review Commission,,Using AI-assisted tools in word processors.,Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
udall-improving-the-quality-of-written-communications-using-ai-tools,Udall,Udall Foundation,,Improving the quality of written communications using AI tools.,Microsoft CoPilot,,1-100,100,Microsoft 365 Copilot,general_llm,25
udall-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Udall,Udall Foundation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple,,1-100,100,,,25
udall-using-ai-assisted-tools-in-word-processors,Udall,Udall Foundation,,Using AI-assisted tools in word processors.,Microsoft CoPilot,,1-100,100,Microsoft 365 Copilot,general_llm,25
