slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
ntsb-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NTSB,Curating news articles and updates based on user preferences using AI.,employees,occupation:comms,component,comms,high,"Meltwater is a media-monitoring tool used by public affairs staff, not general employees; band (1-100) fits a small comms shop within NTSB's ~400-person agency."
ntsb-editing-images-videos-or-other-public-affairs-materials-using-ai,NTSB,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Adobe Creative Cloud for ""public affairs materials"" is a comms-shop tool; band (1-100) is plausible for a small PA team at NTSB (~400-433 total staff per NTSB.gov)."
ntsb-generating-code-using-ai,NTSB,Generating code using AI.,employees,occupation:developers,component,technical,medium,"GitHub Copilot is a coding assistant, so population is overridden to developers per the stratum rule; the 101-1,000 band likely overstates NTSB's small IT/dev team relative to its ~400 total headcount."
ntsb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NTSB,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Microsoft Copilot drafting task; band (101-1,000) spans up to or beyond NTSB's entire ~400-433 person workforce (per NTSB.gov press releases), consistent with an enterprise-wide all-staff rollout like the EPA worked example."
ntsb-improving-the-quality-of-written-communications-using-ai-tools,NTSB,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Same Copilot writing-improvement pattern; band (101-1,000) covers essentially all of NTSB's ~400-person workforce."
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,Logging and analyzing time spent on tasks using AI-powered time management tools.,unknown,unknown,unknown,general,low,"Viva Insights is a workplace-analytics feature with no linked product/type given; unclear whether the small 1-100 band counts viewers/managers or all staff whose activity is analyzed, so left unknown."
ntsb-planning-travel-routes-using-ai-driven-map-applications,NTSB,Planning travel routes using AI-driven map applications.,public_users,unknown,unknown,excluded_not_seats,medium,"Consumer Maps apps (Google/Apple/Waze) on staff phones; band (101-1,000) is ambient device use, not an AI work seat, per the DOE Maps worked example."
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,Prioritizing and categorizing incoming emails using AI.,unknown,unknown,unknown,general,low,"No commercial product or linked product is listed for this row, leaving no anchor for who/what the 101-1,000 band counts; defaulting to unknown per the prefer-unknown-over-guessing rule."
ntsb-scheduling-and-managing-social-media-posts-using-ai,NTSB,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,Sprout Social is a dedicated social-media management tool used by comms staff; band (1-100) fits a small PA/comms team.
ntsb-searching-for-agency-information-using-a-knowledge-retrieval-system,NTSB,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,"Microsoft Copilot knowledge search; band (101-1,000) spans essentially the whole ~400-person NTSB workforce, consistent with enterprise-wide access."
ntsb-summarizing-the-key-points-of-a-lengthy-report-using-ai,NTSB,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,"Same Copilot pattern; band (101-1,000) covers essentially the entire NTSB workforce (~400-433 staff)."
ntsb-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NTSB,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Teams/Copilot/Zoom meeting transcription is enterprise-wide functionality; band (101-1,000) plausibly spans NTSB's whole ~400-person staff."
ntsb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NTSB,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID biometric device unlock, an explicit non-seat device feature; band (101-1,000) plausible as government phone count."
ntsb-using-ai-assisted-tools-in-word-processors,NTSB,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,"Microsoft Copilot word-processing assist; band (101-1,000) spans essentially the entire NTSB workforce."
flra-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FLRA,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,high,"ChatGPT for report visuals; band (1-100) closely matches FLRA's entire ~116-121 person workforce (FY2025 budget justification), consistent with agency-wide access."
flra-curating-news-articles-and-updates-based-on-user-preferences-using-ai,FLRA,Curating news articles and updates based on user preferences using AI.,employees,unknown,unknown,excluded_not_seats,medium,"Google News Brief is a personal AI news-curation consumer feature, similar to a Maps app, not an institutional AI work seat, despite band (1-100) matching FLRA's small ~120-person headcount."
flra-editing-images-videos-or-other-public-affairs-materials-using-ai,FLRA,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Vyond is an animated-video tool used for ""public affairs materials""; band (1-100) fits a small PA/comms team within FLRA's ~120-person agency."
flra-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FLRA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"ChatGPT drafting task; band (1-100) matches FLRA's whole ~116-121 person staff (FY2025 CBJ), an enterprise-wide reading like the EPA worked example."
flra-improving-the-quality-of-written-communications-using-ai-tools,FLRA,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,Same ChatGPT writing-quality pattern; band (1-100) spans essentially FLRA's entire small workforce.
flra-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FLRA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"CrowdStrike Falcon/Microsoft Defender are endpoint security agents; band (101-1,000) far exceeds FLRA's own ~116-121 headcount, strongly confirming a device/endpoint count (multiple per employee) rather than people."
flra-searching-for-agency-information-using-a-knowledge-retrieval-system,FLRA,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,ChatGPT/Gemini/NotebookLM knowledge search; band (1-100) matches FLRA's whole ~120-person staff.
flra-summarizing-the-key-points-of-a-lengthy-report-using-ai,FLRA,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,high,Same ChatGPT summarization pattern spanning FLRA's entire small workforce (band 1-100 vs ~120 headcount).
flra-using-ai-assisted-tools-in-word-processors,FLRA,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,Microsoft Copilot word-processing assist; band (1-100) matches FLRA's whole ~116-121 person staff.
va-generating-code-using-ai,VA,Generating code using AI.,employees,occupation:developers,enterprise,technical,high,"GitHub Copilot is a coding assistant; band (1,001-5,000) is a plausible developer population across VA's large OIT organization relative to its 482,000 headcount."
va-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,VA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Microsoft Copilot Chat drafting task; band (50,000+) is roughly 10-20% of VA's 482,000 headcount, more consistent with an office/administrative-staff rollout than VA's entire clinical-heavy workforce (all_staff)."
va-improving-the-quality-of-written-communications-using-ai-tools,VA,Improving the quality of written communications using AI tools.,employees,single_component,component,general,medium,"Grammarly; band (1-100) is tiny relative to VA's 482,000 headcount, indicating a specific pilot office rather than an enterprise rollout."
va-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,VA,Managing and prioritizing internal service or help desk tickets using AI.,applicants_cases,unknown,component,excluded_not_seats,medium,"The use case literally says ""tickets"" -- Genesys Cloud CX AI routes/categorizes help-desk tickets; a band of 5,001-10,000 is implausible as VA's IT help-desk staff count but plausible as ticket volume."
va-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,VA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Splunk (""IT Service Intelligence"") is a security/monitoring platform; band (10,000-50,000) reads as endpoints/systems monitored, matching the DOE Splunk/CrowdStrike worked example, not people."
va-searching-for-agency-information-using-a-knowledge-retrieval-system,VA,Searching for agency information using a knowledge retrieval system.,employees,occupation:attorneys,component,legal,medium,"Westlaw AI is legal research software; VA's combined Office of General Counsel, Board of Veterans' Appeals, and regional counsel attorney population plausibly falls in the 1,001-5,000 band, though ""VA Box"" (generic storage) is also listed, adding uncertainty."
va-summarizing-the-key-points-of-a-lengthy-report-using-ai,VA,Summarizing the key points of a lengthy report using AI.,applicants_cases,unknown,enterprise,excluded_not_seats,high,"Medallia powers VA's VSignals program, which has aggregated over 8 million veteran survey responses (healthcareitnews.com/news/improving-veteran-customer-experience-and-building-trust; medallia.com/blog/va-customer-experience-success); the 50,000+ band reads as processed survey/feedback records, not VA employee seats."
va-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,VA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,medium,"Microsoft Teams Premium meeting transcription; band (5,001-10,000) is a small slice of VA's 482,000 headcount, consistent with an office-staff subset rather than all-staff."
va-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,VA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID biometric device unlock, an explicit non-seat feature; band (50,000+) plausible as VA's large government-issued-phone fleet."
tva-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,TVA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,high,"Microsoft Copilot drafting task; band (101-1,000) is roughly 1-10% of TVA's 10,000 headcount, fitting an office/administrative-staff subset since TVA's workforce includes many power-plant/field operations staff who wouldn't use Copilot for drafting."
tva-improving-the-quality-of-written-communications-using-ai-tools,TVA,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,high,"Same Copilot pattern; band (101-1,000) vs TVA's 10,000 headcount fits office staff, not the whole largely-operational workforce."
tva-prioritizing-and-categorizing-incoming-emails-using-ai,TVA,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,enterprise,general,high,"Same reused Copilot band (101-1,000) against TVA's 10,000 headcount, fitting office staff."
tva-summarizing-the-key-points-of-a-lengthy-report-using-ai,TVA,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,high,"Same reused Copilot band (101-1,000) against TVA's 10,000 headcount, fitting office staff."
tva-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,TVA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,high,"Same reused Copilot band (101-1,000) against TVA's 10,000 headcount, fitting office staff."
tva-using-ai-assisted-tools-in-word-processors,TVA,Using AI-assisted tools in word processors.,employees,office_staff,enterprise,general,high,"Same reused Copilot band (101-1,000) against TVA's 10,000 headcount, fitting office staff."
