slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
doe-prioritizing-and-categorizing-incoming-emails-using-ai,DOE,Department of Energy,,Prioritizing and categorizing incoming emails using AI.,"CBSA - Commercial Business Support Application, Konica Minolta Dispatcher Paragon, KCNSC-Intune",,1-100,100,Konica Minolta Dispatcher Paragon,productivity,16000
doe-scheduling-and-managing-social-media-posts-using-ai,DOE,Department of Energy,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,16000
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Department of Energy,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"WebApps, OGC Docket Database, MCG Energy Solutions Integrated Asset Manager (IAM), OATI Transmission Scheduling",,101-1000,1000,,,16000
doe-searching-for-agency-information-using-a-knowledge-retrieval-system,DOE,Department of Energy,,Searching for agency information using a knowledge retrieval system.,"OpenText Content Server, ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOE,Department of Energy,,Summarizing the key points of a lengthy report using AI.,Doble Engineering Doble Test Assistant,,"10,000-50,000",50000,Doble Test Assistant,document_ai,16000
doe-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOE,Department of Energy,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft 365 1, NNSS-Microsoft 365",,"10,000-50,000",50000,Microsoft 365,coding_assistant,16000
doe-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOE,Department of Energy,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",,"50,000+",100000,Apple Face ID; Google Pixel,consumer_feature,16000
doe-using-ai-assisted-tools-in-word-processors,DOE,Department of Energy,,Using AI-assisted tools in word processors.,Microsoft 365 1,,"10,000-50,000",50000,Microsoft 365,coding_assistant,16000
dhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DHS,Department of Homeland Security,,Creating visual representations of data sets for reports or presentations using AI.,"Azure Synapse Analytics, Copilot",,"5001-10,000",10000,Azure Synapse Analytics,data_analytics,260000
dhs-editing-images-videos-or-other-public-affairs-materials-using-ai,DHS,Department of Homeland Security,,"Editing images, videos, or other public affairs materials using AI.",Flow aka Veo 3; Firefly,,101-1000,1000,Adobe Firefly,computer_vision,260000
dhs-generating-code-using-ai,DHS,Department of Homeland Security,,Generating code using AI.,"Poolside, Copilot, Ask Hamilton, Github Copilot, AI Foundry, Powerautomate AI Builder, CamoGPT, NIPRGPT",,1001-5000,5000,GitHub Copilot; Poolside,coding_assistant,260000
dhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DHS,Department of Homeland Security,,"Generating first drafts of documents, briefing, or communication materials using AI.","OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-improving-the-quality-of-written-communications-using-ai-tools,DHS,Department of Homeland Security,,Improving the quality of written communications using AI tools.,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DHS,Department of Homeland Security,,Managing and prioritizing internal service or help desk tickets using AI.,Sprinklr,,1-100,100,Sprinklr,social_listening,260000
dhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DHS,Department of Homeland Security,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Andesite, Microsoft Security Copilot",,101-1000,1000,Microsoft Copilot for Security,security_tool,260000
dhs-prioritizing-and-categorizing-incoming-emails-using-ai,DHS,Department of Homeland Security,,Prioritizing and categorizing incoming emails using AI.,M365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,260000
dhs-searching-for-agency-information-using-a-knowledge-retrieval-system,DHS,Department of Homeland Security,,Searching for agency information using a knowledge retrieval system.,"RelativityOne, ServiceNow, Einstein, Vertex AI, Copilot,",,"50,000+",100000,ServiceNow Now Assist,productivity,260000
dhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,DHS,Department of Homeland Security,,Summarizing the key points of a lengthy report using AI.,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DHS,Department of Homeland Security,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Dragon Professional,,101-1000,1000,Nuance Dragon,transcription,260000
dhs-using-ai-assisted-tools-in-word-processors,DHS,Department of Homeland Security,,Using AI-assisted tools in word processors.,"Adobe Premiere Spech to Text, Copilot",,"5001-10,000",10000,Adobe Premiere Pro,media_analysis,260000
ftc-generating-code-using-ai,FTC,Federal Trade Commission,,Generating code using AI.,Azure Databricks,,1-100,100,Databricks,ml_platform,1200
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,Federal Trade Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",CoPilot,,1001-5000,5000,,,1200
ftc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FTC,Federal Trade Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Dtex; KnowBe4; Crowdstrike,,1001-5000,5000,Crowdstrike Falcon,security_tool,1200
ftc-planning-travel-routes-using-ai-driven-map-applications,FTC,Federal Trade Commission,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,1001-5000,5000,Apple Maps; Google Maps,consumer_feature,1200
ftc-prioritizing-and-categorizing-incoming-emails-using-ai,FTC,Federal Trade Commission,,Prioritizing and categorizing incoming emails using AI.,CoPilot,,1001-5000,5000,,,1200
ftc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FTC,Federal Trade Commission,,Summarizing the key points of a lengthy report using AI.,CoPilot; Relativity Technology Assisted Review,,1001-5000,5000,Relativity,ediscovery,1200
ftc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FTC,Federal Trade Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",CoPilot,,1001-5000,5000,,,1200
ftc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FTC,Federal Trade Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,iPhones,,1001-5000,5000,,,1200
ftc-using-ai-assisted-tools-in-word-processors,FTC,Federal Trade Commission,,Using AI-assisted tools in word processors.,CoPilot,,1001-5000,5000,,,1200
ferc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FERC,Federal Energy Regulatory Commission,,Finding and booking travel accommodations using AI-powered platforms.,Concur,,101-1000,1000,SAP Concur,productivity,1500
ferc-generating-code-using-ai,FERC,Federal Energy Regulatory Commission,,Generating code using AI.,GitHub Copilot,,1-100,100,GitHub Copilot,coding_assistant,1500
ferc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FERC,Federal Energy Regulatory Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft 365 Copilot, Azure Open AI",,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-planning-travel-routes-using-ai-driven-map-applications,FERC,Federal Energy Regulatory Commission,,Planning travel routes using AI-driven map applications.,Google Maps & Apple Maps,,1-100,100,Apple Maps; Google Maps,consumer_feature,1500
ferc-searching-for-agency-information-using-a-knowledge-retrieval-system,FERC,Federal Energy Regulatory Commission,,Searching for agency information using a knowledge retrieval system.,Microsoft 365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FERC,Federal Energy Regulatory Commission,,Summarizing the key points of a lengthy report using AI.,"Microsoft 365 Copilot, Azure Open AI",,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
ferc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FERC,Federal Energy Regulatory Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Samsung",,101-1000,1000,Apple Face ID,consumer_feature,1500
ferc-using-ai-assisted-tools-in-word-processors,FERC,Federal Energy Regulatory Commission,,Using AI-assisted tools in word processors.,Microsoft 365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,1500
osc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,OSC,U.S. Office of Special Counsel,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-improving-the-quality-of-written-communications-using-ai-tools,OSC,U.S. Office of Special Counsel,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-summarizing-the-key-points-of-a-lengthy-report-using-ai,OSC,U.S. Office of Special Counsel,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,OSC,U.S. Office of Special Counsel,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,OSC,U.S. Office of Special Counsel,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
osc-using-ai-assisted-tools-in-word-processors,OSC,U.S. Office of Special Counsel,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
