slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
dhs-generating-code-using-ai,DHS,Department of Homeland Security,,Generating code using AI.,"Poolside, Copilot, Ask Hamilton, Github Copilot, AI Foundry, Powerautomate AI Builder, CamoGPT, NIPRGPT",,1001-5000,5000,GitHub Copilot; Poolside,coding_assistant,260000
dhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DHS,Department of Homeland Security,,"Generating first drafts of documents, briefing, or communication materials using AI.","OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-improving-the-quality-of-written-communications-using-ai-tools,DHS,Department of Homeland Security,,Improving the quality of written communications using AI tools.,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DHS,Department of Homeland Security,,Managing and prioritizing internal service or help desk tickets using AI.,Sprinklr,,1-100,100,Sprinklr,social_listening,260000
dhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DHS,Department of Homeland Security,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Andesite, Microsoft Security Copilot",,101-1000,1000,Microsoft Copilot for Security,security_tool,260000
dhs-prioritizing-and-categorizing-incoming-emails-using-ai,DHS,Department of Homeland Security,,Prioritizing and categorizing incoming emails using AI.,M365 Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,260000
dhs-searching-for-agency-information-using-a-knowledge-retrieval-system,DHS,Department of Homeland Security,,Searching for agency information using a knowledge retrieval system.,"RelativityOne, ServiceNow, Einstein, Vertex AI, Copilot,",,"50,000+",100000,ServiceNow Now Assist,productivity,260000
dhs-summarizing-the-key-points-of-a-lengthy-report-using-ai,DHS,Department of Homeland Security,,Summarizing the key points of a lengthy report using AI.,"OpenWebUI, Bedrock, Copilot Chat, Ask Hamilton, NIPRGPT, CamoGPT, AcqBot",,"10,000-50,000",50000,Microsoft 365 Copilot Chat; AWS Bedrock,general_llm,260000
dhs-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DHS,Department of Homeland Security,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Dragon Professional,,101-1000,1000,Nuance Dragon,transcription,260000
dhs-using-ai-assisted-tools-in-word-processors,DHS,Department of Homeland Security,,Using AI-assisted tools in word processors.,"Adobe Premiere Spech to Text, Copilot",,"5001-10,000",10000,Adobe Premiere Pro,media_analysis,260000
doc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOC,Department of Commerce,,Creating visual representations of data sets for reports or presentations using AI.,"MS Copilot, ChatGPT",,1-100,100,Microsoft 365 Copilot; ChatGPT,general_llm,50000
doc-generating-code-using-ai,DOC,Department of Commerce,,Generating code using AI.,"GitLab Duo, ChatGPT",,101-1000,1000,ChatGPT,general_llm,50000
doc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOC,Department of Commerce,,"Generating first drafts of documents, briefing, or communication materials using AI.","MS 365 Copilot, Copilot Chat, PRISM/Bidscale",,1-100,100,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; Unison PRISM,"general_llm,supply_chain",50000
doc-improving-the-quality-of-written-communications-using-ai-tools,DOC,Department of Commerce,,Improving the quality of written communications using AI tools.,"Open AI, Salesforce Agentforce",,"50,000+",100000,Salesforce Einstein,ml_platform,50000
doc-searching-for-agency-information-using-a-knowledge-retrieval-system,DOC,Department of Commerce,,Searching for agency information using a knowledge retrieval system.,"AWS Bedrock, Azure OpenAI - Simple Chat, Salesforce Agentforce",,1001-5000,5000,Azure OpenAI; AWS Bedrock; Salesforce Einstein,"general_llm,ml_platform",50000
doc-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOC,Department of Commerce,,Summarizing the key points of a lengthy report using AI.,Palantir,,1-100,100,Palantir AIP,general_llm,50000
doc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOC,Department of Commerce,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",MS Teams,,1-100,100,Microsoft Teams,productivity,50000
doc-using-ai-assisted-tools-in-word-processors,DOC,Department of Commerce,,Using AI-assisted tools in word processors.,Litera-compare,,1-100,100,,,50000
doe-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOE,Department of Energy,,Creating visual representations of data sets for reports or presentations using AI.,Tableau Enterprise Visualization 1.0,,101-1000,1000,Tableau,ml_platform,16000
doe-curating-news-articles-and-updates-based-on-user-preferences-using-ai,DOE,Department of Energy,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,16000
doe-editing-images-videos-or-other-public-affairs-materials-using-ai,DOE,Department of Energy,,"Editing images, videos, or other public affairs materials using AI.","Adobe creative suite, TV eyes",,1-100,100,Adobe Creative Cloud Suite,productivity,16000
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,Department of Energy,,Finding and booking travel accommodations using AI-powered platforms.,"Enterprise Travel System 2.0, DDSP Travel Request Form,",,101-1000,1000,,,16000
doe-generating-code-using-ai,DOE,Department of Energy,,Generating code using AI.,GitHub Enterprise 1.0,,"10,000-50,000",50000,,,16000
doe-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOE,Department of Energy,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-improving-the-quality-of-written-communications-using-ai-tools,DOE,Department of Energy,,Improving the quality of written communications using AI tools.,"ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,DOE,Department of Energy,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Splunk Online,,1-100,100,Splunk,security_tool,16000
doe-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DOE,Department of Energy,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,101-1000,1000,ServiceNow Now Assist,productivity,16000
doe-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOE,Department of Energy,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","CrowdStrike Falcon 1.0, Microsoft Defender, Vectra AI, Splunk Enterprise Security",,"10,000-50,000",50000,Microsoft Defender; Crowdstrike Falcon; Splunk; Vectra AI,security_tool,16000
doe-planning-travel-routes-using-ai-driven-map-applications,DOE,Department of Energy,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"50,000+",100000,Apple Maps; Google Maps,consumer_feature,16000
doe-prioritizing-and-categorizing-incoming-emails-using-ai,DOE,Department of Energy,,Prioritizing and categorizing incoming emails using AI.,"CBSA - Commercial Business Support Application, Konica Minolta Dispatcher Paragon, KCNSC-Intune",,1-100,100,Konica Minolta Dispatcher Paragon,productivity,16000
doe-scheduling-and-managing-social-media-posts-using-ai,DOE,Department of Energy,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,16000
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Department of Energy,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"WebApps, OGC Docket Database, MCG Energy Solutions Integrated Asset Manager (IAM), OATI Transmission Scheduling",,101-1000,1000,,,16000
doe-searching-for-agency-information-using-a-knowledge-retrieval-system,DOE,Department of Energy,,Searching for agency information using a knowledge retrieval system.,"OpenText Content Server, ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOE,Department of Energy,,Summarizing the key points of a lengthy report using AI.,Doble Engineering Doble Test Assistant,,"10,000-50,000",50000,Doble Test Assistant,document_ai,16000
doe-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOE,Department of Energy,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft 365 1, NNSS-Microsoft 365",,"10,000-50,000",50000,Microsoft 365,coding_assistant,16000
doe-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOE,Department of Energy,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",,"50,000+",100000,Apple Face ID; Google Pixel,consumer_feature,16000
doe-using-ai-assisted-tools-in-word-processors,DOE,Department of Energy,,Using AI-assisted tools in word processors.,Microsoft 365 1,,"10,000-50,000",50000,Microsoft 365,coding_assistant,16000
doi-editing-images-videos-or-other-public-affairs-materials-using-ai,DOI,Department of the Interior,,"Editing images, videos, or other public affairs materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,70000
doi-generating-code-using-ai,DOI,Department of the Interior,,Generating code using AI.,GitHub Copilot for Visual Studio; Schoology; Claude Code; Splunk AI Assistant for SPL (Splunk Search Processing Language),,101-1000,1000,GitHub Copilot; Claude Code; Splunk; Aretec SEARCH; Visual Studio,"coding_assistant,security_tool,search,developer_tool",70000
doi-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOI,Department of the Interior,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,70000
doi-improving-the-quality-of-written-communications-using-ai-tools,DOI,Department of the Interior,,Improving the quality of written communications using AI tools.,Synthesia; Microsoft Copilot & Copilot Chat,,"50,000+",100000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; Synthesia,"general_llm,computer_vision",70000
doi-scheduling-and-managing-social-media-posts-using-ai,DOI,Department of the Interior,,Scheduling and managing social media posts using AI.,Hootsuite,,101-1000,1000,Hootsuite,social_listening,70000
doi-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOI,Department of the Interior,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,70000
doi-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOI,Department of the Interior,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Evidence.com,,1-100,100,Axon Evidence,forensics,70000
dot-editing-images-videos-or-other-public-affairs-materials-using-ai,DOT,Department of Transportation,,"Editing images, videos, or other public affairs materials using AI.",Adobe,,1-100,100,Adobe,productivity,55000
dot-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOT,Department of Transportation,,"Generating first drafts of documents, briefing, or communication materials using AI.",Azure AI Foundry,,1001-5000,5000,Azure AI Foundry,general_llm,55000
dot-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOT,Department of Transportation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Elastic Cloud, Palo Alto",,"10,000-50,000",50000,Palo Alto Networks,security_tool,55000
dot-planning-travel-routes-using-ai-driven-map-applications,DOT,Department of Transportation,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,55000
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,Department of Transportation,,Scheduling and managing social media posts using AI.,Sprout,,1-100,100,,,55000
dot-searching-for-agency-information-using-a-knowledge-retrieval-system,DOT,Department of Transportation,,Searching for agency information using a knowledge retrieval system.,"Databricks, Bedrock, Foundry",,101-1000,1000,AWS Bedrock; Databricks,"general_llm,ml_platform",55000
dot-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOT,Department of Transportation,,Summarizing the key points of a lengthy report using AI.,Azure AI Foundry,,1001-5000,5000,Azure AI Foundry,general_llm,55000
dot-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOT,Department of Transportation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Google Calendar,,"5001-10,000",10000,Google Calendar,productivity,55000
dot-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,DOT,Department of Transportation,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"10,000-50,000",50000,Apple Face ID,consumer_feature,55000
eac-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EAC,Election Assistance Commission,,Creating visual representations of data sets for reports or presentations using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-curating-news-articles-and-updates-based-on-user-preferences-using-ai,EAC,Election Assistance Commission,,Curating news articles and updates based on user preferences using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-editing-images-videos-or-other-public-affairs-materials-using-ai,EAC,Election Assistance Commission,,"Editing images, videos, or other public affairs materials using AI.","ChatGPT, Claude, Copilot",,1-100,100,ChatGPT; Claude,general_llm,
eac-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EAC,Election Assistance Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,
eac-generating-code-using-ai,EAC,Election Assistance Commission,,Generating code using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EAC,Election Assistance Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-improving-the-quality-of-written-communications-using-ai-tools,EAC,Election Assistance Commission,,Improving the quality of written communications using AI tools.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EAC,Election Assistance Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender, Copilot",,1-100,100,Microsoft Defender; Crowdstrike Falcon,security_tool,
eac-planning-travel-routes-using-ai-driven-map-applications,EAC,Election Assistance Commission,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,1-100,100,Apple Maps; Google Maps,consumer_feature,
eac-prioritizing-and-categorizing-incoming-emails-using-ai,EAC,Election Assistance Commission,,Prioritizing and categorizing incoming emails using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-searching-for-agency-information-using-a-knowledge-retrieval-system,EAC,Election Assistance Commission,,Searching for agency information using a knowledge retrieval system.,Copilot,,1-100,100,,,
eac-summarizing-the-key-points-of-a-lengthy-report-using-ai,EAC,Election Assistance Commission,,Summarizing the key points of a lengthy report using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EAC,Election Assistance Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Zoom, Teams",,1-100,100,Microsoft Teams; Zoom,productivity,
eac-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EAC,Election Assistance Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
eac-using-ai-assisted-tools-in-word-processors,EAC,Election Assistance Commission,,Using AI-assisted tools in word processors.,"Grammarly, Copilot",,1-100,100,Grammarly,productivity,
epa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EPA,Environmental Protection Agency,,Creating visual representations of data sets for reports or presentations using AI.,"Azure OpenAI, Microsoft365 Copilot, Qlik Predict",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EPA,Environmental Protection Agency,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,"10,000-50,000",50000,SAP Concur,productivity,16000
epa-generating-code-using-ai,EPA,Environmental Protection Agency,,Generating code using AI.,"GitHub Copilot, Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; GitHub Copilot; Azure OpenAI,"general_llm,coding_assistant",16000
epa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EPA,Environmental Protection Agency,,"Generating first drafts of documents, briefing, or communication materials using AI.","Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-improving-the-quality-of-written-communications-using-ai-tools,EPA,Environmental Protection Agency,,Improving the quality of written communications using AI tools.,"Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EPA,Environmental Protection Agency,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft Viva,,"10,000-50,000",50000,Microsoft Viva,productivity,16000
epa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,EPA,Environmental Protection Agency,,Managing and prioritizing internal service or help desk tickets using AI.,Servicenow Virtual Agent,,"10,000-50,000",50000,ServiceNow Now Assist,productivity,16000
epa-planning-travel-routes-using-ai-driven-map-applications,EPA,Environmental Protection Agency,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,16000
epa-prioritizing-and-categorizing-incoming-emails-using-ai,EPA,Environmental Protection Agency,,Prioritizing and categorizing incoming emails using AI.,Microsoft365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,16000
epa-searching-for-agency-information-using-a-knowledge-retrieval-system,EPA,Environmental Protection Agency,,Searching for agency information using a knowledge retrieval system.,"Relativity, Microsoft365 Copilot, Google Search",,"10,000-50,000",50000,Microsoft 365 Copilot; Aretec SEARCH; Relativity; Google,"general_llm,search,ediscovery,productivity",16000
epa-summarizing-the-key-points-of-a-lengthy-report-using-ai,EPA,Environmental Protection Agency,,Summarizing the key points of a lengthy report using AI.,"Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EPA,Environmental Protection Agency,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft365 Copilot, Azure Open AI",,"10,000-50,000",50000,Microsoft 365 Copilot,general_llm,16000
epa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EPA,Environmental Protection Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,16000
epa-using-ai-assisted-tools-in-word-processors,EPA,Environmental Protection Agency,,Using AI-assisted tools in word processors.,Microsoft365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,16000
exim-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EXIM,Export-Import Bank,,Creating visual representations of data sets for reports or presentations using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-editing-images-videos-or-other-public-affairs-materials-using-ai,EXIM,Export-Import Bank,,"Editing images, videos, or other public affairs materials using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-generating-code-using-ai,EXIM,Export-Import Bank,,Generating code using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EXIM,Export-Import Bank,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-improving-the-quality-of-written-communications-using-ai-tools,EXIM,Export-Import Bank,,Improving the quality of written communications using AI tools.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EXIM,Export-Import Bank,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EXIM,Export-Import Bank,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Splunk, Crowdstrike, MS Defender, Qualys. Palo Alto",,101-1000,1000,Microsoft Defender; Crowdstrike Falcon; Splunk; Palo Alto Networks,security_tool,
